MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
13.4,22.9,0.6,44.0,20.0,24.0,22.0,1007.7,1007.1,16.9,21.8
7.4,25.1,0.0,44.0,4.0,22.0,25.0,1010.6,1007.8,17.2,24.3
12.9,25.7,0.0,46.0,19.0,26.0,30.0,1007.6,1008.7,21.0,23.2
9.2,28.0,0.0,24.0,11.0,9.0,16.0,1017.6,1012.8,18.1,26.5
17.5,32.3,1.0,41.0,7.0,20.0,33.0,1010.8,1006.0,17.8,29.7
14.6,29.7,0.2,56.0,19.0,24.0,23.0,1009.2,1005.4,20.6,28.9
14.3,25.0,0.0,50.0,20.0,24.0,19.0,1009.6,1008.2,18.1,24.6
7.7,26.7,0.0,35.0,6.0,17.0,19.0,1013.4,1010.1,16.3,25.5
9.7,31.9,0.0,80.0,7.0,28.0,9.0,1008.9,1003.6,18.3,30.2
13.1,30.1,1.4,28.0,15.0,11.0,27.0,1007.0,1005.7,20.1,28.2
13.4,30.4,0.0,30.0,17.0,6.0,22.0,1011.8,1008.7,20.4,28.8
15.9,21.7,2.2,31.0,15.0,13.0,91.0,1010.5,1004.2,15.9,17.0
15.9,18.6,15.6,61.0,28.0,28.0,93.0,994.3,993.0,17.4,15.8
12.6,21.0,3.6,44.0,24.0,20.0,43.0,1001.2,1001.8,15.8,19.8
8.4,24.6,0.0,32.97739361702128,4.0,30.0,32.0,1009.7,1008.7,15.9,23.5
9.8,27.7,1.9141149119893721,50.0,8.211151435169912,22.0,28.0,1013.4,1010.3,17.3,26.2
14.1,20.9,0.0,22.0,11.0,9.0,82.0,1012.2,1010.4,17.2,18.1
13.5,22.9,16.8,63.0,6.0,20.0,65.0,1005.8,1002.2,18.0,21.5
11.2,22.5,10.6,43.0,24.0,17.0,32.0,1009.4,1009.7,15.5,21.0
9.8,25.6,0.0,26.0,17.0,6.0,26.0,1019.2,1017.1,15.8,23.2
11.5,29.3,0.0,24.0,9.0,9.0,28.0,1019.3,1014.8,19.1,27.3
17.1,33.0,0.0,43.0,17.0,22.0,28.0,1013.6,1008.1,24.5,31.6
20.5,31.8,0.0,41.0,19.0,20.0,24.0,1007.8,1005.7,23.8,30.8
15.3,30.9,0.0,33.0,6.0,13.0,23.0,1011.0,1008.2,20.9,29.0
12.6,32.4,0.0,43.0,4.0,19.0,17.0,1012.9,1010.1,21.5,31.2
16.2,33.9,0.0,35.0,9.0,13.0,19.0,1010.9,1007.6,23.2,33.0
16.9,33.0,0.0,57.0,0.0,26.0,28.0,1006.8,1003.6,26.6,31.2
20.1,32.7,0.0,48.0,13.0,30.0,15.0,1005.2,1001.7,24.6,32.1
19.7,27.2,0.0,46.0,19.0,30.0,22.0,1004.8,1004.2,21.6,26.1
12.5,24.2,1.2,50.0,11.0,22.0,70.0,1005.6,1003.4,12.5,18.2
12.0,24.4,0.8,39.0,17.0,17.0,28.0,1006.1,1005.1,16.9,22.7
11.3,26.5,0.0,56.0,19.0,31.0,26.0,1004.5,1003.2,19.7,25.7
9.6,23.9,0.0,41.0,19.0,11.0,22.0,1014.4,1013.1,14.9,22.1
