MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
19.6,37.6,0.0,87.0,20.0,11.0,16.0,1010.5,1005.8,30.4,37.2
21.0,39.1,1.2,41.0,24.0,9.0,13.0,1009.3,1004.6,32.5,38.2
22.9,40.9,0.0,48.0,7.0,24.0,11.0,1006.3,1003.4,35.0,40.4
24.7,40.5,0.0,72.0,2.0,22.0,24.0,1008.7,1006.9,32.3,36.5
23.4,32.4,0.2,46.0,9.0,17.0,43.0,1014.0,1010.7,26.8,31.1
21.7,25.1,2.6,35.0,19.0,11.0,78.0,1014.3,1011.1,21.9,22.9
20.9,25.7,4.8,31.0,11.0,17.0,77.0,1011.4,1009.9,25.0,24.3
17.7,34.6,0.6,26.0,15.0,9.0,27.0,1010.9,1005.9,24.5,33.6
24.4,39.0,0.0,50.0,28.0,11.0,20.0,1006.2,1002.6,32.5,38.0
25.3,38.6,0.0,54.0,22.0,35.0,51.0,1005.9,1004.4,32.8,29.6
25.0,32.3,0.0,63.0,26.0,9.0,73.0,1005.6,1001.3,29.5,27.6
20.7,32.2,14.4,41.0,13.0,19.0,37.0,1005.2,1002.7,22.5,31.0
16.6,26.6,0.0,37.0,26.0,24.0,39.0,1012.9,1009.6,20.7,25.9
13.7,26.8,0.0,46.0,20.0,19.0,24.0,1014.1,1010.5,20.5,26.0
13.1,28.5,0.0,35.0,20.0,13.0,15.0,1013.7,1009.6,21.7,27.3
13.6,31.7,0.0,31.0,22.0,13.0,15.0,1011.9,1007.9,24.6,31.2
15.7,36.3,0.0,35.0,9.0,9.0,11.0,1009.3,1004.9,29.2,36.0
19.6,36.9,0.0,41.0,15.0,17.0,12.0,1007.4,1004.9,31.0,36.2
24.5,35.2,0.0,41.0,26.0,17.0,19.0,1010.1,1006.6,27.4,33.5
19.4,35.2,0.0,41.0,31.0,13.0,14.0,1010.9,1007.0,26.9,34.4
19.9,39.3,0.0,30.0,19.0,15.0,12.0,1007.8,1004.1,30.7,38.6
21.5,39.9,0.0,33.0,13.0,19.0,13.0,1007.7,1004.9,33.2,38.2
21.6,39.4,0.0,48.0,28.0,20.0,13.0,1007.9,1005.0,34.0,39.0
22.5,38.5,0.0,37.0,20.0,17.0,19.0,1009.8,1005.7,30.5,37.1
27.2,37.6,0.0,30.0,13.0,13.0,22.0,1010.2,1006.1,30.4,35.6
26.8,38.9,0.0,69.0,20.0,35.0,58.0,1006.3,1003.5,33.5,27.5
23.1,31.5,21.4,22.0,11.0,7.0,51.0,1009.0,1005.0,23.9,30.2
23.3,34.0,0.2,46.0,0.0,19.0,37.0,1007.3,1003.8,25.9,33.3
21.9,32.4,9.4,39.0,19.0,17.0,28.0,1008.5,1006.3,26.6,31.3
18.7,32.7,0.0,37.0,28.0,17.0,14.0,1009.6,1006.2,26.4,32.0
18.0,34.5,0.0,37.0,19.0,13.0,14.0,1007.3,1003.4,27.3,34.4
22.2,36.0,0.0,54.0,22.0,28.0,12.0,1005.8,1002.9,29.0,35.0
22.1,34.3,0.0,50.0,30.0,30.0,12.0,1009.2,1005.9,27.3,34.0
18.6,34.7,0.0,54.0,19.0,24.0,20.0,1009.3,1004.4,26.9,33.3
21.5,36.1,0.0,57.0,17.0,26.0,20.0,1007.7,1003.8,29.0,35.5
20.6,36.5,0.0,57.0,20.0,30.0,20.0,1007.3,1003.2,29.6,35.8
22.4,36.3,0.0,52.0,19.0,24.0,19.0,1006.4,1002.4,30.0,35.6
21.1,35.7,0.0,59.0,22.0,37.0,32.0,1007.7,1004.2,27.1,33.3
22.4,34.6,0.0,56.0,24.0,31.0,30.0,1009.4,1005.8,26.2,33.5
21.2,36.2,0.0,46.0,24.0,24.0,17.0,1009.3,1004.6,29.0,35.3
21.0,37.5,0.0,41.0,20.0,15.0,9.0,1006.6,1002.6,30.3,36.1
17.7,37.3,0.0,44.0,17.0,17.0,6.0,1005.9,1003.3,30.0,36.7
17.4,38.1,0.0,43.0,24.0,17.0,8.0,1009.3,1005.3,30.6,37.5
23.2,38.2,0.0,33.0,24.0,11.0,8.0,1009.7,1005.1,31.6,37.7
23.1,37.8,0.0,59.0,13.0,37.0,14.0,1008.9,1005.7,31.7,36.6
20.4,38.4,0.0,67.0,22.0,35.0,12.0,1010.1,1006.6,30.9,37.3
25.7,37.5,0.0,56.0,30.0,30.0,14.0,1012.6,1009.0,30.1,37.5
25.4,36.3,0.0,41.0,26.0,28.0,23.0,1012.8,1008.4,29.7,34.4
23.9,25.2,0.0,39.0,7.0,13.0,57.0,1013.2,1010.5,23.9,24.2
19.0,25.3,5.2,30.0,13.0,22.0,76.0,1010.4,1007.5,22.0,23.1
19.5,31.1,7.8,37.0,7.0,17.0,56.0,1008.2,1005.6,25.2,29.9
22.5,37.0,0.0,39.0,9.0,19.0,27.0,1008.2,1003.7,28.0,35.0
23.7,38.8,0.0,41.0,15.0,9.0,14.0,1006.3,1002.9,30.1,37.8
27.6,40.2,0.4,35.0,15.0,13.0,19.0,1006.6,1002.7,32.6,39.0
25.9,39.9,0.2,54.0,9.0,28.0,42.0,1007.9,1005.5,33.2,32.7
24.2,39.6,1.4,93.0,17.0,59.0,51.0,1010.1,1007.1,32.9,31.2
21.9,39.5,0.0,44.0,7.0,13.0,7.0,1009.8,1005.9,31.9,38.6
26.7,39.4,0.0,61.0,22.0,31.0,21.0,1008.1,1003.4,32.3,39.0
25.5,37.6,0.0,54.0,28.0,30.0,14.0,1007.2,1002.9,31.1,37.1
24.7,36.5,0.0,52.0,15.0,24.0,20.0,1007.1,1002.4,30.1,34.5
21.7,34.2,0.0,69.0,17.0,37.0,27.0,1005.0,1000.9,29.1,32.0
22.3,32.0,0.0,72.0,20.0,17.0,53.0,1006.2,1002.5,25.1,29.9
21.4,35.9,9.0,46.0,22.0,20.0,29.0,1007.4,1003.1,28.4,34.7
24.3,38.0,0.0,44.0,11.0,28.0,21.0,1005.6,1001.6,32.4,37.2
23.8,39.3,0.0,57.0,6.0,28.0,13.0,1004.7,1001.0,32.3,38.8
22.2,40.1,0.0,67.0,15.0,24.0,13.0,1004.6,1001.3,32.6,39.3
25.2,40.8,0.0,50.0,13.0,31.0,15.0,1004.2,1001.0,33.9,39.1
26.1,41.3,0.0,70.0,15.0,30.0,11.0,1003.8,999.0,34.6,40.7
22.5,39.3,0.0,48.0,15.0,19.0,11.0,1004.5,1000.6,33.0,38.9
22.9,39.9,0.0,50.0,11.0,24.0,10.0,1004.9,1002.4,32.9,38.7
23.9,36.6,0.0,48.0,26.0,30.0,17.0,1007.9,1004.1,29.0,36.3
24.3,33.6,0.0,52.0,28.0,35.0,15.0,1010.3,1007.5,26.1,32.7
18.7,30.4,0.0,46.0,28.0,30.0,8.0,1013.3,1009.6,22.4,29.5
13.8,30.5,0.0,43.0,22.0,24.0,5.0,1013.1,1009.4,22.1,30.4
11.8,31.1,0.0,44.0,19.0,26.0,4.0,1013.9,1010.5,23.2,30.2
11.0,32.1,0.0,43.0,11.0,24.0,5.0,1013.0,1009.7,24.1,31.5
12.3,32.1,0.0,43.0,20.0,24.0,16.0,1012.2,1008.0,26.2,31.8
16.1,33.3,0.0,54.0,13.0,28.0,12.0,1011.1,1006.0,26.6,32.2
