MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
13.3,34.2,0.0,61.0,11.0,14.005403579871665,51.38185511171293,1005.6,1015.635119887165,21.0,22.522698145025295
14.7,26.1,0.0,46.0,7.0,24.0,54.0,1012.9,1013.5,20.7,22.2
13.6,22.3,0.0,30.0,6.0,15.0,51.0,1021.9,1019.2,17.9,21.7
17.7,31.2,0.0,39.0,9.0,15.0,43.0,1018.7,1013.6,22.0,30.6
15.5,38.8,0.0,50.0,7.0,17.0,19.0,1013.2,1007.6,22.7,37.6
14.0,39.3,0.0,35.0,6.0,15.0,13.0,1011.9,1006.9,24.2,38.0
15.3,40.3,0.0,63.0,6.0,30.0,19.0,1010.1,1004.6,23.3,39.8
18.9,22.3,0.0,31.0,11.0,19.0,70.0,1012.7,1013.6,20.5,20.1
14.8,22.4,0.4,33.0,15.0,19.0,46.0,1020.6,1018.8,17.6,21.1
11.9,26.0,0.2,37.0,4.0,13.0,43.0,1017.2,1013.2,18.0,24.2
12.6,30.2,0.0,41.0,7.0,19.0,40.0,1014.3,1010.1,21.6,29.0
15.3,29.4,4.0,37.0,4.0,22.0,50.0,1016.0,1015.8,21.2,27.7
18.4,32.7,0.0,39.0,7.0,17.0,40.0,1019.7,1015.3,21.5,30.5
15.9,39.9,0.0,50.0,6.0,13.0,21.0,1014.7,1009.6,23.9,39.2
18.0,42.9,0.0,50.0,7.0,17.0,16.0,1009.3,1005.5,29.1,40.7
14.6,34.5,0.4,50.0,7.0,15.0,22.0,1013.0,1007.5,21.4,33.9
15.5,23.7,0.0,33.0,15.0,15.0,38.0,1020.9,1020.1,17.6,21.8
10.3,28.7,0.0,37.0,0.0,9.0,28.0,1022.1,1018.8,19.9,27.6
11.3,33.5,0.0,35.0,9.0,19.0,18.0,1019.4,1013.9,19.9,30.3
14.6,39.2,0.0,43.0,4.0,20.0,20.0,1014.0,1008.9,23.4,37.8
20.5,38.4,0.4,41.0,11.0,11.0,31.0,1012.0,1007.1,27.0,35.0
19.6,33.7,19.4,56.0,17.0,28.0,41.0,1008.7,1004.8,25.8,32.4
20.3,36.1,0.2,43.0,6.0,24.0,44.0,1009.4,1006.5,28.2,33.3
20.8,40.7,0.0,72.0,6.0,31.0,15.0,1005.2,1003.0,29.3,39.6
18.7,28.4,0.0,33.0,7.0,15.0,39.0,1020.0,1017.8,20.9,27.7
19.7,31.0,0.0,35.0,7.0,19.0,55.0,1019.7,1018.5,22.0,29.1
19.3,28.0,3.6,30.0,7.0,9.0,71.0,1021.5,1019.6,20.0,26.5
16.3,35.7,0.0,35.0,6.0,15.0,34.0,1018.7,1014.6,21.6,34.1
16.1,35.4,0.0,41.0,2.0,15.0,29.0,1018.9,1015.2,23.6,33.6
17.4,34.6,0.0,37.0,7.0,11.0,36.0,1018.9,1014.3,24.3,33.2
15.9,36.6,0.0,37.0,6.0,13.0,32.0,1017.8,1012.7,24.0,36.4
18.3,31.3,0.0,39.0,15.0,22.0,49.0,1016.1,1015.8,24.9,29.6
19.5,35.1,0.0,41.0,2.0,13.0,34.0,1016.7,1010.6,24.2,34.2
19.5,33.4,0.0,41.0,7.0,26.0,42.0,1010.9,1009.6,24.1,29.3
20.6,32.6,0.0,35.0,2.0,17.0,46.0,1011.9,1008.3,24.2,32.0
18.9,39.7,0.0,35.0,0.0,19.0,23.0,1009.5,1004.5,25.2,38.6
20.4,40.1,0.0,46.0,9.0,26.0,36.0,1011.2,1006.8,26.6,37.1
19.2,42.0,0.8,46.0,0.0,30.0,14.0,1013.6,1009.0,26.0,41.5
17.0,40.0,0.0,43.0,6.0,22.0,28.0,1011.1,1006.2,25.3,38.6
20.6,23.3,0.0,30.0,17.0,13.0,78.0,1012.4,1011.8,21.1,20.6
16.6,19.4,2.0,46.0,2.0,9.0,93.0,1011.9,1010.5,17.7,19.3
15.5,22.1,4.6,39.0,13.0,11.0,70.0,1011.8,1012.1,16.7,19.5
14.3,20.3,4.2,37.0,20.0,17.0,69.0,1018.2,1019.2,17.0,19.3
14.3,21.1,1.0,44.0,11.0,26.0,51.0,1025.7,1024.7,16.0,20.4
