MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
5.8,17.6,3.2,52.0,26.0,30.0,37.0,1008.2,1007.5,10.4,15.7
4.3,19.5,0.4,44.0,20.0,24.0,47.0,1009.3,1007.3,12.5,17.6
9.5,18.8,0.6,43.0,22.0,20.0,42.0,1009.5,1011.5,11.2,16.5
6.7,21.8,0.2,39.0,9.0,22.0,33.0,1016.2,1012.6,14.4,20.6
13.3,25.6,1.2,61.0,30.0,39.0,40.0,1006.6,1005.5,18.3,24.3
9.6,23.0,0.0,61.0,15.0,39.0,42.0,1009.6,1005.7,13.8,20.8
4.6,16.4,0.0,39.0,20.0,24.0,42.0,1012.3,1012.1,9.6,15.6
2.9,23.1,0.2,43.0,17.0,7.0,30.0,1014.0,1010.5,9.7,20.6
5.3,17.6,0.0,35.0,9.0,19.0,87.0,1007.5,1006.4,13.2,12.4
8.3,18.3,5.0,50.0,28.0,22.0,43.0,1011.8,1010.9,10.6,18.1
6.9,23.8,0.0,54.0,28.0,26.0,28.0,1013.8,1011.0,12.2,22.9
12.1,19.6,0.0,41.0,24.0,11.0,97.0,1006.2,1002.2,18.8,15.3
13.1,13.9,53.6,63.0,26.0,39.0,99.0,990.5,996.5,13.5,13.0
10.0,16.2,11.0,46.0,19.0,26.0,71.0,1005.8,1007.5,11.0,15.0
8.3,18.7,1.4,37.0,17.0,20.0,50.0,1012.3,1011.2,9.2,16.9
7.9,19.1,0.0,35.0,15.0,24.0,57.0,1012.5,1011.6,13.4,17.9
10.3,20.1,1.8,31.0,7.0,7.0,64.0,1012.3,1008.8,12.3,18.7
11.1,19.2,0.6,48.0,15.0,22.0,49.0,1005.6,1005.1,13.6,18.8
6.3,16.9,1.4,52.0,26.0,26.0,41.0,1014.1,1014.6,8.9,16.3
5.5,21.4,0.0,37.0,22.0,20.0,44.0,1020.4,1018.0,11.6,20.6
6.8,26.7,0.0,46.0,20.0,28.0,32.0,1017.6,1013.8,19.2,25.2
18.8,32.2,0.0,72.0,44.0,41.0,21.0,1007.6,1004.2,22.3,30.2
10.5,20.1,0.0,44.0,26.0,24.0,52.0,1013.2,1012.7,11.2,18.0
7.2,24.8,0.2,33.0,15.0,17.0,27.0,1013.2,1011.3,12.8,24.0
8.8,25.5,0.0,37.0,13.0,9.0,32.0,1014.2,1012.3,15.9,22.7
10.6,28.9,0.0,46.0,22.0,11.0,32.0,1010.3,1008.1,21.4,26.9
11.3,28.0,0.0,43.0,13.0,19.0,43.0,1006.1,1003.2,22.6,26.5
7.6,25.6,0.0,44.0,17.0,26.0,44.0,1003.9,1002.7,17.9,22.8
9.3,19.8,0.0,46.0,17.0,24.0,40.0,1008.2,1008.0,11.8,17.4
