MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
9.1,21.7,0.0,44.0,20.0,20.0,23.0,1009.1,1007.5,14.0,19.4
6.2,23.0,0.0,48.0,20.0,26.0,29.0,1010.4,1007.8,15.2,21.2
10.8,23.7,0.0,44.0,17.0,24.0,23.0,1009.4,1010.7,17.1,21.8
8.2,24.6,0.0,41.0,17.0,13.0,22.0,1017.0,1012.5,16.1,23.6
15.1,30.3,0.2,54.0,19.0,31.0,29.0,1008.0,1005.0,21.3,29.2
9.9,27.2,0.2,54.0,9.0,30.0,29.0,1010.0,1005.6,18.0,26.2
8.0,22.0,0.2,43.0,22.0,15.0,26.0,1012.4,1010.7,13.1,20.4
7.8,25.5,0.0,35.0,11.0,17.0,17.0,1014.2,1010.6,13.9,23.5
9.7,22.0,0.0,39.0,7.0,17.0,42.0,1007.0,1006.2,16.5,18.9
9.8,23.2,3.2,39.0,24.0,17.0,30.0,1010.4,1009.3,15.3,21.6
8.7,28.7,0.2,43.0,22.0,13.0,13.0,1012.8,1009.7,16.8,26.3
16.5,19.9,0.0,44.0,13.0,20.0,94.0,1007.1,1001.9,19.4,16.6
14.1,20.2,30.4,70.0,13.0,33.0,68.0,989.5,994.6,15.6,18.6
10.9,21.5,4.0,50.0,19.0,28.0,41.0,1004.7,1005.4,14.4,20.8
9.9,21.2,0.0,41.0,13.0,19.0,37.0,1012.7,1011.2,11.8,18.8
7.9,23.9,0.0,39.0,13.0,19.0,41.0,1012.5,1011.2,18.3,22.0
13.5,22.0,1.2,24.0,4.0,11.0,58.0,1012.5,1008.4,14.9,20.9
12.7,21.8,10.0,44.0,7.0,20.0,44.0,1006.1,1004.1,14.7,20.3
8.4,20.3,5.8,43.0,20.0,19.0,32.0,1013.5,1013.6,12.3,17.8
6.3,24.4,0.0,35.0,22.0,11.0,24.0,1019.9,1017.3,14.8,23.0
11.2,28.6,0.0,41.0,19.0,24.0,24.0,1018.1,1013.8,19.0,26.7
15.3,35.0,0.0,38.85,20.0,30.0,15.0,1009.6,1004.3,23.9,34.4
15.0,24.3,0.0,48.0,22.0,22.0,34.0,1012.0,1011.2,16.6,23.1
8.0,28.7,0.0,37.0,11.0,19.0,10.0,1012.2,1010.2,16.6,27.7
12.6,30.4,0.0,44.0,7.0,24.0,23.0,1013.4,1010.9,20.3,29.0
14.5,33.4,0.0,41.0,6.0,22.0,23.0,1010.5,1007.3,21.7,30.7
17.5,32.1,0.2,46.0,7.0,22.0,32.0,1006.8,1002.3,21.1,29.7
10.9,29.5,0.0,46.0,15.0,30.0,25.0,1004.8,1002.7,19.8,27.8
11.9,24.1,0.0,46.0,22.0,24.0,25.0,1008.3,1007.0,15.8,23.2
13.0,25.2,0.2,56.0,24.0,26.0,25.0,1004.0,1002.4,16.0,23.6
8.7,24.5,0.8,41.0,17.0,17.0,25.0,1006.7,1004.5,15.3,22.6
11.1,24.6,0.0,56.0,15.0,31.0,27.0,1005.4,1004.7,16.6,23.1
7.1,21.2,0.0,43.0,26.0,17.0,23.0,1017.3,1016.9,12.2,19.6
5.4,26.8,0.0,35.0,13.0,13.0,13.0,1018.8,1015.4,13.8,25.0
10.1,31.9,0.0,43.0,9.0,22.0,6.0,1015.0,1012.0,20.9,30.2
10.9,34.2,0.0,54.0,6.0,24.0,3.0,1012.0,1009.8,23.6,33.3
