MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
10.3,25.2,0.0,26.0,6.0,15.0,37.0,1019.6,1014.8,14.9,24.6
8.1,22.9,0.0,30.0,15.0,19.0,30.0,1018.8,1015.0,16.2,22.4
9.7,22.4,0.0,22.0,7.0,15.0,52.0,1021.4,1019.1,15.4,21.3
11.8,20.0,0.8,24.0,9.0,7.0,53.0,1023.5,1021.7,14.1,19.6
12.3,16.7,0.0,37.0,11.0,7.0,89.0,1027.3,1026.2,16.1,15.0
12.6,21.5,16.2,31.0,7.0,17.0,52.0,1028.5,1025.7,15.9,20.0
12.9,21.9,0.0,17.0,9.0,9.0,63.0,1026.9,1023.1,14.7,20.1
14.5,17.4,24.2,31.0,7.0,2.0,73.0,1024.0,1019.3,14.7,17.0
6.0,16.7,3.8,43.0,13.0,19.0,34.0,1022.6,1020.2,12.4,16.2
10.3,19.7,0.2,39.0,17.0,17.0,34.0,1021.8,1017.0,13.2,18.8
6.6,19.6,0.0,28.0,11.0,9.0,38.0,1021.7,1019.4,14.2,18.7
7.9,21.1,0.0,30.0,7.0,15.0,48.0,1025.9,1023.4,12.8,19.3
12.0,22.8,0.0,20.0,6.0,9.0,69.0,1026.6,1023.3,15.3,21.2
13.6,25.7,0.0,19.0,4.0,9.0,65.0,1025.3,1021.0,18.3,23.3
16.7,24.8,0.0,31.0,9.0,9.0,65.0,1022.2,1018.7,19.1,23.4
16.5,18.9,5.4,19.0,2.0,4.0,71.0,1020.1,1017.8,17.1,18.7
12.2,21.5,2.8,17.0,7.0,9.0,57.0,1020.6,1016.1,15.6,21.2
9.4,25.4,0.0,37.0,6.0,15.0,34.0,1017.3,1011.9,15.2,25.0
6.8,22.9,0.0,33.0,2.0,15.0,25.0,1018.3,1015.7,15.4,22.4
7.5,22.9,0.0,30.0,6.0,15.0,45.0,1020.6,1015.4,13.6,21.3
12.5,22.8,0.0,35.0,6.0,15.0,54.0,1014.9,1013.8,17.4,18.7
12.1,20.4,0.0,33.0,7.0,15.0,52.0,1022.1,1021.3,16.6,18.7
12.5,15.7,0.2,26.0,6.0,7.0,77.0,1026.7,1023.1,12.7,15.2
12.4,14.3,12.6,28.0,9.0,10.998744113029828,53.91220893643801,1021.0,1015.0992778649922,12.9,24.753461296412837
12.5,18.9,22.4,28.0,9.0,11.0,67.0,1014.8,1014.1,13.8,17.9
8.3,19.9,0.4,24.0,9.0,11.0,42.0,1018.0,1014.1,14.7,19.4
8.0,18.2,0.0,30.0,6.0,4.0,41.0,1016.7,1011.7,12.7,17.1
