MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
25.2,32.3,0.4,31.0,7.0,13.0,66.0,1011.3,1008.1,31.2,30.7
24.2,32.3,8.4,35.0,11.0,13.0,62.0,1011.9,1008.0,29.0,31.1
23.9,32.8,0.6,31.0,17.0,20.0,42.0,1012.2,1009.9,29.1,31.6
22.2,33.6,0.0,39.0,19.0,24.0,31.0,1013.3,1010.9,29.6,32.5
23.2,33.5,0.0,43.0,22.0,26.0,56.0,1013.8,1011.0,29.7,32.2
24.7,33.4,0.0,33.0,15.0,20.0,67.0,1012.7,1009.2,30.8,31.5
23.9,32.0,0.0,28.0,7.0,17.0,73.0,1010.9,1007.1,29.3,30.6
26.6,33.2,0.0,30.0,13.0,15.0,69.0,1009.8,1005.8,31.3,31.7
26.1,32.8,4.6,28.0,9.0,13.0,77.0,1009.5,1006.9,30.8,30.2
26.0,32.6,0.2,28.0,15.0,11.0,72.0,1009.9,1007.5,28.9,29.5
25.3,32.9,0.4,33.0,15.0,22.0,57.0,1010.6,1006.6,30.4,31.4
22.9,33.3,0.0,31.0,19.0,15.0,57.0,1010.5,1007.6,30.4,31.5
24.7,33.0,0.0,30.0,9.0,15.0,68.0,1009.5,1006.3,30.9,31.1
26.5,34.1,0.0,37.0,15.0,20.0,68.0,1007.2,1003.2,32.5,32.3
23.8,32.9,31.8,35.0,4.0,17.0,74.0,1008.8,1005.0,26.3,30.5
25.5,33.9,0.2,41.0,11.0,19.0,59.0,1009.8,1007.4,30.8,31.5
25.1,32.6,0.0,37.0,17.0,11.0,77.0,1011.0,1008.9,30.6,28.0
23.8,31.7,3.6,28.0,7.0,13.0,70.0,1010.7,1007.7,28.9,30.2
25.3,32.4,0.0,24.0,9.0,9.0,69.0,1008.6,1006.8,28.7,29.9
25.2,32.1,0.0,26.0,9.0,15.0,72.0,1008.4,1006.6,30.2,31.1
23.0,33.1,0.0,35.0,13.0,24.0,63.0,1009.8,1007.3,29.5,32.4
25.3,33.4,0.2,35.0,15.0,17.0,56.0,1011.1,1009.3,30.6,31.8
24.1,32.3,10.8,38.031436135009926,17.0,28.0,60.0,1011.7,1008.8,26.9,30.0
