MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
17.9,35.2,0.0,48.0,6.0,20.0,13.0,1006.3,1004.4,26.6,33.4
18.4,28.9,0.0,37.0,19.0,19.0,8.0,1012.9,1012.1,20.3,27.0
15.5,34.1,0.0,30.0,14.655748663101605,7.0,7.0,1017.9719368915743,1011.6,18.119160279906698,32.7
19.4,37.6,0.0,46.0,30.0,15.0,22.0,1012.3,1009.2,28.7,34.9
21.9,38.4,0.0,31.0,6.0,6.0,22.0,1012.7,1009.1,29.1,35.6
24.2,41.0,0.0,35.0,17.0,13.0,15.0,1010.7,1007.4,33.6,37.6
27.1,36.1,0.0,43.0,7.0,20.0,19.0,1007.7,1007.4,30.7,34.3
23.3,34.0,0.0,41.0,17.0,19.0,15.0,1011.3,1009.9,25.0,31.5
16.1,34.2,0.0,37.0,15.0,6.0,9.0,1013.3,1009.2,20.7,32.8
19.0,35.5,0.0,48.0,30.0,9.0,28.0,1008.3,1004.0,23.4,33.3
19.7,35.5,0.0,41.0,15.0,17.0,14.0,1007.9,1005.8,24.0,33.6
20.9,37.8,0.0,30.0,11.0,7.0,9.0,1012.6,1010.1,29.8,36.4
23.9,39.1,0.0,39.0,24.0,9.0,15.0,1013.6,1010.4,29.1,37.0
24.9,41.2,0.0,43.0,17.0,11.0,15.0,1012.9,1010.1,31.5,38.1
25.2,40.5,0.0,44.0,13.0,22.0,15.0,1012.4,1009.0,31.4,37.8
21.6,34.2,0.0,44.0,17.0,19.0,8.0,1014.1,1012.3,25.0,32.2
18.4,31.8,0.0,33.0,17.0,15.0,5.0,1016.3,1013.8,19.9,30.3
17.9,34.2,0.0,61.0,22.0,17.0,19.0,1016.4,1013.5,21.6,32.2
21.4,37.5,0.0,43.0,26.0,9.0,29.0,1013.1,1009.6,26.2,34.1
