MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
20.0,33.1,0.0,41.0,13.0,17.0,32.0,1016.0,1012.1,25.4,32.3
19.4,32.4,0.0,50.0,15.0,28.0,17.0,1016.8,1012.4,24.3,31.9
18.2,31.8,0.0,46.0,22.0,19.0,24.0,1017.2,1013.0,24.3,31.2
17.3,30.7,0.0,44.0,22.0,13.0,16.0,1017.3,1013.6,21.3,29.8
15.5,30.8,0.0,46.0,20.0,19.0,16.0,1016.3,1012.6,22.2,29.6
16.2,31.9,0.0,41.0,11.0,13.0,18.0,1015.8,1012.2,22.8,30.5
17.0,32.7,0.0,48.0,11.0,22.0,18.0,1016.7,1013.1,23.3,31.5
19.6,30.8,0.0,54.0,20.0,33.0,12.0,1018.2,1014.6,22.3,30.2
17.3,29.2,0.0,50.0,31.0,24.0,15.0,1019.1,1015.2,20.3,28.6
17.1,30.3,0.0,48.0,17.0,13.0,14.0,1018.3,1013.2,19.5,28.8
17.7,30.6,0.0,41.0,20.0,11.0,11.0,1015.7,1011.0,22.4,30.0
14.7,30.9,0.0,35.0,13.0,15.0,40.0,1014.5,1010.6,22.2,29.0
18.7,31.3,0.0,28.0,13.0,22.0,42.0,1015.8,1012.1,22.7,29.9
18.8,31.0,0.0,33.0,7.0,20.0,56.0,1015.8,1012.1,25.3,28.7
21.4,33.1,0.0,41.0,9.0,20.0,45.0,1014.9,1010.5,26.5,30.2
18.7,33.5,0.0,41.0,15.0,22.0,32.0,1014.0,1009.7,25.1,32.3
17.2,33.4,0.0,43.0,15.0,20.0,15.0,1013.7,1009.4,24.8,32.7
17.6,32.3,0.0,41.0,13.0,24.0,41.0,1013.4,1010.1,25.5,31.3
21.4,29.9,0.0,26.0,9.0,15.0,57.0,1013.3,1009.8,26.9,29.9
21.9,31.4,0.0,35.0,7.0,22.0,72.0,1013.6,1010.0,25.2,28.3
21.4,32.7,0.0,41.0,22.0,22.0,36.0,1012.2,1009.0,24.0,30.9
22.5,32.5,0.0,52.0,26.0,19.0,28.0,1012.8,1009.1,24.8,31.8
21.4,30.9,0.0,52.0,31.0,26.0,20.0,1014.4,1010.7,22.9,30.3
17.3,29.1,0.0,44.0,28.0,15.0,19.0,1014.5,1010.3,20.5,28.3
15.9,29.3,0.0,43.0,24.0,17.0,13.0,1015.0,1010.8,19.5,28.4
14.6,30.2,0.0,41.0,17.0,15.0,8.0,1014.4,1010.7,19.8,29.7
12.5,31.3,0.0,28.0,4.0,19.0,37.0,1014.9,1011.2,21.7,27.4
15.5,30.0,0.0,33.0,2.0,20.0,56.0,1014.6,1011.3,23.9,27.9
17.4,31.6,0.0,33.0,11.0,19.0,33.0,1015.0,1010.6,24.9,29.5
18.9,28.7,0.0,35.0,7.0,22.0,54.0,1015.8,1011.7,20.6,27.6
17.4,30.3,0.0,33.0,17.0,22.0,54.0,1016.7,1012.6,22.9,27.1
17.3,32.0,0.0,33.0,13.0,28.0,50.0,1015.5,1011.8,23.4,29.5
18.1,32.2,0.0,44.0,15.0,24.0,23.0,1015.5,1011.2,23.7,32.0
18.8,34.1,0.0,54.0,17.0,33.0,11.0,1015.6,1010.9,23.1,33.5
17.5,34.7,0.0,52.0,11.0,28.0,45.0,1016.2,1011.8,23.3,29.3
18.0,33.8,0.0,44.0,0.0,24.0,62.0,1015.2,1011.3,25.2,28.3
17.6,32.6,0.0,46.0,15.0,24.0,21.0,1015.7,1011.9,23.1,31.8
18.4,32.3,0.0,50.0,24.0,24.0,18.0,1016.3,1012.0,22.7,31.3
15.9,32.1,0.0,52.0,19.0,19.0,13.0,1015.5,1012.0,21.4,31.9
16.6,31.7,0.0,41.0,15.0,24.0,18.0,1016.0,1011.7,21.2,30.7
18.1,32.4,0.0,37.0,15.0,17.0,25.0,1016.1,1011.9,22.6,30.9
19.2,32.2,0.0,46.0,26.0,20.0,15.0,1015.2,1011.6,22.4,31.0
