MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
17.0,30.4,0.0,31.0,17.0,22.0,61.0,1013.5,1010.7,26.2,28.5
19.0,29.7,0.0,37.0,19.0,31.0,70.0,1013.1,1010.2,27.8,26.2
21.3,28.6,0.0,52.0,24.0,31.0,74.0,1013.4,1009.8,27.8,24.6
20.9,28.7,0.8,52.0,15.0,39.0,75.0,1014.7,1014.5,27.5,23.6
19.7,29.5,0.2,43.0,11.0,11.0,83.0,1017.5,1015.2,26.0,23.8
22.8,34.5,3.6,48.0,22.0,17.0,50.0,1011.2,1006.7,29.4,31.9
22.1,29.1,15.4,54.0,17.0,39.0,75.0,1007.2,1006.2,26.0,23.6
20.2,27.7,0.2,41.0,26.0,26.0,62.0,1013.4,1011.0,25.1,25.5
19.9,29.0,1.2,42.4763698630137,19.0,26.0,61.0,1013.5,1011.4,25.6,28.4
17.363286137635825,30.3,3.7693959731543623,41.0,19.0,31.0,70.0,1011.3,1007.5,27.3,26.5
23.4,31.0,0.0,50.0,20.0,30.0,80.0,1011.1,1006.7,26.7,25.5
21.5,27.5,13.2,39.0,28.0,22.0,100.0,1014.4,1010.9,21.6,22.3
21.5,32.0,6.2,41.0,22.0,30.0,77.0,1006.4,1000.7,27.5,26.5
23.1,32.9,0.0,61.0,35.0,33.0,27.0,1001.2,999.4,29.9,31.3
17.7,30.3,0.0,39.0,22.0,31.0,48.0,1006.2,1007.0,26.8,25.8
17.4,29.6,0.0,33.0,11.0,26.0,53.0,1014.8,1012.3,25.5,28.5
18.5,31.0,0.0,37.0,24.0,31.0,58.0,1014.3,1010.9,27.1,28.9
21.2,30.1,0.0,56.0,20.0,33.0,69.0,1010.6,1005.0,27.8,25.7
20.8,30.7,11.0,56.0,28.0,19.0,71.0,1006.2,1002.4,28.3,26.0
20.6,26.1,0.0,54.0,37.0,37.0,58.0,1013.8,1013.6,25.4,24.6
19.3,26.8,0.0,54.0,33.0,39.0,58.0,1017.9,1016.3,24.0,24.0
18.7,27.9,0.0,39.0,24.0,30.0,54.0,1018.7,1015.8,24.1,25.8
17.4,29.8,0.0,43.0,15.0,33.0,49.0,1015.2,1011.6,26.2,28.0
20.7,30.3,0.0,46.0,19.0,37.0,58.0,1012.1,1008.1,27.9,28.4
20.6,28.7,14.2,31.0,19.0,11.0,74.0,1013.1,1011.7,24.5,26.1
21.5,28.5,6.8,26.0,17.0,17.0,73.0,1014.9,1012.8,24.0,26.6
23.1,29.9,0.0,30.0,17.0,26.0,63.0,1014.0,1010.4,27.7,27.5
21.3,28.9,20.0,50.0,17.0,28.0,66.0,1009.2,1005.9,23.3,27.4
21.6,30.0,22.8,74.0,17.0,28.0,73.0,1006.4,1002.7,26.2,27.0
19.1,31.5,8.2,35.0,24.0,26.0,74.0,1003.8,999.8,28.7,27.0
20.1,30.3,0.0,24.0,11.0,19.0,72.0,1005.0,1003.4,28.4,28.7
21.6,31.0,0.0,50.0,13.0,22.0,82.0,1006.9,1004.6,28.8,26.9
22.4,28.0,5.0,46.0,13.0,31.0,81.0,1010.0,1010.0,24.5,24.8
21.5,25.9,4.0,70.0,46.0,50.0,72.0,1015.2,1015.0,24.0,23.9
21.9,27.5,2.4,56.0,41.0,33.0,49.0,1017.3,1014.9,25.9,26.3
21.7,28.8,0.0,41.0,28.0,30.0,64.0,1014.4,1012.4,27.1,26.9
22.2,29.7,0.0,30.0,22.0,24.0,59.0,1013.7,1011.5,28.5,27.5
23.8,30.7,0.0,28.0,19.0,17.0,57.0,1013.1,1010.5,28.6,29.0
22.5,27.6,1.4,22.0,11.0,15.0,75.0,1010.3,1008.4,24.0,27.5
22.1,29.5,0.2,74.0,43.0,54.0,55.0,1011.8,1010.7,25.3,27.7
20.5,28.4,0.0,56.0,46.0,39.0,53.0,1012.5,1010.8,25.9,26.8
20.1,28.9,0.8,33.0,24.0,24.0,60.0,1012.5,1010.9,25.6,26.9
20.2,29.3,0.0,39.0,17.0,22.0,56.0,1014.6,1013.5,27.1,27.6
23.1,29.3,0.0,52.0,33.0,35.0,61.0,1017.5,1015.9,27.3,26.4
21.6,28.5,0.0,41.0,26.0,24.0,51.0,1017.4,1015.9,25.1,27.5
18.7,31.0,0.0,39.0,9.0,33.0,54.0,1016.1,1013.0,28.1,29.3
21.6,32.1,0.0,50.0,24.0,35.0,62.0,1013.1,1009.5,28.3,29.1
24.3,28.8,0.0,70.0,41.0,44.0,74.0,1012.9,1015.0,26.6,23.3
19.5,27.7,0.2,52.0,31.0,31.0,52.0,1019.6,1018.4,25.4,25.3
18.4,29.2,0.0,31.0,24.0,15.0,47.0,1019.4,1016.9,26.2,28.4
19.9,30.9,0.0,30.0,7.0,20.0,47.0,1017.6,1015.7,27.4,29.7
22.3,31.6,0.0,41.0,15.0,33.0,64.0,1016.3,1013.6,28.9,29.7
24.1,32.6,0.0,35.0,17.0,28.0,61.0,1014.5,1010.9,28.7,31.7
23.9,30.9,48.2,39.0,15.0,28.0,74.0,1012.7,1009.0,24.8,28.9
24.1,31.3,10.8,37.0,13.0,28.0,80.0,1011.1,1007.5,28.2,28.3
24.8,30.5,0.0,37.0,13.0,19.0,96.0,1013.1,1013.5,28.4,25.3
