MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
4.6,12.2,3.0,81.0,17.0,24.0,42.0,988.3,992.3,6.5,12.1
5.1,10.8,16.2,83.0,24.0,26.0,60.0,991.7,1002.5,6.0,8.5
5.5,12.4,3.0,100.0,37.0,39.0,53.0,1008.7,1015.1,10.1,9.3
0.9,10.4,1.0,28.0,17.0,9.0,54.0,1028.9,1028.1,3.2,9.6
0.5,10.0,0.0,28.0,13.0,15.0,53.0,1028.2,1025.4,2.9,9.7
1.3,10.0,0.0,41.0,19.0,7.0,70.0,1021.6,1017.8,4.2,9.1
4.1,15.8,0.0,39.0,13.0,4.0,61.0,1017.2,1015.2,7.7,13.8
7.3,14.2,8.4,24.0,7.0,13.0,72.0,1017.6,1017.2,8.3,14.0
5.4,11.4,0.4,35.0,11.0,13.0,74.0,1017.8,1012.4,7.5,10.7
5.2,12.9,0.6,44.0,19.0,20.0,49.0,998.7,996.5,9.0,10.3
3.7,10.0,2.6,52.0,20.0,28.0,52.0,1002.3,1007.4,7.1,9.5
6.4,10.9,0.2,43.0,6.0,9.0,63.0,1016.5,1014.8,8.3,10.8
6.5,13.0,0.0,30.0,17.0,11.0,56.0,1016.2,1016.0,7.6,12.2
5.1,13.1,0.0,28.0,13.0,9.0,64.0,1020.4,1019.6,5.8,11.6
5.7,12.4,0.8,26.0,11.0,11.0,69.0,1023.3,1022.4,7.1,11.6
6.1,10.1,0.8,17.0,11.0,0.0,87.0,1023.8,1021.5,7.3,10.1
4.9,12.6,0.2,20.0,0.0,7.0,66.0,1015.9,1010.0,6.2,11.4
3.6,13.9,0.0,46.0,4.0,22.0,53.0,1001.7,999.7,6.0,13.2
3.9,12.1,0.0,41.0,11.0,17.0,50.0,1005.0,1005.2,7.4,10.8
1.3,8.2,0.0,28.0,9.0,7.0,70.0,1011.4,1008.5,3.5,7.2
3.3,8.0,3.2,65.0,30.0,28.0,74.0,1000.6,1004.5,5.1,4.6
3.3,10.9,5.2,52.0,11.0,20.0,54.0,1020.3,1022.2,7.9,10.6
4.6,12.5,0.0,30.0,13.0,15.0,58.0,1031.2,1030.3,7.4,11.2
2.7,12.8,0.0,30.0,17.0,11.0,45.0,1032.2,1028.9,5.3,12.1
2.7,13.0,0.0,30.0,19.0,13.0,43.0,1024.9,1021.0,4.2,12.6
1.5,11.4,0.0,30.0,19.0,7.0,60.0,1017.3,1014.5,3.6,9.9
3.6,10.8,0.6,37.0,9.0,24.0,62.0,1017.6,1017.9,4.8,9.6
4.8,10.0,1.2,39.0,19.0,13.0,88.0,1024.2,1024.1,6.9,7.7
5.4,11.5,1.0,28.0,15.0,15.0,47.0,1024.0,1019.4,6.5,10.7
0.3,11.1,0.0,28.0,15.0,15.0,48.0,1017.6,1013.5,1.2,10.6
