MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
13.8,27.4,0.0,56.0,17.0,31.0,24.0,1009.8,1008.5,19.2,26.0
8.9,24.8,0.0,39.0,24.0,15.0,21.0,1019.8,1017.7,14.1,23.3
10.6,28.6,0.0,30.0,20.0,9.0,18.0,1019.2,1016.0,17.0,27.1
13.2,34.5,0.0,26.0,9.0,17.0,9.0,1014.2,1012.1,24.1,32.8
16.5,37.3,0.0,37.0,11.0,13.0,7.0,1013.7,1010.8,23.7,35.6
15.7,39.2,0.0,37.0,9.0,15.0,6.0,1011.8,1007.7,23.3,37.8
17.0,32.3,0.0,48.0,11.0,26.0,22.0,1010.0,1008.7,19.9,31.5
12.9,27.3,0.0,46.0,24.0,17.0,20.0,1018.3,1017.0,16.1,24.7
12.3,27.8,0.0,35.0,20.0,17.0,14.0,1019.1,1014.8,15.7,26.4
12.7,32.2,0.0,52.0,13.0,11.0,11.0,1010.9,1008.0,19.1,30.4
15.4,33.4,0.0,56.0,11.0,17.0,14.0,1010.0,1008.9,18.5,32.0
15.3,34.4,0.0,50.0,17.0,20.0,9.0,1016.6,1013.9,19.7,33.0
17.7,40.4,0.0,35.0,13.0,6.0,9.0,1012.7,1009.4,28.0,38.7
22.3,42.4,0.0,41.0,11.0,20.0,7.0,1009.1,1007.6,31.4,41.4
16.4,29.7,0.0,52.0,24.0,20.0,23.0,1016.8,1015.8,18.4,25.9
12.8,29.8,0.0,48.0,24.0,20.0,21.0,1021.3,1018.3,16.8,27.6
12.0,28.6,0.0,43.0,17.0,20.0,15.0,1022.8,1019.5,15.5,25.7
15.4,32.7,0.0,28.0,15.0,13.0,12.0,1019.0,1016.0,19.6,30.0
17.2,39.0,0.0,26.0,9.0,9.0,8.0,1012.5,1008.8,27.2,36.8
20.1,42.3,0.0,46.0,9.0,20.0,4.0,1007.1,1005.2,28.7,41.3
19.2,36.7,0.0,54.0,4.0,11.0,18.0,1010.7,1007.0,23.2,34.5
22.9,38.3,0.8,78.0,28.0,31.0,8.0,1002.8,1000.8,27.6,37.1
14.8,36.4,0.0,41.0,13.0,15.0,24.0,1008.3,1003.8,19.7,33.3
18.6,30.3,0.0,39.0,22.0,13.0,24.0,1011.5,1011.9,19.9,27.1
14.7,34.7,0.0,30.0,11.0,9.0,12.0,1017.3,1015.8,19.8,32.4
17.7,38.0,0.0,35.0,19.0,17.0,9.0,1018.6,1016.1,22.2,35.7
19.6,41.5,0.0,26.0,15.0,11.0,8.0,1014.9,1011.9,25.9,40.0
25.3,43.7,0.0,50.0,24.0,13.0,14.0,1011.0,1008.4,34.6,42.4
25.6,42.8,0.0,44.0,19.0,19.0,11.0,1011.9,1009.7,34.2,42.3
24.8,43.3,0.0,35.0,17.0,11.0,12.0,1011.5,1008.7,33.9,41.9
26.7,44.1,0.0,33.0,11.0,9.0,9.0,1011.8,1009.2,32.6,42.4
24.6,42.9,0.0,33.0,15.0,13.0,11.0,1012.3,1009.3,28.1,41.5
24.6,42.6,0.0,24.0,9.0,20.0,13.0,1009.8,1007.0,26.5,41.6
24.8,40.1,0.0,31.0,17.0,11.0,22.0,1009.5,1006.1,27.5,38.2
22.5,40.9,0.0,35.0,9.0,19.0,13.0,1007.0,1003.7,27.7,39.6
20.1,41.1,0.0,44.0,13.0,19.0,12.0,1006.4,1004.5,25.4,39.5
22.5,43.1,0.0,33.0,11.0,15.0,12.0,1008.4,1005.2,27.5,41.4
26.1,46.7,0.0,56.0,24.0,31.0,10.0,1004.4,1002.9,36.4,46.1
22.2,34.6,0.0,44.0,19.0,17.0,22.0,1011.0,1010.3,23.3,33.5
14.8,26.6,0.0,46.0,30.0,24.0,19.0,1016.7,1014.5,16.3,24.1
12.0,24.5,0.0,48.0,22.0,24.0,19.0,1018.7,1016.4,14.4,22.2
10.2,24.6,0.0,52.0,24.0,28.0,20.0,1020.1,1017.3,13.3,22.8
10.8,27.3,0.0,48.0,22.0,24.0,22.0,1019.9,1016.8,13.4,24.7
13.3,26.9,0.0,50.0,24.0,28.0,35.0,1020.6,1018.6,17.2,25.0
17.0,30.3,0.0,39.0,22.0,24.0,29.0,1020.4,1017.3,20.1,28.0
17.3,31.1,0.0,33.0,4.0,15.0,20.0,1015.3,1013.3,19.1,30.4
18.5,32.4,0.0,43.0,13.0,24.0,21.0,1015.7,1013.2,23.0,30.8
18.2,33.2,0.0,41.0,19.0,26.0,19.0,1013.8,1011.8,23.5,31.2
15.4,32.6,0.0,31.0,7.0,19.0,23.0,1011.6,1008.6,23.3,30.8
16.7,36.2,0.0,50.0,7.0,19.0,14.0,1008.7,1007.1,24.7,35.1
18.3,30.2,0.0,33.0,17.0,19.0,28.0,1014.8,1013.6,18.5,27.3
14.3,28.8,0.0,43.0,17.0,22.0,28.0,1018.4,1015.4,17.1,26.7
13.8,30.9,0.0,33.0,13.0,11.0,22.0,1016.5,1013.5,17.4,28.8
14.2,36.4,0.0,57.0,9.0,24.0,8.0,1012.5,1010.6,22.4,35.3
11.9,28.6,0.0,41.0,17.0,20.0,15.0,1018.9,1016.6,14.6,26.0
10.8,30.6,0.0,39.0,19.0,11.0,16.0,1019.0,1016.8,15.7,28.2
14.8,34.0,0.0,22.0,15.0,4.0,13.0,1017.0,1014.2,19.3,32.1
17.4,39.5,0.0,43.0,17.0,15.0,6.0,1012.4,1010.1,24.8,37.7
14.5,30.3,0.0,37.0,19.0,20.0,21.0,1013.8,1012.1,15.7,27.7
15.2,26.4,0.0,31.0,13.0,7.0,28.0,1015.1,1013.8,15.7,24.2
15.5,28.1,0.0,26.0,13.0,13.0,31.0,1013.3,1012.6,20.4,25.1
20.4,37.6,0.6,63.0,31.0,24.0,16.0,1005.7,1003.2,28.1,35.9
10.8,23.4,1.2,57.0,19.0,30.0,27.0,1019.4,1018.2,14.9,22.4
14.0,24.6,0.0,43.0,17.0,22.0,41.0,1021.2,1018.7,15.7,21.9
10.2,25.2,0.0,28.0,13.0,15.0,33.0,1019.0,1015.7,12.7,23.0
12.2,27.5,0.0,28.0,13.0,6.0,32.0,1016.7,1014.9,15.6,25.5
13.3,28.7,0.0,33.0,22.0,13.0,30.0,1018.4,1016.6,16.5,26.6
12.4,32.0,0.0,26.0,17.0,9.0,17.0,1018.7,1015.3,16.8,30.4
16.7,22.4,0.0,35.0,11.0,11.0,87.0,1016.9,1016.9,19.6,20.6
17.1,29.4,7.0,41.0,17.0,20.0,45.0,1017.0,1014.1,19.6,28.9
18.7,26.2,1.2,31.0,7.0,7.0,73.0,1016.4,1014.8,18.7,23.1
16.9,30.3,14.0,24.0,7.0,11.0,41.0,1015.9,1013.4,20.0,29.3
19.4,27.6,0.0,50.0,9.0,30.0,42.0,1010.3,1010.7,22.7,26.7
9.8,21.4,0.0,41.0,13.0,19.0,37.0,1017.8,1015.4,13.5,20.2
12.6,21.7,0.0,33.0,13.0,17.0,50.0,1017.2,1016.0,14.9,20.1
9.6,23.1,0.0,30.0,13.0,13.0,42.0,1019.5,1017.6,12.4,21.6
8.1,28.3,0.0,26.0,7.0,15.0,20.0,1017.1,1014.1,14.0,26.6
13.9,34.3,0.0,31.0,11.0,15.0,13.0,1014.5,1012.0,19.3,32.9
14.6,33.9,0.0,28.0,15.0,13.0,16.0,1015.4,1012.5,17.4,32.8
17.4,37.7,0.0,50.0,11.0,24.0,8.0,1012.3,1009.8,22.5,36.4
17.5,28.6,0.0,41.0,19.0,13.0,33.0,1015.1,1012.8,17.6,26.9
11.6,27.0,0.0,26.0,15.0,11.0,29.0,1017.2,1014.7,13.7,25.2
11.6,28.6,0.0,35.0,2.0,0.0,28.0,1016.6,1014.8,16.6,28.1
16.6,33.0,0.0,39.0,9.0,20.0,23.0,1015.8,1014.4,22.2,32.0
17.1,28.4,0.0,39.0,17.0,20.0,36.0,1021.1,1020.8,18.9,26.9
11.1,26.3,0.0,31.0,15.0,17.0,17.0,1027.0,1024.5,12.8,24.4
8.1,28.8,0.0,20.0,7.0,7.0,21.0,1024.2,1021.1,13.7,28.0
9.4,31.5,0.0,26.0,0.0,9.0,10.0,1021.7,1019.2,15.0,30.0
11.9,31.8,0.0,30.0,11.0,11.0,10.0,1021.9,1019.2,15.4,30.9
14.2,32.1,0.0,31.0,13.0,13.0,21.0,1020.5,1017.8,18.7,31.3
16.3,32.0,0.0,41.0,11.0,19.0,23.0,1020.6,1017.5,19.5,31.1
17.6,33.2,0.0,28.0,7.0,7.0,30.0,1019.1,1016.2,21.6,32.5
17.1,24.1,0.0,44.0,22.0,20.0,37.0,1018.2,1017.7,17.2,22.8
8.3,21.7,0.0,35.0,9.0,19.0,32.0,1025.3,1023.3,10.7,19.8
9.0,23.5,0.0,37.0,9.0,19.0,38.0,1023.7,1019.7,14.8,22.7
6.6,19.7,0.0,43.0,15.0,22.0,25.0,1028.1,1025.1,11.5,18.7
7.5,22.1,0.0,39.0,22.0,22.0,30.0,1030.1,1026.0,12.3,21.3
9.0,23.1,0.0,28.0,17.0,15.0,34.0,1027.7,1023.6,13.2,22.4
6.6,26.5,0.0,19.0,9.0,7.0,27.0,1022.2,1017.7,14.1,25.9
10.1,25.2,0.0,26.0,7.0,7.0,23.0,1020.6,1018.7,15.8,24.7
