MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
16.4,38.7,0.0,54.0,15.0,28.0,11.0,1005.5,1003.3,28.9,37.4
22.3,30.3,0.0,30.0,19.0,15.0,40.0,1009.5,1009.0,25.2,29.4
21.2,33.3,0.0,46.0,22.0,22.0,31.0,1014.9,1012.2,24.5,32.7
16.4,33.5,0.0,39.0,20.0,20.0,28.0,1016.9,1012.2,22.9,31.9
19.2,34.5,0.0,35.0,19.0,11.0,22.0,1015.1,1010.6,24.2,32.9
21.3,36.8,0.0,33.0,24.0,9.0,26.0,1013.6,1009.1,25.4,34.6
22.2,34.5,0.0,39.0,26.0,7.0,23.0,1012.7,1008.5,25.2,32.5
23.7,36.4,0.0,46.0,24.0,9.0,31.0,1009.6,1007.0,26.3,34.3
20.4,34.3,0.0,69.0,26.0,7.0,31.0,1011.2,1008.0,26.3,32.1
16.0,32.1,9.2,76.0,18.129043126684635,9.0,29.0,1012.0,1007.3,21.1,30.4
18.2,33.0,3.4,76.0,24.0,13.0,37.0,1011.2,1008.0,22.5,30.3
21.5,34.6,0.0,41.0,26.0,11.0,26.0,1013.3,1010.1,25.5,33.7
21.2,35.9,0.0,43.0,19.0,15.0,19.0,1016.3,1012.3,25.4,34.3
19.5,35.0,0.0,39.0,24.0,11.0,24.0,1016.8,1012.7,24.3,33.0
20.5,36.1,0.0,43.0,30.0,11.0,24.0,1015.5,1011.4,24.4,33.2
21.1,40.1,0.0,48.0,22.0,17.0,15.0,1011.5,1007.6,28.1,38.2
15.0,35.6,0.0,57.0,9.0,24.0,11.0,1011.7,1009.4,25.6,34.2
18.5,33.3,0.0,48.0,24.0,11.0,36.0,1018.1,1014.4,22.4,30.7
19.7,31.6,0.0,52.0,30.0,17.0,35.0,1017.8,1013.4,22.5,30.7
22.1,33.6,0.0,44.0,30.0,11.0,29.0,1016.6,1012.7,24.6,32.2
23.8,32.5,0.0,76.0,28.0,11.0,36.0,1014.8,1011.7,25.1,31.3
20.5,24.5,47.6,48.0,26.0,31.0,95.0,1012.4,1009.3,21.1,22.5
21.1,32.1,23.0,22.0,13.0,9.0,54.0,1011.4,1008.7,24.3,31.2
23.2,35.5,0.0,28.0,15.0,11.0,47.0,1010.1,1007.4,27.0,34.2
24.4,36.0,0.0,57.0,13.0,37.0,48.0,1011.1,1009.5,28.8,32.7
22.7,34.4,5.4,43.0,22.0,9.0,46.0,1015.7,1012.8,27.0,33.3
21.3,33.4,0.0,44.0,20.0,13.0,38.0,1017.3,1014.2,26.7,31.1
20.3,33.7,0.0,41.0,13.0,15.0,36.0,1016.2,1013.0,25.9,31.5
19.1,33.6,0.0,61.0,17.0,13.0,28.0,1016.9,1013.1,24.9,32.4
20.2,33.6,0.0,48.0,24.0,20.0,33.0,1017.0,1012.7,24.5,31.5
19.6,33.7,0.0,44.0,19.0,17.0,28.0,1017.4,1013.2,25.1,32.9
19.5,35.1,0.0,48.0,17.0,17.0,32.0,1015.0,1010.9,25.4,33.2
21.1,33.4,0.0,33.0,22.0,9.0,40.0,1012.9,1008.9,26.5,31.4
20.4,34.7,0.0,52.0,17.0,15.0,32.0,1010.4,1006.7,24.8,33.0
20.3,35.0,0.0,37.0,24.0,7.0,36.0,1008.9,1005.8,26.0,32.8
22.1,36.8,0.0,35.0,17.0,17.0,29.0,1008.9,1005.5,25.4,34.3
22.8,37.4,0.0,33.0,17.0,13.0,22.0,1010.4,1008.1,25.9,35.1
19.7,36.1,0.0,44.0,20.0,15.0,22.0,1014.4,1010.4,24.8,34.3
19.8,36.1,0.0,30.0,19.0,7.0,25.0,1012.4,1008.4,24.0,34.0
20.0,40.5,0.0,31.0,11.0,9.0,13.0,1008.9,1005.4,28.0,38.2
27.3,37.6,0.0,59.0,28.0,22.0,24.0,1007.1,1003.5,29.5,36.9
20.8,31.9,7.0,48.0,11.0,24.0,23.0,1006.1,1005.1,23.2,30.8
16.1,33.4,0.0,54.0,26.0,11.0,22.0,1010.5,1007.6,23.0,32.1
19.4,25.5,0.0,69.0,30.0,39.0,57.0,1014.9,1013.0,22.3,22.1
16.6,20.0,29.2,56.0,24.0,39.0,85.0,1011.9,1009.2,17.8,19.8
16.9,25.5,51.4,37.0,15.0,13.0,67.0,1007.8,1006.9,18.0,23.7
17.9,28.4,0.0,57.0,13.0,39.0,53.0,1009.5,1006.8,21.2,27.0
17.4,27.9,55.8,35.0,24.0,4.0,56.0,1008.9,1007.5,18.5,26.3
18.5,30.0,0.0,52.0,13.0,7.0,55.0,1008.3,1004.3,24.1,29.1
19.4,31.4,0.0,28.0,13.0,15.0,49.0,1007.7,1005.8,23.3,30.9
19.6,31.8,0.0,33.0,11.0,9.0,55.0,1010.2,1008.3,25.2,30.1
19.7,32.4,0.0,48.0,13.0,9.0,48.0,1011.3,1008.7,23.2,30.4
19.8,32.6,0.0,41.0,20.0,9.0,40.0,1013.9,1012.1,24.0,31.0
19.1,32.1,0.0,33.0,17.0,9.0,37.0,1016.2,1013.4,23.7,31.2
19.6,32.4,0.0,30.0,15.0,13.0,39.0,1016.7,1014.0,23.3,30.9
21.9,31.6,0.0,46.0,15.0,7.0,46.0,1016.4,1012.9,23.9,30.0
17.8,32.8,0.0,31.0,24.0,11.0,39.0,1015.8,1012.2,22.9,31.3
18.6,30.7,0.0,37.0,19.0,11.0,40.0,1015.5,1012.1,22.0,29.1
14.2,33.6,0.0,39.0,26.0,15.0,27.0,1012.3,1008.8,21.6,31.5
18.4,35.5,0.0,37.0,18.129043126684635,20.0,24.0,1010.4,1008.1,25.0,34.6
16.3,34.6,0.0,28.0,13.0,9.0,16.0,1012.1,1010.7,24.8,33.9
19.3,35.4,0.0,33.0,20.0,9.0,33.0,1014.7,1011.7,23.8,34.2
23.8,34.2,0.0,59.0,31.0,9.0,41.0,1011.7,1007.6,25.5,33.5
10.9,26.2,0.0,57.0,26.0,28.0,25.0,1014.0,1010.5,17.2,25.3
10.5,27.5,0.0,31.0,4.0,15.0,27.0,1013.1,1010.4,17.5,26.5
10.7,30.9,0.0,28.0,17.0,9.0,19.0,1013.5,1010.6,17.9,29.7
14.7,32.6,0.0,43.0,20.0,9.0,28.0,1013.7,1010.9,23.7,31.9
17.9,32.5,0.0,50.0,19.0,20.0,27.0,1016.6,1012.1,23.5,31.6
17.1,31.8,0.0,52.0,22.0,19.0,33.0,1016.0,1012.7,24.0,30.9
16.0,32.5,0.0,48.0,22.0,11.0,24.0,1017.9,1014.2,22.4,31.1
17.6,29.0,0.0,41.0,24.0,11.0,34.0,1019.2,1016.8,22.8,28.2
18.1,31.8,0.0,30.0,19.0,11.0,35.0,1017.5,1014.2,22.6,30.1
17.8,31.7,0.0,37.0,15.0,11.0,38.0,1016.6,1011.3,21.0,29.7
19.9,33.9,1.6,43.0,30.0,13.0,34.0,1012.5,1007.9,23.4,32.4
16.2,28.9,0.0,50.0,20.0,30.0,19.0,1010.9,1008.8,19.2,28.0
11.1,27.6,0.0,39.0,11.0,22.0,22.0,1013.3,1010.9,17.6,25.8
