MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
6.6,18.7,4.0,61.0,20.0,30.0,39.0,1009.4,1008.9,13.4,17.8
8.9,18.1,0.0,50.0,17.0,31.0,49.0,1009.8,1008.9,14.4,16.2
10.1,19.3,1.0,43.0,20.0,24.0,47.0,1011.9,1013.9,13.6,18.2
5.9,21.2,0.0,50.0,17.0,26.0,39.0,1014.8,1009.5,13.7,20.5
13.6,19.3,12.8,63.0,24.0,39.0,65.0,1005.7,1006.9,16.1,18.7
12.7,19.6,0.6,57.0,26.0,39.0,46.0,1008.9,1008.7,15.7,18.5
10.2,16.8,0.0,39.0,11.0,26.0,46.0,1015.3,1014.6,12.6,16.4
11.1,21.0,0.0,35.0,15.0,26.0,42.0,1015.3,1011.0,13.9,20.4
6.9,16.5,0.4,33.0,22.0,15.0,91.0,1006.9,1007.8,11.1,13.1
7.5,19.9,4.2,50.0,20.0,35.0,43.0,1014.2,1012.2,14.9,19.3
6.2,25.8,0.0,35.0,26.0,15.0,25.0,1014.8,1010.3,14.7,24.7
13.6,15.4,0.8,59.0,7.0,22.0,93.0,1005.2,1000.3,15.2,13.5
11.4,14.9,78.8,63.0,37.0,33.0,74.0,1002.3,1005.8,11.9,13.6
11.0,15.9,2.0,41.0,24.0,22.0,61.0,1011.4,1012.5,13.0,15.8
10.6,19.9,0.0,46.0,17.0,30.0,50.0,1014.4,1012.3,13.2,19.6
11.4,19.3,0.4,43.0,15.0,22.0,72.0,1013.6,1012.6,14.1,18.4
12.4,19.7,6.0,31.0,15.0,15.0,64.0,1012.8,1009.1,14.5,18.5
10.4,19.1,0.0,50.0,0.0,33.0,58.0,1008.0,1008.8,15.2,16.2
8.9,18.5,0.6,41.0,28.0,26.0,45.0,1017.9,1018.4,15.4,18.0
6.2,24.9,0.0,33.0,20.0,11.0,39.0,1021.5,1017.8,15.5,24.0
11.3,30.2,0.0,41.0,20.0,19.0,18.0,1014.6,1010.2,22.0,28.2
18.2,20.6,0.0,54.0,30.0,30.0,64.0,1006.1,1007.2,18.2,19.8
13.7,20.5,0.0,33.0,20.0,19.0,51.0,1016.2,1015.3,15.6,19.0
6.6,25.4,0.0,46.0,17.0,28.0,35.0,1013.5,1011.8,16.2,24.8
9.3,24.0,0.0,33.0,13.0,19.0,40.0,1015.9,1012.6,16.8,23.5
11.2,25.8,0.0,30.0,13.0,13.0,45.0,1010.8,1008.1,18.4,24.8
12.9,22.8,0.0,39.0,15.0,22.0,50.0,1007.6,1005.6,18.0,21.6
13.3,20.6,0.0,56.0,24.0,28.0,59.0,1004.6,1004.3,16.2,20.1
10.7,19.1,0.8,48.0,28.0,30.0,49.0,1010.5,1009.8,16.2,17.9
13.2,18.8,6.0,59.0,30.0,39.0,50.0,1006.2,1006.6,16.4,17.4
12.2,19.6,0.0,52.0,24.0,31.0,51.0,1007.7,1006.3,14.6,18.6
12.6,17.0,0.8,56.0,28.0,35.0,43.0,1008.3,1011.6,14.3,16.6
7.3,18.8,0.0,43.0,28.0,20.0,37.0,1020.6,1020.6,15.5,17.4
4.0,22.6,0.0,43.0,13.0,13.0,33.0,1020.5,1017.0,13.3,21.3
6.2,25.3,0.0,33.0,11.0,20.0,44.0,1016.2,1013.8,16.6,23.9
6.2,23.1,0.0,37.0,17.0,22.0,45.0,1014.8,1013.3,15.8,22.3
12.7,24.7,0.0,43.0,17.0,31.0,65.0,1011.9,1010.4,16.4,21.6
13.7,21.2,1.4,44.0,19.0,26.0,41.0,1012.3,1013.0,14.8,19.9
10.1,19.3,0.0,48.0,26.0,31.0,44.0,1020.2,1021.1,17.1,17.5
6.4,21.6,0.0,43.0,19.0,28.0,41.0,1021.7,1017.7,15.3,20.8
9.0,22.5,0.0,46.0,20.0,31.0,47.0,1014.0,1011.9,16.4,21.4
7.7,22.6,0.0,39.0,7.0,28.0,39.0,1013.3,1012.7,14.7,22.1
14.0,27.2,0.0,33.0,2.0,19.0,45.0,1018.5,1016.0,18.1,26.0
13.6,39.3,0.0,63.0,28.0,37.0,8.0,1010.6,1006.3,26.6,38.2
15.2,23.0,0.0,42.86646586345382,22.0,26.0,53.0,1012.1,1011.9,17.5,22.4
11.8,22.1,0.0,46.0,24.0,26.0,44.0,1016.8,1017.7,17.3,21.2
13.3,19.9,0.0,46.0,28.0,33.0,38.0,1021.5,1022.8,15.4,18.3
6.8,23.1,0.0,35.0,15.0,24.0,37.0,1024.7,1022.6,16.2,22.6
4.9,29.0,0.0,39.0,13.0,22.0,25.0,1021.3,1017.7,16.7,28.6
9.7,33.7,0.0,43.0,15.0,26.0,14.0,1011.7,1009.3,23.0,32.5
12.3,30.2,0.0,48.0,15.0,13.0,17.0,1007.2,1007.3,19.8,29.5
9.0,25.7,0.0,43.0,13.0,26.0,40.0,1011.4,1007.7,17.6,24.3
14.9,22.7,0.0,80.0,50.0,39.0,51.0,996.5,1000.2,22.7,19.1
7.8,24.5,0.0,54.0,22.0,31.0,31.0,1006.6,1002.8,15.6,23.3
12.9,20.6,3.2,46.0,28.0,22.0,37.0,1010.5,1013.9,16.0,19.3
5.7,24.6,0.0,37.0,9.0,13.0,39.0,1019.0,1018.2,15.6,23.2
7.8,27.6,0.0,37.0,15.0,26.0,44.0,1022.8,1019.4,18.3,26.6
10.6,39.5,0.0,39.0,11.0,17.0,10.0,1015.6,1011.8,21.2,38.3
21.1,43.6,0.0,48.0,24.0,30.0,13.0,1009.0,1007.4,32.4,38.6
21.2,43.6,0.0,69.0,26.0,39.0,12.0,1007.4,1007.5,35.2,40.1
20.5,36.8,0.0,52.0,20.0,30.0,37.0,1011.1,1010.1,26.5,33.0
17.5,32.4,0.0,54.0,26.0,28.0,48.0,1014.6,1014.6,24.0,29.0
16.6,32.2,0.0,41.0,24.0,28.0,43.0,1016.1,1013.4,21.7,30.8
17.3,25.8,0.0,43.0,26.0,28.0,60.0,1013.5,1012.7,18.9,24.4
16.7,31.7,0.0,37.0,24.0,17.0,39.0,1013.7,1009.7,18.8,29.4
13.0,35.1,0.0,39.0,13.0,22.0,21.0,1008.9,1005.2,19.8,34.6
