MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
9.8,27.4,0.2,54.0,28.0,30.0,27.0,1021.2,1019.3,14.3,25.3
12.6,30.1,0.0,46.0,35.0,19.0,22.0,1022.7,1019.9,16.0,27.6
13.7,30.6,0.0,50.0,22.0,20.0,26.0,1021.0,1017.8,18.9,29.4
16.9,32.4,0.0,48.0,20.0,17.0,23.0,1018.9,1015.9,21.0,32.0
18.9,34.2,0.0,54.0,28.0,20.0,25.0,1016.9,1014.5,22.3,32.6
19.4,35.2,0.4,28.0,17.0,9.0,26.0,1015.3,1012.8,23.7,32.7
21.5,35.2,0.0,33.0,9.0,9.0,29.0,1015.5,1014.2,24.7,32.8
23.1,37.3,0.0,33.0,19.0,11.0,18.0,1017.1,1014.3,25.7,35.4
20.5,36.5,0.0,43.0,11.0,20.0,17.0,1015.1,1012.8,26.1,34.4
21.7,37.7,0.0,30.0,15.0,9.0,20.0,1015.8,1013.9,25.1,34.6
21.4,39.0,0.0,43.0,13.0,13.0,16.0,1015.8,1013.5,26.2,37.5
22.4,38.5,0.0,50.0,9.0,26.0,15.0,1014.1,1010.2,26.5,36.8
18.1,25.4,0.0,54.0,31.0,30.0,30.0,1011.6,1011.6,19.2,24.7
11.9,26.5,0.0,46.0,22.0,22.0,28.0,1017.1,1015.0,16.0,24.7
9.2,26.9,0.0,41.0,9.0,19.0,28.0,1019.1,1016.7,13.5,25.1
13.5,23.8,0.0,63.0,20.0,28.0,80.0,1017.5,1016.8,16.4,17.6
6.7,21.3,0.2,50.0,19.0,26.0,28.0,1026.3,1024.6,10.6,19.2
6.7,23.5,0.0,48.0,13.0,19.0,33.0,1025.2,1022.6,10.8,21.4
9.9,25.9,0.0,30.0,15.0,7.0,26.0,1023.5,1020.6,14.1,24.8
12.1,30.9,0.0,39.0,20.0,19.0,15.0,1018.6,1013.1,16.2,29.8
16.2,25.0,0.0,89.0,31.0,57.0,38.0,1001.0,1003.0,24.6,22.6
12.5,18.3,0.2,43.0,11.0,24.0,47.0,1014.5,1014.6,14.5,17.6
10.3,24.7,0.2,48.0,20.0,26.0,40.0,1017.2,1015.1,12.3,23.2
12.2,24.3,0.0,56.0,24.0,31.0,56.0,1014.5,1014.6,17.2,22.1
9.8,23.0,0.0,26.0,0.0,11.0,43.0,1019.3,1017.4,14.2,22.0
11.0,33.5,0.0,39.0,9.0,24.0,23.0,1015.5,1010.7,17.2,32.3
17.1,31.5,0.0,63.0,15.0,26.0,30.0,1006.8,1007.8,25.3,28.6
12.4,20.2,4.2,70.0,15.0,37.0,47.0,1017.8,1018.8,13.8,18.6
6.8,19.6,0.2,26.0,9.0,13.0,49.0,1023.6,1021.0,9.1,18.4
9.1,20.9,0.0,43.0,11.0,30.0,55.0,1017.1,1014.5,13.8,19.5
10.7,22.1,0.4,41.0,15.0,24.0,49.0,1015.9,1015.9,13.0,19.8
11.4,22.1,0.0,39.0,4.0,24.0,49.0,1020.3,1018.8,13.3,19.5
11.7,23.8,0.0,44.0,13.0,26.0,46.0,1020.1,1018.8,14.9,23.6
5.1,20.5,0.2,44.0,13.0,24.0,35.0,1026.5,1024.7,8.4,19.3
4.6,23.9,0.0,33.0,13.0,17.0,30.0,1028.3,1025.9,8.1,22.1
8.0,28.4,0.0,41.0,31.0,19.0,27.0,1027.4,1024.2,14.1,26.8
14.1,31.1,0.0,31.0,17.0,11.0,23.0,1023.5,1019.6,16.6,29.5
12.0,30.1,0.0,33.0,7.0,17.0,25.0,1022.1,1019.1,20.6,29.3
10.6,27.4,0.0,33.0,17.0,15.0,24.0,1025.2,1022.3,14.9,26.7
9.1,28.0,0.0,28.0,17.0,7.0,27.0,1025.9,1021.9,16.8,26.9
8.9,28.8,0.0,30.0,9.0,9.0,13.0,1023.4,1020.2,18.9,28.2
10.3,28.7,0.0,33.0,11.0,11.0,29.0,1024.0,1021.6,19.3,27.0
13.6,30.4,0.0,28.0,15.0,13.0,21.0,1022.9,1017.4,19.2,29.5
17.2,25.4,0.0,41.0,26.0,24.0,38.0,1013.6,1012.0,22.0,24.3
12.7,23.8,0.0,44.0,11.0,28.0,50.0,1012.8,1010.0,15.5,21.0
8.1,20.6,0.0,44.0,0.0,19.0,35.0,1014.5,1013.1,13.0,19.9
3.5,19.9,0.0,30.0,6.0,20.0,31.0,1019.5,1016.3,9.6,19.2
6.6,20.8,0.0,35.0,6.0,20.0,30.0,1018.7,1016.3,11.5,19.9
6.9,22.0,0.0,48.0,9.0,26.0,35.0,1021.8,1020.5,11.3,20.3
2.2,18.5,0.0,41.0,17.0,22.0,25.0,1027.6,1024.0,9.1,17.8
4.1,20.3,0.0,33.0,24.0,15.0,28.0,1022.8,1017.7,11.3,19.3
5.6,17.4,0.0,61.0,13.0,15.0,81.0,1011.1,1006.5,11.2,10.3
9.9,19.4,9.8,43.0,15.0,28.0,64.0,1009.0,1008.4,12.6,18.0
8.0,17.4,0.4,35.0,13.0,20.0,55.0,1017.4,1017.3,11.7,16.1
9.8,19.8,0.0,37.0,13.0,9.0,71.0,1021.2,1018.9,12.8,17.3
9.6,20.8,1.2,54.0,20.0,33.0,44.0,1022.8,1021.2,12.7,20.5
11.9,22.6,0.0,33.0,17.0,17.0,51.0,1024.7,1022.4,14.4,22.0
12.5,27.8,0.0,59.0,24.0,33.0,20.0,1018.3,1012.3,16.7,27.3
13.9,18.6,0.0,33.0,22.0,19.0,57.0,1016.9,1017.1,15.5,18.0
12.2,19.1,0.0,30.0,0.0,11.0,39.0,1024.9,1024.0,13.6,18.5
7.9,19.9,0.0,24.0,17.0,7.0,36.0,1026.1,1022.7,12.5,19.4
