MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
17.9,28.1,0.0,63.0,9.0,24.0,69.0,1005.3,1001.7,23.7,25.9
19.1,23.8,0.0,69.0,15.0,28.0,62.0,1012.5,1012.8,22.6,23.0
17.1,23.0,0.0,52.0,19.0,19.0,62.0,1021.1,1019.1,20.0,22.1
19.7,25.0,0.0,61.0,39.0,46.0,68.0,1018.4,1015.2,22.8,23.7
18.5,25.9,0.0,48.0,20.0,35.0,73.0,1013.4,1009.0,22.8,23.7
19.8,26.5,0.0,43.0,28.0,20.0,80.0,1011.8,1008.7,20.1,24.3
20.0,27.7,0.0,44.0,24.0,15.0,82.0,1010.1,1006.3,21.9,23.7
20.4,22.3,0.0,57.0,35.0,41.0,81.0,1011.3,1012.3,21.0,20.6
17.5,22.8,2.8,59.0,43.0,30.0,59.0,1019.0,1018.3,19.3,20.9
18.4,25.6,0.0,50.0,19.0,22.0,51.0,1016.8,1013.8,20.9,23.4
19.6,27.3,0.0,43.0,19.0,30.0,66.0,1013.8,1011.6,23.0,24.0
19.0,26.2,1.0,31.0,13.0,21.027936721642543,67.52119784656797,1015.2,1016.0133310946945,22.1,20.764211234443323
20.1,27.8,0.2,54.0,17.0,31.0,66.0,1019.3,1016.9,24.4,25.2
19.8,26.7,0.0,52.0,22.0,41.0,69.0,1015.1,1011.5,23.3,25.1
20.2,27.7,0.0,69.0,30.0,21.027936721642543,67.52119784656797,1009.6,1016.0133310946945,23.7,20.764211234443323
19.0,24.7,10.4,57.0,11.0,20.0,69.0,1012.9,1009.5,20.4,23.3
18.0,21.1,1.2,61.0,48.0,43.0,63.0,1019.4,1019.8,18.9,20.4
14.5,23.8,0.0,41.0,11.0,22.0,54.0,1021.7,1020.1,20.1,22.7
17.2,26.2,0.0,54.0,30.0,35.0,67.0,1019.3,1015.5,22.9,24.7
18.9,26.7,0.0,48.0,20.0,37.0,71.0,1014.2,1010.7,23.5,25.5
21.1,27.6,0.0,72.0,15.0,37.0,71.0,1012.3,1008.3,24.5,25.6
21.3,29.2,2.0,69.0,19.0,21.027936721642543,67.52119784656797,1009.7,1016.0133310946945,25.9,20.764211234443323
