MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
20.4,25.8,0.0,31.0,13.0,19.0,71.0,1014.5,1013.6,23.3,24.7
20.9,26.7,0.2,31.0,15.0,6.0,77.0,1016.3,1015.5,25.0,25.1
22.3,26.3,0.0,35.0,6.0,19.0,90.0,1014.6,1014.3,24.7,23.8
21.6,22.2,1.2,41.0,20.0,22.0,95.0,1016.0,1015.3,22.1,21.2
20.4,23.5,2.6,52.0,24.0,28.0,86.0,1015.3,1013.7,21.8,21.6
20.4,24.4,0.0,48.0,30.0,24.0,79.0,1014.5,1012.7,21.4,23.3
20.2,24.2,0.0,52.0,28.0,31.0,79.0,1014.1,1013.0,21.9,23.3
20.5,24.0,0.0,52.0,28.0,28.0,82.0,1011.5,1009.4,22.5,22.8
20.9,22.0,0.0,61.0,28.0,33.0,95.0,1003.9,1000.4,21.9,21.6
18.5,23.1,45.2,81.0,46.0,33.0,64.0,1001.7,1001.2,19.8,22.1
19.7,22.8,0.4,54.0,30.0,28.0,82.0,1006.4,1006.9,21.6,22.1
19.8,23.8,0.0,37.0,24.0,22.0,78.0,1011.2,1010.5,21.6,22.0
19.2,23.2,0.0,35.0,22.0,20.0,77.0,1011.4,1010.4,21.2,22.0
17.3,22.5,1.6,46.0,26.0,22.0,55.0,1013.2,1012.4,19.9,21.7
18.5,23.6,0.0,37.0,24.0,24.0,69.0,1015.3,1015.0,21.4,22.4
17.3,22.8,0.0,26.0,13.0,15.0,61.0,1016.9,1016.2,21.3,21.6
16.2,23.4,0.0,30.0,13.0,13.0,62.0,1015.0,1013.4,21.0,22.1
17.9,22.6,12.8,50.0,15.0,24.0,66.0,1014.6,1014.8,19.2,21.6
16.5,22.5,0.0,31.0,13.0,19.0,60.0,1018.7,1018.0,21.1,21.4
17.0,23.0,0.0,35.0,17.0,19.0,62.0,1021.7,1021.4,21.1,22.0
16.9,23.6,0.0,41.0,22.0,30.0,68.0,1022.9,1021.8,21.8,22.2
19.3,24.0,0.0,46.0,26.0,26.0,71.0,1022.6,1020.5,22.1,22.7
20.2,24.5,0.0,46.0,22.0,30.0,72.0,1020.8,1018.5,22.7,23.3
20.1,25.1,0.0,52.0,28.0,31.0,72.0,1018.3,1016.7,22.7,24.1
20.5,25.1,0.0,46.0,31.0,28.0,75.0,1018.1,1018.3,23.5,23.1
19.6,24.7,0.0,41.0,20.0,26.0,67.0,1018.4,1016.9,22.6,23.0
18.6,23.9,0.0,30.0,15.0,22.0,65.0,1015.9,1015.0,21.5,22.7
17.8,24.2,0.0,35.0,19.0,15.0,71.0,1016.4,1016.1,21.8,22.6
19.5,24.1,0.8,41.0,22.0,22.0,66.0,1019.0,1018.4,22.2,23.0
18.2,24.2,0.0,41.0,22.0,26.0,63.0,1019.5,1018.3,22.3,23.5
20.1,23.7,0.0,43.0,24.0,26.0,70.0,1019.3,1017.6,22.0,22.1
19.3,23.6,2.0,37.0,17.0,22.0,72.0,1015.7,1014.3,21.0,22.6
19.9,24.2,0.2,35.0,17.0,22.0,75.0,1014.4,1013.1,21.9,23.5
19.6,24.8,0.0,37.0,20.0,20.0,73.0,1013.6,1011.6,22.9,23.6
20.0,25.0,0.0,35.0,15.0,17.0,84.0,1011.5,1009.9,22.3,23.1
21.5,22.1,1.8,44.0,26.0,22.0,95.0,1008.7,1006.1,21.8,21.7
20.6,23.1,17.6,67.0,28.0,39.0,96.0,1000.6,998.8,21.9,21.7
21.5,25.5,3.8,61.0,31.0,26.0,90.0,1003.1,1005.4,23.0,25.2
22.2,26.8,6.0,43.0,19.0,26.0,80.0,1012.1,1012.6,24.7,25.8
23.7,25.4,0.6,56.0,20.0,22.0,94.0,1014.2,1012.5,24.8,24.1
22.2,26.3,20.6,33.0,15.0,20.0,80.0,1013.6,1012.3,24.3,25.5
20.9,27.1,0.2,37.0,17.0,17.0,86.0,1012.9,1010.9,23.6,25.6
23.6,27.0,0.0,50.0,28.0,24.0,87.0,1008.8,1008.3,25.2,26.2
21.7,25.5,5.8,44.0,22.0,22.0,74.0,1014.5,1015.2,23.1,24.1
20.2,23.4,0.0,48.0,26.0,22.0,61.0,1017.2,1016.3,21.6,22.5
20.0,24.7,0.0,46.0,24.0,28.0,74.0,1014.5,1012.4,22.8,23.1
21.2,28.1,10.0,30.0,13.0,15.0,79.0,1011.5,1010.8,23.5,27.3
23.2,27.4,0.2,30.0,13.0,9.0,83.0,1014.8,1014.3,25.2,26.4
23.5,27.6,0.4,46.0,22.0,28.0,85.0,1017.6,1015.9,25.3,25.3
23.9,28.1,0.0,44.0,26.0,28.0,79.0,1015.9,1013.9,25.8,27.5
24.3,26.4,0.0,44.0,20.0,24.0,88.0,1013.6,1011.8,25.0,25.3
22.5,26.0,16.6,26.0,20.173608797067644,9.0,74.0,1011.8,1010.2,23.1,25.6
20.1,25.7,6.0,33.0,15.0,19.0,72.0,1013.5,1012.9,23.8,24.5
21.6,25.6,0.2,35.0,20.0,22.0,70.0,1014.4,1014.7,22.4,23.8
20.5,25.6,0.0,41.0,20.0,24.0,58.0,1018.0,1017.2,22.9,24.7
19.5,25.7,0.0,44.0,20.0,30.0,55.0,1018.5,1016.7,23.7,24.2
21.0,25.2,0.0,52.0,26.0,28.0,84.0,1014.0,1010.4,22.8,23.9
19.5,22.5,107.4,65.0,17.0,22.0,87.0,1004.7,1005.3,21.8,21.2
20.0,24.7,0.8,24.0,11.0,13.0,66.0,1008.9,1009.0,21.8,24.3
18.3,25.9,0.0,28.0,13.0,20.0,61.0,1013.3,1012.6,23.4,25.0
19.1,24.3,0.0,24.0,9.0,17.0,69.0,1016.6,1015.7,22.3,23.1
20.0,25.4,0.0,41.0,17.0,22.0,71.0,1018.9,1017.7,23.6,23.6
20.6,24.7,0.0,41.0,20.0,24.0,73.0,1016.2,1012.2,22.6,23.2
20.7,25.3,4.4,31.0,19.0,20.0,66.0,1008.6,1009.3,23.5,24.6
20.2,26.5,0.0,31.0,13.0,13.0,70.0,1012.6,1011.6,24.0,25.8
20.5,25.1,0.8,37.0,11.0,24.0,74.0,1013.4,1011.7,23.4,23.9
20.1,24.5,0.0,35.0,17.0,20.0,58.0,1014.9,1014.4,23.0,23.4
19.6,24.1,0.0,35.0,19.0,20.0,60.0,1017.7,1016.2,22.6,23.8
18.7,24.0,0.2,35.0,17.0,22.0,60.0,1018.8,1017.2,22.2,22.8
19.5,23.6,0.0,37.0,22.0,22.0,58.0,1018.6,1016.8,21.2,23.1
18.7,23.8,0.2,35.0,15.0,20.0,61.0,1019.2,1018.3,22.2,22.5
18.1,23.8,0.0,35.0,13.0,20.0,63.0,1019.2,1017.7,21.2,22.8
19.1,23.7,0.6,39.0,20.0,24.0,70.0,1018.1,1016.2,20.8,21.5
19.3,24.5,0.0,37.0,19.0,22.0,59.0,1016.9,1015.0,21.2,23.4
20.7,25.8,0.0,48.0,28.0,30.0,74.0,1015.5,1014.2,24.4,24.3
21.4,26.3,0.0,37.0,28.0,17.0,76.0,1014.6,1013.3,24.0,24.8
20.8,25.8,0.0,30.0,17.0,15.0,75.0,1015.7,1014.2,23.1,24.0
20.4,24.9,1.8,37.0,19.0,24.0,71.0,1016.1,1014.2,22.9,24.0
20.3,24.1,0.8,41.0,26.0,17.0,92.0,1015.3,1014.2,22.8,21.3
19.8,24.4,4.8,50.0,22.0,28.0,69.0,1013.8,1011.1,21.9,22.4
20.5,22.4,0.0,56.0,28.0,30.0,74.0,1009.5,1007.0,21.2,21.3
20.3,23.5,0.0,46.0,24.0,26.0,61.0,1011.6,1011.7,21.2,22.5
18.2,22.6,0.0,50.0,17.0,19.0,63.0,1016.4,1015.0,21.5,22.1
18.9,21.9,2.4,63.0,41.0,30.0,92.0,1018.4,1017.6,21.3,20.1
18.5,23.7,40.0,59.0,31.0,28.0,70.0,1018.9,1016.7,21.6,23.1
19.8,24.5,1.0,52.0,28.0,20.0,87.0,1016.2,1014.0,22.1,21.3
20.0,25.1,0.4,56.0,30.0,33.0,77.0,1015.5,1014.6,22.1,23.6
21.0,25.0,3.0,65.0,39.0,35.0,74.0,1017.5,1016.0,23.0,24.3
21.7,24.4,0.0,61.0,33.0,37.0,76.0,1017.8,1015.2,23.1,23.7
21.4,25.3,0.2,57.0,35.0,31.0,66.0,1017.2,1015.8,23.5,23.6
20.5,25.6,0.6,54.0,24.0,30.0,70.0,1018.2,1017.6,22.4,23.7
19.4,24.4,1.8,61.0,33.0,37.0,85.0,1021.8,1021.4,23.3,20.1
18.5,24.8,2.2,67.0,35.0,37.0,53.0,1024.4,1022.4,22.3,23.4
19.6,25.2,0.0,57.0,35.0,31.0,75.0,1022.8,1020.5,22.9,21.0
19.2,24.8,0.0,46.0,24.0,28.0,55.0,1020.8,1018.0,22.9,23.1
19.5,24.9,0.0,39.0,26.0,28.0,62.0,1019.1,1016.6,22.9,23.5
18.4,24.5,0.4,28.0,13.0,6.0,63.0,1018.2,1016.3,22.3,22.4
18.0,22.8,0.2,30.0,17.0,17.0,64.0,1016.7,1014.9,18.5,21.7
16.3,22.2,2.4,31.0,15.0,20.0,63.0,1018.7,1018.2,19.5,20.5
16.9,23.1,0.0,35.0,24.0,20.0,52.0,1024.4,1023.2,19.5,21.8
18.5,23.1,0.0,41.0,22.0,22.0,49.0,1028.4,1026.3,20.2,22.0
18.5,23.6,0.0,46.0,24.0,30.0,62.0,1027.3,1024.9,20.9,21.4
19.6,23.6,0.0,48.0,28.0,24.0,75.0,1025.9,1023.1,21.6,22.5
19.2,24.4,0.6,50.0,30.0,31.0,61.0,1024.9,1022.7,22.1,22.9
19.0,23.9,0.6,59.0,31.0,35.0,70.0,1021.0,1017.9,22.0,21.9
20.2,23.7,0.0,54.0,31.0,33.0,78.0,1014.6,1011.1,21.9,22.0
19.0,22.4,5.8,63.0,30.0,22.0,91.0,1009.8,1007.9,20.6,20.8
19.4,22.1,25.8,48.0,31.0,24.0,92.0,1008.0,1005.9,21.0,21.3
18.7,22.5,17.2,35.0,17.0,24.0,75.0,1003.4,1001.7,20.5,21.8
18.2,24.0,0.0,57.0,24.0,15.0,79.0,1005.4,1004.6,22.0,22.7
17.2,23.6,10.8,30.0,9.0,17.0,83.0,1010.7,1009.1,21.0,22.6
19.7,24.2,0.0,72.0,24.0,28.0,63.0,1011.5,1008.2,22.3,22.9
20.5,24.1,16.2,63.0,24.0,22.0,73.0,1006.2,1005.9,22.7,23.3
19.7,23.4,1.2,35.0,19.0,22.0,60.0,1011.6,1011.1,22.1,22.7
18.8,23.4,0.0,30.0,13.0,22.0,54.0,1015.0,1014.0,21.6,22.1
15.4,23.6,0.0,19.0,4.0,9.0,54.0,1018.2,1016.3,21.5,22.9
14.8,23.0,0.0,26.0,13.0,15.0,58.0,1019.3,1017.4,20.9,22.1
15.7,22.5,0.0,19.0,0.0,9.0,55.0,1019.5,1016.6,20.8,22.2
15.7,23.0,0.0,26.0,6.0,9.0,79.0,1018.2,1016.0,20.7,21.4
17.5,22.4,0.0,26.0,13.0,13.0,65.0,1017.4,1015.0,20.6,21.4
16.7,20.8,0.4,44.0,6.0,20.0,70.0,1014.7,1011.9,20.0,20.3
16.4,20.3,11.4,61.0,26.0,26.0,55.0,1017.2,1016.2,18.3,19.2
15.9,20.4,0.0,37.0,20.0,20.0,49.0,1019.7,1017.5,18.6,19.8
16.2,20.0,0.2,43.0,24.0,22.0,55.0,1019.2,1018.2,17.9,18.3
16.0,20.4,0.0,31.0,13.0,20.0,54.0,1021.1,1018.8,18.3,19.6
15.9,20.1,0.0,46.0,17.0,22.0,68.0,1020.2,1017.9,19.2,18.3
14.5,20.3,2.6,39.0,17.0,19.0,58.0,1020.2,1017.9,17.6,18.5
16.4,20.9,0.0,69.0,35.0,37.0,60.0,1014.8,1010.4,19.4,19.9
15.7,19.5,2.6,56.0,30.0,22.0,64.0,1012.6,1010.6,18.5,18.5
16.0,20.7,0.2,65.0,31.0,30.0,70.0,1008.1,1006.4,19.1,18.4
14.5,19.1,2.0,65.0,35.0,43.0,60.0,1010.2,1008.4,16.8,17.8
15.0,19.6,0.4,56.0,30.0,28.0,55.0,1012.9,1011.1,17.9,19.2
14.7,20.2,2.8,39.0,6.0,19.0,59.0,1013.5,1012.4,18.1,18.9
15.0,20.6,0.2,31.0,19.0,19.0,57.0,1015.7,1014.3,18.8,19.6
16.0,21.6,0.0,26.0,13.0,13.0,62.0,1018.3,1016.5,19.7,21.5
15.3,21.7,0.0,37.0,11.0,26.0,70.0,1018.2,1015.0,19.7,20.0
16.6,21.4,3.6,28.0,11.0,19.0,78.0,1014.6,1012.6,19.9,20.4
