MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
13.3,22.7,0.0,61.0,22.0,28.0,37.0,1010.4,1011.4,16.7,21.1
7.0,22.4,0.0,41.0,20.0,17.0,25.0,1020.1,1017.8,13.7,20.8
10.5,28.9,0.0,41.0,19.0,7.0,13.0,1018.0,1014.5,16.8,26.4
9.8,33.1,0.0,37.0,15.0,22.0,7.0,1014.1,1011.8,23.5,32.8
12.5,32.6,0.0,35.0,9.0,17.0,12.0,1015.0,1012.4,22.0,31.0
12.1,33.8,0.0,50.0,7.0,22.0,14.0,1012.1,1008.9,24.3,32.5
11.7,26.0,0.0,43.0,11.0,17.0,44.0,1012.7,1012.4,18.2,24.7
9.0,23.3,0.0,43.0,17.0,20.0,29.0,1019.3,1018.4,16.0,21.8
9.8,24.9,0.0,46.0,22.0,13.0,22.0,1018.6,1014.7,14.3,22.3
12.0,29.4,0.0,41.0,13.0,9.0,15.0,1012.1,1008.9,18.4,27.8
11.2,28.3,0.0,52.0,11.0,20.0,20.0,1012.1,1010.3,17.4,27.6
13.0,32.4,0.0,44.0,20.0,7.0,19.0,1016.9,1014.1,19.0,30.0
17.9,40.3,0.0,48.0,20.0,33.0,4.0,1011.3,1008.2,31.0,38.7
17.2,34.8,0.0,35.0,2.0,17.0,19.0,1012.0,1009.8,20.6,33.8
10.8,27.3,0.0,39.0,11.0,17.0,25.0,1018.5,1017.2,16.8,26.4
7.9,27.5,0.0,41.0,17.0,20.0,22.0,1022.3,1020.1,16.9,26.6
10.2,26.6,0.0,39.0,17.0,13.0,16.0,1023.0,1019.8,14.2,25.2
14.2,31.6,0.0,35.0,15.0,17.0,10.0,1019.2,1015.7,21.1,30.1
12.3,38.0,0.0,48.0,9.0,24.0,5.0,1012.4,1008.7,28.1,37.2
13.5,36.3,0.0,52.0,9.0,19.0,10.0,1007.6,1008.5,29.2,33.9
14.1,30.7,0.0,37.0,11.0,15.0,30.0,1010.9,1007.3,19.5,29.6
11.9,29.5,0.0,67.0,30.0,37.0,44.0,1003.0,1003.3,24.2,26.0
9.4,29.0,0.0,56.0,17.0,26.0,22.0,1008.1,1004.2,17.2,29.0
14.6,27.0,1.0,50.0,20.0,17.0,30.0,1012.6,1012.7,16.8,24.4
10.7,32.9,0.0,26.0,15.0,13.0,13.0,1017.4,1016.0,17.7,30.9
13.7,33.9,0.0,39.0,20.0,17.0,16.0,1019.8,1016.9,20.1,31.2
16.1,41.7,0.0,31.0,13.0,11.0,5.0,1014.8,1010.7,29.9,40.0
