MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
18.8,38.4,0.0,50.0,22.0,13.0,20.0,1010.4,1007.2,23.1,35.6
22.0,39.1,0.0,52.0,4.0,31.0,23.0,1008.3,1007.4,27.1,36.0
15.9,35.6,0.0,43.579958100558656,13.0,28.0,29.0,1012.1,1010.2,24.0,34.8
12.303850016739204,37.0,0.0,43.0,24.0,20.0,19.0,1016.6,1012.6,22.7,35.2
21.8,38.6,0.0,59.0,15.0,15.0,15.0,1014.1,1010.1,26.8,37.3
19.9,38.0,0.0,43.0,24.0,20.0,20.0,1013.5,1009.1,24.9,37.1
18.8,36.6,0.0,69.0,26.0,22.0,23.0,1013.8,1010.5,23.2,34.3
19.6,38.1,0.0,44.0,19.0,26.0,22.0,1014.1,1010.7,23.9,36.6
19.4,38.3,0.0,43.579958100558656,11.0,22.0,23.0,1015.0,1010.8,24.1,37.3
12.303850016739204,37.4,0.0,50.0,17.0,30.0,22.0,1012.7,1009.7,26.0,35.9
19.8,40.6,0.0,61.0,31.0,13.0,12.0,1008.6,1004.9,26.6,39.0
13.3,28.8,0.0,59.0,11.0,31.0,49.0,1007.3,1008.6,22.1,27.2
9.1,27.8,0.0,48.0,11.0,17.0,27.0,1017.4,1014.5,19.8,26.5
12.0,32.7,0.0,41.0,15.0,13.0,19.0,1016.8,1013.7,21.0,31.9
12.303850016739204,39.5,0.0,43.579958100558656,31.0,17.0,15.0,1015.4,1011.5,23.2,37.8
23.2,43.7,0.0,43.579958100558656,24.0,15.0,23.0,1010.5,1010.0,32.8,34.4
17.0,33.7,0.0,44.0,11.0,19.0,28.0,1015.1,1013.4,21.9,33.2
21.7,33.2,0.0,59.0,11.0,20.0,31.0,1015.3,1011.5,23.1,31.4
16.8,30.8,0.0,72.0,20.0,13.0,35.0,1016.0,1013.3,20.2,28.4
15.7,31.8,0.0,46.0,24.0,20.0,24.0,1018.0,1014.2,18.8,31.2
13.6,30.3,0.0,52.0,17.0,28.0,34.0,1015.7,1012.4,19.4,28.4
17.1,30.6,0.0,46.0,17.0,22.0,41.0,1013.4,1011.1,20.4,29.7
19.5,29.8,0.0,39.0,17.0,24.0,45.0,1013.6,1011.1,21.3,28.8
11.9,33.8,0.0,41.0,7.0,24.0,32.0,1013.4,1010.6,19.6,33.2
15.4,26.05123828647925,0.0,43.579958100558656,15.0,13.0,16.0,1011.9,1007.6,25.8,38.7
12.303850016739204,32.5,0.0,39.0,7.0,26.0,37.0,1007.9,1007.4,20.2,31.2
16.1,35.2,0.0,43.0,20.0,9.0,33.0,1007.8,1003.6,23.2,33.8
20.1,32.6,0.0,43.0,13.0,11.0,51.0,1003.4,1000.7,23.7,29.9
20.2,25.0,0.0,33.0,22.0,13.0,57.0,1007.6,1007.5,21.1,24.6
18.1,26.05123828647925,0.0,43.579958100558656,17.0,9.0,47.0,1010.1,1006.6,21.7,30.1
12.303850016739204,36.1,0.0,63.0,17.0,15.0,42.0,1008.5,1005.9,27.6,32.5
23.2,38.7,0.0,44.0,15.0,15.0,24.0,1011.3,1008.4,27.7,37.5
19.4,40.6,0.0,41.0,6.0,22.0,20.0,1010.4,1007.7,30.5,39.8
