MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2.7,18.8,0.0,20.0,0.0,7.0,53.0,1027.6,1024.5,8.5,18.1
6.4,20.7,0.0,22.0,6.0,9.0,39.0,1024.1,1019.0,11.1,19.7
6.5,19.9,0.4,31.0,0.0,4.0,71.0,1016.8,1015.6,12.1,17.7
9.5,19.2,1.8,26.0,11.0,6.0,73.0,1019.3,1018.4,13.2,17.7
9.5,16.4,1.8,44.0,13.0,17.0,57.0,1020.4,1022.1,15.9,16.0
0.7,15.9,6.8,24.0,4.0,7.0,41.0,1032.0,1029.6,6.9,15.5
0.7,18.3,0.0,37.0,15.0,13.0,36.0,1028.9,1024.2,8.7,17.9
3.2,20.4,0.0,24.0,9.0,13.0,42.0,1023.9,1021.1,10.2,19.3
9.8,19.5,8.0,31.0,0.0,9.0,64.0,1026.4,1024.9,12.1,18.7
11.2,20.4,4.6,46.0,19.0,11.0,50.0,1020.2,1014.0,13.4,19.0
13.4,17.1,2.6,54.0,26.0,13.0,77.0,1014.7,1015.2,15.4,14.8
7.9,17.3,4.4,19.0,7.0,9.0,59.0,1019.0,1018.7,9.6,16.2
5.3,18.8,0.2,17.0,7.0,7.0,63.0,1025.1,1024.1,9.5,17.2
7.9,19.7,0.0,31.0,11.0,15.0,41.0,1026.0,1021.9,11.7,18.7
9.0,17.1,0.0,43.0,22.0,15.0,90.0,1010.4,1008.1,15.8,14.9
10.2,17.1,24.0,44.0,19.0,13.0,54.0,1013.8,1014.8,13.2,15.9
6.7,16.9,2.6,46.0,9.0,9.0,75.0,1015.1,1010.1,10.5,14.4
10.4,17.9,20.6,76.0,22.0,30.0,50.0,1002.3,1002.2,16.8,13.9
3.3,14.3,15.2,37.0,0.0,17.0,49.0,1022.9,1023.1,8.0,13.9
1.2,17.0,0.0,20.0,7.0,6.0,52.0,1030.1,1028.5,7.5,15.6
3.1,17.1,0.0,28.0,2.0,6.0,49.0,1031.1,1027.4,9.1,16.6
3.3,18.9,0.0,37.0,11.0,15.0,40.0,1024.8,1020.2,8.9,17.9
8.9,17.4,0.0,43.0,15.0,7.0,97.0,1013.6,1013.2,14.9,14.9
9.3,18.3,19.2,33.0,7.0,15.0,57.0,1018.0,1017.6,15.6,17.4
7.4,17.0,0.0,28.0,7.0,19.0,88.0,1017.7,1014.1,12.1,14.0
7.8,19.3,12.6,52.0,4.0,2.0,50.0,1017.8,1015.2,9.0,19.2
9.0,20.8,4.0,39.0,11.0,11.0,87.0,1009.7,1007.9,13.4,18.3
11.8,15.9,5.4,44.0,11.0,15.0,81.0,1008.2,1007.5,14.6,14.7
9.7,18.0,11.6,39.0,7.0,11.0,86.0,1012.3,1008.4,12.5,15.3
12.4,16.2,30.6,54.0,19.0,24.0,45.0,1005.1,1005.5,14.4,15.0
6.7,14.1,3.0,37.0,4.0,9.0,76.0,1015.2,1017.0,9.1,13.2
7.8,18.1,7.8,30.0,11.0,11.0,86.0,1021.6,1018.3,11.8,15.0
11.2,17.5,18.2,46.0,22.0,20.0,51.0,1017.3,1018.0,14.7,15.6
4.7,17.1,0.2,24.0,6.0,15.0,50.0,1027.5,1026.5,11.2,16.4
2.1,19.4,0.0,22.0,6.0,6.0,39.0,1033.2,1030.5,9.7,19.2
2.2,20.3,0.0,20.0,7.0,7.0,40.0,1034.0,1030.5,9.6,18.9
2.3,20.7,0.0,22.0,0.0,13.0,46.906122448979595,1030.7,1026.4,10.7,19.1
4.3,17.3,0.0,24.0,11.0,9.0,58.0,1029.1,1027.6,11.7,16.7
7.0,17.6,0.0,31.0,11.0,13.0,41.0,1031.7,1028.3,11.4,17.3
8.1,18.0,0.0,46.0,17.0,15.0,42.0,1030.0,1026.4,11.6,17.7
9.1,18.7,0.0,39.0,13.0,19.0,41.0,1028.6,1024.7,12.6,18.5
7.6,20.4,0.0,30.0,9.0,9.0,33.0,1026.9,1023.5,11.0,20.3
4.9,17.5,0.0,28.0,11.0,15.0,34.0,1030.4,1027.9,11.7,16.9
5.8,19.7,0.0,31.0,7.0,11.0,27.0,1031.8,1028.7,12.2,18.9
3.3,21.3,0.0,33.0,13.0,13.0,25.0,1030.1,1026.4,13.3,20.3
