MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
12.5,16.6,0.0,59.0,28.0,28.0,99.0,1006.7,1010.5,13.7,14.5
8.6,15.2,1.6,39.0,20.0,17.0,61.0,1020.0,1021.3,11.9,14.0
1.6,18.0,0.2,30.0,9.0,15.0,52.0,1020.4,1018.3,11.6,17.5
4.8,20.1,0.0,28.0,11.0,17.0,63.0,1016.4,1015.2,14.7,18.1
4.4,18.8,0.0,46.0,20.0,31.0,68.0,1014.0,1013.4,14.9,18.0
9.586866666666667,20.0,0.0,42.059852051109615,17.0,26.0,81.0,1010.9,1010.8,15.4,18.9
12.8,18.6,1.4,50.0,9.0,28.0,57.0,1011.5,1012.8,14.6,17.9
10.8,16.2,0.0,39.0,20.0,22.0,50.0,1019.8,1021.5,12.9,15.0
10.9,18.0,0.0,35.0,17.0,19.0,51.0,1022.2,1019.7,14.1,17.2
11.8,18.5,0.0,33.0,15.0,19.0,56.0,1014.5,1013.0,15.4,17.7
7.4,18.6,0.0,35.0,0.0,24.0,51.0,1012.7,1013.1,14.0,17.5
13.4,21.6,0.2,24.0,9.0,13.0,64.0,1018.3,1017.5,16.2,20.8
11.0,36.8,0.0,48.0,15.0,30.0,14.0,1010.9,1006.7,21.4,36.3
15.2,18.5,0.0,43.0,17.0,15.0,71.0,1011.5,1012.7,15.4,17.2
10.5,20.0,0.0,54.0,20.0,30.0,58.0,1015.8,1017.5,16.7,18.2
13.0,17.6,0.0,52.0,28.0,26.0,47.0,1020.3,1022.7,14.6,15.7
7.4,18.5,0.0,41.0,9.0,15.0,52.0,1024.4,1023.9,14.5,17.2
2.7,22.6,0.0,28.0,13.0,19.0,50.0,1021.8,1019.7,14.1,20.9
8.4,29.4,0.0,39.0,9.0,20.0,28.0,1012.3,1010.3,16.9,26.0
13.2,27.8,0.0,56.0,9.0,20.0,27.0,1006.3,1007.6,18.0,24.6
8.4,22.4,0.0,43.0,17.0,35.0,53.0,1011.3,1008.2,16.3,21.2
13.5,23.2,0.0,83.0,44.0,41.0,63.0,994.6,998.9,21.7,17.8
8.1,23.3,0.2,57.0,15.0,31.0,50.0,1006.6,1003.1,12.8,21.4
12.6,18.3,7.4,57.0,28.0,28.0,48.0,1008.8,1013.6,15.3,17.3
6.5,20.4,0.0,39.0,7.0,24.0,54.0,1018.5,1018.9,13.8,19.6
6.9,21.5,0.0,33.0,9.0,19.0,63.0,1022.6,1021.4,16.6,20.4
12.3,33.1,0.0,28.0,15.0,15.0,35.0,1016.3,1013.3,15.5,32.1
15.1,39.1,0.0,41.0,11.0,15.0,19.0,1009.0,1008.6,27.5,33.4
18.3,39.3,0.0,59.0,19.0,28.0,21.0,1006.9,1007.8,31.3,36.5
18.2,30.9,0.0,42.059852051109615,13.0,19.0,65.0,1011.7,1011.8,23.2,23.7
9.586866666666667,25.2,0.0,50.0,20.0,28.0,77.0,1015.7,1017.2,21.2,20.8
16.1,26.1,0.0,41.0,20.0,20.0,64.0,1017.1,1014.7,17.9,25.2
17.6,21.4,0.0,35.0,9.0,19.0,89.0,1012.6,1013.7,19.3,19.2
15.9,24.0,0.0,39.0,20.0,28.0,64.0,1014.7,1012.2,17.4,23.1
14.9,26.2,0.0,31.0,19.0,17.0,57.0,1009.7,1007.5,17.8,25.5
13.4,20.4,0.0,42.059852051109615,17.0,15.0,68.0,1008.4,1010.6,17.2,20.4
6.1,26.8,0.0,57.0,15.0,17.0,77.0,1009.5,1008.6,14.3,18.7
14.3,33.8,0.0,67.0,9.0,15.0,74.0,1000.4,1003.2,20.4,21.5
14.2,20.4,0.0,46.0,22.0,26.0,58.0,1013.6,1016.1,16.3,18.2
12.1,17.9,0.0,35.0,17.0,22.0,44.0,1019.9,1019.7,14.0,16.6
9.9,17.2,1.6,43.0,15.0,20.0,58.0,1020.5,1021.3,13.1,15.5
11.9,16.7,0.0,39.0,19.0,17.0,62.0,1023.1,1023.3,13.1,14.1
11.5,17.7,0.8,52.0,20.0,28.0,56.0,1024.5,1024.3,14.4,17.3
13.5,22.9,0.0,50.0,30.0,20.0,48.0,1026.5,1024.3,16.4,22.1
8.8,21.9,0.0,35.0,9.0,15.0,61.0,1023.0,1020.8,16.0,20.5
15.3,21.0,0.0,52.0,28.0,31.0,72.0,1020.7,1020.5,17.4,18.8
15.2,23.7,0.0,37.0,24.0,22.0,61.0,1019.7,1017.1,17.4,22.1
14.5,25.8,0.0,31.0,19.0,20.0,52.0,1015.5,1013.6,17.0,24.8
13.1,31.3,0.0,37.0,9.0,26.0,23.0,1011.5,1009.5,18.4,30.3
12.0,27.6,0.0,43.0,7.0,22.0,65.0,1007.9,1007.5,17.7,22.5
14.9,20.4,0.0,37.0,17.0,17.0,66.0,1014.2,1016.2,16.0,17.3
15.1,18.9,0.0,31.0,13.0,17.0,65.0,1020.6,1020.4,15.6,17.6
14.8,21.7,0.0,33.0,17.0,19.0,47.0,1018.5,1015.2,15.9,21.5
9.4,21.8,0.0,54.0,15.0,37.0,86.0,1009.5,1012.5,17.1,17.1
12.2,17.9,0.2,35.0,13.0,20.0,49.0,1021.0,1021.7,14.3,16.6
12.1,19.3,0.0,35.0,9.0,19.0,64.0,1021.8,1020.7,14.4,18.2
11.8,24.4,0.0,31.0,20.0,22.0,56.0,1018.4,1016.3,14.4,22.2
12.4,30.1,0.0,54.0,13.0,30.0,57.0,1010.0,1010.3,20.4,23.3
12.7,19.5,0.0,33.0,13.0,19.0,52.0,1015.1,1015.6,16.1,18.8
13.6,18.7,0.0,31.0,15.0,17.0,45.0,1016.9,1016.4,14.6,17.5
7.9,22.5,0.0,41.0,11.0,17.0,43.0,1015.4,1011.4,14.4,21.8
14.3,29.0,1.6,72.0,24.0,41.0,97.0,1000.5,1000.8,21.9,16.2
10.4,17.1,13.0,87.0,48.0,43.0,60.0,1009.5,1013.6,11.4,15.2
11.3,16.0,1.4,50.0,17.0,17.0,93.0,1018.9,1019.5,13.4,14.7
12.2,16.6,3.0,28.0,7.0,17.0,70.0,1018.0,1016.7,13.8,15.9
11.2,17.5,2.6,28.0,9.0,15.0,62.0,1017.4,1018.2,13.3,15.5
12.0,17.1,0.8,37.0,11.0,20.0,68.0,1022.0,1021.9,13.0,15.5
12.6,18.8,0.0,37.0,15.0,22.0,60.0,1022.2,1020.5,15.1,18.2
14.7,21.3,0.0,41.0,24.0,26.0,71.0,1020.9,1019.3,16.1,19.7
15.2,23.8,0.0,35.0,15.0,17.0,65.0,1020.2,1017.4,16.2,21.7
15.1,27.3,0.0,35.0,9.0,26.0,68.0,1015.7,1014.5,18.4,23.3
15.4,25.2,0.0,22.0,0.0,9.0,62.0,1016.2,1014.0,15.9,23.4
14.3,19.1,10.8,69.0,26.0,41.0,88.0,1008.3,1008.8,14.5,11.6
10.7,17.4,12.4,57.0,30.0,39.0,58.0,1011.1,1011.7,13.0,15.2
11.7,16.7,2.8,50.0,20.0,22.0,73.0,1013.4,1015.3,12.4,15.3
12.0,15.1,0.6,28.0,9.0,13.0,69.0,1019.7,1019.9,13.1,14.3
7.6,21.0,0.0,26.0,13.0,9.0,51.0,1016.4,1013.2,10.6,20.2
10.5,20.5,0.2,33.0,13.0,13.0,66.0,1012.0,1013.3,17.9,18.5
5.9,21.5,0.0,42.059852051109615,0.0,9.0,58.0,1016.4,1013.8,12.7,20.8
10.8,33.6,0.0,56.0,9.0,37.0,19.0,1010.3,1007.0,15.6,31.3
13.7,17.2,2.0,33.0,17.0,17.0,64.0,1015.4,1016.4,14.3,15.7
6.8,17.9,0.0,42.059852051109615,16.32956434985035,15.0,51.0,1018.6,1017.7,10.6,16.7
5.1,17.8,0.0,24.0,9.0,15.0,70.0,1017.7,1015.0,9.4,17.1
9.3,21.0,4.4,31.0,7.0,20.0,72.0,1015.9,1015.6,15.2,20.1
14.9,19.2,0.0,50.0,24.0,31.0,60.0,1020.4,1023.5,16.2,17.3
5.8,17.9,0.0,31.0,4.0,19.0,56.0,1028.0,1026.9,10.9,17.3
3.2,23.2,0.0,26.0,7.0,20.0,47.0,1023.2,1020.8,9.5,20.8
3.3,20.1,0.0,31.0,6.0,15.0,70.0,1022.4,1023.0,11.5,19.6
11.4,18.5,0.0,43.0,22.0,24.0,63.0,1026.8,1025.8,14.8,17.4
14.7,24.8,0.0,26.0,13.0,9.0,52.0,1022.3,1020.0,15.4,24.4
12.0,30.5,0.0,42.059852051109615,17.0,13.0,25.0,1020.6,1019.1,18.7,29.7
9.586866666666667,31.1,0.0,37.0,13.0,20.0,32.0,1017.6840840840841,1016.2,19.5,29.7
13.3,18.055053191489364,0.2,42.059852051109615,20.0,37.0,66.0,1018.4,1017.0,13.8,16.5
9.586866666666667,16.9,0.2,39.0,15.0,24.0,100.0,1024.1,1023.7,12.6,15.9
12.2,17.0,5.4,57.0,28.0,28.0,53.0,1019.9,1021.0,13.9,15.0
8.2,15.1,0.2,39.0,20.0,19.0,61.0,1027.6,1027.6,12.8,13.6
10.6,15.9,1.0,30.0,11.0,17.0,81.0,1031.5,1030.1,12.8,14.4
10.2,15.3,2.4,20.0,9.0,11.0,80.0,1029.2,1027.1,13.5,14.4
10.2,17.0,1.6,20.0,0.0,13.0,65.0,1023.5,1020.0,12.4,16.3
7.7,19.3,0.0,31.0,11.0,20.0,68.0,1020.9,1020.2,12.9,17.1
8.0,19.9,0.0,26.0,9.0,19.0,51.0,1023.9,1021.8,13.8,18.5
7.2,19.7,0.2,22.0,7.0,13.0,57.0,1023.3,1021.8,13.7,17.5
5.7,22.2,0.0,22.0,9.0,11.0,56.0,1021.7,1017.7,10.8,19.3
10.0,18.8,0.2,57.0,20.0,41.0,55.0,1012.8,1010.5,15.3,17.4
8.7,15.1,6.6,104.0,37.0,26.0,59.0,1008.2,1011.5,11.7,13.4
9.3,17.2,0.2,52.0,26.0,37.0,56.0,1009.1,1009.3,12.6,16.6
11.3,17.4,0.8,37.0,19.0,22.0,74.0,1016.6,1017.6,14.2,16.3
11.8,16.8,1.4,26.0,13.0,13.0,82.0,1024.1,1024.2,15.0,15.5
12.4,14.7,1.0,28.0,13.0,17.0,70.0,1027.1,1024.9,13.6,14.2
9.9,20.3,0.0,39.0,22.0,13.0,58.0,1022.9,1020.1,13.1,19.4
6.6,23.5,0.0,30.0,13.0,11.0,45.0,1022.6,1020.6,12.9,22.2
6.3,23.5,0.2,28.0,11.0,13.0,29.0,1023.2,1019.8,13.7,23.1
6.7,22.0,0.0,44.0,13.0,19.0,37.0,1014.0,1008.8,14.0,21.8
14.0,16.9,1.2,48.0,17.0,19.0,97.0,998.9,996.9,14.7,14.3
10.6,16.5,31.2,91.0,20.0,33.0,79.0,997.8,989.9,11.7,13.0
7.4,12.1,18.8,93.0,57.0,37.0,75.0,996.5,1002.5,11.0,11.2
6.3,10.9,8.8,31.0,13.0,17.0,87.0,1010.9,1011.2,8.4,10.4
7.1,13.0,3.6,37.0,13.0,13.0,52.0,1022.0,1022.7,9.7,11.7
5.3,14.8,0.0,17.0,9.0,11.0,50.0,1024.2,1022.3,9.0,13.1
1.8,17.0,0.0,39.0,9.0,24.0,49.0,1022.4,1018.4,6.8,16.6
6.8,14.9,7.2,37.0,9.0,19.0,58.0,1022.6,1022.8,10.6,13.9
4.8,16.3,0.0,31.0,7.0,17.0,70.0,1027.8,1026.5,10.9,15.1
6.8,15.1,0.8,30.0,7.0,17.0,91.0,1029.1,1027.9,12.4,13.7
10.6,15.6,1.8,24.0,9.0,11.0,73.0,1031.6,1031.3,13.3,15.1
4.6,15.5,0.0,19.0,7.0,7.0,69.0,1032.8,1030.2,9.6,14.1
6.2,15.4,0.4,33.0,0.0,19.0,69.0,1029.8,1027.6,11.6,14.7
11.5,15.6,1.4,30.0,13.0,15.0,88.0,1029.6,1029.5,13.1,14.0
9.6,15.1,0.6,22.0,7.0,11.0,74.0,1033.1,1031.3,12.7,14.0
7.1,14.6,0.4,24.0,11.0,13.0,76.0,1029.9,1027.6,13.195744680851066,13.6
11.0,14.2,0.4,46.0,7.0,7.0,76.0,1027.4,1025.2,12.0,13.6
7.4,15.9,0.0,22.0,0.0,11.0,61.0,1025.6,1024.1,11.5,15.1
6.9,16.1,0.0,28.0,11.0,20.0,63.0,1023.8,1020.5,11.6,15.6
11.1,15.3,7.0,56.0,20.0,26.0,69.0,1017.0,1014.2,11.2,14.1
11.1,16.0,3.8,69.0,35.0,35.0,77.0,1012.3,1009.7,12.6,14.3
12.2,15.3,5.4,72.0,44.0,48.0,89.0,1008.5,1006.6,14.2,14.5
11.3,14.2,4.2,69.0,31.0,28.0,64.0,1013.7,1016.3,12.2,13.1
11.0,14.8,0.8,37.0,15.0,11.0,92.0,1022.3,1021.3,12.6,12.8
10.4,13.4,0.0,17.0,6.0,7.0,64.0,1025.1,1022.3,11.7,13.1
6.7,16.3,0.0,24.0,13.0,13.0,73.0,1020.7,1018.1,13.195744680851066,15.5
8.6,18.8,0.0,17.0,9.0,6.0,69.0,1022.1,1021.7,12.4,18.2
9.8,18.0,0.0,22.0,11.0,15.0,66.0,1025.7,1023.8,11.9,17.0
4.4,20.0,0.4,28.0,9.0,17.0,46.0,1023.2,1019.2,13.195744680851066,19.7
7.1,17.3,0.0,35.0,17.0,15.0,68.0,1016.9,1014.0,14.6,16.8
13.8,17.9,0.0,50.0,19.0,17.0,71.0,1017.5,1015.9,16.1,17.5
13.7,15.2,4.2,30.0,7.0,17.0,94.0,1015.2,1013.3,13.195744680851066,14.6
8.5,14.7,4.6,35.0,15.0,20.0,71.0,1021.0,1020.7,10.2,13.8
6.6,13.7,2.6,28.0,9.0,13.0,77.0,1023.7,1023.5,11.2,12.4
9.1,13.2,2.4,37.0,13.0,15.0,85.0,1027.8,1027.6,11.1,11.8
10.3,15.1,3.2,30.0,13.0,15.0,73.0,1029.8,1028.9,12.4,13.3
5.0,14.4,0.2,39.0,7.0,17.0,77.0,1032.8,1031.5,9.3,13.3
4.9,16.0,0.0,41.0,7.0,9.0,57.0,1033.4,1030.5,9.2,15.8
7.4,12.3,7.4,28.0,7.0,15.0,92.0,1029.9,1028.4,9.7,11.9
9.5,13.3,2.4,31.0,15.0,17.0,87.0,1029.0,1026.3,11.0,12.9
9.7,15.1,4.4,20.0,9.0,7.0,82.0,1021.9,1018.3,10.3,14.1
9.9,15.7,0.2,26.0,11.0,13.0,68.0,1018.2,1016.0,10.9,15.1
5.5,15.9,0.2,17.0,9.0,9.0,67.0,1016.9,1014.6,7.7,15.6
5.2,13.3,0.2,22.0,6.0,13.0,80.0,1011.4,1007.9,7.7,11.8
5.0,11.7,6.2,22.0,7.0,6.0,94.0,1005.6,1004.7,7.8,10.8
7.8,12.1,21.0,50.0,22.0,13.0,91.0,1006.1,1006.7,9.1,8.1
