MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
19.5,22.4,15.6,41.75758889852558,17.0,20.0,84.0,1017.6,1017.4,20.7,20.9
19.5,25.6,6.0,41.75758889852558,9.0,13.0,73.0,1017.9,1016.4,22.4,24.8
21.6,24.5,6.6,41.75758889852558,17.0,2.0,86.0,1016.7,1015.6,23.5,23.0
20.2,22.8,18.8,41.75758889852558,22.0,20.0,90.0,1014.2,1011.8,21.4,20.9
19.7,25.7,77.4,41.75758889852558,11.0,6.0,74.0,1008.3,1004.8,22.5,25.5
20.2,27.2,1.6,41.75758889852558,9.0,22.0,62.0,1002.7,998.6,23.8,26.0
18.6,26.3,6.2,41.75758889852558,15.0,15.0,80.0,999.0,1000.3,21.7,22.3
17.2,22.3,27.6,41.75758889852558,7.0,15.0,61.0,1008.3,1007.4,18.9,21.1
16.4,20.8,12.6,41.75758889852558,19.0,9.0,91.0,1006.4,1007.6,17.1,16.5
14.6,24.2,8.8,41.75758889852558,11.0,20.0,53.0,1014.0,1013.4,17.2,23.3
16.4,23.9,0.0,41.75758889852558,9.0,26.0,53.0,1017.6,1015.3,18.9,23.7
18.9,27.3,0.0,41.75758889852558,7.0,24.0,67.0,1010.7,1007.5,22.9,24.7
18.4,22.8,14.4,41.75758889852558,24.0,30.0,70.0,1009.2,1011.7,20.9,21.0
16.9,24.3,3.0,41.75758889852558,15.0,19.0,51.0,1017.2,1016.5,18.4,23.3
18.3,24.4,0.0,41.75758889852558,19.0,22.0,56.0,1020.2,1018.9,19.5,23.8
16.7,24.1,0.0,41.75758889852558,11.0,26.0,52.0,1023.0,1022.6,19.8,23.3
19.5,24.8,0.0,41.75758889852558,13.0,24.0,62.0,1024.7,1023.1,21.8,23.4
18.6,25.3,0.0,41.75758889852558,13.0,24.0,59.0,1021.7,1019.4,21.2,23.8
19.0,24.8,0.0,41.75758889852558,7.0,17.0,65.0,1018.0,1015.4,20.8,23.4
18.3,26.4,0.0,41.75758889852558,13.0,22.0,60.0,1013.4,1010.8,21.3,25.2
20.6,26.8,0.0,41.75758889852558,4.0,15.0,62.0,1011.4,1009.7,22.1,24.9
19.1,25.4,0.4,41.75758889852558,11.0,28.0,66.0,1009.2,1003.1,22.3,24.9
20.5,26.0,0.0,41.75758889852558,20.0,24.0,45.0,1007.4,1007.0,22.5,24.0
16.5,28.3,0.0,41.75758889852558,11.0,24.0,40.0,1007.9,1008.0,21.2,26.1
20.5,24.2,0.0,41.75758889852558,15.0,20.0,54.0,1017.5,1016.9,21.6,23.5
19.3,26.2,0.0,41.75758889852558,2.0,28.0,65.0,1018.3,1015.6,23.0,25.8
19.0,29.0,22.2,41.75758889852558,0.0,15.0,52.0,1014.1,1010.6,21.3,24.7
17.9,21.4,4.2,41.75758889852558,20.0,9.0,88.0,1010.0,1010.1,20.4,19.2
14.7,20.6,33.0,41.75758889852558,24.0,28.0,51.0,1015.3,1015.6,17.1,19.9
12.8,22.0,0.2,41.75758889852558,19.0,31.0,46.0,1020.9,1020.6,15.9,21.2
14.2,23.4,5.4,41.75758889852558,13.0,17.0,54.0,1026.2,1025.2,15.1,22.4
15.0,23.1,0.2,41.75758889852558,15.0,19.0,57.0,1025.8,1022.5,18.2,22.5
15.5,25.4,0.0,41.75758889852558,9.0,19.0,57.0,1020.5,1018.6,18.7,23.8
18.7,25.8,0.0,41.75758889852558,19.0,22.0,64.0,1024.8,1024.2,22.6,24.1
19.6,26.0,0.0,41.75758889852558,11.0,19.0,65.0,1024.2,1019.8,22.1,24.7
19.9,24.9,0.0,41.75758889852558,13.0,24.0,75.0,1021.3,1020.7,22.9,23.3
16.5,24.8,17.4,41.75758889852558,9.0,22.0,71.0,1023.4,1022.3,18.8,21.5
16.4,24.3,0.0,41.75758889852558,9.0,19.0,64.0,1025.5,1025.2,19.7,23.8
19.3,26.3,0.0,41.75758889852558,9.0,24.0,50.0,1025.1,1022.5,22.9,25.5
18.6,26.1,0.0,41.75758889852558,2.0,20.0,58.0,1022.0,1021.4,21.9,26.0
19.3,26.4,0.0,41.75758889852558,7.0,22.0,60.0,1021.9,1018.8,22.2,25.0
19.2,26.1,0.0,41.75758889852558,6.0,20.0,69.0,1019.7,1019.0,22.4,25.3
18.8,26.0,0.0,41.75758889852558,9.0,24.0,62.0,1022.8,1020.0,21.8,25.7
19.3,26.1,0.0,41.75758889852558,2.0,20.0,64.0,1022.1,1020.9,22.5,25.6
19.7,25.8,0.0,41.75758889852558,7.0,24.0,69.0,1024.6,1022.6,22.8,24.7
19.5,25.7,0.0,41.75758889852558,4.0,19.324796625489604,60.0,1024.8,1022.8,22.0,25.4
19.0,26.7,0.0,41.75758889852558,11.0,20.0,58.0,1023.3,1020.0,22.2,25.6
19.9,26.9,0.0,41.75758889852558,7.0,13.0,60.0,1021.2,1019.4,23.9,24.9
19.7,28.1,0.0,41.75758889852558,6.0,17.0,58.0,1014.3,1009.6,23.5,27.6
17.7,19.6,1.0,41.75758889852558,26.0,22.0,80.0,1017.3,1018.9,17.8,18.4
16.9,23.2,2.2,41.75758889852558,24.0,30.0,60.0,1022.8,1022.2,19.6,21.7
16.3,24.8,0.4,41.75758889852558,9.0,13.0,57.0,1023.1,1020.6,18.5,24.8
18.5,24.3,17.0,41.75758889852558,7.0,26.0,72.0,1018.7,1015.3,19.9,23.3
19.8,27.5,0.4,41.75758889852558,4.0,17.0,58.0,1011.1,1006.9,21.4,27.0
17.0,27.2,19.0,41.75758889852558,0.0,6.0,38.0,1008.9,1007.9,20.5,27.1
15.0,23.6,0.0,41.75758889852558,20.0,19.0,42.0,1014.7,1013.4,17.5,21.8
15.2,21.7,0.0,41.75758889852558,13.0,17.0,51.0,1017.1,1016.2,18.3,21.2
14.4,22.9,0.2,41.75758889852558,15.0,15.0,65.0,1015.4,1011.2,16.7,21.7
13.1,26.8,0.0,41.75758889852558,22.0,15.0,22.0,1013.0,1009.0,16.9,25.9
13.5,25.6,0.0,41.75758889852558,9.0,17.0,31.0,1015.0,1012.5,16.3,24.9
13.7,23.9,0.0,41.75758889852558,20.0,15.0,54.0,1023.0,1021.5,16.7,23.3
14.1,28.7,0.0,41.75758889852558,6.0,22.0,34.0,1019.0,1012.4,17.8,28.0
16.4,22.2,0.0,41.75758889852558,26.0,20.0,21.0,1009.9,1010.8,16.6,21.2
11.2,22.2,0.0,41.75758889852558,24.0,15.0,37.0,1020.8,1019.2,13.9,21.0
11.6,22.7,0.0,41.75758889852558,13.0,17.0,50.0,1024.5,1023.4,15.2,21.0
13.1,22.7,0.0,41.75758889852558,13.0,20.0,55.0,1027.2,1024.6,17.7,22.1
15.3,22.0,12.0,41.75758889852558,11.0,15.0,70.0,1026.3,1024.2,18.2,19.8
14.6,22.1,9.6,41.75758889852558,20.0,17.0,75.0,1026.5,1024.1,17.0,18.9
15.6,22.2,22.8,41.75758889852558,13.0,20.0,62.0,1024.6,1021.4,16.3,21.1
13.8,22.7,2.2,41.75758889852558,15.0,15.0,60.0,1022.1,1019.7,18.7,21.9
14.1,23.5,0.0,41.75758889852558,15.0,15.0,61.0,1020.1,1017.5,17.1,22.1
14.0,23.8,0.0,41.75758889852558,11.0,9.0,59.0,1018.6,1016.0,17.6,22.2
15.1,22.7,0.0,41.75758889852558,11.0,4.0,75.0,1016.4,1013.4,17.4,19.7
13.2,18.9,11.0,41.75758889852558,19.0,30.0,64.0,1019.6,1019.2,15.9,18.8
13.8,19.7,2.8,41.75758889852558,20.0,22.0,71.0,1025.4,1023.9,15.9,19.0
13.8,20.9,1.4,41.75758889852558,15.0,20.0,85.0,1026.4,1024.6,17.2,16.2
14.9,19.7,4.6,41.75758889852558,17.0,13.0,72.0,1025.1,1023.4,16.4,19.4
15.3,20.0,6.4,41.75758889852558,4.0,15.0,75.0,1025.4,1023.7,16.4,19.6
15.9,21.4,5.0,41.75758889852558,22.0,24.0,61.0,1027.2,1026.1,19.3,19.5
15.2,19.1,2.8,41.75758889852558,15.0,6.0,75.0,1026.6,1023.7,17.3,18.4
14.7,19.3,21.8,41.75758889852558,9.0,19.0,70.0,1023.2,1021.4,16.6,19.0
14.4,20.3,10.2,41.75758889852558,9.0,20.0,55.0,1023.6,1022.3,16.1,20.1
