MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
17.7,35.1,0.0,72.0,15.0,33.0,13.0,1005.3,1000.2,22.9,34.0
18.5,23.0,0.0,63.0,15.0,35.0,58.0,1012.9,1014.1,20.6,20.1
16.9,23.2,0.0,47.2342799188641,15.0,17.0,50.0,1021.8,1019.4,18.9,22.0
18.7,27.1,0.0,65.0,24.0,48.0,51.0,1018.5,1014.9,22.9,25.9
20.2,31.6,0.0,63.0,11.0,35.0,52.0,1013.2,1008.0,24.9,29.0
19.9,29.7,0.0,41.0,19.0,20.0,54.0,1011.7,1007.8,22.7,28.7
20.6,34.9,0.0,59.0,15.0,26.0,52.0,1010.0,1004.7,22.3,30.3
20.2,21.7,0.2,56.0,33.0,35.0,78.0,1012.4,1013.6,20.7,19.7
17.4,22.9,0.0,50.0,30.0,28.0,44.0,1020.2,1018.8,19.4,22.3
16.3,24.0,0.0,48.0,17.0,28.0,44.0,1017.0,1013.8,20.3,23.2
18.0,26.6,0.0,54.0,24.0,33.0,48.0,1013.9,1011.3,23.1,25.7
18.5,24.0,0.8,39.0,9.0,28.0,72.0,1015.5,1016.5,21.8,23.7
19.3,27.9,0.6,59.0,11.0,35.0,48.0,1019.5,1016.1,21.9,26.7
20.9,32.0,0.0,67.0,9.0,46.0,39.0,1014.5,1010.5,26.5,30.9
22.6,38.8,0.0,81.0,6.0,26.0,43.0,1009.1,1006.6,29.6,32.0
18.4,26.3,5.4,54.0,17.0,24.0,54.0,1013.0,1008.9,20.5,25.5
17.1,20.7,0.0,54.0,43.0,33.0,57.0,1020.2,1020.8,18.8,19.8
14.4,25.0,0.0,43.0,9.0,30.0,43.0,1022.0,1019.8,19.3,23.5
17.0,27.3,0.0,59.0,22.0,37.0,49.0,1019.2,1014.7,22.2,25.6
19.5,31.7,0.0,67.0,7.0,41.0,38.0,1013.8,1009.9,25.8,31.1
20.9,33.7,3.0,59.0,13.0,39.0,45.0,1011.8,1007.6,27.6,31.2
22.6,34.6,0.6,63.0,26.0,39.0,40.0,1008.7,1004.8,29.4,33.0
24.7,32.1,0.0,80.0,13.0,20.0,56.0,1009.3,1007.3,25.3,29.8
24.1,41.8,0.0,69.0,11.0,31.0,37.0,1004.6,1002.9,31.7,34.4
19.6,25.0,0.0,44.0,22.0,20.0,52.0,1019.5,1018.5,20.2,24.0
20.1,24.9,0.0,39.0,17.0,30.0,81.0,1019.4,1019.3,21.4,24.1
19.8,24.6,8.2,39.0,24.0,15.0,96.0,1021.1,1020.1,20.2,21.5
19.5,29.4,0.2,54.0,24.0,35.0,50.0,1018.4,1015.5,24.6,29.2
20.7,30.0,0.0,57.0,13.0,37.0,59.0,1018.5,1016.2,25.5,28.7
20.4,30.2,0.0,61.0,15.0,41.0,48.0,1018.7,1015.4,24.9,29.6
21.6,31.2,0.0,61.0,15.0,31.0,51.0,1017.4,1013.9,24.8,29.5
20.9,28.2,0.0,41.0,17.0,24.0,69.0,1016.3,1016.2,23.5,26.9
22.7,30.4,0.0,63.0,13.0,33.0,48.0,1016.2,1011.8,26.4,29.8
21.9,28.3,0.0,46.0,13.0,24.0,63.0,1010.9,1010.2,25.8,26.4
21.3,28.0,0.0,37.0,19.0,24.0,64.0,1011.7,1009.2,23.5,27.3
22.6,31.5,0.0,63.0,17.0,31.0,52.0,1009.1,1005.4,26.6,30.7
21.4,31.7,0.0,59.0,17.0,30.0,53.0,1011.2,1008.1,23.8,30.8
21.5,34.9,0.0,67.0,9.0,44.0,32.0,1013.3,1009.9,27.1,31.9
22.0,31.1,0.0,59.0,20.0,39.0,43.0,1010.8,1007.1,25.2,30.2
20.0,21.5,0.0,57.0,35.0,31.0,88.0,1012.0,1011.7,20.3,19.8
17.8,19.5,1.2,54.0,17.0,31.0,88.0,1012.0,1010.2,18.4,18.7
17.4,22.1,2.8,56.0,35.0,33.0,70.0,1011.4,1011.3,17.8,21.4
17.0,21.5,4.8,47.2342799188641,28.0,31.0,64.0,1017.6,1019.0,19.1,19.9
17.0,20.2,1.8,52.0,35.0,28.0,95.0,1025.5,1025.1,18.5,17.6
16.5,21.3,41.8,52.0,28.0,22.0,82.0,1023.1,1019.5,19.3,18.4
17.0,23.2,14.0,54.0,28.0,30.0,85.0,1014.9,1014.1,19.5,20.9
17.8,24.6,16.6,61.0,35.0,37.0,58.0,1017.8,1017.8,21.5,22.8
18.3,22.8,3.6,50.0,20.0,26.0,69.0,1017.0,1015.6,21.2,21.4
18.9,25.0,15.0,47.2342799188641,26.0,30.0,68.0,1010.2,1008.2,20.4,24.3
19.5,31.2,0.6,47.2342799188641,20.0,17.0,51.0,1007.9,1004.7,23.4,28.9
19.9,27.4,0.0,31.0,7.0,24.0,63.0,1011.7,1010.1,23.5,26.2
21.7,24.2,0.0,33.0,4.0,26.0,91.0,1013.4,1013.6,22.2,21.7
20.4,25.1,2.6,30.0,17.0,19.0,61.0,1018.5,1017.5,22.3,23.9
19.8,28.8,0.0,52.0,9.0,31.0,58.0,1016.9,1012.7,23.6,27.6
20.2,27.8,0.0,56.0,17.0,30.0,77.0,1014.1,1013.5,24.3,24.3
20.6,25.8,0.0,37.0,13.0,24.0,66.0,1016.7,1014.8,21.4,25.1
19.3,23.0,0.0,48.0,13.0,33.0,59.0,1020.4,1018.8,19.7,22.6
18.7,23.9,0.0,33.0,22.0,20.0,50.0,1018.0,1015.7,20.3,23.0
17.8,27.7,0.0,37.0,15.0,28.0,53.0,1009.6,1006.6,21.7,26.8
21.3,26.1,0.0,31.0,11.0,19.0,56.0,1010.8,1010.8,23.2,25.1
21.3,26.6,0.0,44.0,11.0,24.0,56.0,1016.5,1015.1,23.6,25.3
21.3,28.3,0.0,44.0,24.0,30.0,51.0,1017.9,1014.9,24.7,26.2
22.9,25.9,0.0,57.0,9.0,20.0,46.0,1007.9,1008.7,25.4,22.9
15.6,23.2,0.0,47.2342799188641,35.0,24.0,39.0,1009.8,1009.0,19.2,22.6
