MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
24.4,31.4,23.6,33.0,11.0,26.0,74.0,1011.9,1008.9,30.1,30.1
25.9,31.7,0.6,37.0,19.0,28.0,70.0,1012.4,1008.9,29.7,30.4
26.1,32.0,2.4,33.0,20.0,9.0,44.0,1013.5,1010.4,29.4,31.2
23.9,31.2,0.0,41.0,11.0,26.0,62.0,1014.2,1011.9,29.0,30.5
24.2,32.3,0.0,39.0,20.0,26.0,65.0,1015.1,1012.3,29.8,30.7
26.2,31.8,1.4,35.0,22.0,28.0,66.0,1013.2,1009.2,29.9,30.9
26.7,32.4,0.0,39.0,20.0,24.0,65.0,1010.6,1006.4,29.3,31.5
22.5,30.9,76.8,54.0,2.0,13.0,70.0,1011.0,1006.3,24.4,30.4
23.8,32.2,3.8,59.0,17.0,28.0,71.0,1010.3,1006.3,29.2,30.8
27.5,31.5,0.0,39.0,20.0,28.0,73.0,1010.4,1007.2,30.2,30.7
27.3,31.6,0.0,33.0,20.0,26.0,63.0,1010.8,1007.1,29.9,31.0
25.2,31.4,0.0,39.0,15.0,22.0,57.0,1011.0,1008.1,29.8,30.3
26.2,32.2,0.0,33.0,17.0,20.0,61.0,1009.7,1005.9,29.5,31.7
27.5,34.0,0.0,80.0,13.0,15.0,66.0,1006.7,1002.2,29.9,33.0
23.4,33.8,21.2,28.0,17.0,17.0,42.0,1007.8,1004.8,30.7,32.3
26.1,31.7,0.0,43.0,26.0,31.0,53.0,1011.0,1008.8,29.9,31.1
27.2,31.2,0.0,41.0,24.0,30.0,64.0,1012.1,1009.2,29.8,30.2
26.1,31.4,0.0,37.0,19.0,20.0,60.0,1010.8,1007.6,29.8,31.1
27.3,31.5,0.0,30.0,4.0,22.0,73.0,1009.3,1007.1,29.4,30.1
26.6,33.5,0.0,37.0,9.0,20.0,64.0,1009.2,1005.8,31.4,31.8
26.3,33.0,0.2,39.0,9.0,22.0,64.0,1010.2,1008.6,28.7,30.7
25.6,32.4,0.0,44.0,13.0,30.0,69.0,1012.2,1010.1,28.8,29.3
25.4,31.2,0.4,39.0,28.0,30.0,50.0,1013.0,1009.8,29.4,30.4
24.1,31.5,0.0,39.0,13.0,30.0,52.0,1012.2,1009.2,28.8,30.5
24.1,31.7,0.0,37.0,13.0,24.0,54.0,1010.4,1008.7,29.4,30.5
25.1,32.4,0.0,37.0,20.0,30.0,58.0,1010.3,1008.7,29.8,30.8
26.5,33.2,0.0,39.0,20.0,26.0,65.0,1010.0,1006.8,30.6,30.4
26.7,33.4,0.0,41.0,13.0,28.0,62.0,1008.1,1003.6,29.6,31.4
24.9,31.1,14.4,35.0,28.0,9.0,66.0,1007.6,1003.9,28.1,30.3
25.1,32.3,2.8,31.0,2.0,13.0,83.0,1007.0,1004.9,29.1,28.4
24.1,31.2,31.2,37.0,13.0,13.0,67.0,1007.4,1003.7,28.7,30.7
24.8,31.9,1.4,39.0,2.0,19.0,69.0,1008.0,1005.4,28.8,29.9
25.1,31.0,0.8,26.0,0.0,13.0,72.0,1009.1,1006.9,28.2,30.2
25.3,31.3,1.2,35.0,9.0,11.0,70.0,1010.1,1007.5,25.7,29.7
23.8,31.5,17.4,43.0,22.0,28.0,69.0,1010.2,1006.9,28.2,29.7
25.0,31.3,0.4,33.0,13.0,26.0,70.0,1008.8,1005.6,29.2,30.1
25.2,31.6,1.8,30.0,9.0,22.0,69.0,1009.3,1005.2,29.1,30.0
25.3,31.6,0.6,31.0,6.0,24.0,68.0,1008.1,1004.5,28.9,30.8
26.3,31.6,0.0,43.0,13.0,24.0,71.0,1006.0,1003.7,29.6,30.0
25.5,31.7,1.0,43.0,28.0,28.0,67.0,1006.0,1003.2,26.7,29.7
23.2,31.3,4.4,61.0,19.0,35.0,55.0,1005.6,1003.4,29.3,29.7
23.7,31.2,1.0,43.0,6.0,24.0,60.0,1007.2,1005.6,26.3,29.8
24.1,25.1,2.8,76.0,31.0,37.0,90.0,1005.6,1004.3,24.6,23.2
20.2,27.2,177.6,80.0,41.0,35.0,94.0,1005.3,1003.8,23.2,24.9
23.1,28.3,44.8,65.0,31.0,15.0,90.0,1007.8,1007.0,26.9,26.7
24.1,30.0,86.2,31.0,15.0,24.0,74.0,1011.4,1009.2,24.9,29.5
24.8,30.4,0.0,43.0,19.0,20.0,79.0,1012.6,1010.1,27.9,27.6
25.3,30.8,3.2,31.0,9.0,20.0,81.0,1011.6,1009.6,27.6,28.4
24.3,31.0,4.2,48.0,13.0,19.0,78.0,1012.5,1010.9,28.6,27.7
24.1,31.1,1.4,54.0,20.0,28.0,65.0,1013.2,1010.4,27.0,30.1
23.7,31.1,0.0,39.0,13.0,28.0,65.0,1012.6,1010.7,28.1,30.2
24.5,31.4,0.4,39.0,17.0,30.0,65.0,1012.5,1009.0,29.4,29.9
25.8,30.7,0.2,37.0,9.0,28.0,79.0,1010.1,1007.2,28.7,29.2
24.2,29.1,21.4,41.0,11.0,11.0,84.0,1011.6,1008.4,26.3,27.7
23.6,31.6,54.0,33.0,7.0,17.0,64.0,1012.1,1007.4,25.6,29.2
24.1,31.1,34.2,33.0,9.0,19.0,72.0,1010.1,1007.8,27.0,29.5
23.4,28.7,42.4,37.0,9.0,9.0,80.0,1011.1,1008.9,25.3,28.5
23.8,29.7,19.0,39.0,13.0,26.0,89.0,1011.1,1008.1,27.3,25.2
23.8,28.5,4.2,43.0,15.0,17.0,91.0,1009.5,1007.9,27.0,24.6
23.1,26.3,21.6,46.0,15.0,20.0,91.0,1008.6,1006.3,25.5,25.1
