MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
19.7,30.0,0.8,48.0,30.0,24.0,54.0,1010.6,1007.5,21.7,28.4
21.6,33.1,0.0,33.0,22.0,11.0,33.0,1010.5,1006.5,24.6,31.3
21.3,36.1,0.0,33.0,24.0,13.0,27.0,1006.9,1002.7,27.6,34.5
22.9,37.7,0.0,39.0,28.0,13.0,22.0,1006.0,1002.1,28.7,35.4
24.0,39.0,0.0,39.0,20.0,19.0,21.0,1006.9,1003.5,29.9,37.3
24.3,39.7,0.0,46.0,22.0,15.0,17.0,1007.9,1003.9,30.4,38.1
26.6,38.6,0.0,33.0,24.0,15.0,21.0,1008.3,1004.5,29.9,37.1
26.9,39.4,0.0,54.0,13.0,15.0,24.0,1008.9,1005.1,30.9,36.8
24.4,40.0,0.0,54.0,22.0,9.0,24.0,1010.4,1005.9,28.6,37.5
25.4,39.8,0.0,37.0,24.0,13.0,20.0,1010.7,1006.8,31.0,37.7
23.9,39.5,0.0,41.0,17.0,19.0,13.0,1010.3,1006.0,31.9,37.9
20.6,40.9,0.0,57.0,15.0,7.0,13.0,1009.2,1005.3,32.0,39.7
22.3,37.3,0.0,52.0,28.0,19.0,24.0,1012.6,1008.5,24.1,34.6
19.8,33.8,0.0,39.0,26.0,11.0,24.0,1013.8,1009.4,23.3,32.7
17.2,35.9,0.0,35.0,24.0,7.0,13.0,1015.3,1010.7,23.5,34.6
19.1,37.9,0.0,43.0,22.0,22.0,10.0,1016.1,1012.7,27.9,36.9
21.9,35.4,0.0,46.0,33.0,17.0,20.0,1018.6,1013.7,26.4,34.2
19.6,34.9,0.0,35.0,26.0,17.0,20.0,1016.3,1012.0,24.4,33.5
20.0,36.6,0.0,30.0,22.0,19.0,15.0,1015.6,1011.5,25.5,34.9
19.7,39.6,0.0,30.0,9.0,11.0,13.0,1014.8,1009.3,27.5,37.8
25.9,39.8,0.0,39.0,22.0,19.0,17.0,1010.4,1006.7,33.2,38.7
22.9,37.8,0.0,35.0,20.0,17.0,17.0,1013.9,1010.2,25.5,36.1
22.4,34.6,0.4,46.0,28.0,22.0,25.0,1014.9,1012.2,24.5,32.6
22.5,37.2,0.0,61.0,26.0,20.0,21.0,1015.6,1011.1,28.1,35.4
21.3,32.5,0.0,48.0,9.0,19.0,54.0,1015.3,1011.1,23.5,26.9
19.6,38.0,0.0,46.0,26.0,26.0,22.0,1010.1,1004.5,28.4,36.7
25.4,34.7,0.0,50.0,15.0,17.0,39.0,1009.7,1006.6,26.8,32.7
16.9,20.0,40.2,46.0,22.0,30.0,71.0,1018.1,1016.6,17.7,19.5
14.9,26.5,0.4,50.0,31.0,22.0,49.0,1017.0,1012.9,17.5,24.7
14.8,16.4,7.2,41.268372703412076,24.0,20.0,95.0,1015.3,1014.1,14.9,15.2
14.4,23.4,0.7843626806833113,43.0,17.616731517509727,24.0,56.0,1017.1014030612245,1015.2,21.012348048624442,21.7
13.6,27.3,0.0,44.0,24.0,26.0,36.0,1020.1,1016.6,19.3,25.8
16.0,27.7,0.0,44.0,28.0,20.0,29.0,1019.9,1016.3,20.9,25.9
15.0,29.9,0.0,46.0,26.0,22.0,23.0,1019.1,1014.8,21.5,28.8
15.4,29.7,0.0,44.0,22.0,13.0,23.0,1019.6,1015.5,21.9,28.2
19.3,29.1,0.0,35.0,24.0,6.0,28.0,1019.4,1015.8,23.0,28.8
14.5,31.5,0.0,39.0,6.0,24.0,25.0,1018.7,1014.0,22.4,30.2
17.4,32.7,0.0,39.0,17.0,15.0,18.0,1017.9,1014.3,24.4,31.2
17.2,32.3,0.0,43.0,20.0,24.0,18.0,1019.7,1015.8,24.3,32.0
17.1,31.7,0.0,46.0,19.0,26.0,16.0,1020.7,1016.3,24.2,30.3
14.9,31.8,0.0,52.0,15.0,22.0,16.0,1019.8,1015.4,23.2,30.5
14.8,31.1,0.0,50.0,13.0,24.0,16.0,1018.5,1014.9,22.5,29.9
15.1,30.6,0.0,43.0,20.0,19.0,17.0,1018.4,1014.4,24.0,29.5
11.8,32.0,0.0,30.0,9.0,9.0,16.0,1017.2,1013.4,21.3,30.4
15.0,33.7,0.0,28.0,4.0,7.0,14.0,1015.2,1010.9,24.2,33.4
18.5,32.4,0.0,30.0,20.0,17.0,26.0,1013.1,1009.7,25.5,30.7
15.5,29.9,0.0,35.0,24.0,4.0,29.0,1015.9,1011.8,21.7,29.3
14.9,31.9,0.0,28.0,13.0,7.0,21.0,1015.2,1011.3,21.8,30.5
16.0,32.6,0.0,31.0,22.0,7.0,19.0,1015.6,1012.4,22.7,32.0
16.1,33.5,0.0,31.0,13.0,9.0,19.0,1017.6,1013.6,22.7,33.0
15.9,36.0,0.0,30.0,9.0,15.0,15.0,1015.0,1010.0,23.0,35.0
15.4,33.8,0.0,39.0,24.0,15.0,26.0,1010.5,1008.1,25.2,33.2
15.7,31.2,0.0,31.0,19.0,11.0,29.0,1014.1,1010.9,23.2,29.5
