MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
9.9,28.4,0.0,59.0,7.0,35.0,24.0,1005.2,1003.5,20.8,27.0
8.9,25.3,0.0,48.0,22.0,28.0,10.0,1013.9,1012.9,14.7,23.2
11.0,30.7,0.0,39.0,26.0,9.0,18.0,1017.8,1014.3,18.9,28.0
14.7,35.2,0.0,39.0,17.0,13.0,19.0,1014.8,1010.6,24.7,33.7
11.8,36.5,0.0,43.0,7.0,19.0,5.0,1013.1,1009.8,23.6,34.6
12.5,39.1,0.0,72.0,6.0,30.0,3.0,1011.4,1007.4,25.8,37.4
15.6,41.8,0.0,59.0,13.0,30.0,5.0,1006.4,1002.5,29.1,39.4
14.5,30.4,0.0,54.0,19.0,28.0,8.0,1011.9,1010.9,18.9,28.5
14.8,28.7,0.0,78.0,30.0,20.0,18.0,1016.9,1013.5,19.0,27.2
15.9,29.7,0.0,61.0,26.0,20.0,31.0,1013.4,1008.8,19.3,27.1
18.1,31.3,0.0,33.0,20.0,9.0,38.0,1010.1,1007.3,22.6,29.1
16.5,35.4,0.0,39.0,9.0,15.0,17.0,1013.9,1011.8,24.9,33.9
19.4,38.3,0.0,41.0,15.0,13.0,16.0,1016.1,1011.2,25.0,36.1
20.9,42.0,0.0,50.0,13.0,24.0,10.0,1012.3,1008.1,31.0,41.0
25.6,36.9,0.0,48.0,26.0,26.0,7.0,1008.6,1009.0,32.4,35.0
14.0,28.4,0.0,61.0,24.0,37.0,15.0,1014.6,1012.3,20.0,26.7
10.8,29.3,0.0,35.0,15.0,11.0,14.0,1018.4,1016.6,18.1,26.6
13.7,31.8,0.0,30.0,17.0,9.0,14.0,1020.1,1016.7,18.9,29.9
15.9,36.4,0.0,46.0,13.0,20.0,10.0,1016.0,1011.0,25.2,35.0
21.8,40.0,0.0,115.0,17.0,20.0,19.0,1011.0,1006.0,30.9,37.2
16.4,37.9,15.8,65.0,17.0,20.0,13.0,1009.3,1006.7,27.9,36.7
23.1,35.0,0.2,94.0,26.0,33.0,39.0,1007.0,1001.5,25.2,32.5
19.8,35.5,12.8,46.0,4.0,28.0,42.0,1008.1,1004.6,23.4,33.3
21.3,31.1,0.0,57.0,24.0,22.0,26.0,1006.9,1008.2,24.3,29.7
14.7,33.1,0.0,41.0,22.0,7.0,20.0,1016.5,1014.7,21.7,30.8
18.0,37.7,0.0,57.0,9.0,11.0,16.0,1017.8,1014.9,25.3,35.5
20.9,37.9,0.0,57.0,19.0,7.0,23.0,1018.1,1014.3,25.2,36.5
23.0,39.2,0.0,31.0,13.0,6.0,20.0,1015.9,1012.6,29.5,37.6
25.3,40.7,0.0,26.0,15.0,11.0,15.0,1015.6,1012.0,31.7,38.9
24.8,41.2,0.0,30.0,17.0,13.0,14.0,1014.9,1010.8,30.9,39.1
22.9,41.6,0.0,28.0,13.0,13.0,14.0,1015.1,1011.4,30.6,39.1
26.9,41.6,0.0,63.0,19.0,20.0,11.0,1012.6,1009.7,32.9,40.6
22.7,39.0,0.0,61.0,26.0,11.0,21.0,1012.4,1007.4,26.0,37.4
24.4,39.4,0.0,52.0,11.0,20.0,17.0,1009.1,1004.9,28.2,38.6
22.1,38.1,0.0,44.0,22.0,7.0,26.0,1008.9,1004.5,26.4,35.9
25.8,41.7,0.0,33.0,9.0,11.0,17.0,1006.1,1002.8,31.2,39.7
25.2,42.8,0.0,31.0,13.0,9.0,12.0,1007.7,1005.1,33.0,40.6
26.0,45.2,0.0,54.0,17.0,28.0,12.0,1009.4,1005.9,33.1,42.7
28.5,42.7,0.0,50.0,17.0,31.0,10.0,1008.9,1006.3,35.1,42.0
18.7,32.0,0.0,33.0,9.0,19.0,29.0,1010.2,1008.4,19.6,27.3
11.0,29.0,0.0,43.0,6.0,13.0,15.0,1011.2,1007.9,16.4,27.8
13.8,28.0,0.0,41.0,15.0,13.0,22.0,1011.5,1010.0,18.4,25.9
16.6,25.9,0.0,57.0,13.0,11.0,29.0,1016.2,1015.1,18.7,24.4
13.4,26.6,8.0,61.0,33.0,26.0,26.0,1022.1,1019.0,18.7,25.2
16.0,26.0,0.0,41.0,17.0,20.0,28.0,1021.4,1017.3,18.2,24.9
14.1,28.5,0.0,52.0,11.0,9.0,30.0,1015.5,1013.3,19.2,27.1
12.0,30.5,0.6,50.0,6.0,20.0,26.0,1017.1,1013.5,18.2,28.8
13.3,27.2,0.0,43.0,17.0,20.0,28.0,1016.6,1013.6,19.9,26.4
16.5,31.3,0.0,39.0,9.0,13.0,25.0,1012.1,1007.7,22.7,29.4
15.8,33.9,0.0,54.0,7.0,24.0,16.0,1007.8,1005.2,21.8,31.6
16.5,34.5,0.0,48.0,11.0,20.0,20.0,1010.1,1008.8,21.3,30.6
13.2,31.4,0.0,39.0,6.0,9.0,17.0,1012.6,1010.5,19.6,29.6
19.0,33.2,0.0,54.0,28.0,9.0,22.0,1015.4,1012.5,22.2,30.9
18.3,35.2,0.0,54.0,17.0,31.0,12.0,1013.5,1009.0,26.0,34.6
16.4,32.3,0.0,44.0,9.0,26.0,7.0,1014.2,1012.7,19.7,31.4
8.9,31.6,0.0,35.0,6.0,9.0,9.0,1016.7,1013.4,14.1,30.0
14.0,31.6,0.0,43.0,28.0,7.0,21.0,1017.7,1015.1,20.5,29.9
15.6,32.4,0.0,39.0,13.0,11.0,22.0,1016.6,1012.9,20.8,30.5
18.5,35.1,0.0,59.0,9.0,31.0,7.0,1008.8,1005.0,24.7,34.4
11.0,28.8,0.0,28.0,6.0,7.0,30.0,1010.3,1008.9,16.3,26.9
15.6,32.7,0.0,31.0,13.0,6.0,19.0,1013.9,1011.2,21.5,31.2
18.5,31.5,0.0,46.0,19.0,24.0,31.0,1015.1,1010.3,22.6,29.5
15.3,23.2,0.0,61.0,22.0,30.0,19.0,1014.9,1013.1,16.7,21.4
11.8,22.8,0.0,57.0,35.0,31.0,30.0,1013.3,1012.2,14.4,20.2
7.3,24.4,0.0,31.0,4.0,9.0,22.0,1014.0,1011.5,12.6,22.8
8.9,28.6,0.0,30.0,6.0,19.0,21.0,1015.0,1012.7,15.6,26.2
9.9,31.1,0.0,39.0,9.0,6.0,22.0,1016.7,1014.4,19.1,29.6
17.6,31.3,0.0,43.0,30.0,7.0,26.0,1019.8,1016.2,20.6,30.6
19.6,32.0,0.0,43.0,24.0,15.0,24.0,1019.1,1016.3,22.1,29.7
19.3,30.5,0.0,57.0,31.0,26.0,25.0,1021.1,1018.2,20.6,30.1
19.5,31.2,0.0,48.0,28.0,13.0,38.0,1019.8,1016.3,22.7,27.3
18.5,27.2,8.6,30.0,9.0,13.0,54.0,1017.3,1015.1,20.9,25.4
17.0,28.6,0.0,52.0,11.0,17.0,67.0,1013.3,1007.9,20.2,23.9
9.8,20.5,5.6,39.0,13.0,26.0,43.0,1013.8,1012.3,12.9,18.3
8.7,21.6,0.0,41.0,4.0,19.0,35.0,1013.7,1011.4,13.2,20.9
9.0,25.4,0.0,39.0,4.0,17.0,32.0,1015.1,1013.0,13.2,23.9
8.9,28.0,0.0,28.0,4.0,7.0,27.0,1017.6,1014.2,15.6,26.9
12.4,30.4,0.0,24.0,9.0,9.0,15.0,1016.2,1013.6,16.6,29.1
12.7,33.0,0.0,30.0,9.0,9.0,11.0,1016.2,1013.6,19.8,32.3
15.9,33.7,0.0,26.0,9.0,7.0,17.0,1016.8,1013.3,22.8,31.9
17.0,31.0,0.0,33.0,11.0,6.0,40.0,1015.4,1012.9,21.6,26.9
17.1,33.2,0.2,50.0,9.0,26.0,22.0,1014.1,1012.1,24.2,32.2
13.5,33.1,0.0,24.0,11.0,13.0,19.0,1016.4,1014.4,19.8,31.8
19.0,27.3,0.0,52.0,11.0,20.0,33.0,1017.3,1018.1,21.9,27.2
14.6,29.8,0.4,39.0,7.0,20.0,37.0,1019.4,1017.8,20.1,26.4
10.8,29.1,0.0,28.0,4.0,7.0,23.0,1022.9,1020.3,14.7,28.0
11.9,29.5,0.0,28.0,20.0,9.0,19.0,1023.4,1020.7,18.1,27.9
10.8,31.3,0.0,30.0,11.0,11.0,19.0,1022.1,1018.9,17.9,30.0
17.1,29.5,0.0,36.64810466286481,30.0,20.0,27.0,1023.3,1019.3,20.7,28.0
13.4,30.3,0.0,41.0,6.0,15.0,30.0,1022.6,1018.7,18.7,28.8
15.0,30.2,0.0,48.0,9.0,26.0,27.0,1021.6,1019.1,20.5,29.4
16.4,31.3,0.0,43.0,13.0,20.0,36.0,1021.9,1018.3,21.5,29.8
19.7,31.1,0.0,48.0,19.0,13.0,40.0,1018.9,1013.5,22.0,29.3
9.9,22.4,2.0,41.0,13.0,15.0,38.0,1019.8,1018.7,12.3,21.1
6.0,22.3,0.0,33.0,2.0,20.0,30.0,1020.1,1016.3,14.2,21.5
7.7,22.2,0.0,33.0,7.0,11.0,27.0,1021.3,1018.7,13.7,20.9
6.6,23.8,0.0,33.0,9.0,9.0,22.0,1025.8,1022.6,15.5,22.8
8.5,24.8,0.0,26.0,13.0,6.0,27.0,1026.8,1023.1,16.4,23.9
8.1,26.4,0.0,33.0,6.0,4.0,24.0,1024.1,1019.6,17.9,25.5
13.8,26.8,0.0,35.0,15.0,20.0,40.0,1021.9,1018.4,19.6,24.9
14.1,25.6,0.0,39.0,13.0,11.0,54.0,1024.3,1020.7,20.6,23.1
13.4,25.5,0.0,22.0,7.0,4.0,39.0,1024.3,1020.7,16.9,24.5
10.9,26.8,0.0,33.0,11.0,13.0,28.0,1022.7,1017.8,17.9,25.2
15.5,25.7,0.0,28.0,4.0,13.0,53.0,1016.0,1012.0,19.5,21.5
11.1,25.3,0.2,65.0,7.0,35.0,32.0,1010.1,1010.2,21.1,20.4
2.6,21.5,0.0,31.0,11.0,19.0,20.0,1016.3,1012.8,11.8,20.4
4.3,23.0,0.0,39.0,7.0,17.0,32.0,1018.5,1016.6,13.5,21.5
6.8,24.7,0.0,26.0,7.0,9.0,28.0,1022.3,1018.8,14.9,24.0
9.0,25.0,0.0,26.0,9.0,4.0,30.0,1022.5,1018.6,16.7,24.6
6.1,22.5,0.0,24.0,13.0,6.0,24.0,1023.0,1019.6,15.9,21.7
6.1,23.9,0.0,26.0,7.0,7.0,27.0,1024.4,1020.3,15.7,22.7
8.3,24.2,0.0,36.64810466286481,11.0,20.0,32.0,1025.3,1021.3,16.3,22.2
11.7,23.7,0.0,46.0,28.0,20.0,30.0,1020.8,1015.7,16.6,22.8
14.0,18.1,0.0,39.0,15.0,11.0,83.0,1009.4,1003.1,16.7,15.8
12.8,16.8,11.0,91.0,20.0,13.0,91.0,1005.5,1002.5,13.2,14.3
8.8,13.5,15.4,69.0,30.0,31.0,74.0,1005.7,1005.5,9.8,10.9
4.7,12.1,2.4,28.0,9.0,15.0,62.0,1014.6,1014.1,7.8,11.4
7.6,15.2,0.8,39.0,19.0,20.0,47.0,1017.9,1018.4,11.1,13.6
4.0,15.0,0.0,24.0,6.0,7.0,38.0,1022.6,1019.6,8.2,14.3
3.0,17.2,0.0,36.64810466286481,0.0,9.0,39.0,1022.8,1021.1,9.5,16.5
3.2,18.0,0.0,31.0,9.0,9.0,38.0,1025.5,1022.7,8.9,17.1
5.1,19.4,0.0,22.0,0.0,13.0,38.0,1026.8,1023.7,11.2,19.1
5.0,20.6,0.0,17.0,9.0,9.0,40.0,1028.5,1025.7,12.1,19.9
4.4,20.1,0.0,28.0,6.0,13.0,31.0,1029.9,1027.2,11.5,19.6
5.0,21.9,0.0,36.64810466286481,4.0,6.0,38.0,1031.1,1027.9,11.0,20.0
6.1,20.8,0.0,22.0,9.0,13.0,35.0,1028.5,1024.6,11.0,19.9
2.6,19.1,0.0,36.64810466286481,6.0,11.0,37.0,1026.5,1023.5,10.1,18.6
5.2,19.6,0.0,22.0,11.0,4.0,40.0,1028.6,1025.6,12.0,19.3
4.7,21.1,0.0,26.0,7.0,13.0,33.0,1025.7,1021.7,10.6,20.6
5.3,20.9,0.0,33.0,9.0,9.0,35.0,1024.6,1022.0,12.6,20.3
5.8,20.2,0.0,31.0,11.0,4.0,37.0,1025.4,1021.8,13.0,19.0
5.3,19.9,0.0,24.0,9.0,11.0,34.0,1022.4,1018.4,11.1,19.3
2.9,17.6,0.0,31.0,6.0,13.0,37.0,1018.6,1015.6,8.7,16.8
7.5,17.8,0.0,44.0,15.0,26.0,46.0,1016.4,1014.0,11.5,16.1
11.4,17.5,0.0,41.0,13.0,30.0,50.0,1016.3,1012.9,13.2,17.0
12.3,17.6,1.2,61.0,30.0,24.0,51.0,1012.6,1013.4,13.6,16.8
2.7,16.1,0.0,35.0,2.0,17.0,51.0,1022.0,1018.9,9.0,15.6
4.2,20.5,0.0,43.0,13.0,20.0,37.0,1024.6,1020.8,10.5,19.7
8.3,21.3,0.0,35.0,15.0,15.0,44.0,1022.9,1019.6,13.9,19.7
11.2,20.6,0.0,44.0,11.0,20.0,37.0,1022.1,1020.3,14.2,18.7
7.7,21.1,0.2,41.0,13.0,24.0,34.0,1024.3,1021.9,13.7,20.4
5.5,21.1,0.0,57.0,6.0,33.0,39.0,1024.2,1020.9,12.0,20.0
7.7,21.9,0.0,63.0,22.0,39.0,37.0,1022.0,1020.0,17.5,21.2
14.4,21.7,0.0,59.0,39.0,30.0,44.0,1024.4,1022.7,17.7,19.9
13.5,21.6,0.0,39.0,7.0,19.0,41.0,1024.8,1020.8,15.6,20.7
12.8,15.1,3.8,20.0,7.0,2.0,96.0,1022.0,1019.9,13.4,14.6
11.7,16.4,3.0,28.0,6.0,15.0,60.0,1021.2,1019.3,13.5,15.7
1.4,15.4,0.0,11.0,6.0,2.0,61.0,1023.3,1021.5,5.4,15.0
3.2,17.2,0.0,28.0,7.0,9.0,42.0,1025.0,1023.1,8.6,16.8
1.6,17.5,0.0,24.0,6.0,9.0,41.0,1030.0,1028.1,8.2,17.2
