MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
15.7,24.5,0.0,44.0,17.0,28.0,66.0,1016.5,1014.0,18.0,23.1
13.2,25.7,0.0,35.0,11.0,13.0,71.0,1013.4,1011.1,20.0,24.7
17.1,21.8,0.0,33.0,13.0,15.0,66.0,1017.0,1016.6,19.1,20.7
12.9,24.9,0.0,31.0,4.0,13.0,53.0,1019.7,1017.4,19.8,23.9
14.3,24.5,0.0,31.0,9.0,15.0,75.0,1017.5,1015.5,20.4,22.4
17.4,23.3,0.0,39.0,9.0,19.0,90.0,1018.0,1017.3,20.5,18.6
12.5,23.4,0.0,46.0,15.0,30.0,55.0,1020.4,1017.0,17.3,22.2
13.1,25.6,0.0,41.0,19.0,24.0,64.0,1020.1,1017.6,18.9,24.3
13.9,25.6,0.0,35.0,15.0,17.0,67.0,1019.6,1017.0,19.9,22.8
13.3,24.1,0.0,30.0,4.0,17.0,66.0,1016.1,1015.1,15.9,23.2
13.2,31.3,0.0,30.0,9.0,15.0,64.0,1011.1,1007.1,19.3,25.9
16.0,22.6,0.0,41.0,15.0,17.0,92.0,1005.5,1008.3,21.1,16.7
13.0,22.2,1.0,33.0,17.0,15.0,51.0,1016.3,1016.3,18.5,21.0
11.6,23.5,0.0,33.0,9.0,15.0,49.0,1019.6,1019.3,17.0,22.3
13.1,29.4,0.0,37.0,17.0,24.0,50.0,1021.3,1017.2,18.9,27.3
16.9,38.4,0.0,41.0,9.0,13.0,46.0,1013.3,1009.6,25.5,30.9
17.2,23.8,0.0,33.0,20.0,17.0,71.0,1018.3,1017.7,21.1,22.8
16.4,19.9,0.0,44.0,19.0,30.0,70.0,1019.4,1018.9,17.4,18.1
13.5,21.0,0.0,41.0,17.0,15.0,50.0,1021.3,1019.3,16.7,20.0
12.3,23.1,0.0,33.0,15.0,20.0,70.0,1018.5,1017.4,17.5,20.5
16.3,24.8,0.0,57.0,22.0,30.0,61.0,1012.9,1011.0,19.2,23.6
15.7,23.5,4.2,46.0,13.0,28.0,63.0,1011.7,1010.6,19.4,22.4
17.7,23.6,1.0,41.0,17.0,19.0,55.0,1011.4,1012.1,18.4,23.0
11.7,26.5,0.2,28.0,15.0,17.0,39.0,1014.8,1013.7,17.7,25.1
17.2,25.6,0.0,33.0,11.0,20.0,64.0,1016.4,1013.4,20.4,24.4
15.4,25.2,0.0,30.0,0.0,17.0,74.0,1008.6,1008.7,18.7,21.7
14.4,20.9,0.0,37.0,13.0,20.0,61.0,1012.9,1011.1,17.4,20.2
16.5,20.1,0.0,33.0,15.0,17.0,73.0,1008.4,1007.2,18.2,18.3
15.6,22.7,0.0,28.0,11.0,15.0,49.0,1010.2,1010.7,20.0,21.9
12.2,20.9,0.0,35.0,9.0,19.0,82.0,1013.8,1012.7,19.9,19.4
16.9,31.3,0.0,33.0,13.0,19.0,53.0,1012.4,1009.0,20.7,29.4
18.9,29.1,0.0,31.0,7.0,15.0,65.0,1013.7,1012.1,22.4,27.7
18.7,29.9,0.0,28.0,11.0,15.0,60.0,1011.9,1009.0,20.8,29.0
19.2,24.3,0.6,24.0,13.0,13.0,70.0,1011.5,1011.5,19.7,22.8
15.5,22.8,2.9068463994324225,35.0,24.0,20.0,55.0,1015.5,1015.8,18.1,21.1
13.3,22.7,0.0,31.0,4.0,15.0,53.0,1014.8,1012.0,16.8,21.2
13.7,21.0,0.0,50.0,9.0,22.0,51.0,1009.7,1008.0,16.8,20.3
13.7,20.6,1.8,37.0,13.0,15.0,45.0,1014.3,1016.7,16.6,18.5
13.9,22.6,0.0,43.0,11.0,24.0,51.0,1022.8,1021.4,17.6,21.5
15.6,25.6,0.0,52.0,20.0,33.0,57.0,1023.5,1020.8,19.6,24.3
15.2,30.8,0.0,46.0,22.0,20.0,32.0,1021.5,1017.4,18.9,28.2
16.9,35.4,0.0,43.0,20.0,20.0,33.0,1014.0,1010.3,21.2,32.7
19.1,27.9,0.0,50.0,9.0,19.0,63.0,1007.8,1010.0,25.2,22.9
15.3,20.7,0.2,52.0,26.0,31.0,60.0,1019.8,1019.4,17.0,18.7
15.0,25.4,6.4,54.0,22.0,26.0,59.0,1016.4,1012.2,19.0,24.9
16.6,29.8,0.2,46.0,11.0,17.0,46.0,1007.7,1006.0,20.8,28.9
16.4,25.0,0.0,41.0,20.0,22.0,53.0,1009.8,1010.1,20.3,24.4
15.2,21.0,0.2,39.0,17.0,19.0,72.0,1015.7,1016.1,18.1,19.7
15.0,23.0,0.6,43.0,13.0,26.0,55.0,1017.6,1016.2,17.7,20.8
12.4,23.5,0.0,41.0,15.0,24.0,54.0,1018.3,1017.3,18.4,22.3
12.6,27.0,0.0,46.0,13.0,28.0,58.0,1020.8,1018.0,17.7,24.4
15.6,32.5,0.0,46.0,11.0,15.0,56.0,1013.2,1010.0,20.4,25.7
15.7,21.5,0.0,39.0,22.0,20.0,55.0,1015.2,1016.7,17.5,18.8
10.3,26.5,0.0,39.0,11.0,26.0,50.0,1018.1,1012.3,15.2,24.3
14.9,23.2,0.0,50.0,4.0,28.0,75.0,1003.8,1003.4,18.5,20.3
15.6,17.5,0.0,48.0,15.0,13.0,92.0,1004.7,1003.8,16.7,15.8
11.8,19.6,15.8,44.0,13.0,17.0,60.0,1014.1,1016.0,15.0,18.1
12.6,22.2,0.0,26.0,0.0,13.0,58.0,1018.6,1016.2,16.2,20.6
12.6,23.4,0.0,54.0,13.0,28.0,62.0,1017.3,1013.8,17.4,22.8
17.1,27.5,0.0,41.0,11.0,9.0,69.0,1007.7,1004.3,19.2,24.9
14.0,18.1,8.6,56.0,35.0,28.0,54.0,1008.1,1012.1,14.0,15.7
11.8,19.3,1.4,41.0,11.0,13.0,52.0,1025.2,1027.2,14.0,17.5
9.6,23.5,0.0,43.0,11.0,24.0,53.0,1031.5,1027.6,14.2,22.1
12.9,27.4,0.0,33.0,17.0,15.0,56.0,1026.1,1023.0,15.9,25.1
12.2,22.0,0.0,44.0,13.0,28.0,68.0,1023.7,1023.4,18.9,19.4
11.2,23.6,0.0,43.0,13.0,24.0,56.0,1024.9,1021.2,15.1,21.3
12.9,29.0,0.0,43.0,26.0,9.0,37.0,1018.5,1015.8,16.1,27.2
16.1,29.4,0.0,28.0,9.0,11.0,53.0,1016.5,1015.0,22.0,25.9
13.9,33.5,0.0,24.0,4.0,13.0,50.0,1014.6,1011.2,18.8,29.8
17.0,22.2,0.0,39.0,15.0,20.0,68.0,1012.6,1014.8,21.6,18.7
11.7,21.0,0.0,31.0,0.0,13.0,48.0,1016.9,1015.1,14.2,20.4
13.2,20.3,0.2,37.0,19.0,13.0,49.0,1020.8,1022.5,15.9,18.7
8.2,22.2,0.0,44.0,7.0,26.0,51.0,1024.8,1021.6,13.2,20.6
12.0,30.6,0.0,39.0,19.0,13.0,31.0,1018.8,1013.9,15.7,29.4
15.5,34.7,0.0,50.0,9.0,15.0,40.0,1010.7,1007.7,23.6,32.3
17.8,24.3,0.0,80.0,20.0,48.0,43.0,1007.8,1006.8,19.9,23.3
14.9,19.2,1.6,48.0,13.0,19.0,64.0,1015.1,1015.7,16.1,17.4
14.5,22.2,0.2,46.0,19.0,26.0,52.0,1015.2,1011.1,16.3,20.7
15.3,18.8,0.0,52.0,24.0,24.0,65.0,1005.9,1008.0,16.4,17.3
11.8,19.7,7.0,31.0,11.0,13.0,57.0,1015.9,1015.8,13.9,18.5
10.3,20.8,0.0,33.0,7.0,15.0,65.0,1014.8,1012.9,15.0,19.5
14.7,20.7,5.8,30.0,6.0,7.0,73.0,1012.3,1012.0,16.1,19.3
13.1,23.8,0.6,43.0,13.0,17.0,63.0,1014.7,1013.2,16.5,23.5
12.8,20.7,2.0,26.0,0.0,11.0,67.0,1020.0,1020.8,14.9,19.5
9.4,24.8,0.0,31.0,7.0,13.0,60.0,1025.4,1021.5,14.2,23.2
11.8,26.0,0.2,28.0,0.0,15.0,66.0,1018.9,1017.2,15.5,24.9
15.5,20.3,0.0,37.0,4.0,20.0,78.0,1019.9,1022.1,18.3,16.3
14.1,18.9,1.6,44.0,20.0,24.0,62.0,1026.3,1024.7,16.4,16.3
12.9,19.6,0.0,30.0,13.0,15.0,91.0,1019.6,1015.8,16.5,17.3
14.0,18.6,2.6,44.0,6.0,19.0,89.0,1018.4,1019.0,16.2,13.8
11.4,17.5,2.6,31.0,13.0,11.0,49.0,1024.4,1023.4,15.0,16.9
7.2,18.1,0.0,37.0,20.0,17.0,64.0,1024.7,1025.5,14.9,16.9
11.6,20.5,2.4,35.0,9.0,20.0,57.0,1031.4,1029.0,15.8,19.3
10.0,21.1,0.0,39.0,9.0,20.0,60.0,1032.4,1029.7,15.4,20.0
11.9,21.7,0.0,39.0,17.0,22.0,55.0,1032.4,1028.5,15.9,20.7
10.3,24.3,0.0,39.0,17.0,15.0,34.0,1028.6,1023.9,16.6,23.9
13.4,26.2,0.0,33.0,17.0,13.0,64.0,1024.7,1020.2,18.4,23.8
16.8,27.9,0.0,33.0,9.0,15.0,40.0,1019.3,1016.8,21.2,26.9
14.3,18.6,0.0,28.0,9.0,15.0,80.0,1021.0,1020.2,18.0,17.0
13.6,25.3,0.0,35.0,15.0,19.0,58.0,1019.4,1014.2,16.7,22.9
13.1,20.5,0.2,52.0,20.0,31.0,79.0,1016.4,1016.2,19.1,19.7
17.6,24.2,0.0,52.0,19.0,30.0,76.0,1022.1,1020.1,20.2,20.2
14.0,25.4,0.0,33.0,13.0,19.0,70.0,1019.2,1013.9,18.1,22.6
16.6,20.0,0.0,39.0,17.0,20.0,62.0,1019.3,1019.2,16.7,18.0
9.3,18.2,0.0,24.0,0.0,13.0,54.0,1022.1,1019.5,13.0,17.6
12.3,19.6,0.0,19.0,7.0,11.0,69.0,1018.5,1015.6,15.7,17.8
9.6,21.6,0.0,30.0,9.0,19.0,63.0,1017.0,1015.4,16.0,20.2
14.3,26.3,0.0,28.0,13.0,11.0,77.0,1016.3,1014.3,18.0,22.6
17.7,26.8,0.0,31.0,9.0,11.0,67.0,1016.2,1013.6,20.6,22.0
16.8,22.4,0.0,26.0,7.0,19.0,83.0,1015.2,1013.4,18.7,19.9
13.8,25.7,0.0,30.0,7.0,11.0,65.0,1010.9,1006.4,15.2,22.9
11.8,17.7,1.0,52.0,22.0,22.0,57.0,1012.8,1014.8,13.6,14.8
11.4,19.2,1.2,43.0,9.0,19.0,80.0,1022.5,1021.3,14.3,16.1
14.0,20.5,1.4,48.0,19.0,24.0,68.0,1021.7,1019.3,16.8,18.7
14.7,20.7,0.4,31.0,15.0,15.0,74.0,1022.4,1021.7,16.2,19.7
12.7,18.8,0.0,20.0,7.0,11.0,68.0,1023.5,1022.0,15.5,17.4
9.6,19.9,0.0,20.0,0.0,9.0,60.0,1022.5,1020.2,12.5,18.8
12.4,21.5,0.0,28.0,0.0,13.0,60.0,1025.8,1023.6,17.0,20.4
10.6,21.4,0.0,44.0,4.0,19.0,63.0,1021.0,1020.2,14.3,20.1
11.9,18.5,0.0,28.0,9.0,11.0,55.0,1026.1,1025.7,16.2,17.1
10.2,18.8,0.0,19.0,4.0,11.0,63.0,1030.1,1028.4,13.3,17.8
7.7,22.8,0.0,24.0,7.0,11.0,53.0,1029.9,1025.8,13.4,20.3
10.6,22.7,0.0,24.0,13.0,7.0,48.0,1027.3,1024.6,13.6,22.1
11.1,24.6,0.0,24.0,9.0,15.0,61.0,1027.2,1025.5,15.6,21.0
10.7,24.5,0.0,24.0,9.0,9.0,48.0,1030.3,1028.7,14.8,21.6
14.0,24.9,0.0,35.0,13.0,7.0,30.0,1031.7,1028.5,17.0,24.5
13.3,24.9,0.0,41.0,15.0,6.0,34.0,1030.2,1027.1,16.4,24.6
14.1,24.1,0.0,33.0,0.0,6.0,39.0,1029.5,1025.8,18.1,23.7
13.1,24.3,0.0,37.0,15.0,11.0,34.0,1025.1,1021.1,17.7,22.9
12.8,21.4,0.0,30.0,9.0,11.0,63.0,1018.9,1019.0,17.6,18.3
13.1,18.3,13.0,30.0,11.0,15.0,62.0,1024.5,1024.5,14.8,17.3
9.2,19.0,0.0,35.0,0.0,19.0,73.0,1029.4,1027.9,12.7,17.1
12.1,18.9,0.0,20.0,0.0,7.0,52.0,1029.4,1026.5,13.7,17.8
7.5,19.8,0.0,20.0,0.0,11.0,61.0,1026.9,1023.5,11.5,17.6
6.6,20.1,0.0,19.0,0.0,9.0,62.0,1024.2,1021.0,11.1,18.7
7.7,21.0,0.0,17.0,0.0,9.0,57.0,1022.3,1020.0,12.0,19.3
7.5,23.5,0.0,22.0,0.0,7.0,34.0,1019.0,1014.9,12.1,22.4
10.6,22.0,0.2,31.0,0.0,17.0,55.0,1013.8,1011.4,12.8,20.7
12.8,19.3,1.8,37.0,15.0,9.0,68.0,1013.5,1013.6,16.5,18.7
12.9,22.7,1.8,52.0,20.0,19.0,56.0,1009.0,1004.8,16.1,21.6
14.3,19.3,20.6,69.0,31.0,35.0,67.0,992.6,989.7,17.6,16.0
7.7,13.4,39.0,78.0,39.0,37.0,82.0,994.6,996.5,8.9,9.9
8.8,13.9,15.4,61.0,22.0,22.0,73.0,1006.1,1008.2,11.9,12.7
9.8,15.8,9.6,31.0,4.0,6.0,88.0,1016.8,1016.8,13.2,14.7
7.9,17.7,1.2,22.0,6.0,13.0,60.0,1021.6,1019.3,12.1,17.1
8.3,18.9,0.0,31.0,17.0,11.0,49.0,1022.0,1019.2,12.0,18.2
10.5,19.6,0.0,31.0,15.0,13.0,50.0,1022.0,1019.5,13.5,17.9
9.4,19.6,0.0,31.0,11.0,11.0,44.0,1022.7,1020.1,12.7,19.3
9.9,21.5,0.0,31.0,19.0,13.0,43.0,1022.7,1019.8,13.3,20.7
10.7,20.2,0.0,43.0,17.0,9.0,50.0,1019.4,1016.3,13.6,19.6
13.6,20.5,1.8,37.0,24.0,7.0,68.0,1017.2,1017.5,14.2,19.3
8.9,22.7,0.0,24.0,7.0,9.0,68.0,1021.2,1017.9,12.4,20.0
12.1,18.6,0.2,28.0,6.0,11.0,77.0,1017.6,1015.5,15.3,17.7
11.3,14.2,2.4,59.0,13.0,17.0,86.0,1017.4,1015.1,12.1,12.2
8.3,16.3,39.4,67.0,39.0,33.0,78.0,1016.4,1017.6,14.2,12.8
12.2,18.4,3.8,46.0,20.0,19.0,68.0,1021.5,1022.2,15.2,16.6
