MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
13.9,20.0,0.0,61.0,19.0,31.0,48.0,1004.8,1006.0,16.9,18.0
8.9,18.4,0.8,52.0,13.0,24.0,41.0,1017.8,1019.0,11.7,17.1
5.2,21.4,0.0,28.0,6.0,17.0,44.0,1020.7,1017.4,12.9,19.9
7.7,30.5,0.0,30.0,6.0,13.0,16.0,1016.4,1012.7,13.7,29.0
10.6,29.9,0.0,33.0,4.0,13.0,27.0,1011.5,1010.1,18.8,28.4
12.8,31.7,0.0,48.0,6.0,24.0,36.0,1010.4,1007.4,20.9,29.7
16.5,22.6,0.0,39.0,7.0,24.0,58.0,1009.7,1009.9,16.9,21.9
11.4,19.3,0.0,52.0,19.0,30.0,42.0,1017.2,1018.6,15.1,17.7
9.6,22.4,0.0,43.0,13.0,15.0,36.0,1021.4,1017.3,15.0,21.4
10.8,25.6,0.0,39.0,4.0,22.0,46.0,1013.6,1009.6,15.2,23.2
13.4,25.4,0.0,41.0,6.0,17.0,51.0,1011.8,1009.4,15.1,23.8
10.0,26.0,0.0,30.0,2.0,13.0,44.0,1018.4,1017.1,14.7,23.9
11.4,37.2,0.0,43.0,9.0,17.0,15.0,1013.9,1009.8,20.5,34.4
20.5,34.5,0.0,46.0,28.0,17.0,44.0,1006.9,1008.5,33.3,27.5
14.4,24.4,0.0,44.0,17.0,20.0,41.0,1015.6,1014.4,16.6,22.3
14.0,20.3,0.0,57.0,24.0,26.0,39.0,1017.0,1018.4,17.0,20.0
12.6,21.5,0.0,44.0,15.0,22.0,43.0,1022.7,1022.2,15.1,19.6
8.2,27.8,0.0,30.0,6.0,19.0,39.0,1021.7,1018.5,14.9,24.7
10.9,37.2,0.0,37.0,11.0,17.0,10.0,1013.8,1008.9,20.8,35.9
16.6,40.6,0.0,65.0,4.0,33.0,26.0,1005.5,1005.3,25.8,29.0
14.5,29.7,0.0,33.0,6.0,20.0,37.0,1010.3,1006.1,18.9,28.5
15.7,35.8,0.0,76.0,31.0,31.0,14.0,998.3,993.9,27.8,35.3
11.9,32.1,0.0,56.0,6.0,22.0,13.0,1008.2,1002.5,17.4,30.7
16.1,23.6,0.0,50.0,20.0,22.0,37.0,1007.7,1011.2,18.0,22.8
9.3,30.6,0.0,39.0,4.0,9.0,18.0,1018.3,1016.3,15.1,28.6
11.6,27.2,0.0,39.0,11.0,20.0,47.0,1022.0,1019.9,16.7,26.0
14.4,37.5,0.0,39.0,7.0,19.0,14.0,1017.6,1013.4,18.8,36.0
15.9,42.9,0.0,31.0,9.0,11.0,10.0,1012.2,1009.2,24.9,41.5
24.9,44.7,0.0,57.0,24.0,19.0,12.0,1011.4,1009.2,36.4,43.1
22.7,44.0,0.0,44.0,9.0,15.0,10.0,1011.9,1008.9,29.2,42.7
19.5,33.2,0.0,43.0,6.0,19.0,52.0,1013.4,1013.5,25.2,29.2
19.1,35.9,0.0,48.0,6.0,11.0,40.0,1016.4,1011.8,21.5,32.7
20.0,28.1,0.0,39.0,7.0,24.0,65.0,1012.1,1009.9,21.8,26.1
19.6,30.4,1.0,37.0,15.0,22.0,43.0,1012.7,1009.9,22.6,28.6
15.9,34.2,0.0,31.0,11.0,11.0,29.0,1009.3,1005.7,19.9,32.2
17.1,32.1,0.0,41.0,7.0,22.0,39.0,1005.7,1006.7,23.7,29.2
16.7,34.8,0.0,41.0,9.0,15.0,36.0,1010.7,1006.8,18.0,31.0
18.0,46.7,0.0,74.0,6.0,41.0,8.0,1003.0,998.2,30.3,45.2
17.3,21.7,1.0,37.0,7.0,17.0,64.0,1012.1,1013.9,18.4,19.2
14.0,20.8,0.0,46.0,13.0,26.0,33.0,1016.7,1015.9,16.4,20.1
11.8,20.0,0.0,54.0,17.0,31.0,39.0,1017.1,1016.5,16.1,18.1
12.5,19.0,0.0,44.0,19.0,26.0,48.0,1018.9,1018.9,14.5,17.2
13.4,23.4,0.0,46.0,11.0,20.0,38.0,1021.1,1020.3,16.2,23.0
8.9,27.0,0.0,46.0,2.0,11.0,26.0,1025.4,1022.7,13.5,26.0
11.2,28.9,0.0,44.0,7.0,15.0,27.0,1022.9,1018.8,16.0,27.4
12.2,29.4,0.0,48.0,4.0,17.0,29.0,1018.7,1015.6,15.0,27.7
13.0,30.0,0.0,33.0,0.0,20.0,33.0,1019.5,1015.6,16.6,28.8
12.2,32.0,0.0,30.0,11.0,7.0,22.0,1016.9,1013.4,17.8,30.5
12.7,30.4,0.0,31.0,6.0,17.0,30.0,1012.7,1009.0,18.3,28.7
14.4,31.3,0.0,33.0,6.0,17.0,22.0,1009.0,1006.7,18.0,30.0
16.9,23.9,0.2,43.0,7.0,17.0,47.0,1012.8,1012.7,16.9,22.8
15.9,23.2,0.6,43.0,17.0,26.0,53.0,1017.3,1016.8,18.0,21.7
16.0,27.2,0.0,31.0,11.0,22.0,50.0,1017.5,1013.8,17.7,25.3
13.7,35.0,0.0,54.0,9.0,20.0,13.0,1010.6,1007.3,17.8,33.9
12.8,20.1,0.0,48.0,7.0,22.0,39.0,1018.5,1018.8,16.0,19.2
13.3,21.2,0.6,30.0,9.0,19.0,60.0,1020.5,1019.2,13.8,19.7
11.1,31.4,0.2,48.0,9.0,7.0,30.0,1019.2,1016.2,13.7,28.9
13.7,34.4,0.0,43.0,4.0,19.0,22.0,1013.8,1010.9,17.9,31.9
15.5,22.6,0.0,39.0,9.0,20.0,46.0,1012.9,1011.8,16.4,21.6
14.5,19.5,0.0,33.0,11.0,13.0,59.0,1014.7,1014.7,15.4,17.6
13.7,27.6,0.0,24.0,9.0,9.0,36.0,1015.5,1011.3,16.4,25.3
16.4,32.4,0.0,74.0,19.0,28.0,37.0,1009.3,1000.4,20.3,28.9
12.5,17.5,10.0,57.0,17.0,20.0,58.0,1012.5,1012.0,14.1,15.8
11.4,15.8,2.4,50.0,9.0,24.0,69.0,1015.7,1016.1,11.8,15.5
11.5,19.8,3.4,33.0,0.0,19.0,61.0,1016.3,1015.3,11.9,17.3
11.9,20.5,1.2,30.0,11.0,13.0,54.0,1016.5,1016.1,15.5,19.4
13.4,21.5,0.0,35.0,11.0,13.0,46.0,1021.2,1020.0,14.5,19.8
7.4,26.1,0.0,30.0,7.0,7.0,42.0,1021.4,1018.3,11.4,24.8
11.4,27.5,0.0,28.0,6.0,9.0,50.0,1020.9,1018.5,15.0,25.2
14.3,30.0,0.0,31.0,0.0,11.0,37.0,1021.2,1017.8,16.1,28.2
16.0,23.8,5.0,31.0,9.0,19.0,66.0,1018.8,1017.0,21.9,22.8
14.5,30.8,5.6,22.0,0.0,9.0,42.0,1016.8,1013.5,17.4,28.7
17.2,23.7,0.2,81.0,20.0,6.0,99.0,1007.8,1006.5,23.1,17.5
10.8,17.8,36.0,44.0,22.0,20.0,50.0,1011.4,1010.7,12.0,16.4
11.7,20.8,0.0,39.0,13.0,20.0,54.0,1012.0,1011.9,14.6,19.4
12.7,18.0,0.6,35.0,13.0,19.0,67.0,1017.5,1017.7,13.9,16.9
11.6,27.6,0.0,33.0,9.0,17.0,20.0,1017.5,1012.8,14.1,26.0
12.7,32.7,0.0,37.0,7.0,22.0,20.0,1013.9,1011.1,16.5,30.4
14.4,28.4,0.0,30.0,6.0,20.0,50.0,1015.8,1012.8,16.1,25.9
12.6,34.8,0.0,48.0,6.0,28.0,12.0,1013.4,1010.2,17.0,33.8
17.0,26.8,0.0,39.0,11.0,22.0,66.0,1010.0,1012.3,26.5,20.7
14.3,18.3,1.4,24.0,11.0,13.0,61.0,1016.8,1016.2,14.9,17.5
9.2,21.9,0.0,20.0,6.0,7.0,49.0,1017.4,1015.1,12.0,21.2
12.0,25.5,2.0,30.0,2.0,4.0,55.0,1016.3,1014.4,16.7,24.0
12.6,23.5,0.4,43.0,6.0,15.0,51.0,1019.4,1020.5,14.1,22.5
11.2,20.0,0.0,28.0,2.0,15.0,48.0,1026.9,1025.1,13.3,18.5
6.6,27.7,0.0,17.0,7.0,7.0,29.0,1024.1,1020.7,9.4,25.5
