MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
15.2,34.0,0.0,41.0,17.0,20.0,36.0,1005.2,1001.5,23.7,28.7
18.3,24.5,0.0,54.0,13.0,30.0,57.0,1012.1,1011.7,21.6,23.4
16.8,23.5,0.4,37.0,19.0,22.0,58.0,1020.4,1018.4,20.1,21.7
17.5,27.8,0.0,50.0,19.0,35.0,51.0,1018.4,1014.6,22.7,26.4
14.8,36.0,0.0,37.0,15.0,26.0,39.0,1013.6,1008.7,22.5,33.8
18.6,33.7,0.0,39.0,13.0,19.0,49.0,1011.1,1008.1,26.3,29.2
19.7,35.5,0.0,30.0,15.0,19.0,40.0,1009.9,1005.8,24.1,33.8
20.7,23.8,0.0,48.0,35.0,24.0,79.0,1010.3,1011.9,21.7,21.8
17.6,23.0,1.4,43.0,24.0,28.0,51.0,1018.7,1017.6,19.1,21.9
13.3,24.9,0.0,44.0,7.0,30.0,46.0,1016.2,1012.8,20.6,22.9
12.9,27.9,0.0,41.677800974251916,17.0,28.0,45.0,1013.3,1010.3,22.7,26.6
16.1,28.2,0.0,43.0,6.0,31.0,61.0,1014.4,1014.5,24.0,27.1
16.6,28.2,0.0,46.0,17.0,26.0,50.0,1018.8,1016.1,23.7,27.7
16.7,35.2,0.0,39.0,13.0,26.0,33.0,1015.2,1011.5,24.3,34.5
17.1,42.0,0.0,57.0,11.0,22.0,15.0,1010.4,1006.2,26.8,40.5
19.3,26.2,6.0,46.0,17.0,22.0,64.0,1012.1,1009.1,20.2,25.1
18.8,23.2,0.0,48.0,30.0,30.0,52.0,1019.0,1019.4,19.8,20.9
11.5,24.2,0.0,39.0,7.0,28.0,45.0,1021.5,1019.6,19.7,23.1
11.1,30.0,0.0,35.0,13.0,22.0,46.0,1019.0,1014.8,21.2,26.3
14.0,34.9,0.0,44.0,9.0,24.0,34.0,1014.4,1010.3,24.5,33.3
20.5,38.8,0.0,50.0,11.0,19.0,40.0,1012.6,1008.3,25.4,33.6
21.8,28.8,0.0,41.0,11.0,13.0,84.0,1010.1,1008.0,25.7,24.9
20.1,35.7,1.0,41.0,13.0,22.0,44.0,1010.1,1007.0,27.9,33.3
22.8,40.8,0.0,61.0,11.0,24.0,32.0,1006.0,1003.5,29.6,38.9
18.6,23.5,10.4,57.0,22.0,26.0,68.0,1018.2,1017.6,21.0,22.1
19.1,24.5,1.0,37.0,11.0,22.0,87.0,1018.3,1017.8,20.1,24.0
20.0,27.9,0.4,37.0,13.0,24.0,69.0,1019.9,1018.5,24.1,27.3
16.7,30.3,0.0,39.0,15.0,28.0,52.0,1018.1,1015.3,23.6,29.5
17.6,31.7,0.0,50.0,15.0,37.0,60.0,1017.7,1015.6,25.5,29.0
16.7,32.3,0.0,52.0,17.0,33.0,53.0,1017.9,1014.5,25.0,30.3
19.0,33.7,0.0,54.0,13.0,28.0,44.0,1017.2,1013.6,26.1,32.2
18.1,31.7,0.0,54.0,9.0,33.0,47.0,1014.8,1013.0,25.2,30.0
18.5,30.9,0.0,48.0,13.0,28.0,53.0,1015.3,1011.7,25.3,28.7
17.1,31.9,0.0,46.0,13.0,31.0,52.0,1009.9,1007.4,24.6,30.4
