MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
11.9,28.3,0.0,39.0,19.0,22.0,49.0,1015.0,1012.0,17.5,27.7
15.1,28.8,0.0,50.0,11.0,22.0,48.0,1012.4,1011.4,21.0,27.9
16.6,24.7,0.0,44.0,24.0,22.0,54.0,1016.9,1016.2,20.3,23.7
13.9,29.9,0.0,44.0,13.0,20.0,44.0,1020.1,1016.9,19.8,29.1
15.6,30.1,0.0,44.0,13.0,24.0,56.0,1017.5,1015.5,20.7,26.5
17.5,26.1,0.0,54.0,20.0,24.0,58.0,1018.1,1016.2,19.9,23.8
13.9,27.2,0.0,50.0,20.0,28.0,45.0,1019.0,1015.9,18.1,25.2
13.0,27.3,0.0,48.0,17.0,22.0,50.0,1018.9,1017.0,17.6,26.2
14.6,28.7,0.0,39.0,13.0,24.0,47.0,1019.2,1016.9,18.7,26.9
15.6,26.7,0.0,37.0,13.0,19.0,50.0,1016.3,1015.0,17.6,26.0
12.7,32.6,0.2,31.0,9.0,19.0,30.0,1011.3,1008.4,21.8,30.5
14.4,21.8,0.6,43.0,9.0,22.0,72.0,1007.5,1010.1,20.1,19.8
9.4,23.3,2.0,31.0,17.0,17.0,47.0,1017.8,1017.4,18.9,22.3
10.4,24.6,0.0,43.0,9.0,15.0,41.0,1020.4,1019.0,18.0,23.4
12.8,32.2,0.0,40.085013440860216,17.0,19.0,33.0,1019.5,1015.9,18.6,31.8
10.775066666666667,37.8,0.0,39.0,7.0,22.0,27.0,1012.6,1011.5,25.5,32.4
15.8,26.7,0.0,50.0,28.0,26.0,53.0,1017.8,1017.7,21.3,25.9
17.0,23.4,0.0,57.0,17.0,31.0,55.0,1019.5,1018.3,18.1,21.1
14.0,22.9,0.0,48.0,13.0,26.0,42.0,1021.5,1018.9,17.3,21.4
9.8,24.1,0.0,37.0,0.0,20.0,53.0,1020.0,1018.8,17.7,23.1
17.0,23.7,0.0,41.0,15.0,17.0,57.0,1016.0,1014.3,20.6,23.6
17.2,24.2,2.6,31.0,11.0,17.0,64.0,1013.6,1013.4,18.5,22.3
18.3,24.9,0.2,31.0,15.0,15.0,52.0,1013.4,1013.4,19.7,23.8
8.1,26.9,0.0,28.0,6.0,11.0,40.0,1015.8,1014.4,18.0,26.6
16.5,28.6,0.0,39.0,17.0,20.0,49.0,1016.5,1013.3,20.5,27.2
17.9,25.5,0.0,35.0,19.0,19.0,55.0,1009.9,1009.7,20.3,24.1
11.7,25.1,0.2,50.0,13.0,26.0,50.0,1012.7,1010.1,18.5,23.6
17.0,20.7,0.0,46.0,19.0,24.0,62.0,1008.3,1007.4,18.9,19.0
16.4,24.1,0.0,39.0,13.0,20.0,41.0,1011.0,1011.1,19.5,22.3
9.8,24.7,0.0,50.0,13.0,26.0,60.0,1013.8,1011.7,18.2,21.9
17.4,32.6,0.0,33.0,13.0,20.0,47.0,1011.6,1009.1,21.2,31.6
20.3,31.6,0.0,39.0,9.0,20.0,58.0,1013.9,1012.2,22.6,29.6
20.0,31.8,0.0,30.0,7.0,13.0,59.0,1012.0,1010.7,23.6,28.5
20.1,27.1,0.0,41.0,15.0,20.0,54.0,1012.3,1012.0,22.0,25.7
15.6,23.6,0.6,40.085013440860216,13.0,22.0,51.0,1016.6,1015.9,17.1,22.0
10.775066666666667,21.686247086247086,2.8956639566395665,40.085013440860216,13.966366966366966,20.0,44.0,1018.3951304347826,1012.1,16.542895174708818,23.6
10.775066666666667,22.5,0.0,41.0,15.0,19.0,40.0,1011.2,1009.9,18.0,21.2
15.0,21.9,0.4,48.0,17.0,28.0,43.0,1015.8,1016.4,16.9,20.6
9.8,25.4,0.2,48.0,17.0,26.0,44.0,1022.4,1019.3,16.2,24.6
12.0,30.8,0.0,37.0,17.0,17.0,30.0,1021.4,1018.2,17.4,29.7
15.6,31.9,0.0,33.0,15.0,7.0,30.0,1018.9,1016.2,20.1,30.9
11.9,35.8,0.0,44.0,11.0,20.0,20.0,1013.4,1010.5,24.4,35.2
19.1,28.9,0.0,48.0,7.0,9.0,76.0,1007.8,1010.1,26.5,21.2
16.0,21.8,1.4,67.0,22.0,31.0,49.0,1019.1,1018.1,17.8,20.5
16.4,29.6,0.0,56.0,30.0,26.0,53.0,1014.4,1009.6,18.8,27.4
17.2,29.1,3.8,33.0,15.0,17.0,47.0,1008.6,1008.2,20.6,27.2
15.1,24.0,0.2,39.0,9.0,22.0,59.0,1011.8,1012.5,20.7,21.1
14.4,23.7,0.0,44.0,20.0,24.0,54.0,1016.1,1015.6,18.5,22.6
10.5,24.7,0.0,46.0,15.0,26.0,44.0,1017.6,1014.9,16.4,24.2
9.7,25.8,0.0,46.0,13.0,24.0,46.0,1017.7,1016.1,15.0,24.2
12.3,31.3,0.0,39.0,13.0,22.0,38.0,1018.9,1016.1,17.0,30.1
14.5,33.5,0.0,35.0,4.0,13.0,29.0,1013.0,1010.8,22.7,31.3
16.2,23.4,0.0,46.0,22.0,28.0,46.0,1016.1,1015.9,19.4,21.7
9.6,29.3,0.0,31.0,11.0,9.0,33.0,1016.4,1011.7,13.4,28.7
13.3,20.8,0.0,37.0,19.0,19.0,58.0,1005.7,1006.9,19.6,19.7
14.9,20.5,3.2,54.0,9.0,24.0,56.0,1005.2,1005.1,15.8,17.5
12.8,20.8,2.8,31.0,15.0,20.0,58.0,1016.3,1017.7,16.4,18.3
6.8,24.3,0.2,31.0,4.0,7.0,41.0,1019.1,1016.0,14.5,22.8
14.0,25.5,0.0,54.0,19.0,31.0,54.0,1015.9,1011.4,17.1,24.2
15.7,25.8,27.4,39.0,13.0,11.0,76.0,1007.4,1004.5,17.9,24.2
15.1,19.4,2.0,57.0,24.0,28.0,41.0,1010.5,1013.9,15.8,18.8
13.1,20.3,0.2,43.0,15.0,24.0,45.0,1026.1,1026.6,15.5,19.6
6.5,26.0,0.0,37.0,7.0,13.0,32.0,1030.2,1026.2,12.2,25.2
8.4,28.9,0.0,30.0,7.0,17.0,34.0,1025.7,1023.0,15.2,27.6
15.2,24.2,0.2,54.0,20.0,28.0,53.0,1023.3,1021.9,17.9,23.5
11.1,28.0,0.2,31.0,15.0,11.0,36.0,1023.2,1019.9,13.7,26.9
11.1,30.1,0.0,28.0,7.0,11.0,29.0,1018.0,1016.0,17.4,29.4
9.8,31.7,0.0,26.0,0.0,17.0,28.0,1017.0,1015.8,17.1,30.4
11.4,35.1,0.0,35.0,6.0,19.0,26.0,1014.5,1012.6,17.7,33.2
12.6,22.9,0.0,39.0,15.0,22.0,64.0,1014.3,1015.7,20.6,19.9
8.7,22.8,0.0,35.0,6.0,22.0,44.0,1017.6,1015.9,15.1,21.5
10.0,21.6,0.0,43.0,13.0,24.0,41.0,1021.4,1022.2,17.8,20.2
7.5,25.7,0.0,39.0,11.0,17.0,33.0,1024.8,1019.9,12.2,24.2
11.0,32.5,0.0,30.0,9.0,11.0,30.0,1016.9,1012.8,15.6,31.2
13.1,29.0,0.0,35.0,15.0,20.0,55.0,1011.4,1010.6,19.7,26.1
17.8,23.5,0.2,40.085013440860216,20.0,30.0,61.0,1010.4,1010.7,19.7,21.3
10.775066666666667,20.5,2.8956639566395665,39.0,11.0,15.0,56.0,1017.5,1018.0,16.5,18.4
13.9,22.5,0.0,41.0,11.0,19.0,56.0,1016.9,1013.6,17.2,20.1
17.2,21.4,0.0,43.0,17.0,20.0,66.0,1009.0,1010.3,18.8,18.5
10.9,20.5,2.4,26.0,13.966366966366966,17.0,54.0,1017.4,1017.2,14.2,18.9
11.4,22.2,0.0,30.0,6.0,13.0,54.0,1015.6,1014.6,15.6,20.1
13.9,22.3,10.6,30.0,0.0,15.0,57.0,1013.7,1013.9,17.1,20.9
13.1,23.4,0.2,30.0,9.0,15.0,77.0,1016.2,1015.4,18.8,20.4
9.8,22.8,0.2,28.0,0.0,11.0,53.0,1021.1,1021.0,15.0,21.9
8.0,26.8,0.0,28.0,6.0,17.0,44.0,1024.7,1021.6,12.8,25.3
9.8,27.3,0.0,30.0,0.0,17.0,56.0,1019.8,1017.9,16.9,25.6
15.9,19.9,0.0,50.0,11.0,24.0,78.0,1021.1,1022.0,19.1,17.9
12.4,20.4,2.2,44.0,19.0,24.0,53.0,1026.0,1023.0,16.1,19.2
10.8,24.0,0.0,39.0,13.0,20.0,56.0,1019.4,1015.8,15.3,21.4
10.6,20.6,0.0,41.0,13.0,22.0,91.0,1019.4,1020.2,17.2,13.9
4.0,18.9,0.8,31.0,13.0,17.0,36.0,1025.7,1023.9,14.4,18.1
5.1,19.9,0.0,35.0,11.0,24.0,63.0,1026.3,1026.1,15.0,17.2
7.9,23.0,0.0,35.0,11.0,20.0,44.0,1031.3,1027.7,15.7,22.1
7.3,25.2,0.0,43.0,9.0,22.0,50.0,1031.0,1028.0,14.4,22.3
8.7,24.6,0.0,33.0,13.0,22.0,48.0,1031.4,1027.0,13.9,22.2
6.8,27.1,0.0,33.0,9.0,11.0,30.0,1027.2,1022.7,16.0,26.7
6.5,28.5,0.2,35.0,13.0,17.0,27.0,1023.3,1020.1,21.1,27.9
10.3,29.2,0.0,31.0,0.0,11.0,28.0,1020.0,1018.1,16.8,28.2
13.8,22.5,0.0,43.0,15.0,28.0,62.0,1021.6,1019.2,18.0,20.1
11.7,27.8,0.0,30.0,11.0,17.0,47.0,1018.1,1013.6,16.7,26.2
15.6,25.7,0.4,39.0,24.0,22.0,59.0,1014.7,1013.4,18.0,24.9
15.9,31.1,0.0,43.0,17.0,24.0,52.0,1019.4,1016.5,20.6,26.7
13.0,28.9,0.0,37.0,17.0,17.0,60.0,1017.5,1013.6,17.0,23.1
16.3,21.1,0.0,50.0,19.0,26.0,51.0,1018.4,1018.1,19.5,20.3
8.9,20.1,0.0,46.0,13.0,24.0,51.0,1022.4,1019.3,14.6,18.8
6.0,21.7,0.0,30.0,6.0,17.0,54.0,1019.2,1015.5,14.3,20.5
10.9,22.7,0.0,37.0,13.0,19.0,59.0,1016.6,1014.9,14.5,21.3
11.2,28.6,0.2,44.0,9.0,13.0,47.0,1016.6,1015.2,17.7,25.5
10.9,25.9,0.0,30.0,7.0,19.0,65.0,1016.5,1014.3,18.8,23.0
14.0,23.1,0.0,31.0,15.0,17.0,55.0,1016.3,1013.6,18.3,21.7
15.1,24.6,0.0,28.0,6.0,17.0,64.0,1011.0,1008.2,16.0,22.3
10.2,18.1,1.6,48.0,22.0,22.0,40.0,1014.9,1017.0,15.3,16.2
12.3,19.1,0.0,33.0,9.0,15.0,87.0,1024.7,1023.3,14.9,15.7
13.2,20.3,1.4,33.0,11.0,19.0,61.0,1023.7,1022.2,17.4,19.4
14.1,21.0,0.4,26.0,6.0,15.0,74.0,1024.3,1023.0,17.0,18.6
11.6,20.4,0.4,26.0,7.0,13.0,65.0,1024.4,1022.6,16.3,18.8
9.0,22.1,0.0,28.0,7.0,15.0,54.0,1022.4,1020.6,14.3,20.6
6.3,24.0,0.0,28.0,7.0,15.0,49.0,1026.4,1023.1,16.2,23.4
8.6,23.2,0.0,31.0,6.0,17.0,56.0,1022.1,1021.5,14.7,20.3
8.2,18.9,0.0,33.0,2.0,17.0,47.0,1027.3,1026.2,14.0,17.7
2.1,21.0,0.0,28.0,4.0,19.0,45.0,1030.8,1028.1,12.1,19.9
4.7,24.6,0.0,24.0,9.0,9.0,37.0,1029.2,1025.6,9.9,22.6
6.8,23.9,0.2,20.0,7.0,9.0,41.0,1027.5,1024.9,11.5,22.6
5.3,26.7,0.0,52.0,0.0,13.0,30.0,1027.5,1025.6,13.7,24.6
5.7,27.1,0.0,50.0,0.0,9.0,27.0,1029.8,1027.7,12.0,26.3
6.4,25.3,0.2,33.0,6.0,9.0,30.0,1031.1,1028.6,17.0,23.5
5.6,25.3,0.0,31.0,15.0,13.0,32.0,1029.9,1027.1,17.4,24.2
7.0,23.1,0.0,20.0,4.0,2.0,45.0,1029.2,1026.5,15.2,21.1
5.7,24.9,0.0,35.0,11.0,22.0,35.0,1025.1,1021.7,17.5,23.0
10.3,20.8,0.0,28.0,7.0,6.0,62.0,1019.7,1019.1,16.3,19.7
11.4,20.4,1.2,37.0,13.0,20.0,57.0,1024.8,1024.1,15.2,18.2
5.5,20.2,0.0,37.0,7.0,19.0,46.0,1029.6,1027.1,13.3,19.3
4.0,19.9,0.2,28.0,7.0,19.0,44.0,1029.6,1026.1,10.0,19.3
5.0,20.7,0.2,26.0,0.0,11.0,43.0,1027.0,1023.6,10.2,20.1
2.2,22.4,0.0,20.0,0.0,11.0,42.0,1024.6,1021.5,9.2,21.1
1.5,22.6,0.0,19.0,4.0,11.0,34.0,1022.7,1020.2,8.6,21.8
1.8,24.0,0.0,20.0,13.966366966366966,9.0,35.0,1019.0,1014.9,9.9,23.0
5.7,22.6,0.0,33.0,4.0,17.0,53.0,1014.9,1012.8,14.1,20.2
13.0,21.7,2.0,28.0,11.0,13.0,51.0,1015.5,1014.3,18.9,21.0
10.8,21.9,0.0,65.0,20.0,20.0,87.0,1009.9,1006.4,18.7,16.6
14.8,20.1,47.0,70.0,35.0,28.0,75.0,992.9,993.5,20.0,13.2
10.2,15.3,12.4,83.0,31.0,31.0,69.0,999.6,1001.9,12.1,11.9
9.6,15.0,17.0,63.0,20.0,20.0,53.0,1009.3,1010.9,12.5,14.4
8.3,17.0,0.4,31.0,0.0,9.0,67.0,1018.4,1018.0,12.8,15.7
3.3,17.9,0.0,28.0,0.0,11.0,54.0,1021.4,1018.8,9.9,17.1
5.5,19.6,0.0,24.0,7.0,11.0,44.0,1020.1,1017.6,10.8,19.0
5.5,20.8,0.2,24.0,9.0,11.0,43.0,1019.8,1017.4,12.3,20.7
5.9,21.3,0.0,24.0,6.0,11.0,40.0,1021.4,1018.9,10.8,20.7
4.0,22.0,0.0,24.0,6.0,13.0,45.0,1021.5,1019.0,11.7,21.1
8.3,20.6,0.0,46.0,11.0,13.0,59.0,1018.1,1016.1,15.2,18.7
13.3,22.3,5.6,26.0,0.0,13.0,58.0,1017.9,1017.7,13.9,17.9
9.0,22.5,0.2,20.0,9.0,13.0,59.0,1020.7,1017.5,12.0,20.9
11.8,20.0,15.2,30.0,2.0,7.0,78.0,1017.4,1016.7,13.8,16.9
7.6,15.8,1.2,52.0,0.0,26.0,58.0,1018.9,1018.4,13.0,14.2
7.5,16.4,14.6,52.0,22.0,13.0,77.0,1020.6,1020.6,12.1,14.2
11.9,18.0,2.4,41.0,9.0,20.0,80.0,1024.0,1023.3,14.6,14.9
7.4,16.9,2.0,28.0,11.0,17.0,58.0,1027.9,1027.0,11.8,15.0
5.5,17.3,0.0,20.0,7.0,11.0,90.0,1026.8,1024.4,11.3,14.6
5.3,18.8,3.0,17.0,0.0,11.0,67.0,1024.7,1022.4,10.1,17.4
5.8,18.8,0.2,43.0,11.0,24.0,56.0,1019.0,1013.6,13.2,18.5
13.1,20.1,13.2,56.0,19.0,26.0,58.0,1010.0,1008.6,17.4,18.5
11.6,15.5,23.6,39.0,6.0,19.0,70.0,1010.6,1010.8,12.3,12.8
6.6,15.2,3.2,39.0,13.0,13.0,63.0,1018.4,1018.8,12.1,14.7
4.6,16.1,1.8,28.0,13.966366966366966,11.0,50.0,1024.6,1024.9,11.4,16.0
8.2,17.1,0.4,37.0,13.0,13.0,94.0,1026.5,1025.2,12.8,15.2
10.7,19.3,2.8956639566395665,44.0,15.0,24.0,72.0,1024.4,1021.8,15.1,17.5
13.6,16.7,2.8956639566395665,30.0,2.0,7.0,94.0,1022.3,1019.8,14.9,14.8
