MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.3,18.5,0.0,63.0,1015.2
14.7,21.0,0.0,71.0,1009.3
16.5,24.0,0.2,73.0,998.7
14.1,20.6,7.8,81.0,1008.5
13.0,17.8,0.0,63.0,1016.3
14.8,18.5,0.0,48.0,1017.9
14.0,20.0,0.0,72.0,1007.9
16.3,19.6,0.0,55.0,1008.0
10.8,19.4,0.0,66.0,1010.3
13.6,19.2,14.4,69.0,1013.0
14.6,19.7,0.2,67.0,1015.1
14.6,21.0,0.2,64.0,1016.6
16.5,21.3,0.2,82.0,1019.1
14.6,22.5,0.0,75.0,1015.6
17.5,20.6,0.0,77.0,1013.3
14.0,18.8,0.8,69.0,1016.9
14.5,19.0,0.2,64.0,1018.3
12.0,21.0,0.0,60.0,1014.8
15.8,22.0,0.0,78.0,1007.7
18.9,27.7,0.2,53.0,997.6
15.5,18.5,0.6,68.0,1013.1
10.5,20.8,1.2,67.407917383821,1014.4
12.0,21.2,0.0,65.0,1010.9
14.0,19.6,0.0,63.0,1013.8
12.2,21.1,0.0,56.0,1013.1
13.4,21.0,0.8,60.0,1013.4
17.5,24.6,0.0,70.0,1011.0
12.94843802485724,20.0,2.4,60.0,1016.7
12.0,21.5,0.0,62.0,1017.3
16.5,21.0,0.0,77.0,1014.4
16.9,20.5,0.0,69.0,1014.0
16.4,21.4,0.0,64.0,1015.6
12.94843802485724,22.8,0.0,77.0,1011.1
17.8,21.5,0.4,71.0,1016.7
15.0,24.0,0.0,53.0,1017.7
15.0,23.5,0.0,73.0,1014.9
18.9,23.0,0.0,83.0,1017.2
16.5,23.0,0.0,53.0,1018.3
17.7,22.2,0.0,76.0,1018.5
17.9,23.5,0.0,74.0,1017.7
15.0,23.5,0.0,70.0,1015.1
15.5,28.3,0.0,71.0,1006.4
16.1,25.7,0.0,75.0,1007.5
13.5,20.5,1.2,60.0,1016.1
14.4,22.5,0.8,53.0,1019.5
17.0,24.5,0.0,63.0,1018.5
18.5,31.7,0.0,52.0,1009.8
19.1,22.0,0.0,77.0,1018.2
18.3,19.6,0.0,71.0,1019.3
16.8,20.3,0.2,59.0,1018.9
14.8,22.0,0.0,72.0,1016.8
16.0,24.5,0.0,67.0,1009.8
17.6,22.7,1.2,69.0,1009.9
17.8,20.7,2.8,87.0,1012.1
15.5,23.1,0.0,63.0,1013.8
17.3,23.0,1.4,72.0,1014.5
18.5,23.0,0.0,82.0,1007.8
16.9,21.0,0.8,63.0,1011.5
18.0,20.5,0.0,76.0,1006.8
16.0,21.5,5.6,52.0,1011.0
