MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.4,22.9,0.6,22.0,1007.1
7.4,25.1,0.0,25.0,1007.8
12.9,25.7,0.0,30.0,1008.7
9.2,28.0,0.0,16.0,1012.8
17.5,32.3,1.0,33.0,1006.0
14.6,29.7,0.2,23.0,1005.4
14.3,25.0,0.0,19.0,1008.2
7.7,26.7,0.0,19.0,1010.1
9.7,31.9,0.0,9.0,1003.6
13.1,30.1,1.4,27.0,1005.7
13.4,30.4,0.0,22.0,1008.7
15.9,21.7,2.2,91.0,1004.2
15.9,18.6,15.6,93.0,993.0
12.6,21.0,3.6,43.0,1001.8
8.4,24.6,0.0,32.0,1008.7
9.8,27.7,1.9141149119893721,28.0,1010.3
14.1,20.9,0.0,82.0,1010.4
13.5,22.9,16.8,65.0,1002.2
11.2,22.5,10.6,32.0,1009.7
9.8,25.6,0.0,26.0,1017.1
11.5,29.3,0.0,28.0,1014.8
17.1,33.0,0.0,28.0,1008.1
20.5,31.8,0.0,24.0,1005.7
15.3,30.9,0.0,23.0,1008.2
12.6,32.4,0.0,17.0,1010.1
16.2,33.9,0.0,19.0,1007.6
16.9,33.0,0.0,28.0,1003.6
20.1,32.7,0.0,15.0,1001.7
19.7,27.2,0.0,22.0,1004.2
12.5,24.2,1.2,70.0,1003.4
12.0,24.4,0.8,28.0,1005.1
11.3,26.5,0.0,26.0,1003.2
9.6,23.9,0.0,22.0,1013.1
10.5,28.8,0.0,22.0,1014.8
12.3,34.6,0.0,12.0,1010.3
12.9,35.8,0.0,9.0,1009.2
13.7,37.9,0.0,8.0,1006.7
16.1,38.9,0.0,12.0,1002.7
14.0,28.3,0.0,15.0,1010.9
12.5,28.4,0.0,16.0,1013.7
17.0,30.8,0.0,24.0,1008.1
16.9,32.0,0.0,31.0,1006.8
17.3,34.7,0.0,16.0,1012.1
17.2,37.7,0.0,19.0,1010.9
17.4,43.0,0.0,8.0,1006.9
19.8,32.7,0.0,28.0,1009.2
14.9,26.7,0.0,20.0,1012.7
10.5,28.4,0.0,16.0,1017.4
11.3,32.2,0.0,17.0,1016.2
13.9,36.6,0.0,10.0,1010.6
18.6,39.9,0.0,21.0,1004.8
19.3,38.1,0.8,17.0,1005.9
24.4,34.0,0.6,39.0,997.8
18.8,35.2,6.4,28.0,1003.9
20.8,30.6,0.0,21.0,1007.6
14.0,34.3,0.0,10.0,1014.6
15.7,38.4,0.0,12.0,1014.6
18.5,38.2,0.0,25.0,1014.1
20.4,40.7,0.0,15.0,1011.6
21.8,41.5,0.0,13.0,1011.8
22.3,42.9,0.0,11.0,1010.2
22.0,42.7,0.0,11.0,1010.5
28.0,43.1,0.0,9.0,1008.7
24.4,38.3,0.2,21.0,1007.4
21.5,37.7,0.0,21.0,1005.7
21.7,36.9,0.0,26.0,1004.7
21.5,41.2,0.0,15.0,1002.6
23.5,42.2,0.0,8.0,1005.0
22.3,44.8,0.0,11.0,1003.8
28.3,40.2,0.0,19.0,1006.5
18.4,31.2,0.4,31.0,1007.8
14.9,27.3,0.0,30.0,1008.5
13.5,26.7,0.0,24.0,1011.1
16.1,21.6,0.0,69.0,1017.3
14.6,29.0,3.0,21.0,1019.7
12.4,29.2,0.0,18.0,1016.4
13.3,31.3,0.0,23.0,1012.8
17.2,31.1,0.0,22.0,1013.8
12.5,28.8,0.0,17.0,1013.5
18.0,32.0,0.0,22.0,1007.5
16.2,34.0,0.0,16.0,1004.5
18.7,29.1,0.0,39.0,1010.8
13.7,31.7,0.0,19.0,1010.4
15.5,33.2,0.0,23.0,1012.4
14.3,34.0,0.0,10.0,1009.2
12.9,29.6,0.0,14.0,1012.7
8.9,31.9,0.0,16.0,1013.4
15.0,32.7,0.0,19.0,1015.0
15.4,32.6,0.0,25.0,1012.6
16.0,34.5,0.0,14.0,1004.6
12.8,30.3,0.0,27.0,1008.7
13.2,31.9,0.0,25.0,1011.6
18.0,31.1,0.0,35.0,1009.0
13.8,22.1,0.2,26.0,1013.1
11.5,22.0,0.0,33.0,1011.8
7.6,24.0,0.0,23.0,1012.0
8.3,27.9,0.0,22.0,1012.4
