MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
19.6,37.6,0.0,16.0,1005.8
21.0,39.1,1.2,13.0,1004.6
22.9,40.9,0.0,11.0,1003.4
24.7,40.5,0.0,24.0,1006.9
23.4,32.4,0.2,43.0,1010.7
21.7,25.1,2.6,78.0,1011.1
20.9,25.7,4.8,77.0,1009.9
17.7,34.6,0.6,27.0,1005.9
24.4,39.0,0.0,20.0,1002.6
25.3,38.6,0.0,51.0,1004.4
25.0,32.3,0.0,73.0,1001.3
20.7,32.2,14.4,37.0,1002.7
16.6,26.6,0.0,39.0,1009.6
13.7,26.8,0.0,24.0,1010.5
13.1,28.5,0.0,15.0,1009.6
13.6,31.7,0.0,15.0,1007.9
15.7,36.3,0.0,11.0,1004.9
19.6,36.9,0.0,12.0,1004.9
24.5,35.2,0.0,19.0,1006.6
19.4,35.2,0.0,14.0,1007.0
19.9,39.3,0.0,12.0,1004.1
21.5,39.9,0.0,13.0,1004.9
21.6,39.4,0.0,13.0,1005.0
22.5,38.5,0.0,19.0,1005.7
27.2,37.6,0.0,22.0,1006.1
26.8,38.9,0.0,58.0,1003.5
23.1,31.5,21.4,51.0,1005.0
23.3,34.0,0.2,37.0,1003.8
21.9,32.4,9.4,28.0,1006.3
18.7,32.7,0.0,14.0,1006.2
18.0,34.5,0.0,14.0,1003.4
22.2,36.0,0.0,12.0,1002.9
22.1,34.3,0.0,12.0,1005.9
18.6,34.7,0.0,20.0,1004.4
21.5,36.1,0.0,20.0,1003.8
20.6,36.5,0.0,20.0,1003.2
22.4,36.3,0.0,19.0,1002.4
21.1,35.7,0.0,32.0,1004.2
22.4,34.6,0.0,30.0,1005.8
21.2,36.2,0.0,17.0,1004.6
21.0,37.5,0.0,9.0,1002.6
17.7,37.3,0.0,6.0,1003.3
17.4,38.1,0.0,8.0,1005.3
23.2,38.2,0.0,8.0,1005.1
23.1,37.8,0.0,14.0,1005.7
20.4,38.4,0.0,12.0,1006.6
25.7,37.5,0.0,14.0,1009.0
25.4,36.3,0.0,23.0,1008.4
23.9,25.2,0.0,57.0,1010.5
19.0,25.3,5.2,76.0,1007.5
19.5,31.1,7.8,56.0,1005.6
22.5,37.0,0.0,27.0,1003.7
23.7,38.8,0.0,14.0,1002.9
27.6,40.2,0.4,19.0,1002.7
25.9,39.9,0.2,42.0,1005.5
24.2,39.6,1.4,51.0,1007.1
21.9,39.5,0.0,7.0,1005.9
26.7,39.4,0.0,21.0,1003.4
25.5,37.6,0.0,14.0,1002.9
24.7,36.5,0.0,20.0,1002.4
21.7,34.2,0.0,27.0,1000.9
22.3,32.0,0.0,53.0,1002.5
21.4,35.9,9.0,29.0,1003.1
24.3,38.0,0.0,21.0,1001.6
23.8,39.3,0.0,13.0,1001.0
22.2,40.1,0.0,13.0,1001.3
25.2,40.8,0.0,15.0,1001.0
26.1,41.3,0.0,11.0,999.0
22.5,39.3,0.0,11.0,1000.6
22.9,39.9,0.0,10.0,1002.4
23.9,36.6,0.0,17.0,1004.1
24.3,33.6,0.0,15.0,1007.5
18.7,30.4,0.0,8.0,1009.6
13.8,30.5,0.0,5.0,1009.4
11.8,31.1,0.0,4.0,1010.5
11.0,32.1,0.0,5.0,1009.7
12.3,32.1,0.0,16.0,1008.0
16.1,33.3,0.0,12.0,1006.0
16.1,36.2,0.0,9.0,1003.9
17.7,35.5,0.0,13.0,1002.7
21.0,36.7,0.0,11.0,1004.0
22.9,35.3,0.0,15.0,1008.3
23.0,35.6,0.0,13.0,1008.2
15.9,35.9,0.0,9.0,1006.0
18.8,37.7,0.0,8.0,1006.7
18.9,37.9,0.0,17.0,1006.0
