MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.3,34.2,0.0,51.38185511171293,1015.635119887165
14.7,26.1,0.0,54.0,1013.5
13.6,22.3,0.0,51.0,1019.2
17.7,31.2,0.0,43.0,1013.6
15.5,38.8,0.0,19.0,1007.6
14.0,39.3,0.0,13.0,1006.9
15.3,40.3,0.0,19.0,1004.6
18.9,22.3,0.0,70.0,1013.6
14.8,22.4,0.4,46.0,1018.8
11.9,26.0,0.2,43.0,1013.2
12.6,30.2,0.0,40.0,1010.1
15.3,29.4,4.0,50.0,1015.8
18.4,32.7,0.0,40.0,1015.3
15.9,39.9,0.0,21.0,1009.6
18.0,42.9,0.0,16.0,1005.5
14.6,34.5,0.4,22.0,1007.5
15.5,23.7,0.0,38.0,1020.1
10.3,28.7,0.0,28.0,1018.8
11.3,33.5,0.0,18.0,1013.9
14.6,39.2,0.0,20.0,1008.9
20.5,38.4,0.4,31.0,1007.1
19.6,33.7,19.4,41.0,1004.8
20.3,36.1,0.2,44.0,1006.5
20.8,40.7,0.0,15.0,1003.0
18.7,28.4,0.0,39.0,1017.8
19.7,31.0,0.0,55.0,1018.5
19.3,28.0,3.6,71.0,1019.6
16.3,35.7,0.0,34.0,1014.6
16.1,35.4,0.0,29.0,1015.2
17.4,34.6,0.0,36.0,1014.3
15.9,36.6,0.0,32.0,1012.7
18.3,31.3,0.0,49.0,1015.8
19.5,35.1,0.0,34.0,1010.6
19.5,33.4,0.0,42.0,1009.6
20.6,32.6,0.0,46.0,1008.3
18.9,39.7,0.0,23.0,1004.5
20.4,40.1,0.0,36.0,1006.8
19.2,42.0,0.8,14.0,1009.0
17.0,40.0,0.0,28.0,1006.2
20.6,23.3,0.0,78.0,1011.8
16.6,19.4,2.0,93.0,1010.5
15.5,22.1,4.6,70.0,1012.1
14.3,20.3,4.2,69.0,1019.2
14.3,21.1,1.0,51.0,1024.7
14.6,18.1,21.2,92.0,1019.9
15.0,21.9,36.0,82.0,1014.6
16.2,25.0,23.4,56.0,1018.1
15.8,22.3,0.8,61.0,1016.0
17.0,27.4,9.8,61.0,1008.8
16.6,31.2,0.0,46.0,1004.9
17.4,31.3,0.2,40.0,1009.0
20.2,26.7,1.0,77.0,1013.3
17.8,26.1,0.2,59.0,1017.4
17.4,30.3,0.0,52.0,1011.8
16.6,31.5,4.2,51.0,1012.5
19.5,28.5,0.2,59.0,1013.9
16.5,25.7,0.0,52.0,1018.5
12.9,25.8,0.0,46.0,1015.3
12.7,32.0,0.0,44.0,1005.9
17.6,28.4,0.0,52.0,1010.1
18.1,27.9,0.0,50.0,1014.6
16.2,27.6,0.0,50.0,1014.7
19.7,24.6,0.0,48.0,1008.9
9.4,25.8,0.0,24.0,1008.3
8.6,25.4,0.0,39.0,1010.8
13.1,28.8,0.0,34.0,1011.6
17.4,25.1,0.0,66.0,1018.8
16.0,24.1,12.4,70.0,1020.2
16.9,25.9,0.8,55.0,1020.8
14.4,22.9,0.2,75.0,1023.1
14.6,26.1,4.8,53.0,1020.0
16.4,27.2,0.0,66.0,1016.0
15.1,28.8,0.0,62.0,1010.1
15.1,30.4,24.6,49.0,1007.3
11.9,27.0,0.0,31.0,1007.9
9.4,25.8,0.0,32.0,1012.0
14.5,26.1,0.0,50.0,1015.7
11.8,30.0,0.0,50.0,1013.4
14.7,29.7,0.0,48.0,1015.8
14.7,26.5,0.0,61.0,1016.8
12.0,28.0,0.0,44.0,1014.7
13.7,29.3,0.0,47.0,1014.7
15.6,32.4,0.0,35.0,1015.1
15.0,33.1,0.0,45.0,1016.7
17.0,31.3,24.8,49.0,1016.4
18.4,23.4,3.8,61.0,1023.6
12.6,25.0,0.2,46.0,1022.8
11.3,26.4,0.0,45.0,1021.0
15.0,26.2,0.0,51.0,1022.1
17.6,21.4,3.2,87.0,1020.9
17.6,22.9,32.0,78.0,1021.4
18.6,24.9,15.4,69.0,1021.6
18.1,26.8,4.0,63.0,1016.6
17.2,20.2,1.8,67.0,1019.5
15.5,23.7,0.0,61.0,1014.2
11.7,21.3,0.2,60.0,1019.5
13.1,22.1,0.0,58.0,1024.0
9.3,23.4,0.0,46.0,1024.3
10.3,23.5,0.0,54.0,1021.8
10.7,24.8,0.0,52.0,1021.0
14.5,24.2,0.0,59.0,1023.1
16.5,24.0,0.8,60.0,1020.7
17.7,22.3,0.2,80.0,1019.6
14.9,27.3,13.0,53.0,1010.8
11.3,28.3,0.4,30.0,1007.0
8.9,23.9,0.0,37.0,1011.6
