MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
5.8,17.6,3.2,37.0,1007.5
4.3,19.5,0.4,47.0,1007.3
9.5,18.8,0.6,42.0,1011.5
6.7,21.8,0.2,33.0,1012.6
13.3,25.6,1.2,40.0,1005.5
9.6,23.0,0.0,42.0,1005.7
4.6,16.4,0.0,42.0,1012.1
2.9,23.1,0.2,30.0,1010.5
5.3,17.6,0.0,87.0,1006.4
8.3,18.3,5.0,43.0,1010.9
6.9,23.8,0.0,28.0,1011.0
12.1,19.6,0.0,97.0,1002.2
13.1,13.9,53.6,99.0,996.5
10.0,16.2,11.0,71.0,1007.5
8.3,18.7,1.4,50.0,1011.2
7.9,19.1,0.0,57.0,1011.6
10.3,20.1,1.8,64.0,1008.8
11.1,19.2,0.6,49.0,1005.1
6.3,16.9,1.4,41.0,1014.6
5.5,21.4,0.0,44.0,1018.0
6.8,26.7,0.0,32.0,1013.8
18.8,32.2,0.0,21.0,1004.2
10.5,20.1,0.0,52.0,1012.7
7.2,24.8,0.2,27.0,1011.3
8.8,25.5,0.0,32.0,1012.3
10.6,28.9,0.0,32.0,1008.1
11.3,28.0,0.0,43.0,1003.2
7.6,25.6,0.0,44.0,1002.7
9.3,19.8,0.0,40.0,1008.0
10.2,20.1,2.4,45.0,1003.2
9.0,20.4,0.2,44.0,1004.7
8.3,17.0,0.2,48.0,1006.5
3.0,17.0,0.4,35.0,1017.6
0.7,22.5,0.0,26.0,1015.9
5.9,28.8,0.0,14.0,1012.8
8.3,29.6,0.0,12.0,1010.6
10.8,30.3,0.0,30.0,1008.0
13.6,21.1,0.0,64.0,1009.9
7.3,18.2,0.0,36.0,1017.2
4.3,20.4,0.0,32.0,1016.3
9.0,26.7,0.0,16.0,1008.6
9.3,27.1,0.0,19.0,1008.9
8.7,26.6,0.0,30.0,1015.9
8.6,34.9,0.0,13.0,1010.5
20.3,33.9,0.0,25.0,1007.8
11.1,23.5,0.0,33.0,1014.2
9.8,18.6,0.0,43.0,1018.3
6.1,21.7,0.0,32.0,1020.6
6.1,29.1,0.0,13.0,1017.2
8.9,34.2,0.0,8.0,1009.8
