MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
9.1,21.7,0.0,23.0,1007.5
6.2,23.0,0.0,29.0,1007.8
10.8,23.7,0.0,23.0,1010.7
8.2,24.6,0.0,22.0,1012.5
15.1,30.3,0.2,29.0,1005.0
9.9,27.2,0.2,29.0,1005.6
8.0,22.0,0.2,26.0,1010.7
7.8,25.5,0.0,17.0,1010.6
9.7,22.0,0.0,42.0,1006.2
9.8,23.2,3.2,30.0,1009.3
8.7,28.7,0.2,13.0,1009.7
16.5,19.9,0.0,94.0,1001.9
14.1,20.2,30.4,68.0,994.6
10.9,21.5,4.0,41.0,1005.4
9.9,21.2,0.0,37.0,1011.2
7.9,23.9,0.0,41.0,1011.2
13.5,22.0,1.2,58.0,1008.4
12.7,21.8,10.0,44.0,1004.1
8.4,20.3,5.8,32.0,1013.6
6.3,24.4,0.0,24.0,1017.3
11.2,28.6,0.0,24.0,1013.8
15.3,35.0,0.0,15.0,1004.3
15.0,24.3,0.0,34.0,1011.2
8.0,28.7,0.0,10.0,1010.2
12.6,30.4,0.0,23.0,1010.9
14.5,33.4,0.0,23.0,1007.3
17.5,32.1,0.2,32.0,1002.3
10.9,29.5,0.0,25.0,1002.7
11.9,24.1,0.0,25.0,1007.0
13.0,25.2,0.2,25.0,1002.4
8.7,24.5,0.8,25.0,1004.5
11.1,24.6,0.0,27.0,1004.7
7.1,21.2,0.0,23.0,1016.9
5.4,26.8,0.0,13.0,1015.4
10.1,31.9,0.0,6.0,1012.0
10.9,34.2,0.0,3.0,1009.8
12.2,35.3,0.0,13.0,1007.2
13.6,29.6,0.0,34.0,1007.3
10.6,23.4,0.0,24.0,1015.7
7.9,25.5,0.0,16.0,1015.2
11.8,29.7,0.0,18.0,1007.8
12.8,31.9,0.0,17.0,1007.4
12.3,32.9,0.0,12.0,1013.7
11.8,36.8,0.0,12.0,1010.6
15.3,41.9,0.0,4.0,1005.9
14.6,27.8,0.0,18.0,1012.8
11.0,23.5,0.0,24.0,1016.7
8.5,26.2,0.0,18.0,1019.5
7.4,31.8,0.0,12.0,1016.7
12.3,36.4,0.0,8.0,1009.7
15.2,41.7,0.0,5.0,1004.0
14.2,35.9,0.0,13.0,1005.8
20.5,35.2,0.0,11.0,995.9
7.5,30.3,0.0,16.0,1003.9
16.3,26.3,0.0,21.0,1010.3
10.2,33.1,0.0,9.0,1015.7
14.3,35.0,0.0,13.0,1016.8
12.6,38.3,0.0,9.0,1013.7
18.2,42.2,0.0,8.0,1010.0
23.7,42.6,0.0,13.0,1010.7
22.0,43.2,0.0,9.0,1009.7
25.5,43.6,0.0,7.0,1010.0
24.2,40.0,0.0,18.0,1010.4
22.1,35.5,0.0,32.0,1008.8
18.7,34.5,0.0,27.0,1007.7
16.4,37.0,0.0,17.0,1004.9
18.0,40.2,0.0,10.0,1003.8
16.0,39.5,0.0,15.0,1006.3
21.2,45.4,0.0,6.0,1001.0
20.5,28.3,0.0,44.0,1010.7
12.2,23.3,0.0,19.0,1013.3
10.4,22.1,0.0,26.0,1014.8
10.9,21.0,0.0,29.0,1016.5
12.0,25.4,0.0,25.0,1017.5
10.3,28.0,0.0,19.0,1021.1
10.8,30.1,0.0,20.0,1017.7
12.5,28.6,0.0,31.0,1014.9
15.1,30.8,0.0,27.0,1014.7
15.0,30.8,0.0,23.0,1013.5
14.3,29.5,0.0,25.0,1009.4
13.1,34.9,0.0,13.0,1005.4
17.6,27.6,0.4,22.0,1011.5
12.2,26.7,0.0,31.0,1014.3
13.5,31.1,0.0,25.0,1012.6
12.5,33.8,0.0,12.0,1008.9
10.9,25.7,0.0,21.0,1016.1
11.0,28.2,0.0,30.0,1016.1
12.9,31.6,0.0,24.0,1015.7
14.0,34.5,0.0,15.0,1011.3
13.0,28.8,0.0,23.0,1009.2
10.0,23.8,0.0,41.0,1012.5
9.5,28.8,0.0,22.0,1011.6
14.8,31.8,3.2,29.0,1003.8
10.5,19.9,0.0,36.0,1012.8
11.1,19.8,0.0,53.0,1015.5
11.9,22.0,0.0,38.0,1014.2
6.8,24.6,0.0,33.0,1014.5
10.6,25.1,0.0,26.0,1016.9
11.0,30.5,0.0,25.0,1016.5
15.2,30.1,0.0,36.0,1017.5
17.6,29.3,5.8,27.0,1017.6
17.2,21.9,14.0,81.0,1017.1
15.7,27.7,0.2,53.0,1014.5
15.7,21.0,0.2,80.0,1007.5
8.7,18.9,3.0,41.0,1011.5
5.6,18.9,0.0,53.0,1012.8
11.7,22.4,0.0,43.0,1015.9
7.3,25.5,0.0,24.0,1013.9
7.9,31.9,0.0,15.0,1012.1
14.2,32.7,0.0,15.0,1012.7
12.5,34.9,0.0,8.0,1010.8
16.9,29.5,0.0,32.0,1010.4
10.7,25.9,0.0,34.0,1013.5
10.8,23.8,0.0,35.0,1015.5
13.8,30.0,0.4,27.0,1014.2
12.3,25.6,0.0,35.0,1019.8
9.0,25.5,0.0,26.0,1023.4
4.9,28.3,0.0,9.0,1020.9
5.6,30.6,0.0,8.0,1019.7
13.7,28.8,0.0,25.0,1020.8
12.4,29.3,0.0,27.0,1020.2
12.0,29.8,0.0,27.0,1019.8
12.9,30.6,0.0,33.0,1018.5
17.1,29.0,0.0,70.0,1013.8
6.7,19.9,0.0,33.0,1021.8
4.3,21.9,0.0,39.0,1017.6
3.3,18.2,0.0,36.0,1024.1
4.5,20.6,0.0,44.0,1026.6
6.6,23.5,0.0,32.0,1023.8
10.0,25.7,0.0,26.0,1018.6
11.5,25.2,0.0,39.0,1017.2
12.0,25.1,0.0,22.0,1020.2
7.2,25.2,0.0,19.0,1020.5
8.0,26.5,0.0,18.0,1018.1
7.7,27.6,0.0,16.0,1010.4
7.8,18.0,0.4,24.0,1011.5
0.7,19.5,0.0,36.0,1012.0
6.9,21.7,0.0,34.0,1017.3
8.4,22.7,0.0,37.0,1021.0
12.3,22.3,0.0,30.0,1020.9
9.3,23.0,0.0,36.0,1020.0
4.6,22.8,0.0,30.0,1021.2
4.6,23.2,0.0,31.0,1021.3
7.1,22.6,0.0,35.0,1013.7
13.4,16.1,2.6,96.0,999.1
9.6,15.6,8.4,79.0,996.2
6.0,13.3,8.2,47.0,1001.6
4.8,11.8,0.8,67.0,1011.7
5.0,13.6,2.0,37.0,1020.2
4.5,13.1,0.2,37.0,1021.1
-1.3,15.1,0.0,26.0,1021.2
1.7,16.9,0.0,50.0,1022.1
5.5,17.8,2.4,44.0,1025.1
3.2,19.2,0.0,42.0,1026.6
3.0,16.1,0.0,61.0,1029.4
2.6,18.9,0.0,47.0,1028.5
5.6,18.3,0.2,43.0,1025.3
3.8,18.6,0.0,52.0,1026.2
7.2,18.6,0.0,54.0,1027.8
7.4,20.4,0.0,50.0,1024.1
5.1,18.9,0.0,41.0,1022.8
5.4,18.9,0.0,45.0,1021.9
7.4,17.9,0.0,41.0,1019.5
2.8,16.5,0.0,46.0,1015.1
5.1,17.4,0.0,50.0,1012.0
10.1,16.6,0.2,76.0,1009.0
10.6,16.6,0.8,48.0,1014.6
5.7,16.2,0.0,56.0,1020.7
2.7,18.8,0.0,36.0,1021.1
6.8,18.7,0.0,52.0,1019.3
8.1,19.6,0.0,46.0,1021.0
9.2,21.5,0.0,28.0,1022.3
6.7,20.8,0.0,35.0,1021.1
6.8,21.3,0.0,43.0,1018.2
14.4,22.6,0.0,44.0,1020.3
14.4,17.6,0.0,96.0,1017.4
8.9,16.4,16.2,53.0,1020.3
2.8,15.5,0.2,50.0,1021.2
