MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
10.3,25.2,0.0,37.0,1014.8
8.1,22.9,0.0,30.0,1015.0
9.7,22.4,0.0,52.0,1019.1
11.8,20.0,0.8,53.0,1021.7
12.3,16.7,0.0,89.0,1026.2
12.6,21.5,16.2,52.0,1025.7
12.9,21.9,0.0,63.0,1023.1
14.5,17.4,24.2,73.0,1019.3
6.0,16.7,3.8,34.0,1020.2
10.3,19.7,0.2,34.0,1017.0
6.6,19.6,0.0,38.0,1019.4
7.9,21.1,0.0,48.0,1023.4
12.0,22.8,0.0,69.0,1023.3
13.6,25.7,0.0,65.0,1021.0
16.7,24.8,0.0,65.0,1018.7
16.5,18.9,5.4,71.0,1017.8
12.2,21.5,2.8,57.0,1016.1
9.4,25.4,0.0,34.0,1011.9
6.8,22.9,0.0,25.0,1015.7
7.5,22.9,0.0,45.0,1015.4
12.5,22.8,0.0,54.0,1013.8
12.1,20.4,0.0,52.0,1021.3
12.5,15.7,0.2,77.0,1023.1
12.4,14.3,12.6,53.91220893643801,1015.0992778649922
12.5,18.9,22.4,67.0,1014.1
8.3,19.9,0.4,42.0,1014.1
8.0,18.2,0.0,41.0,1011.7
8.2,15.7,2.4,49.0,1005.9
8.8,20.3,0.0,36.0,1010.0
6.3,20.6,0.0,25.0,1014.2
3.7,21.3,0.0,29.0,1016.1
7.1,28.7,0.0,28.0,1009.6
12.3,21.8,0.0,26.0,1014.3
8.5,21.3,0.0,45.0,1018.1
8.3,22.1,0.0,53.0,1017.2
8.5,22.4,0.0,33.0,1016.0
9.2,21.7,0.2,29.0,1016.0
7.0,21.2,0.0,29.0,1017.4
7.2,20.9,0.0,26.0,1018.1
7.5,21.5,0.0,32.0,1019.4
5.0,21.6,0.0,21.0,1016.0
4.5,18.7,0.0,16.0,1016.2
4.1,19.4,0.0,19.0,1021.1
7.1,19.9,0.0,28.0,1021.5
6.5,19.8,0.0,25.0,1018.1
9.8,21.4,0.0,22.0,1011.4
10.6,20.3,0.0,27.0,1012.0
6.4,20.1,0.0,34.0,1019.5
8.5,16.9,0.0,54.0,1022.8
6.7,20.5,0.0,26.0,1024.8
7.9,22.1,0.0,45.0,1026.5
9.3,20.5,0.0,53.0,1022.2
11.4,24.9,0.0,66.0,1011.6
9.8,21.7,10.0,28.0,1018.6
7.5,21.6,0.0,40.0,1024.7
8.9,21.6,0.0,42.0,1024.3
10.9,22.3,0.0,48.0,1021.7
11.0,23.0,0.2,58.0,1021.3
12.5,20.9,0.0,57.0,1021.9
14.0,23.2,5.0,59.0,1020.2
13.8,24.6,0.4,56.0,1019.7
14.5,24.1,0.0,70.0,1017.6
16.8,25.1,1.6,52.0,1020.5
12.9,23.0,0.0,57.0,1022.3
15.0,22.9,0.0,50.0,1023.5
15.6,19.7,6.0,92.0,1020.1
15.0,23.2,41.6,86.0,1010.3
15.5,22.5,3.8,47.0,1009.4
11.9,23.8,0.0,41.0,1012.3
11.2,23.2,0.0,51.0,1015.0
12.5,21.9,0.0,53.0,1019.9
12.1,22.9,0.0,56.0,1016.9
11.8,23.7,0.0,60.0,1015.2
16.1,25.0,0.0,60.0,1015.5
13.6,24.7,0.4,61.0,1017.9
17.0,24.5,0.2,60.0,1015.9
14.9,25.5,1.0,61.0,1014.3
15.4,26.9,0.0,63.0,1013.1
16.8,21.9,0.0,54.0,1020.1
14.7,20.8,0.0,64.0,1018.3
