MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
25.2,32.3,0.4,66.0,1008.1
24.2,32.3,8.4,62.0,1008.0
23.9,32.8,0.6,42.0,1009.9
22.2,33.6,0.0,31.0,1010.9
23.2,33.5,0.0,56.0,1011.0
24.7,33.4,0.0,67.0,1009.2
23.9,32.0,0.0,73.0,1007.1
26.6,33.2,0.0,69.0,1005.8
26.1,32.8,4.6,77.0,1006.9
26.0,32.6,0.2,72.0,1007.5
25.3,32.9,0.4,57.0,1006.6
22.9,33.3,0.0,57.0,1007.6
24.7,33.0,0.0,68.0,1006.3
26.5,34.1,0.0,68.0,1003.2
23.8,32.9,31.8,74.0,1005.0
25.5,33.9,0.2,59.0,1007.4
25.1,32.6,0.0,77.0,1008.9
23.8,31.7,3.6,70.0,1007.7
25.3,32.4,0.0,69.0,1006.8
25.2,32.1,0.0,72.0,1006.6
23.0,33.1,0.0,63.0,1007.3
25.3,33.4,0.2,56.0,1009.3
24.1,32.3,10.8,60.0,1008.8
25.5,32.7,0.0,50.0,1007.9
21.8,33.3,0.0,51.0,1007.5
23.4,33.9,0.0,47.0,1006.6
24.5,31.1,17.4,72.0,1005.8
24.1,30.2,26.8,79.0,1005.2
24.2,31.4,35.0,73.0,1004.6
25.7,31.9,0.0,75.0,1004.1
23.2,30.1,54.8,94.0,1005.5
23.6,31.4,15.8,70.0,1005.6
23.5,31.6,1.2,70.0,1006.8
25.0,31.6,0.0,70.0,1007.0
25.4,32.7,0.4,76.0,1006.6
25.1,31.6,0.8,87.0,1005.7
24.3,32.4,7.4,63.0,1004.4
25.4,32.4,0.0,68.0,1004.2
24.7,31.4,0.2,67.0,1003.2
24.7,29.6,0.6,86.0,1001.9
22.1,27.6,68.2,93.0,1003.0
23.0,28.7,47.0,66.0,1005.4
22.3,27.4,278.4,98.0,999.6
22.7,30.2,140.2,67.0,1001.2
23.7,30.9,0.0,66.0,1005.5
24.3,31.6,0.0,69.0,1008.7
24.5,31.4,10.4,89.0,1010.2
24.1,31.4,12.8,68.0,1008.2
24.9,32.2,1.8,58.0,1008.8
22.8,30.9,102.2,62.0,1008.6
23.5,29.2,57.8,77.0,1008.9
23.1,32.3,62.0,57.0,1007.9
24.0,31.0,0.8,76.0,1007.3
25.2,31.0,3.4,73.0,1008.5
24.7,31.8,0.0,73.0,1007.7
