MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
8.0,24.3,0.0,29.0,1015.0
14.0,26.9,3.6,36.0,1008.4
13.7,23.4,3.6,69.0,1007.2
13.3,15.5,39.8,56.0,1007.0
7.6,16.1,2.8,49.0,1018.5
6.2,16.9,0.0,57.0,1021.7
6.1,18.2,0.2,47.0,1022.2
8.3,17.0,0.0,57.0,1024.2
8.8,19.5,0.0,48.0,1022.7
8.4,22.8,16.2,32.0,1020.7
9.1,25.2,0.0,34.0,1021.1
8.5,27.3,0.2,35.0,1019.9
10.1,27.9,0.0,29.0,1017.1
12.1,30.9,0.0,20.0,1013.1
10.1,31.2,0.0,16.0,1013.7
12.4,32.1,0.0,22.0,1012.8
13.8,31.2,0.0,23.0,1009.8
11.7,30.0,1.2,26.0,1013.0
12.4,32.3,0.6,25.0,1013.3
15.6,33.4,0.0,27.0,1013.7
15.3,33.4,0.0,26.0,1006.5
16.4,19.4,0.4,72.0,1008.9
12.8,18.5,25.8,79.0,1014.9
12.0,24.3,0.4,57.0,1019.2
15.4,28.4,0.0,31.0,1018.6
15.6,26.9,0.0,48.0,1016.5
13.3,22.2,0.2,55.0,1018.6
12.9,28.0,0.0,31.0,1014.8
15.1,24.3,0.0,80.0,1017.1
13.6,24.1,0.4,49.0,1013.3
15.1,20.4,22.6,90.0,1014.1
11.6,26.3,4.2,46.0,1009.5
16.6,24.2,0.2,60.0,1004.6
13.3,26.5,6.6,40.0,1006.3
14.5,21.8,0.0,63.0,1015.3
16.3,26.8,0.0,54.0,1016.1
17.2,25.8,0.0,74.0,1011.5
16.5,28.2,4.0,42.0,1011.4
15.0,29.4,0.0,24.0,1008.5
14.9,24.8,0.0,37.0,1010.4
11.8,18.5,0.6,63.0,1017.4
11.7,21.5,0.0,51.0,1019.6
9.6,20.3,0.0,49.0,1019.3
8.9,27.1,0.0,37.0,1012.5
10.1,29.9,0.0,36.0,1010.2
15.5,21.1,5.4,86.0,1008.6
10.8,21.7,1.4,40.0,1016.8
7.5,20.9,0.0,43.0,1018.3
12.8,21.0,0.0,54.0,1015.6
12.6,23.1,3.4,74.0,1014.1
14.8,29.5,6.4,48.0,1008.3
19.9,22.0,11.0,62.0,996.8
9.2,20.4,17.4,49.0,1009.1
12.4,24.4,0.0,43.0,1009.7
11.3,21.7,3.4,52.0,1019.1
9.8,26.3,0.0,35.0,1018.0
14.3,26.7,0.0,64.0,1014.3
15.1,28.3,14.4,44.0,1013.4
14.4,31.6,0.0,30.0,1014.2
15.4,35.0,0.0,18.0,1015.0
13.8,33.5,0.0,20.0,1015.6
13.6,34.2,0.0,20.0,1011.6
14.3,35.0,0.0,14.0,1008.7
15.9,23.4,0.0,55.0,1016.3
16.7,25.3,0.0,45.0,1013.0
12.1,27.5,0.0,40.0,1007.4
14.3,34.1,0.0,34.0,1003.3
16.5,33.9,0.0,36.0,1009.5
16.5,30.3,0.0,44.0,1013.4
17.5,29.9,0.0,45.0,1015.9
14.7,34.2,0.0,25.0,1013.3
17.5,35.8,0.0,24.0,1006.5
20.9,35.7,0.0,28.0,1003.0
17.0,33.8,2.0,35.0,1001.8
16.0,22.8,0.0,57.0,1012.3
15.4,33.8,0.0,26.0,1009.0
17.9,33.2,0.0,62.0,1006.1
15.2,25.1,4.8,42.0,1015.0
15.1,20.4,0.0,55.0,1015.8
15.3,19.6,18.8,88.0,1006.0
17.2,24.7,12.2,71.0,1004.0
15.9,19.9,0.8,58.0,1012.1
10.0,22.5,0.0,46.0,1016.8
9.9,24.4,0.0,38.0,1019.2
10.3,27.8,0.0,29.0,1018.1
15.4,25.7,0.0,32.0,1016.9
12.7,28.8,0.0,28.0,1012.4
13.2,31.3,0.0,28.0,1009.5
15.3,33.2,0.0,18.0,1012.0
17.9,33.9,0.0,22.0,1014.6
18.0,34.9,0.0,29.0,1013.7
17.6,27.8,5.2,49.0,1012.8
16.0,23.8,2.2,49.0,1017.1
14.9,28.8,0.0,44.0,1014.5
17.1,29.6,0.0,38.0,1012.8
18.2,22.6,1.8,76.0,1011.5
16.8,22.8,9.0,71.0,1007.8
13.6,27.4,1.0,41.0,997.5
14.5,24.2,0.0,76.0,998.9
12.4,19.9,16.2,58.0,1005.0
10.4,20.9,0.0,51.0,1006.8
9.1,23.1,0.0,37.0,1011.4
8.9,26.0,0.0,34.0,1011.7
14.5,24.2,4.4,60.0,1006.8
12.6,18.2,11.0,73.0,1011.0
8.6,24.2,0.2,37.0,1015.1
10.8,25.2,0.0,32.0,1016.7
11.2,26.1,0.0,40.0,1020.0
12.1,24.1,0.0,46.0,1021.4
10.8,25.8,0.0,42.0,1017.4
11.4,27.1,0.0,38.0,1012.8
12.0,28.9,0.0,31.0,1009.1
16.3,24.8,1.8,56.0,1008.4
12.7,28.6,6.6,42.0,1002.3
12.7,25.1,0.0,32.0,1005.4
12.0,23.8,0.0,34.0,1007.2
11.5,25.9,0.0,35.0,1014.3
13.0,28.2,0.0,27.0,1014.4
11.7,27.6,0.0,25.0,1009.1
