MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
17.9,35.2,0.0,13.0,1004.4
18.4,28.9,0.0,8.0,1012.1
15.5,34.1,0.0,7.0,1011.6
19.4,37.6,0.0,22.0,1009.2
21.9,38.4,0.0,22.0,1009.1
24.2,41.0,0.0,15.0,1007.4
27.1,36.1,0.0,19.0,1007.4
23.3,34.0,0.0,15.0,1009.9
16.1,34.2,0.0,9.0,1009.2
19.0,35.5,0.0,28.0,1004.0
19.7,35.5,0.0,14.0,1005.8
20.9,37.8,0.0,9.0,1010.1
23.9,39.1,0.0,15.0,1010.4
24.9,41.2,0.0,15.0,1010.1
25.2,40.5,0.0,15.0,1009.0
21.6,34.2,0.0,8.0,1012.3
18.4,31.8,0.0,5.0,1013.8
17.9,34.2,0.0,19.0,1013.5
21.4,37.5,0.0,29.0,1009.6
23.3,39.4,4.8,14.0,1008.5
25.4,33.5,0.0,52.0,1009.8
21.8,30.7,0.0,63.0,1006.2
20.3,36.0,18.0,50.0,1006.7
22.1,34.7,8.6,23.0,1008.3
19.7,37.3,0.0,10.0,1011.8
23.8,39.9,0.0,16.0,1012.1
27.0,38.7,0.0,22.0,1012.6
26.2,38.5,0.0,17.0,1011.5
25.0,39.5,0.0,14.0,1011.2
25.1,39.3,0.0,18.0,1010.5
25.2,38.5,0.0,18.0,1011.9
24.8,40.8,0.0,16.0,1009.8
27.6,40.3,0.0,20.0,1007.1
23.6,40.4,0.6,17.0,1005.0
24.1,41.4,1.6,21.0,1003.5
27.2,43.4,0.0,14.0,1003.3
29.1,43.5,0.0,16.0,1005.2
28.9,41.4,0.0,14.0,1008.3
25.1,42.0,0.0,9.0,1007.3
25.4,36.6,0.0,12.0,1006.9
19.3,28.1,0.0,14.0,1008.8
14.1,25.9,0.0,19.0,1010.1
14.5,30.1,0.0,25.0,1010.0
16.8,23.3,0.6,53.0,1012.2
16.1,19.1,26.0,93.0,1013.2
16.0,24.2,7.0,56.0,1011.2
17.4,19.7,0.0,97.0,1010.7
15.9,20.8,32.6,77.0,1010.2
16.5,27.4,1.6,53.0,1006.2
16.8,30.6,0.0,28.0,1007.1
20.4,34.0,0.0,19.0,1009.6
19.9,31.7,0.0,25.0,1010.8
17.2,34.3,0.0,19.0,1011.2
21.9,35.1,0.0,30.0,1010.4
21.0,34.7,2.0,34.0,1011.7
18.7,33.1,0.8,32.0,1013.2
17.9,33.8,0.0,19.0,1013.0
19.9,33.5,0.0,22.0,1011.7
22.2,36.9,0.0,18.0,1008.1
16.9,32.8,0.0,14.0,1010.1
20.0,31.1,0.0,31.0,1012.7
23.0,38.9,0.0,20.0,1008.6
18.6,24.5,0.0,21.0,1015.6
14.1,24.6,0.0,29.0,1014.2
11.9,26.4,0.0,28.0,1012.0
13.1,29.6,0.0,18.0,1012.4
16.5,33.2,0.0,13.0,1012.0
21.1,33.4,0.0,29.0,1013.2
