MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
16.1,31.4,0.0,58.0,1002.3
22.8,24.7,0.0,67.0,1011.4
20.0,24.1,4.6,59.0,1018.8
14.8,25.0,0.8,45.0,1017.0
15.5,27.3,0.0,62.0,1012.7
19.8,30.2,0.0,58.0,1011.0
22.7,29.6,0.0,66.0,1009.7
22.7,29.2,0.0,71.0,1008.8
19.5,21.4,7.8,73.0,1015.9
16.9,24.2,3.2,47.0,1013.5
13.7,25.5,0.0,63.0,1012.0
17.5,27.4,0.0,63.0,1014.3
17.7,27.0,0.0,62.0,1017.2
16.9,27.4,0.0,49.0,1015.9
19.1,32.2,0.0,57.0,1010.4
21.0,27.5,0.0,74.0,1008.8
19.0,21.3,6.4,84.0,1017.8
14.8,23.1,7.2,57.0,1020.1
14.3,25.9,0.0,55.0,1016.8
20.2,28.5,0.0,60.0,1014.0
22.2,30.8,0.0,61.0,1012.0
22.6,28.2,0.2,68.0,1010.6
22.2,29.4,0.0,71.0,1009.1
23.6,30.6,0.0,70.0,1006.2
22.1,25.6,0.0,76.0,1015.3
20.1,27.1,6.0,76.0,1017.0
20.8,27.7,3.0,72.0,1017.8
20.1,28.2,2.0,66.0,1017.3
19.8,29.1,0.4,59.0,1017.6
18.2,29.0,0.6,57.0,1017.1
20.7,28.7,0.0,55.0,1016.9
20.0,29.6,0.0,62.0,1015.1
21.6,28.3,2.4,62.0,1012.7
19.3,28.0,0.2,74.0,1009.5
21.2,29.2,1.0,59.0,1009.3
20.1,29.1,0.6,60.0,1008.7
19.1,29.4,0.0,59.0,1011.4
19.1,29.9,0.0,55.0,1013.9
17.4,29.2,0.0,57.0,1010.2
16.4,28.1,0.0,61.0,1008.8
21.0,30.0,0.0,73.0,1005.8
21.6,27.6,0.0,66.0,1006.1
19.4,23.965384615384615,19.8,74.0,1014.5
18.8,23.7,16.6,89.0,1019.5
18.6,22.5,30.0,83.0,1012.6
18.3,24.8,38.6,74.0,1006.7
19.0,23.4,63.6,95.0,1011.2
19.9,27.1,189.0,64.0,1007.6
20.4,23.8,58.6,84.0,1007.5
18.9,26.1,1.6,78.0,1006.2
19.5,27.6,4.0,85.0,1010.0
19.0,27.8,0.6,71.0,1010.6
18.6,26.8,15.8,69.0,1015.8
18.9,27.8,0.2,64.0,1016.2
19.4,29.1,0.0,55.0,1014.2
21.3,28.7,0.0,73.0,1013.5
18.8,26.1,2.4,60.0,1016.0
18.4,26.1,2.4,55.0,1014.3
15.1,27.3,0.0,58.0,1008.1
18.9,27.9,0.0,70.0,1008.1
21.4,26.5,0.0,70.0,1013.9
20.7,27.3,36.6,67.0,1015.4
21.1,30.4,0.6,80.0,1007.7
16.8,24.1,10.2,39.0,1008.1
13.8,26.0,0.0,58.0,1010.4
17.8,27.9,0.0,64.0,1010.4
19.6,27.5,0.0,63.0,1015.0
19.1,25.7,0.2,75.0,1017.6
19.8,27.1,24.4,60.0,1017.9
18.7,25.6,6.8,90.0,1020.1
16.5,25.5,16.8,65.0,1020.1
18.5,26.9,0.0,60.0,1016.6
18.2,28.2,0.0,68.0,1012.8
20.1,29.4,3.2,68.0,1008.5
19.5,24.9,0.8,77.0,1008.6
16.4,25.2,1.4,65.0,1011.2
19.7,25.9,0.0,64.0,1016.5
17.7,26.7,0.0,66.0,1015.0
16.3,26.8,0.0,69.0,1015.3
17.9,26.4,0.0,70.0,1015.1
17.0,25.9,0.4,63.0,1015.1
16.1,25.8,2.4,63.0,1016.2
15.5,26.6,0.0,56.0,1018.5
14.7,26.8,0.0,49.0,1019.9
15.2,26.7,0.0,52.0,1018.8
16.6,26.8,0.0,92.0,1019.7
17.7,25.3,12.0,64.0,1021.7
17.5,25.1,0.2,73.0,1019.4
18.9,22.9,11.4,89.0,1015.2
19.0,23.3,62.6,97.0,1008.3
18.3,24.0,5.061496782932611,84.0,1014.1
20.9,25.6,10.4,71.0,1018.6
19.9,25.3,7.4,90.0,1017.3
19.7,25.0,15.6,81.0,1015.1
19.4,23.3,17.4,95.0,1014.8
17.5,25.0,9.4,73.0,1015.5
17.9,23.6,38.0,88.0,1021.5
17.0,23.4,15.6,54.0,1022.4
16.1,22.3,9.2,74.0,1022.0
14.8,25.1,2.0,61.0,1021.4
16.1,24.8,0.0,71.0,1023.5
18.4,24.2,4.0,77.0,1020.8
18.7,21.3,9.2,95.0,1018.6
19.0,24.2,21.2,91.0,1011.0
16.9,26.5,7.0,55.0,1009.7
13.3,25.6,0.0,50.0,1011.9
13.5,24.5,0.0,61.0,1012.7
13.8,24.0,0.2,58.0,1015.0
15.9,23.9,1.2,50.0,1011.4
16.5,21.4,3.4,90.0,1012.9
15.1,21.8,59.0,63.0,1015.5
16.3,21.7,11.2,71.0,1017.4
