MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
20.0,33.1,0.0,32.0,1012.1
19.4,32.4,0.0,17.0,1012.4
18.2,31.8,0.0,24.0,1013.0
17.3,30.7,0.0,16.0,1013.6
15.5,30.8,0.0,16.0,1012.6
16.2,31.9,0.0,18.0,1012.2
17.0,32.7,0.0,18.0,1013.1
19.6,30.8,0.0,12.0,1014.6
17.3,29.2,0.0,15.0,1015.2
17.1,30.3,0.0,14.0,1013.2
17.7,30.6,0.0,11.0,1011.0
14.7,30.9,0.0,40.0,1010.6
18.7,31.3,0.0,42.0,1012.1
18.8,31.0,0.0,56.0,1012.1
21.4,33.1,0.0,45.0,1010.5
18.7,33.5,0.0,32.0,1009.7
17.2,33.4,0.0,15.0,1009.4
17.6,32.3,0.0,41.0,1010.1
21.4,29.9,0.0,57.0,1009.8
21.9,31.4,0.0,72.0,1010.0
21.4,32.7,0.0,36.0,1009.0
22.5,32.5,0.0,28.0,1009.1
21.4,30.9,0.0,20.0,1010.7
17.3,29.1,0.0,19.0,1010.3
15.9,29.3,0.0,13.0,1010.8
14.6,30.2,0.0,8.0,1010.7
12.5,31.3,0.0,37.0,1011.2
15.5,30.0,0.0,56.0,1011.3
17.4,31.6,0.0,33.0,1010.6
18.9,28.7,0.0,54.0,1011.7
17.4,30.3,0.0,54.0,1012.6
17.3,32.0,0.0,50.0,1011.8
18.1,32.2,0.0,23.0,1011.2
18.8,34.1,0.0,11.0,1010.9
17.5,34.7,0.0,45.0,1011.8
18.0,33.8,0.0,62.0,1011.3
17.6,32.6,0.0,21.0,1011.9
18.4,32.3,0.0,18.0,1012.0
15.9,32.1,0.0,13.0,1012.0
16.6,31.7,0.0,18.0,1011.7
18.1,32.4,0.0,25.0,1011.9
19.2,32.2,0.0,15.0,1011.6
19.0,31.7,0.0,24.0,1012.1
19.9,32.7,0.0,19.0,1012.5
19.8,32.0,0.0,27.0,1012.2
19.8,33.8,0.0,13.0,1010.4
20.5,31.5,0.0,13.0,1012.5
18.3,30.8,0.0,8.0,1013.7
18.1,30.8,0.0,9.0,1014.7
17.7,31.3,0.0,20.0,1013.2
16.3,31.8,0.0,37.0,1013.0
20.2,33.2,0.0,48.0,1012.6
19.4,34.7,0.0,25.0,1010.8
22.0,31.7,0.0,15.0,1011.3
21.1,32.7,0.0,26.0,1010.9
20.9,32.9,0.0,43.0,1010.1
24.7,33.1,0.0,44.0,1010.2
22.0,34.2,0.0,43.0,1009.8
22.6,32.9,0.0,52.0,1009.7
22.4,33.0,0.0,44.0,1009.0
22.7,32.8,0.0,47.0,1009.3
22.1,32.4,0.0,55.0,1010.0
23.8,33.3,0.0,50.0,1010.4
23.5,34.1,0.0,57.0,1010.8
21.8,34.8,0.0,47.0,1009.4
23.7,34.5,0.0,59.0,1009.0
21.8,31.8,0.0,54.0,1009.1
24.0,30.9,0.0,63.0,1008.7
22.4,31.8,0.0,57.0,1007.9
22.5,36.0,0.0,55.0,1008.1
23.0,36.2,0.0,30.0,1009.7
21.0,37.0,0.0,24.0,1008.5
21.7,32.1,0.0,50.0,1009.2
22.2,32.0,0.0,53.0,1008.7
23.4,32.5,0.0,43.0,1011.0
22.7,32.5,0.0,56.0,1010.9
24.2,30.8,0.0,61.0,1011.3
23.0,32.5,0.0,52.0,1009.7
23.6,33.1,0.0,61.0,1010.8
24.8,34.1,0.0,42.0,1010.1
23.7,33.2,0.0,51.0,1009.8
23.9,33.3,0.0,56.0,1009.8
22.8,33.4,0.0,42.0,1009.0
24.0,32.9,0.0,39.0,1009.4
23.8,32.5,0.0,55.0,1010.3
23.9,33.3,5.2,43.0,1010.7
23.7,34.5,0.0,34.0,1010.1
22.9,34.3,0.0,45.0,1010.8
23.8,32.7,0.0,42.0,1010.9
23.5,33.0,0.0,50.0,1010.9
23.8,33.7,0.0,52.0,1009.0
23.4,33.4,0.0,43.0,1009.1
24.7,33.4,0.0,41.0,1009.9
24.0,34.5,0.0,53.0,1010.4
25.0,34.6,0.0,44.0,1009.9
25.3,33.3,0.0,51.0,1009.6
25.7,33.4,0.0,50.0,1010.2
25.6,36.1,0.0,40.0,1008.9
26.7,34.0,0.0,55.0,1008.8
25.2,34.3,18.8,48.0,1008.9
25.3,33.5,0.0,55.0,1009.7
24.8,35.5,0.0,52.0,1010.4
25.7,36.8,0.0,61.0,1009.6
26.3,33.9,0.0,59.0,1008.8
25.4,34.2,1.0,60.0,1008.0
26.5,34.8,0.0,54.0,1008.4
22.1,34.3,57.6,48.0,1008.2
20.6,33.2,13.8,63.0,1006.2
24.5,30.1,0.4,75.0,1007.5
23.0,33.3,25.4,48.0,1008.9
24.7,34.8,0.0,48.0,1009.2
25.2,37.0,0.0,51.0,1007.5
25.9,35.1,0.0,56.0,1007.3
26.0,37.5,0.0,20.0,1006.5
25.3,36.9,0.0,41.0,1007.6
25.3,36.7,0.0,44.0,1009.8
26.3,33.6,0.0,53.0,1008.7
26.0,33.8,0.0,46.0,1007.6
27.2,34.1,0.0,36.0,1009.0
24.7,33.8,0.0,41.0,1010.0
