MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
17.0,30.4,0.0,61.0,1010.7
19.0,29.7,0.0,70.0,1010.2
21.3,28.6,0.0,74.0,1009.8
20.9,28.7,0.8,75.0,1014.5
19.7,29.5,0.2,83.0,1015.2
22.8,34.5,3.6,50.0,1006.7
22.1,29.1,15.4,75.0,1006.2
20.2,27.7,0.2,62.0,1011.0
19.9,29.0,1.2,61.0,1011.4
17.363286137635825,30.3,3.7693959731543623,70.0,1007.5
23.4,31.0,0.0,80.0,1006.7
21.5,27.5,13.2,100.0,1010.9
21.5,32.0,6.2,77.0,1000.7
23.1,32.9,0.0,27.0,999.4
17.7,30.3,0.0,48.0,1007.0
17.4,29.6,0.0,53.0,1012.3
18.5,31.0,0.0,58.0,1010.9
21.2,30.1,0.0,69.0,1005.0
20.8,30.7,11.0,71.0,1002.4
20.6,26.1,0.0,58.0,1013.6
19.3,26.8,0.0,58.0,1016.3
18.7,27.9,0.0,54.0,1015.8
17.4,29.8,0.0,49.0,1011.6
20.7,30.3,0.0,58.0,1008.1
20.6,28.7,14.2,74.0,1011.7
21.5,28.5,6.8,73.0,1012.8
23.1,29.9,0.0,63.0,1010.4
21.3,28.9,20.0,66.0,1005.9
21.6,30.0,22.8,73.0,1002.7
19.1,31.5,8.2,74.0,999.8
20.1,30.3,0.0,72.0,1003.4
21.6,31.0,0.0,82.0,1004.6
22.4,28.0,5.0,81.0,1010.0
21.5,25.9,4.0,72.0,1015.0
21.9,27.5,2.4,49.0,1014.9
21.7,28.8,0.0,64.0,1012.4
22.2,29.7,0.0,59.0,1011.5
23.8,30.7,0.0,57.0,1010.5
22.5,27.6,1.4,75.0,1008.4
22.1,29.5,0.2,55.0,1010.7
20.5,28.4,0.0,53.0,1010.8
20.1,28.9,0.8,60.0,1010.9
20.2,29.3,0.0,56.0,1013.5
23.1,29.3,0.0,61.0,1015.9
21.6,28.5,0.0,51.0,1015.9
18.7,31.0,0.0,54.0,1013.0
21.6,32.1,0.0,62.0,1009.5
24.3,28.8,0.0,74.0,1015.0
19.5,27.7,0.2,52.0,1018.4
18.4,29.2,0.0,47.0,1016.9
19.9,30.9,0.0,47.0,1015.7
22.3,31.6,0.0,64.0,1013.6
24.1,32.6,0.0,61.0,1010.9
23.9,30.9,48.2,74.0,1009.0
24.1,31.3,10.8,80.0,1007.5
24.8,30.5,0.0,96.0,1013.5
23.4,30.4,7.8,69.0,1015.4
22.3,30.2,2.0,58.0,1015.4
23.5,30.3,0.4,59.0,1015.7
22.7,28.4,3.4,79.0,1016.0
21.6,30.1,6.0,69.0,1015.4
24.2,29.9,0.6,65.0,1015.7
22.4,30.4,0.6,64.0,1012.9
24.5,29.3,0.0,59.0,1010.7
21.7,29.9,3.8,67.0,1008.3
23.9,30.6,0.6,58.0,1007.7
23.3,30.4,0.0,62.0,1007.8
22.8,30.6,0.0,60.0,1011.1
24.6,30.1,0.0,59.0,1012.8
20.7,30.0,0.0,53.0,1009.5
20.4,34.1,0.0,61.0,1007.0
23.7,31.4,0.0,68.0,1007.5
23.3,29.5,0.0,65.0,1005.0
22.0,29.5,3.8,62.0,1011.8
20.8,24.5,39.4,92.0,1015.7
20.7,26.3,39.8,79.0,1006.3
19.3,29.0,21.0,60.0,1005.3
19.6,30.4,1.4,70.0,1007.4
21.3,28.3,0.0,83.0,1008.0
22.4,28.6,5.6,79.0,1004.9
21.3,30.7,1.0,67.0,1006.2
22.6,31.5,4.2,68.0,1009.4
21.7,29.7,6.8,74.0,1009.6
21.4,29.3,29.2,72.0,1013.7
22.3,29.4,1.6,60.0,1015.4
20.4,30.6,0.0,56.0,1015.4
21.1,30.0,0.0,58.0,1014.1
21.3,29.8,0.0,59.0,1013.2
20.4,28.7,8.6,60.0,1012.1
18.9,31.7,0.0,59.0,1008.9
21.2,33.6,0.0,58.0,1007.6
23.9,30.6,0.0,74.0,1012.8
24.1,29.9,0.0,69.0,1014.4
22.8,29.7,9.8,68.0,1009.5
20.8,27.9,4.0,50.0,1007.4
19.2,30.1,0.0,49.0,1010.7
20.6,30.3,0.0,54.0,1011.5
20.9,29.7,0.0,56.0,1013.5
24.2,28.1,0.0,69.0,1014.0
22.2,26.8,3.6,76.0,1014.0
21.2,26.4,8.4,72.0,1015.9
21.7,27.3,2.4,64.0,1018.0
21.8,26.9,0.8,69.0,1015.7
19.9,28.4,1.0,62.0,1013.1
19.9,29.8,0.0,54.0,1010.1
20.5,31.0,0.0,65.0,1007.2
18.7,28.0,21.2,68.0,1010.2
22.1,28.8,0.0,61.0,1014.2
22.3,27.1,0.0,72.0,1014.4
21.2,29.1,0.0,68.0,1012.7
20.7,27.6,5.2,60.0,1012.5
19.7,28.0,1.0,60.0,1013.0
19.8,28.5,0.6,55.0,1015.4
18.7,28.0,0.0,53.0,1017.5
18.6,28.6,0.0,53.0,1019.8
19.5,28.2,0.0,52.0,1018.8
18.3,28.4,0.0,61.0,1017.1
20.0,27.2,8.2,58.0,1018.0
19.9,27.3,1.2,60.0,1015.8
20.2,24.4,21.0,91.0,1011.7
19.7,30.4,3.0,47.0,1006.5
19.5,28.1,0.0,72.0,1011.4
21.1,24.8,33.4,100.0,1015.6
21.0,27.2,118.2,75.0,1015.3
21.1,27.6,143.8,79.0,1013.5
20.3,27.3,4.6,78.0,1012.5
20.4,27.1,2.0,75.0,1013.4
19.8,25.7,16.0,64.0,1018.8
19.5,26.1,0.4,61.0,1020.6
18.2,25.0,1.8,65.0,1020.2
17.7,25.1,14.4,72.0,1021.5
18.3,26.4,0.8,85.0,1022.9
19.6,25.2,4.6,83.0,1020.3
20.3,25.7,3.0,88.0,1016.5
21.3,27.7,42.6,73.0,1011.7
19.9,28.4,0.0,70.0,1009.5
18.5,28.5,0.0,47.0,1011.5
16.4,27.4,0.0,59.0,1011.8
16.6,26.5,0.0,60.0,1012.9
15.8,26.8,0.0,40.0,1010.2
16.7,27.3,0.0,49.0,1009.9
18.3,25.5,0.0,55.0,1012.7
18.2,27.0,0.0,57.0,1014.7
17.7,26.8,0.0,44.0,1014.9
15.6,26.2,0.0,63.0,1011.0
17.4,28.1,0.0,63.0,1007.1
19.1,28.9,0.0,30.0,1007.1
14.7,27.6,0.0,32.0,1012.3
12.7,25.8,0.0,32.0,1016.1
14.2,25.9,0.0,46.0,1016.1
14.2,27.2,0.0,26.0,1013.8
15.8,24.9,0.0,51.0,1019.8
16.0,24.8,0.2,53.0,1020.5
15.4,25.1,0.0,55.0,1021.6
15.5,24.6,0.0,62.0,1023.7
15.7,24.7,0.0,52.0,1024.0
15.5,23.9,0.0,68.0,1021.8
16.3,23.8,9.0,63.0,1020.4
14.8,25.3,0.0,47.0,1020.9
16.2,24.5,0.0,62.0,1018.0
13.9,24.9,0.0,48.0,1017.6
15.9,23.6,0.0,53.0,1018.9
13.4,22.9,0.0,60.0,1016.8
13.3,25.0,0.0,40.0,1013.5
12.8,25.6,0.0,29.0,1013.0
11.0,24.9,0.0,26.0,1013.8
11.9,26.0,0.0,29.0,1011.7
12.5,26.2,0.0,57.0,1015.1
