MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
4.6,12.2,3.0,42.0,992.3
5.1,10.8,16.2,60.0,1002.5
5.5,12.4,3.0,53.0,1015.1
0.9,10.4,1.0,54.0,1028.1
0.5,10.0,0.0,53.0,1025.4
1.3,10.0,0.0,70.0,1017.8
4.1,15.8,0.0,61.0,1015.2
7.3,14.2,8.4,72.0,1017.2
5.4,11.4,0.4,74.0,1012.4
5.2,12.9,0.6,49.0,996.5
3.7,10.0,2.6,52.0,1007.4
6.4,10.9,0.2,63.0,1014.8
6.5,13.0,0.0,56.0,1016.0
5.1,13.1,0.0,64.0,1019.6
5.7,12.4,0.8,69.0,1022.4
6.1,10.1,0.8,87.0,1021.5
4.9,12.6,0.2,66.0,1010.0
3.6,13.9,0.0,53.0,999.7
3.9,12.1,0.0,50.0,1005.2
1.3,8.2,0.0,70.0,1008.5
3.3,8.0,3.2,74.0,1004.5
3.3,10.9,5.2,54.0,1022.2
4.6,12.5,0.0,58.0,1030.3
2.7,12.8,0.0,45.0,1028.9
2.7,13.0,0.0,43.0,1021.0
1.5,11.4,0.0,60.0,1014.5
3.6,10.8,0.6,62.0,1017.9
4.8,10.0,1.2,88.0,1024.1
5.4,11.5,1.0,47.0,1019.4
0.3,11.1,0.0,48.0,1013.5
1.1,14.1,0.0,54.0,1003.8
4.9,13.1,1.0,68.0,991.7
6.4,12.0,0.0,55.0,1006.2
4.7,15.2,0.0,52.0,1013.0
4.7,15.9,0.0,41.0,1017.4
4.5,16.2,0.0,43.0,1020.0
3.7,14.3,0.0,50.0,1017.6
6.6,12.9,0.0,63.0,1019.2
6.1,13.2,0.0,70.0,1015.6
3.9,13.1,0.4,51.0,1013.3
1.8,10.4,0.0,66.0,1011.8
1.7,12.7,0.0,53.0,1012.5
4.6,11.9,0.4,46.0,1004.7
2.0,11.1,3.0,44.0,1009.4
6.6,11.1,15.0,73.0,1007.7
5.4,9.5,1.8,63.0,1010.2
4.3,10.0,5.6,65.0,1015.7
5.0,12.3,3.2,84.0,1020.8
1.2,13.5,1.0,48.0,1018.2
6.2,17.2,0.0,35.0,1005.6
4.3,13.1,0.8,36.0,1011.7
5.5,11.6,0.2,61.0,1015.9
1.4,12.7,5.2,40.0,1023.4
3.3,14.0,0.0,57.0,1023.8
4.0,15.5,0.0,45.0,1024.7
3.6,15.5,0.0,41.0,1018.4
6.4,13.8,0.0,51.0,1012.4
5.2,16.2,0.0,48.0,1024.2
4.0,13.8,0.0,53.0,1027.5
5.1,16.6,0.0,49.0,1022.0
5.1,17.5,0.0,43.0,1011.2
9.0,19.5,1.0,40.0,997.2
7.3,13.7,0.0,48.0,1006.2
7.3,12.6,1.6,32.0,1021.7
2.4,14.0,0.0,47.0,1036.2
2.2,15.4,0.0,32.0,1032.9
4.6,17.2,0.0,36.0,1021.7
6.0,19.2,0.0,28.0,1016.0
9.3,16.1,0.0,60.0,1012.8
4.8,10.6,0.4,58.0,1024.0
3.4,12.1,0.8,52.0,1023.0
4.2,16.1,0.0,48.0,1015.6
5.8,20.0,0.8,43.0,1005.9
10.2,18.9,0.8,43.0,993.7
10.9,21.0,2.2,38.0,995.4
12.8,20.0,0.0,46.0,989.3
7.5,16.0,0.4,31.0,984.0
7.4,11.1,1.4,60.0,1012.6
3.3,16.8,0.2,37.0,1018.1
5.0,18.7,0.0,42.0,1007.9
10.0,21.4,0.0,36.0,996.7
6.5,15.3,0.0,48.0,994.8
5.8,17.5,10.8,36.0,998.3
11.8,16.5,0.0,88.0,994.7
5.8,14.4,1.2,38.0,1007.7
7.6,16.8,0.2,39.0,1021.9
9.2,22.6,0.0,18.0,1012.5
14.0,18.2,0.0,62.0,1007.7
6.7,16.0,3.0,39.0,1010.1
8.7,16.9,0.0,45.0,996.8
5.0,14.0,2.2,40.0,1011.9
7.4,16.6,0.8,36.0,1010.7
9.5,21.9,0.0,34.0,1007.0
10.9,20.9,1.2,34.0,1004.7
10.9,15.9,0.0,47.0,1002.9
6.9,16.6,2.0,49.0,1010.7
9.2,18.6,0.0,33.0,1006.3
7.4,14.1,0.2,55.0,1007.2
5.6,14.8,2.8,34.0,1003.8
7.6,14.8,0.0,57.0,1011.7
9.2,21.6,0.2,30.0,1016.4
10.9,19.9,0.0,42.0,1021.2
10.1,22.6,0.0,46.0,1019.8
9.3,22.1,0.0,43.0,1011.8
11.5,16.9,0.6,35.0,1010.4
7.9,17.9,0.0,31.0,1016.9
9.3,17.1,0.2,35.0,1018.3
6.6,19.0,0.0,43.0,1017.7
9.3,19.3,0.0,55.0,1020.3
11.1,26.2,0.4,39.0,1013.0
11.4,18.9,0.0,20.0,1017.3
5.8,16.4,0.0,47.0,1023.7
5.5,14.1,0.0,77.0,1020.8
