MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
24.7,34.6,0.0,49.0,1005.0
25.2,31.1,0.8,77.0,1004.1
25.4,35.9,0.0,55.0,999.6
21.6,33.0,81.0,64.0,1002.0
24.9,34.935435630689206,0.0,61.0,1003.8
20.55356442119032,35.9,0.0,49.0,1004.3
24.5,35.7,0.0,49.0,1004.8
25.2,36.5,0.0,50.0,1004.3
21.7,32.8,6.6,63.0,1003.9
21.7,35.9,0.4,53.0,1002.3
23.4,34.6,6.6,54.0,1003.0
23.9,34.8,0.0,47.0,1003.6
23.2,37.3,0.0,48.0,1004.2
22.9,37.0,0.0,55.0,1004.9
25.1,37.5,0.0,47.0,1007.2
23.4,37.4,1.0,42.76145552560647,1008.1
23.0,36.8,3.2,38.0,1007.7
22.9,37.0,0.0,40.0,1007.1
22.6,37.0,0.0,41.0,1007.2
24.8,37.5,0.0,35.0,1007.7
24.0,38.1,0.0,42.76145552560647,1005.6
24.4,37.9,0.0,42.76145552560647,1007.2
23.8,36.5,0.0,43.0,1007.3
24.4,32.5,0.0,77.0,1006.5
23.2,35.0,1.2,42.76145552560647,1005.0
23.5,32.7,0.8,57.0,1003.8
24.8,33.8,3.4,88.0,1002.6
23.7,33.8,117.6,98.0,1003.1
23.2,29.6,79.4,92.0,1003.7
24.0,25.8,63.4,42.76145552560647,1003.9
24.1,34.935435630689206,23.6,98.0,1005.1
20.55356442119032,30.4,96.4,66.0,1008.8
22.5,33.6,0.0,55.0,1008.1
24.1,33.5,6.0,52.0,1007.7
22.9,34.3,0.0,48.0,1007.0
23.6,34.6,0.8,48.0,1007.9
23.9,33.0,0.0,60.0,1007.8
22.6,34.4,0.0,53.0,1007.5
21.6,34.3,0.0,43.0,1008.2
21.8,35.2,0.0,36.0,1007.9
20.6,34.3,0.0,30.0,1006.5
18.2,33.8,0.0,32.0,1006.5
17.2,33.4,0.0,31.0,1008.2
16.3,33.4,0.0,36.0,1008.4
19.3,34.8,0.0,36.0,1007.2
21.2,35.4,0.0,37.0,1005.7
20.4,36.0,0.0,29.0,1006.8
20.6,35.8,0.0,42.76145552560647,1008.1
19.6,36.2,0.0,42.76145552560647,1008.1
18.2,36.0,0.0,42.76145552560647,1009.6
19.0,36.3,0.0,25.0,1009.2
18.8,36.4,0.0,27.0,1008.3
18.2,36.7,0.0,42.76145552560647,1008.2
19.5,36.3,0.0,34.0,1008.7
17.8,35.1,0.0,42.76145552560647,1010.4
18.8,35.4,0.0,32.0,1011.4
16.4,33.9,0.0,42.76145552560647,1012.3
14.8,33.9,0.0,42.76145552560647,1010.5
16.9,34.7,0.0,42.76145552560647,1010.2
18.4,34.1,0.0,35.0,1011.1
15.5,34.2,0.0,30.0,1010.4
16.3,35.0,0.0,31.0,1008.6
21.1,35.5,0.0,38.0,1008.5
21.2,35.9,0.0,45.0,1009.5
21.5,35.3,0.0,37.0,1010.7
21.1,34.9,0.0,32.0,1009.2
20.5,35.3,0.0,27.0,1008.4
18.9,34.3,0.0,34.0,1008.9
15.7,33.7,0.0,40.0,1009.1
19.4,34.1,0.0,34.0,1009.5
21.4,34.9,0.0,44.0,1009.5
25.3,33.9,0.0,43.0,1009.1
19.5,34.6,0.0,36.0,1010.2
20.3,33.6,0.0,46.0,1010.2
20.3,33.4,0.0,45.0,1008.9
19.6,32.9,0.0,46.0,1008.4
22.4,32.1,0.0,58.0,1009.8
20.9,33.8,0.0,42.76145552560647,1010.1
22.6,35.1,0.0,42.76145552560647,1010.4
22.1,34.4,0.0,51.0,1010.0
22.8,34.5,0.0,42.76145552560647,1009.7
22.6,35.5,0.0,41.0,1009.3
23.2,34.9,0.0,49.0,1009.0
24.9,33.7,0.0,42.76145552560647,1010.1
20.4,27.9,0.0,25.0,1012.5
14.8,27.1,0.0,31.0,1013.4
10.9,28.9,0.0,30.0,1012.7
16.9,31.1,0.0,31.0,1011.4
17.1,32.0,0.0,43.0,1011.5
19.6,34.935435630689206,0.0,42.76145552560647,1010.9
20.55356442119032,32.3,0.0,42.76145552560647,1010.5
20.55356442119032,33.6,0.0,37.0,1010.2
18.0,33.8,0.0,42.76145552560647,1009.3
17.1,33.3,0.0,32.0,1009.3
17.2,31.4,0.0,42.76145552560647,1010.9
13.8,30.5,0.0,42.76145552560647,1010.2
17.1,32.5,0.0,42.76145552560647,1009.3
21.2,31.3,0.0,42.76145552560647,1010.9
21.0,33.2,0.0,42.76145552560647,1011.3
18.0,32.5,0.0,42.76145552560647,1011.1
20.55356442119032,32.6,0.0,40.0,1009.0
16.2,32.1,0.0,42.76145552560647,1009.3
16.5,34.0,0.0,42.76145552560647,1008.7
17.3,34.9,0.0,32.0,1007.8
17.5,33.3,0.0,42.76145552560647,1007.4
16.5,31.4,0.0,42.76145552560647,1009.4
12.8,28.8,0.0,42.76145552560647,1010.9
10.2,29.4,0.0,22.0,1009.5
9.1,30.9,0.0,42.76145552560647,1008.7
10.4,30.6,0.0,42.76145552560647,1009.2
13.1,30.5,0.1,42.76145552560647,1011.5
20.0,27.7,0.0,42.76145552560647,1013.0
20.6,30.2,0.0,42.76145552560647,1013.1
20.5,29.7,0.0,42.76145552560647,1013.6
15.5,30.1,0.0,32.0,1013.7
14.1,31.4,0.0,29.0,1013.2
