MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
9.5,17.9,3.4,61.0,1000.7
9.4,18.3,4.0,46.0,1000.5
9.1,18.4,1.0,37.0,1004.2
2.2,19.4,0.0,41.0,1014.6
9.6,19.8,4.6,89.0,1004.2
10.6,19.3,1.0,70.0,1001.1
6.7,20.4,0.4,37.0,1005.3
4.3,18.8,0.0,52.0,1008.8
10.7,17.5,0.8,63.0,1002.8
5.0,19.7,0.0,27.0,1012.0
7.0,21.8,0.0,41.0,1014.9
8.3,22.8,0.0,44.0,1008.7
14.9,15.4,13.6,80.0,996.0
12.7,18.6,15.0,58.0,1005.3
5.5,19.8,0.0,62.0,1005.3
11.4,19.8,0.0,77.0,1006.3
6.2,20.4,0.2,49.0,1008.2
9.6,19.1,0.0,51.0,1001.3
10.1,21.0,2.0,37.0,1011.1
6.6,22.6,0.0,54.0,1016.8
11.4,23.4,0.0,51.0,1016.3
13.1,26.3,0.0,62.0,1003.9
11.1,27.7,0.2,24.0,1008.6
13.1,21.9,0.0,52.0,1011.5
12.3,24.3,1.2,33.0,1011.2
10.4,21.4,0.0,67.0,1009.2
9.4,25.3,0.2,50.0,999.6
15.3,21.8,0.0,81.0,996.0
10.5,20.0,0.2,47.0,1000.6
11.3,22.5,6.6,45.0,991.5
9.2,20.1,0.2,37.0,996.6
12.6,19.6,0.0,33.0,997.1
5.8,19.9,0.0,36.0,1012.7
5.5,20.3,0.0,50.0,1015.5
9.4,22.0,0.0,51.0,1011.8
12.5,21.5,0.0,58.0,1004.9
16.0,23.8,0.0,63.0,1002.4
10.3,22.1,0.0,48.0,1004.1
8.5,21.6,0.0,29.0,1013.1
5.2,22.2,0.0,38.0,1018.3
11.9,23.8,0.0,48.0,1011.2
11.2,23.3,0.0,36.0,1007.3
10.6,26.0,0.0,31.0,1015.3
12.0,24.6,0.0,58.0,1011.9
13.6,32.7,0.0,38.0,1003.4
15.5,24.0,0.0,34.0,1006.9
10.9,19.6,0.0,36.0,1009.4
6.6,22.3,0.0,40.0,1019.6
8.9,25.4,0.0,43.0,1015.4
13.6,26.9,0.0,39.0,1010.7
14.7,29.5,0.0,30.0,1002.3
12.8,23.5,0.0,44.0,1005.4
14.1,26.0,0.0,83.0,991.2
10.6,20.2,7.2,51.0,1003.1
13.2,21.3,0.0,40.0,1004.6
9.5,21.5,0.0,55.0,1015.0
11.4,28.7,0.0,28.0,1019.8
12.3,25.9,0.0,48.0,1017.2
12.3,33.8,0.0,20.0,1011.1
16.3,36.9,0.0,25.0,1008.3
20.9,39.0,0.1,25.0,1009.3
19.6,38.2,0.0,30.0,1012.5
15.9,27.4,0.0,34.0,1021.2
14.7,21.6,3.0,92.0,1014.0
12.5,27.1,1.6,36.0,1015.3
15.0,27.1,0.0,40.0,1010.8
15.1,28.2,0.0,52.0,1002.9
13.3,25.6,0.0,49.0,1007.8
14.4,30.3,4.0,53.0,1000.3
15.2,24.1,0.2,32.0,1008.0
6.4,23.0,0.0,28.0,1013.4
11.9,22.4,0.0,24.0,1015.0
11.2,20.4,11.0,29.0,1017.8
8.9,21.1,0.0,33.0,1025.5
7.6,23.1,0.0,36.0,1029.5
8.2,24.6,0.0,43.0,1023.1
10.7,27.2,0.0,31.0,1020.9
12.9,21.7,1.4,58.0,1024.2
14.1,24.6,0.0,39.0,1020.0
12.8,24.7,0.0,49.0,1015.0
12.0,28.1,0.0,31.0,1007.5
