MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
9.5,15.4,2.0,38.0,1010.3
11.0,14.5,0.6,52.0,1016.2
8.4,14.1,1.4,58.0,1024.3
9.1,14.5,0.6,49.0,1029.0
4.3,15.5,0.0,52.0,1024.9
5.5,15.4,0.0,48.0,1020.1
11.5,14.3,0.0,63.0,1012.9
6.9,10.4,5.0,71.0,1017.0
3.6,14.8,1.2,61.0,1019.6
4.2,13.5,3.0,33.0,1006.7
7.4,13.5,0.2,56.0,1018.5
6.6,11.3,0.0,53.0,1018.5
8.4,14.3,0.0,55.0,1014.4
7.4,18.9,0.0,24.0,1016.2
8.4,17.6,0.0,51.0,1018.2
6.2,16.4,0.0,55.0,1018.7
7.5,13.6,0.0,47.0,1009.2
9.1,12.4,0.8,70.0,1009.0
6.4,14.1,1.6,55.0,1009.2
8.3,14.0,0.8,60.0,1001.5
8.5,13.4,13.8,44.0,1017.7
6.2,12.6,2.4,62.0,1029.2
6.6,11.9,0.8,77.0,1031.9
4.2,16.1,0.0,39.0,1026.2
3.8,16.1,0.0,46.0,1020.4
4.7,13.3,0.0,54.0,1013.7
6.6,10.2,8.2,80.0,1012.5
6.0,13.8,1.6,61.0,1021.4
3.4,14.4,0.0,45.0,1017.6
4.4,15.2,0.0,41.0,1012.1
6.5,15.4,0.4,46.0,1006.9
9.7,14.7,0.4,67.0,1001.5
8.6,15.3,0.6,55.0,1016.1
7.9,14.9,0.0,54.0,1015.7
9.7,13.6,0.2,52.0,1018.1
5.6,15.0,0.2,55.0,1022.8
7.2,16.6,0.0,43.0,1017.0
6.8,15.4,0.0,52.0,1017.0
4.4,14.7,0.4,41.0,1018.9
5.3,13.4,1.8,44.0,1016.7
5.6,12.2,4.8,66.0,1013.0
5.1,13.5,11.4,57.0,1019.7
7.3,13.2,0.6,69.0,1019.0
5.5,13.0,1.6,48.0,1025.8
7.4,14.1,0.2,65.0,1021.7
9.9,14.2,0.2,80.0,1015.9
8.5,14.3,2.2,60.0,1018.9
7.8,12.9,4.2,56.0,1025.3
6.7,14.3,0.4,55.0,1025.9
6.2,15.2,0.0,46.0,1023.1
9.7,15.3,0.0,43.0,1019.2
9.7,9.9,0.0,86.0,1018.7
5.9,12.8,14.0,55.0,1025.7
4.8,14.2,0.6,59.0,1029.1
7.4,14.2,0.2,46.0,1029.8
3.2,14.3,0.0,48.0,1023.5
5.9,17.3,0.0,32.0,1021.1
7.4,15.3,0.0,60.0,1029.2
9.3,14.9,0.0,63.0,1027.1
7.3,19.3,0.4,32.0,1020.9
8.6,18.2,0.0,46.0,1009.7
13.0,18.6,0.4,69.0,1007.2
8.0,16.4,0.8,40.0,1018.8
10.1,17.2,0.8,55.0,1027.2
9.2,15.8,0.4,44.0,1033.5
5.4,18.5,0.0,43.0,1029.2
7.5,19.0,0.0,36.0,1022.1
7.3,18.9,0.0,45.0,1018.4
10.2,17.5,0.0,67.0,1019.0
9.7,15.2,0.2,47.0,1025.2
10.3,14.6,0.2,43.0,1025.9
6.0,19.7,0.0,29.0,1017.2
9.3,18.9,0.0,24.0,1009.9
14.0,24.5,0.0,31.0,1000.6
16.3,25.5,0.0,27.0,1003.7
15.5,18.8,0.0,27.0,1003.5
12.5,16.8,0.0,61.0,998.7
7.2,14.3,2.0,53.0,1021.7
4.8,18.4,0.0,37.0,1020.9
8.9,18.9,0.0,29.0,1011.6
14.4,24.9,0.0,25.0,1003.5
10.8,19.2,0.2,26.0,1008.9
6.5,19.8,0.4,32.0,1010.9
12.9,23.1,0.0,85.0,1000.1
5.1,18.2,6.4,34.0,1020.4
7.2,18.6,0.0,43.0,1028.4
8.0,23.4,0.0,22.0,1021.3
14.7,28.2,0.0,13.0,1014.7
11.7,24.0,0.0,39.0,1009.5
11.6,20.7,0.0,35.0,1011.8
9.0,15.2,0.6,42.0,1019.6
8.3,17.5,0.0,35.0,1019.3
6.7,22.4,0.0,23.0,1010.6
14.4,24.5,0.0,44.0,1011.3
10.9,26.2,0.0,81.0,1013.4
11.5,17.6,4.4,35.0,1016.6
5.7,21.8,0.0,26.0,1012.4
10.0,14.3,1.0,72.0,1012.9
8.0,16.0,2.0,45.0,1017.9
10.1,16.2,0.0,42.0,1021.7
10.1,20.0,0.0,37.0,1025.4
8.0,26.3,0.0,18.0,1024.2
9.7,27.9,0.0,18.0,1021.1
14.2,30.6,0.0,14.0,1015.1
15.7,19.3,0.0,38.0,1017.9
10.1,17.5,0.0,38.0,1023.3
9.9,20.1,0.0,46.0,1024.4
12.3,20.6,0.0,46.0,1022.6
10.7,22.7,0.0,52.0,1021.3
12.3,31.7,1.6,14.0,1017.3
15.0,18.1,0.0,62.0,1022.6
11.6,17.5,0.0,41.0,1026.2
11.1,17.5,0.0,49.0,1027.4
9.3,16.5,2.6,41.0,1029.6
6.6,21.2,0.0,30.0,1025.2
10.3,25.3,0.0,18.0,1016.9
11.9,28.9,0.0,14.0,1009.7
21.5,30.5,0.0,20.0,1006.1
17.7,22.0,0.0,47.0,1012.5
13.0,19.3,2.2,47.0,1022.9
10.7,21.7,0.0,51.0,1020.1
13.2,29.9,0.0,38.0,1007.5
16.1,21.2,0.4,53.0,1012.4
12.4,18.4,0.2,58.0,1023.2
12.5,29.1,0.0,26.0,1012.9
14.6,18.3,2.8,73.0,1015.7
10.7,17.3,2.0,50.0,1018.3
8.6,26.7,0.0,17.0,1007.2
11.5,24.0,0.0,38.0,1008.7
12.5,21.5,0.0,75.0,1003.1
12.8,19.7,7.6,40.0,1007.4
11.3,27.1,0.0,32.0,1016.9
13.0,23.4,0.0,53.0,1021.3
12.9,32.0,0.0,33.0,1014.8
16.7,35.4,0.0,13.0,1012.0
