MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
11.2,19.9,0.0,37.0,1006.4
7.8,17.8,1.2,43.0,1019.3
6.3,21.1,0.0,35.0,1017.6
8.1,29.2,0.0,23.0,1012.8
9.7,29.0,0.0,31.0,1010.3
13.5,31.7,0.0,34.0,1007.7
15.8,21.4,0.2,67.0,1009.9
9.7,18.4,0.2,42.0,1018.9
10.2,19.7,0.0,42.0,1018.0
10.7,23.6,0.0,46.0,1010.3
10.7,23.5,0.0,52.0,1009.7
10.4,25.1,0.0,47.0,1017.4
11.5,37.1,0.0,12.0,1010.0
24.9,33.5,0.0,45.0,1009.4
13.8,23.1,0.0,44.0,1014.5
12.7,21.6,0.0,33.0,1018.4
12.5,19.8,0.0,44.0,1022.7
7.5,26.3,0.0,32.0,1019.0
11.9,37.0,0.0,7.0,1009.0
18.4,40.2,0.0,26.0,1006.0
12.8,28.8,0.0,40.0,1006.6
15.1,35.6,0.0,9.0,994.2
9.8,32.3,0.0,11.0,1002.9
15.3,24.2,0.0,24.0,1011.6
9.2,29.0,0.0,18.0,1016.4
11.4,24.8,0.0,46.0,1020.8
14.9,36.0,0.0,22.0,1014.0
16.6,43.1,0.0,7.0,1009.3
30.5,44.2,0.0,10.0,1009.6
23.9,44.2,0.0,8.0,1009.3
19.6,31.6,0.0,39.0,1014.3
18.1,34.1,0.0,46.0,1012.5
18.7,28.8,0.0,55.0,1010.3
18.8,28.7,0.0,43.0,1010.7
17.9,31.6,0.0,40.0,1006.4
17.0,32.2,0.0,52.0,1007.6
17.6,33.5,0.0,39.0,1007.3
18.8,46.8,0.0,10.0,998.8
16.9,20.9,1.8,59.0,1014.0
14.3,20.3,0.2,38.0,1016.4
11.5,19.7,0.2,37.0,1017.0
11.6,17.7,1.8,44.0,1019.2
12.9,22.9,1.2,35.0,1020.5
6.9,26.4,0.0,22.0,1023.2
10.5,27.3,0.0,26.0,1019.3
11.8,27.5,0.0,32.0,1016.4
13.2,29.0,0.0,33.0,1016.2
13.0,31.2,0.0,20.0,1013.5
13.7,30.0,0.0,31.0,1009.2
13.7,30.4,0.0,23.0,1007.0
15.9,25.9,0.0,34.0,1012.6
14.3,22.9,0.8,48.0,1017.3
16.1,26.4,0.0,46.0,1014.0
13.4,35.0,0.0,10.0,1007.8
9.5,20.4,0.0,39.0,1018.9
12.1,21.7,0.0,53.0,1019.4
12.7,30.6,0.0,31.0,1016.1
14.6,35.5,0.0,16.0,1010.7
14.2,22.7,0.0,41.0,1011.9
12.4,19.9,0.6,58.0,1014.6
13.8,26.5,0.0,32.0,1011.6
15.7,32.4,1.2,33.0,1001.5
11.4,18.6,2.6,45.0,1012.3
11.3,16.1,0.6,70.0,1016.2
10.7,20.0,2.2,50.0,1015.2
11.7,21.0,0.0,54.0,1015.9
12.5,19.9,0.0,47.0,1020.4
8.9,25.5,0.0,39.0,1018.5
13.5,27.2,0.0,50.0,1018.9
15.1,30.3,0.0,37.0,1018.1
17.3,23.8,4.0,65.0,1016.7
16.2,29.6,2.8,39.0,1013.8
16.7,21.2,0.8,85.0,1006.4
10.5,19.0,20.0,44.0,1010.8
11.4,20.7,0.0,51.0,1012.2
12.3,18.8,0.0,51.0,1017.8
12.3,28.5,0.0,14.0,1012.6
13.9,32.7,0.0,12.0,1011.2
15.4,25.1,0.0,48.0,1013.6
12.4,34.7,0.0,12.0,1010.1
20.5,24.5,0.0,65.0,1012.6
13.7,19.0,0.0,54.0,1016.3
10.3,21.6,0.0,53.0,1015.5
14.5,23.5,1.0,60.0,1014.8
13.4,24.6,0.0,41.0,1020.6
9.3,20.0,0.0,43.0,1025.4
8.4,27.3,0.0,20.0,1020.8
10.4,26.8,0.0,28.0,1021.7
13.0,22.4,0.0,48.0,1023.5
12.1,30.2,0.0,22.0,1020.3
12.0,28.8,0.0,31.0,1020.2
15.7,31.8,0.0,24.0,1018.1
21.7,24.2,0.0,84.0,1015.6
9.6,17.3,20.6,48.0,1022.3
9.5,20.2,0.0,72.0,1018.4
7.1,16.1,0.0,50.0,1025.2
9.6,17.7,0.0,63.0,1028.1
11.0,19.0,0.0,56.0,1025.9
12.4,26.3,0.0,30.0,1018.5
11.9,19.0,0.0,66.0,1019.2
12.1,22.0,0.0,56.0,1021.0
10.5,21.9,0.0,48.0,1021.2
8.1,25.2,0.0,25.0,1018.5
11.3,28.3,0.0,13.0,1009.3
11.5,16.6,2.4,48.0,1011.5
5.6,19.9,0.0,35.0,1010.4
11.3,21.2,0.0,42.0,1017.1
10.2,18.0,0.0,59.0,1023.3
12.3,17.1,1.4,63.0,1023.5
8.7,20.9,0.0,44.0,1020.8
7.9,23.7,0.0,27.0,1021.3
8.1,24.0,0.0,29.0,1021.4
9.3,22.8,0.0,35.0,1013.9
15.0,17.7,0.0,76.0,998.4
9.9,18.8,0.2,54.0,993.9
7.2,13.1,1.8,69.0,999.0
5.9,14.0,1.6,68.0,1010.8
5.6,12.4,4.0,62.0,1021.1
5.0,11.9,1.4,57.0,1022.5
1.2,17.6,0.0,29.0,1020.1
7.7,15.3,0.0,71.0,1022.6
