MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.8,27.4,0.0,24.0,1008.5
8.9,24.8,0.0,21.0,1017.7
10.6,28.6,0.0,18.0,1016.0
13.2,34.5,0.0,9.0,1012.1
16.5,37.3,0.0,7.0,1010.8
15.7,39.2,0.0,6.0,1007.7
17.0,32.3,0.0,22.0,1008.7
12.9,27.3,0.0,20.0,1017.0
12.3,27.8,0.0,14.0,1014.8
12.7,32.2,0.0,11.0,1008.0
15.4,33.4,0.0,14.0,1008.9
15.3,34.4,0.0,9.0,1013.9
17.7,40.4,0.0,9.0,1009.4
22.3,42.4,0.0,7.0,1007.6
16.4,29.7,0.0,23.0,1015.8
12.8,29.8,0.0,21.0,1018.3
12.0,28.6,0.0,15.0,1019.5
15.4,32.7,0.0,12.0,1016.0
17.2,39.0,0.0,8.0,1008.8
20.1,42.3,0.0,4.0,1005.2
19.2,36.7,0.0,18.0,1007.0
22.9,38.3,0.8,8.0,1000.8
14.8,36.4,0.0,24.0,1003.8
18.6,30.3,0.0,24.0,1011.9
14.7,34.7,0.0,12.0,1015.8
17.7,38.0,0.0,9.0,1016.1
19.6,41.5,0.0,8.0,1011.9
25.3,43.7,0.0,14.0,1008.4
25.6,42.8,0.0,11.0,1009.7
24.8,43.3,0.0,12.0,1008.7
26.7,44.1,0.0,9.0,1009.2
24.6,42.9,0.0,11.0,1009.3
24.6,42.6,0.0,13.0,1007.0
24.8,40.1,0.0,22.0,1006.1
22.5,40.9,0.0,13.0,1003.7
20.1,41.1,0.0,12.0,1004.5
22.5,43.1,0.0,12.0,1005.2
26.1,46.7,0.0,10.0,1002.9
22.2,34.6,0.0,22.0,1010.3
14.8,26.6,0.0,19.0,1014.5
12.0,24.5,0.0,19.0,1016.4
10.2,24.6,0.0,20.0,1017.3
10.8,27.3,0.0,22.0,1016.8
13.3,26.9,0.0,35.0,1018.6
17.0,30.3,0.0,29.0,1017.3
17.3,31.1,0.0,20.0,1013.3
18.5,32.4,0.0,21.0,1013.2
18.2,33.2,0.0,19.0,1011.8
15.4,32.6,0.0,23.0,1008.6
16.7,36.2,0.0,14.0,1007.1
18.3,30.2,0.0,28.0,1013.6
14.3,28.8,0.0,28.0,1015.4
13.8,30.9,0.0,22.0,1013.5
14.2,36.4,0.0,8.0,1010.6
11.9,28.6,0.0,15.0,1016.6
10.8,30.6,0.0,16.0,1016.8
14.8,34.0,0.0,13.0,1014.2
17.4,39.5,0.0,6.0,1010.1
14.5,30.3,0.0,21.0,1012.1
15.2,26.4,0.0,28.0,1013.8
15.5,28.1,0.0,31.0,1012.6
20.4,37.6,0.6,16.0,1003.2
10.8,23.4,1.2,27.0,1018.2
14.0,24.6,0.0,41.0,1018.7
10.2,25.2,0.0,33.0,1015.7
12.2,27.5,0.0,32.0,1014.9
13.3,28.7,0.0,30.0,1016.6
12.4,32.0,0.0,17.0,1015.3
16.7,22.4,0.0,87.0,1016.9
17.1,29.4,7.0,45.0,1014.1
18.7,26.2,1.2,73.0,1014.8
16.9,30.3,14.0,41.0,1013.4
19.4,27.6,0.0,42.0,1010.7
9.8,21.4,0.0,37.0,1015.4
12.6,21.7,0.0,50.0,1016.0
9.6,23.1,0.0,42.0,1017.6
8.1,28.3,0.0,20.0,1014.1
13.9,34.3,0.0,13.0,1012.0
14.6,33.9,0.0,16.0,1012.5
17.4,37.7,0.0,8.0,1009.8
17.5,28.6,0.0,33.0,1012.8
11.6,27.0,0.0,29.0,1014.7
11.6,28.6,0.0,28.0,1014.8
16.6,33.0,0.0,23.0,1014.4
17.1,28.4,0.0,36.0,1020.8
11.1,26.3,0.0,17.0,1024.5
8.1,28.8,0.0,21.0,1021.1
9.4,31.5,0.0,10.0,1019.2
11.9,31.8,0.0,10.0,1019.2
14.2,32.1,0.0,21.0,1017.8
16.3,32.0,0.0,23.0,1017.5
17.6,33.2,0.0,30.0,1016.2
17.1,24.1,0.0,37.0,1017.7
8.3,21.7,0.0,32.0,1023.3
9.0,23.5,0.0,38.0,1019.7
6.6,19.7,0.0,25.0,1025.1
7.5,22.1,0.0,30.0,1026.0
9.0,23.1,0.0,34.0,1023.6
6.6,26.5,0.0,27.0,1017.7
10.1,25.2,0.0,23.0,1018.7
7.7,26.7,0.0,19.0,1020.5
7.0,27.9,0.0,11.0,1019.9
7.3,28.9,0.0,10.0,1016.8
10.1,30.5,0.0,11.0,1011.5
13.3,21.9,0.0,28.0,1013.5
4.2,21.7,0.0,33.0,1013.6
8.3,24.1,0.0,42.0,1018.1
10.1,23.2,0.0,38.0,1021.7
9.0,24.5,0.0,39.0,1019.7
9.0,26.1,0.0,25.0,1018.0
11.0,24.9,0.0,27.0,1019.1
10.3,26.0,0.0,26.0,1018.4
12.8,26.9,0.0,29.0,1010.4
14.9,17.9,8.0,78.0,1002.3
12.1,21.0,0.4,54.0,1000.0
8.5,15.6,5.8,67.0,1010.1
7.7,18.9,0.4,72.0,1012.2
6.6,15.2,7.2,45.0,1021.8
7.0,16.4,0.0,40.0,1021.5
3.2,18.5,0.0,38.0,1021.6
7.0,21.8,0.0,40.0,1022.0
11.8,18.8,0.4,58.0,1025.1
4.6,19.5,0.2,35.0,1027.4
6.0,18.8,0.0,48.0,1029.4
5.8,19.1,0.0,47.0,1028.7
5.9,18.7,0.0,43.0,1025.8
6.2,17.7,0.0,47.0,1027.6
6.7,18.3,0.0,45.0,1027.8
6.7,18.0,0.0,55.0,1024.5
7.1,20.1,0.0,40.0,1021.7
5.9,21.7,0.2,33.0,1021.2
5.0,19.5,0.0,39.0,1020.4
4.2,19.7,0.0,47.0,1017.7
7.8,19.1,0.0,48.0,1016.2
10.4,20.8,0.0,44.0,1014.8
13.3,19.5,0.0,54.0,1017.5
6.4,18.5,0.0,54.0,1021.4
8.6,18.3,0.0,46.0,1018.9
8.9,21.9,0.0,49.0,1015.6
12.3,19.4,0.0,57.0,1018.1
8.9,23.0,0.6,34.0,1020.0
8.0,22.7,0.0,36.0,1017.5
12.1,20.6,0.0,52.0,1015.2
12.6,22.8,0.0,50.0,1016.9
15.6,19.8,5.8,68.0,1016.0
6.8,17.2,2.2,62.0,1021.6
6.4,17.1,0.0,53.0,1022.3
4.9,13.9,0.0,49.0,1025.4
4.0,14.4,0.0,51.0,1025.0
3.1,17.6,0.0,36.0,1027.1
6.6,14.5,0.0,72.0,1026.2
10.7,14.2,10.2,93.0,1022.9
11.7,16.0,2.4,81.0,1022.2
11.7,16.1,0.4,76.0,1018.2
8.4,17.2,0.0,55.0,1017.0
4.6,17.7,0.0,54.0,1015.0
8.8,16.3,6.0,65.0,1006.5
6.1,15.4,2.8,68.0,1007.7
7.0,15.1,0.0,67.0,1011.2
6.8,14.6,1.0,69.0,1013.7
3.0,12.2,0.6,45.0,1024.3
-0.7,12.9,0.0,45.0,1024.9
1.0,11.6,0.0,49.0,1018.8
5.0,17.0,0.0,35.0,1007.1
4.5,17.0,0.0,39.0,1006.0
8.2,14.3,7.6,63.0,1013.6
3.4,15.9,0.0,55.0,1023.3
2.4,15.7,0.0,58.0,1026.6
4.1,16.6,0.2,49.0,1027.0
3.6,17.2,0.2,45.0,1023.3
7.2,16.1,0.0,65.0,1015.5
8.1,19.5,0.0,35.0,1015.2
6.2,20.1,0.0,32.0,1014.2
8.1,18.1,0.2,26.0,1012.1
5.4,14.4,0.0,69.0,1013.6
5.2,14.8,0.0,63.0,1010.8
9.5,11.8,3.8,95.0,1003.5
9.7,12.6,1.6,81.0,1006.2
6.5,17.7,0.0,53.0,1005.7
9.6,20.5,0.0,40.0,1007.0
12.3,23.2,0.0,80.0,998.6
9.3,17.0,2.0,47.0,1007.8
8.1,15.1,0.0,51.0,1010.9
8.1,15.2,3.8,72.0,1017.6
8.9,16.0,0.2,58.0,1021.2
7.6,13.9,0.0,52.0,1022.6
2.6,12.1,0.0,45.0,1023.5
-0.9,13.6,0.0,44.0,1022.7
-1.1,16.2,0.0,45.0,1024.2
3.9,18.5,0.0,41.0,1023.7
9.0,17.6,0.0,37.0,1017.4
10.7,14.9,1.8,68.0,1008.0
7.3,17.2,2.2,47.0,1007.9
7.1,15.7,0.0,43.0,1006.8
4.7,12.9,0.6,82.0,1004.2
5.0,14.3,0.6,56.0,1011.4
6.3,14.6,0.0,43.0,1017.7
2.2,14.3,0.0,47.0,1021.2
3.0,17.3,0.0,38.0,1015.7
6.2,19.8,0.0,34.0,1016.7
6.8,21.3,0.0,19.0,1014.7
6.2,24.9,0.0,17.0,1006.8
6.9,19.8,0.0,35.0,1006.9
2.2,14.0,0.4,37.0,1022.9
-1.8,15.1,0.0,35.0,1024.4
1.1,16.1,0.0,28.0,1019.2
3.9,13.3,0.0,64.0,1014.2
3.8,16.9,0.0,50.0,1021.4
5.1,16.1,0.0,56.0,1024.7
4.8,16.0,0.0,61.0,1026.9
5.3,16.6,0.2,56.0,1024.1
8.0,17.2,0.0,46.0,1024.4
4.5,15.5,0.0,52.0,1027.0
3.9,18.5,0.0,38.0,1023.7
6.0,15.7,0.0,36.0,1024.2
4.7,19.0,0.0,40.0,1019.1
5.1,20.8,0.0,35.0,1018.8
10.8,25.0,0.0,17.0,1012.7
10.7,16.5,0.0,28.0,1021.4
-1.4,17.3,0.0,17.0,1021.9
1.0,18.7,0.0,17.0,1015.3
7.9,19.7,0.0,21.0,1005.4
6.8,18.5,0.2,45.0,1009.1
5.9,18.1,0.0,49.0,1012.5
2.8,20.3,0.0,41.0,1015.3
5.5,21.9,0.0,27.0,1017.0
5.6,27.6,0.0,15.0,1010.2
12.8,21.0,1.2,23.0,1007.3
7.5,18.3,0.0,32.0,1022.3
2.4,21.1,0.0,30.0,1024.4
5.3,19.6,0.0,28.0,1020.0
7.3,24.2,0.0,29.0,1011.5
12.4,18.2,0.0,45.0,1005.3
9.1,16.2,0.0,72.0,1006.7
5.9,21.1,1.4,42.0,1005.0
11.0,20.6,0.0,22.0,1001.7
6.5,17.9,0.4,31.0,1010.0
7.0,20.3,0.0,21.0,1015.8
3.4,22.1,0.0,16.0,1012.8
5.1,21.4,0.0,22.0,1009.8
10.2,19.9,4.6,62.0,1003.1
5.1,15.0,0.4,42.0,1018.3
7.3,18.8,0.0,47.0,1019.4
6.3,19.4,0.0,38.0,1020.5
7.8,23.7,0.0,19.0,1013.5
11.6,21.5,0.0,30.0,1010.5
6.4,19.1,0.4,31.0,1014.2
4.2,17.8,0.0,31.0,1017.2
5.5,24.1,0.0,13.0,1004.7
7.5,20.1,0.0,44.0,1007.1
7.2,18.6,0.2,30.0,1015.4
6.6,17.0,0.0,33.0,1016.4
2.4,20.4,0.0,24.0,1017.3
9.1,31.3,0.0,4.0,1010.6
12.4,34.0,0.0,5.0,1009.8
16.1,23.7,0.0,16.0,1016.0
4.2,18.7,0.0,24.0,1021.2
4.4,24.0,0.0,14.0,1017.5
8.6,28.4,0.0,6.0,1012.4
15.0,20.1,4.6,66.0,1013.6
5.3,21.3,0.4,28.0,1019.0
9.6,27.2,0.0,33.0,1012.6
7.9,21.5,0.2,25.0,1015.1
8.4,24.1,0.0,34.0,998.2
9.0,24.1,7.2,27.0,993.7
10.0,19.1,11.2,60.0,1011.8
8.5,21.1,0.2,36.0,1013.1
11.8,20.7,0.0,53.0,1000.8
6.0,14.8,4.8,56.0,1013.1
5.8,15.9,1.2,39.0,1017.7
4.6,17.9,0.0,44.0,1015.2
4.7,22.6,0.0,26.0,1011.5
10.1,29.4,0.0,6.0,1007.3
17.0,22.7,0.0,36.0,1010.6
10.3,13.5,1.6,73.0,1011.8
9.7,18.2,2.8,36.0,1016.8
7.9,19.4,0.0,36.0,1020.0
6.1,20.4,0.0,37.0,1022.8
6.3,16.7,0.0,49.0,1023.7
3.2,17.4,1.8,23.0,1024.8
3.2,18.6,0.0,23.0,1026.4
5.1,20.4,0.0,30.0,1024.7
6.0,23.1,0.0,24.0,1022.0
7.7,27.6,0.0,14.0,1013.0
16.0,22.3,0.0,24.0,1003.3
11.8,19.6,0.2,32.0,1001.2
10.4,20.1,2.8,39.0,1009.5
9.6,17.7,0.0,74.0,1014.7
5.5,19.7,1.6,43.0,1021.3
7.5,19.8,0.0,36.0,1026.3
6.0,22.5,0.0,30.0,1026.7
5.7,27.2,0.0,18.0,1023.5
9.8,33.6,0.0,4.0,1016.6
14.9,27.0,0.0,29.0,1019.4
9.8,29.3,0.0,21.0,1019.3
11.3,29.9,0.0,23.0,1020.0
15.2,32.8,0.0,17.0,1016.0
12.1,20.7,0.0,28.0,1019.6
6.9,25.5,0.0,27.0,1021.1
10.2,28.4,0.0,29.0,1020.2
16.1,32.0,0.0,26.0,1017.9
17.2,33.6,0.0,24.0,1016.4
20.6,35.8,0.0,20.0,1016.3
21.1,38.2,0.0,16.0,1016.0
20.7,39.3,0.0,18.0,1016.4
22.0,40.3,0.2,11.0,1012.0
14.2,23.8,0.0,35.0,1016.4
8.5,24.2,0.0,26.0,1020.2
8.3,23.4,0.0,24.0,1021.1
9.6,30.0,0.0,16.0,1020.1
14.6,35.3,0.0,21.0,1021.0
20.2,34.7,0.0,22.0,1021.9
19.8,36.3,0.0,17.0,1019.1
17.9,38.5,0.0,13.0,1016.9
19.2,41.0,0.0,9.0,1017.0
25.1,41.1,0.0,11.0,1015.5
19.5,38.2,0.0,8.0,1014.2
18.9,40.3,0.0,6.0,1010.3
20.7,41.6,0.0,7.0,1007.6
22.1,35.3,0.0,17.0,1006.4
14.7,32.1,0.0,20.0,1007.6
17.2,42.1,0.0,8.0,1002.5
23.9,41.7,0.0,11.0,1005.4
26.9,35.3,0.0,43.0,1008.0
20.6,22.5,2.6,89.0,1008.1
15.1,23.4,39.8,58.0,1011.5
11.6,22.8,0.0,26.0,1023.4
12.9,27.1,0.0,14.0,1021.3
17.8,35.3,0.0,28.0,1012.8
19.5,22.7,7.6,95.0,1007.4
15.3,33.4,13.2,29.0,1005.1
13.9,23.7,1.6,31.0,1004.0
14.3,23.8,0.2,38.0,1007.2
12.8,25.2,0.4,36.0,1012.8
12.4,27.2,0.6,20.0,1017.2
11.9,30.8,0.0,14.0,1017.1
16.4,34.6,0.0,22.0,1013.7
11.3,26.9,0.0,15.0,1018.0
12.0,27.1,0.0,27.0,1017.4
14.1,30.9,0.0,22.0,1013.8
15.0,32.1,0.0,18.0,1011.4
18.3,21.9,0.0,74.0,1009.9
8.8,24.6,8.4,31.0,1010.8
14.6,24.2,0.0,36.0,1009.7
9.2,24.2,1.0,26.0,1020.1
11.2,26.9,0.0,35.0,1019.4
12.4,29.1,0.0,27.0,1018.8
15.4,32.1,0.0,16.0,1018.2
15.9,35.4,0.0,12.0,1015.8
20.4,40.9,0.0,6.0,1010.7
23.1,36.5,0.0,46.0,1010.8
9.9,25.6,3.2,29.0,1019.1
12.9,28.4,0.0,40.0,1019.0
13.4,31.1,0.0,20.0,1016.4
14.9,35.8,0.0,11.0,1009.1
18.3,37.0,0.0,7.0,1009.4
21.8,40.8,0.0,8.0,1006.1
28.9,32.7,0.0,43.0,1007.5
14.1,28.4,0.0,16.0,1012.4
12.6,30.4,0.0,13.0,1014.9
14.5,32.4,0.0,13.0,1013.8
16.5,36.2,0.0,10.0,1015.2
18.4,36.6,0.0,8.0,1017.4
