MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
16.4,38.7,0.0,11.0,1003.3
22.3,30.3,0.0,40.0,1009.0
21.2,33.3,0.0,31.0,1012.2
16.4,33.5,0.0,28.0,1012.2
19.2,34.5,0.0,22.0,1010.6
21.3,36.8,0.0,26.0,1009.1
22.2,34.5,0.0,23.0,1008.5
23.7,36.4,0.0,31.0,1007.0
20.4,34.3,0.0,31.0,1008.0
16.0,32.1,9.2,29.0,1007.3
18.2,33.0,3.4,37.0,1008.0
21.5,34.6,0.0,26.0,1010.1
21.2,35.9,0.0,19.0,1012.3
19.5,35.0,0.0,24.0,1012.7
20.5,36.1,0.0,24.0,1011.4
21.1,40.1,0.0,15.0,1007.6
15.0,35.6,0.0,11.0,1009.4
18.5,33.3,0.0,36.0,1014.4
19.7,31.6,0.0,35.0,1013.4
22.1,33.6,0.0,29.0,1012.7
23.8,32.5,0.0,36.0,1011.7
20.5,24.5,47.6,95.0,1009.3
21.1,32.1,23.0,54.0,1008.7
23.2,35.5,0.0,47.0,1007.4
24.4,36.0,0.0,48.0,1009.5
22.7,34.4,5.4,46.0,1012.8
21.3,33.4,0.0,38.0,1014.2
20.3,33.7,0.0,36.0,1013.0
19.1,33.6,0.0,28.0,1013.1
20.2,33.6,0.0,33.0,1012.7
19.6,33.7,0.0,28.0,1013.2
19.5,35.1,0.0,32.0,1010.9
21.1,33.4,0.0,40.0,1008.9
20.4,34.7,0.0,32.0,1006.7
20.3,35.0,0.0,36.0,1005.8
22.1,36.8,0.0,29.0,1005.5
22.8,37.4,0.0,22.0,1008.1
19.7,36.1,0.0,22.0,1010.4
19.8,36.1,0.0,25.0,1008.4
20.0,40.5,0.0,13.0,1005.4
27.3,37.6,0.0,24.0,1003.5
20.8,31.9,7.0,23.0,1005.1
16.1,33.4,0.0,22.0,1007.6
19.4,25.5,0.0,57.0,1013.0
16.6,20.0,29.2,85.0,1009.2
16.9,25.5,51.4,67.0,1006.9
17.9,28.4,0.0,53.0,1006.8
17.4,27.9,55.8,56.0,1007.5
18.5,30.0,0.0,55.0,1004.3
19.4,31.4,0.0,49.0,1005.8
19.6,31.8,0.0,55.0,1008.3
19.7,32.4,0.0,48.0,1008.7
19.8,32.6,0.0,40.0,1012.1
19.1,32.1,0.0,37.0,1013.4
19.6,32.4,0.0,39.0,1014.0
21.9,31.6,0.0,46.0,1012.9
17.8,32.8,0.0,39.0,1012.2
18.6,30.7,0.0,40.0,1012.1
14.2,33.6,0.0,27.0,1008.8
18.4,35.5,0.0,24.0,1008.1
16.3,34.6,0.0,16.0,1010.7
19.3,35.4,0.0,33.0,1011.7
23.8,34.2,0.0,41.0,1007.6
10.9,26.2,0.0,25.0,1010.5
10.5,27.5,0.0,27.0,1010.4
10.7,30.9,0.0,19.0,1010.6
14.7,32.6,0.0,28.0,1010.9
17.9,32.5,0.0,27.0,1012.1
17.1,31.8,0.0,33.0,1012.7
16.0,32.5,0.0,24.0,1014.2
17.6,29.0,0.0,34.0,1016.8
18.1,31.8,0.0,35.0,1014.2
17.8,31.7,0.0,38.0,1011.3
19.9,33.9,1.6,34.0,1007.9
16.2,28.9,0.0,19.0,1008.8
11.1,27.6,0.0,22.0,1010.9
10.5,31.8,0.0,28.0,1012.4
16.8,33.0,0.0,30.0,1012.6
17.6,32.8,0.0,26.0,1011.7
16.6,31.7,0.0,25.0,1011.7
15.8,31.3,0.0,23.0,1012.2
15.7,32.7,0.0,23.0,1013.4
16.8,33.0,0.0,24.0,1015.5
17.5,31.3,0.0,25.0,1017.8
15.2,32.3,0.0,28.0,1017.7
17.2,33.7,0.0,24.0,1016.1
14.0,30.6,0.0,26.0,1017.6
14.2,30.9,0.0,17.0,1016.5
15.6,30.9,0.0,28.0,1013.1
18.2,23.4,0.0,61.0,1010.6
16.9,30.6,0.6,40.0,1011.2
17.1,30.7,1.0,45.0,1014.0
19.2,31.7,0.4,36.0,1014.1
18.3,25.1,0.0,74.0,1015.0
17.5,29.9,22.6,33.0,1012.4
14.3,30.1,0.0,23.0,1013.5
