MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
6.6,18.7,4.0,39.0,1008.9
8.9,18.1,0.0,49.0,1008.9
10.1,19.3,1.0,47.0,1013.9
5.9,21.2,0.0,39.0,1009.5
13.6,19.3,12.8,65.0,1006.9
12.7,19.6,0.6,46.0,1008.7
10.2,16.8,0.0,46.0,1014.6
11.1,21.0,0.0,42.0,1011.0
6.9,16.5,0.4,91.0,1007.8
7.5,19.9,4.2,43.0,1012.2
6.2,25.8,0.0,25.0,1010.3
13.6,15.4,0.8,93.0,1000.3
11.4,14.9,78.8,74.0,1005.8
11.0,15.9,2.0,61.0,1012.5
10.6,19.9,0.0,50.0,1012.3
11.4,19.3,0.4,72.0,1012.6
12.4,19.7,6.0,64.0,1009.1
10.4,19.1,0.0,58.0,1008.8
8.9,18.5,0.6,45.0,1018.4
6.2,24.9,0.0,39.0,1017.8
11.3,30.2,0.0,18.0,1010.2
18.2,20.6,0.0,64.0,1007.2
13.7,20.5,0.0,51.0,1015.3
6.6,25.4,0.0,35.0,1011.8
9.3,24.0,0.0,40.0,1012.6
11.2,25.8,0.0,45.0,1008.1
12.9,22.8,0.0,50.0,1005.6
13.3,20.6,0.0,59.0,1004.3
10.7,19.1,0.8,49.0,1009.8
13.2,18.8,6.0,50.0,1006.6
12.2,19.6,0.0,51.0,1006.3
12.6,17.0,0.8,43.0,1011.6
7.3,18.8,0.0,37.0,1020.6
4.0,22.6,0.0,33.0,1017.0
6.2,25.3,0.0,44.0,1013.8
6.2,23.1,0.0,45.0,1013.3
12.7,24.7,0.0,65.0,1010.4
13.7,21.2,1.4,41.0,1013.0
10.1,19.3,0.0,44.0,1021.1
6.4,21.6,0.0,41.0,1017.7
9.0,22.5,0.0,47.0,1011.9
7.7,22.6,0.0,39.0,1012.7
14.0,27.2,0.0,45.0,1016.0
13.6,39.3,0.0,8.0,1006.3
15.2,23.0,0.0,53.0,1011.9
11.8,22.1,0.0,44.0,1017.7
13.3,19.9,0.0,38.0,1022.8
6.8,23.1,0.0,37.0,1022.6
4.9,29.0,0.0,25.0,1017.7
9.7,33.7,0.0,14.0,1009.3
12.3,30.2,0.0,17.0,1007.3
9.0,25.7,0.0,40.0,1007.7
14.9,22.7,0.0,51.0,1000.2
7.8,24.5,0.0,31.0,1002.8
12.9,20.6,3.2,37.0,1013.9
5.7,24.6,0.0,39.0,1018.2
7.8,27.6,0.0,44.0,1019.4
10.6,39.5,0.0,10.0,1011.8
21.1,43.6,0.0,13.0,1007.4
21.2,43.6,0.0,12.0,1007.5
20.5,36.8,0.0,37.0,1010.1
17.5,32.4,0.0,48.0,1014.6
16.6,32.2,0.0,43.0,1013.4
