MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.2,24.10106990014265,0.0,24.0,
13.760007426661714,32.2,0.0,59.0,
16.2,32.2,0.0,26.0,
19.2,24.0,0.0,61.0,
18.8,30.2,0.0,57.362684435982864,
19.8,34.2,0.0,39.0,
19.4,27.8,0.0,39.0,
13.760007426661714,26.2,0.0,71.0,
15.6,29.4,0.0,53.0,
19.2,26.4,0.0,57.362684435982864,
19.4,21.4,0.0,72.0,
18.0,22.4,0.4,96.0,
18.2,31.6,29.8,51.0,
18.2,27.2,1.0,39.0,
16.6,22.8,0.0,49.0,
11.6,27.0,0.0,51.0,
14.4,29.0,0.0,44.0,
17.6,34.0,0.0,34.0,
18.0,26.6,1.2,98.0,
17.6,21.6,0.0,96.0,
12.6,24.2,0.0,98.0,
15.2,26.4,0.0,49.0,
16.0,31.0,0.0,42.0,
18.8,24.10106990014265,2.0,73.0,
13.760007426661714,25.6,0.0,57.362684435982864,
19.2,29.4,0.0,63.0,
19.2,30.6,0.0,51.0,
18.6,31.2,0.0,57.362684435982864,
20.2,28.8,0.0,80.0,
19.2,33.4,10.6,36.0,
15.4,33.4,0.0,23.0,
15.2,32.8,0.0,47.0,
19.2,25.6,0.0,52.0,
16.4,22.6,0.8,60.0,
17.8,28.8,0.0,53.0,
16.8,36.0,0.0,40.0,
19.6,31.8,0.0,65.0,
21.2,34.8,0.0,57.0,
21.2,23.8,0.0,77.0,
16.8,22.6,2.4,48.0,
15.4,25.4,0.2,45.0,
17.4,27.6,0.0,74.0,
18.4,28.2,0.0,46.0,
19.2,28.4,0.0,56.0,
18.6,35.2,0.0,35.0,
19.0,40.6,0.0,17.0,
19.6,27.0,6.6,60.0,
17.4,22.0,1.6,53.0,
12.2,25.0,0.0,47.0,
15.4,28.6,0.0,48.0,
15.5,35.0,0.0,35.0,
22.0,38.2,0.0,26.0,
22.2,28.8,0.0,71.0,
21.8,35.4,2.0,46.0,
23.6,40.0,0.0,35.0,
18.8,24.0,2.4,65.0,
19.2,26.4,0.0,81.0,
20.6,29.0,0.0,70.0,
20.2,30.8,0.0,51.0,
20.2,32.0,0.0,59.0,
19.8,32.2,0.0,51.0,
20.6,34.8,0.0,26.0,
19.6,31.4,0.0,53.0,
20.6,31.0,0.0,52.0,
19.6,31.8,0.0,51.0,
21.4,31.0,0.0,62.0,
21.0,34.2,0.0,47.0,
21.4,35.0,0.0,44.0,
22.2,37.8,0.0,31.0,
20.0,34.2,0.0,43.0,
20.2,27.6,0.0,57.362684435982864,
20.0,25.0,0.8,83.0,
17.2,23.8,13.4,69.0,
16.6,21.8,13.2,71.0,
16.4,24.4,45.4,58.0,
17.0,19.6,3.6,100.0,
17.4,22.8,147.2,57.362684435982864,
18.0,25.0,13.8,60.0,
18.8,23.4,0.0,86.0,
18.6,25.6,22.6,71.0,
19.0,30.0,0.0,61.0,
21.0,29.6,2.6,70.0,
22.0,25.8,0.0,76.0,
18.6,26.6,0.0,62.0,
19.0,30.6,0.0,54.0,
20.8,34.6,1.4,51.0,
21.4,27.6,0.0,68.0,
21.4,24.8,0.0,62.0,
17.6,24.6,0.0,57.0,
14.6,31.4,0.0,59.0,
14.2,26.4,0.0,57.362684435982864,
20.2,27.0,0.0,61.0,
20.2,28.0,0.0,62.0,
21.8,29.0,0.0,80.0,
12.2,23.8,0.0,37.0,
12.4,24.8,0.0,57.0,
14.6,27.2,0.0,67.0,
19.0,27.2,0.0,55.0,
20.4,26.6,0.0,63.0,
21.4,26.2,0.0,58.0,
20.0,25.8,0.0,60.0,
18.6,27.0,0.0,58.0,
18.8,28.6,0.0,57.0,
18.2,30.2,3.2,53.0,
17.4,32.0,4.2,51.0,
17.8,25.0,0.4,46.0,
12.2,25.0,0.0,40.0,
13.6,25.8,0.0,57.0,
14.4,29.0,0.0,63.0,
17.8,28.2,0.0,64.0,
18.8,26.6,0.0,70.0,
16.2,27.4,0.0,60.0,
15.4,28.6,0.0,69.0,
17.0,30.2,0.0,57.362684435982864,
17.8,31.4,0.0,52.0,
16.4,31.2,0.0,51.0,
19.8,25.6,2.2,69.0,
15.6,25.4,0.0,49.0,
15.2,25.8,0.0,58.0,
19.2,25.8,0.0,72.0,
17.4,22.8,35.2,92.0,
19.4,23.8,21.8,90.0,
19.2,26.2,67.0,77.0,
20.0,27.0,0.0,76.0,
19.0,27.0,0.0,91.0,
17.0,25.0,2.0,57.362684435982864,
16.0,24.10106990014265,1.0,65.0,
13.760007426661714,24.10106990014265,0.0,57.362684435982864,
13.760007426661714,22.0,0.0,77.0,
12.5,23.0,1.0,57.362684435982864,
13.0,24.10106990014265,0.0,57.362684435982864,
13.760007426661714,24.10106990014265,0.0,74.0,
13.760007426661714,26.5,0.0,57.362684435982864,
14.5,23.0,0.0,100.0,
17.5,26.5,4.0,61.0,
13.760007426661714,28.0,0.0,39.0,
15.5,24.10106990014265,0.0,37.0,
13.760007426661714,24.10106990014265,0.0,43.0,
13.760007426661714,24.10106990014265,2.0,57.362684435982864,
13.760007426661714,22.3,14.0,57.362684435982864,
14.4,21.3,10.0,54.0,
17.2,22.2,8.8,67.0,
14.9,20.7,0.4,60.0,
13.760007426661714,22.3,2.0,57.362684435982864,
9.6,22.2,0.0,68.0,
12.8,24.2,0.0,79.0,
14.4,22.2,0.0,39.0,
9.2,19.8,0.0,37.0,
7.8,22.6,0.0,44.0,
9.4,19.2,0.0,72.0,
12.6,20.0,5.6,64.0,
10.3,21.6,5.6,54.0,
9.7,22.8,0.0,56.0,
13.8,20.3,18.6,57.362684435982864,
9.7,22.4,0.0,57.0,
13.0,20.4,7.2,65.0,
12.4,21.7,6.0,57.0,
9.6,22.8,0.0,49.0,
11.5,17.6,1.2,91.0,
9.4,21.9,5.4,59.0,
13.760007426661714,18.8,0.0,60.0,
10.7,19.5,11.8,48.0,
6.4,20.7,0.0,89.0,
7.4,21.2,0.0,49.0,
7.5,21.2,0.0,41.0,
10.3,22.3,0.0,39.0,
13.8,23.4,0.0,40.0,
8.2,20.6,0.0,57.362684435982864,
10.6,22.2,0.0,52.0,
14.5,19.7,2.6,75.0,
12.6,21.7,13.2,89.0,
15.6,20.5,3.8,80.0,
15.4,20.8,14.0,67.0,
14.2,22.6,32.7,72.0,
15.6,22.2,0.0,57.0,
15.0,21.5,2.0,68.0,
11.5,21.0,0.0,61.0,
11.8,21.9,0.0,73.0,
11.8,19.8,0.0,95.0,
12.5,19.1,21.6,73.0,
11.2,18.5,2.6,79.0,
12.2,20.0,8.6,62.0,
10.8,17.8,0.0,67.0,
11.2,20.7,0.0,99.0,
14.3,20.7,3.4,77.0,
12.2,18.2,0.0,84.0,
12.2,19.8,0.4,62.0,
7.4,19.4,0.0,53.0,
9.0,19.2,0.0,61.0,
10.5,19.0,0.0,80.0,
9.7,16.5,0.0,47.0,
9.2,15.2,0.0,37.0,
3.7,14.3,0.0,57.362684435982864,
4.2,16.3,0.0,45.0,
5.0,18.0,0.0,42.0,
6.8,20.0,0.0,57.362684435982864,
6.6,20.2,0.0,43.0,
6.8,15.4,0.0,87.0,
10.3,17.0,71.4,85.0,
10.7,17.0,12.2,94.0,
12.3,17.5,7.0,70.0,
12.0,18.5,22.0,86.0,
12.6,19.5,4.0,78.0,
13.8,19.2,23.6,75.0,
8.8,21.6,0.0,61.0,
7.7,21.0,0.2,61.0,
6.8,17.8,0.2,53.0,
7.9,18.9,0.0,48.0,
9.3,24.10106990014265,0.2,57.362684435982864,
13.760007426661714,18.6,0.0,88.0,
9.0,18.8,0.0,57.362684435982864,
9.8,18.6,0.0,70.0,
10.2,22.0,0.0,31.0,
10.2,19.0,0.0,41.0,
11.0,17.9,0.0,34.0,
7.0,24.10106990014265,0.0,41.0,
13.760007426661714,17.8,0.0,35.0,
3.2,16.1,0.0,50.0,
5.8,15.0,1.6,62.0,
8.5,16.4,7.2,57.362684435982864,
6.8,17.6,5.2,58.0,
8.2,17.2,2.0,69.0,
5.5,17.3,0.0,55.0,
6.8,15.8,0.0,73.0,
9.7,16.0,0.0,61.0,
7.6,16.8,0.0,54.0,
4.9,16.8,0.0,48.0,
7.2,13.5,0.0,73.0,
9.0,16.5,8.0,63.0,
5.8,24.10106990014265,0.0,50.0,
13.760007426661714,18.2,0.0,57.362684435982864,
5.4,19.8,0.0,38.0,
4.5,21.1,0.0,41.0,
9.3,23.8,0.0,44.0,
11.5,19.0,3.4,46.0,
8.2,16.4,1.4,64.0,
4.4,18.8,0.0,38.0,
7.5,13.8,0.0,81.0,
7.2,18.8,2.0,48.0,
6.8,18.0,0.0,47.0,
5.0,24.10106990014265,0.0,45.0,
13.760007426661714,18.5,0.0,44.0,
8.4,18.8,0.0,57.362684435982864,
5.8,18.0,0.0,43.0,
4.2,18.4,0.0,40.0,
7.0,20.2,0.0,41.0,
6.6,18.8,0.0,42.0,
4.4,18.9,0.0,46.0,
4.4,19.8,0.0,38.0,
5.6,23.2,0.0,34.0,
6.8,16.8,0.0,49.0,
3.8,17.9,0.0,53.0,
3.8,21.5,0.0,48.0,
9.6,18.2,0.0,63.0,
7.5,21.5,0.0,33.0,
6.8,21.5,0.0,57.362684435982864,
7.0,20.4,0.0,64.0,
5.8,21.8,0.0,40.0,
6.4,24.8,0.0,33.0,
12.6,23.0,0.0,51.0,
8.0,19.0,0.0,53.0,
4.5,20.0,0.0,62.0,
6.8,22.5,0.0,37.0,
7.6,24.0,0.0,33.0,
14.2,20.5,0.0,57.0,
11.6,26.8,0.0,57.362684435982864,
13.8,28.6,0.0,33.0,
15.2,21.2,0.0,23.0,
13.0,22.6,0.0,23.0,
8.8,24.5,0.0,23.0,
8.4,26.0,0.0,18.0,
12.6,26.7,0.2,57.362684435982864,
14.0,21.7,0.2,24.0,
7.4,20.4,0.0,29.0,
11.2,22.2,0.0,37.0,
7.2,20.2,0.0,55.0,
9.7,23.2,0.0,54.0,
13.6,23.8,8.0,52.0,
11.5,19.8,6.0,35.0,
7.3,24.10106990014265,0.0,53.0,
