MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
9.8,27.4,0.2,27.0,1019.3
12.6,30.1,0.0,22.0,1019.9
13.7,30.6,0.0,26.0,1017.8
16.9,32.4,0.0,23.0,1015.9
18.9,34.2,0.0,25.0,1014.5
19.4,35.2,0.4,26.0,1012.8
21.5,35.2,0.0,29.0,1014.2
23.1,37.3,0.0,18.0,1014.3
20.5,36.5,0.0,17.0,1012.8
21.7,37.7,0.0,20.0,1013.9
21.4,39.0,0.0,16.0,1013.5
22.4,38.5,0.0,15.0,1010.2
18.1,25.4,0.0,30.0,1011.6
11.9,26.5,0.0,28.0,1015.0
9.2,26.9,0.0,28.0,1016.7
13.5,23.8,0.0,80.0,1016.8
6.7,21.3,0.2,28.0,1024.6
6.7,23.5,0.0,33.0,1022.6
9.9,25.9,0.0,26.0,1020.6
12.1,30.9,0.0,15.0,1013.1
16.2,25.0,0.0,38.0,1003.0
12.5,18.3,0.2,47.0,1014.6
10.3,24.7,0.2,40.0,1015.1
12.2,24.3,0.0,56.0,1014.6
9.8,23.0,0.0,43.0,1017.4
11.0,33.5,0.0,23.0,1010.7
17.1,31.5,0.0,30.0,1007.8
12.4,20.2,4.2,47.0,1018.8
6.8,19.6,0.2,49.0,1021.0
9.1,20.9,0.0,55.0,1014.5
10.7,22.1,0.4,49.0,1015.9
11.4,22.1,0.0,49.0,1018.8
11.7,23.8,0.0,46.0,1018.8
5.1,20.5,0.2,35.0,1024.7
4.6,23.9,0.0,30.0,1025.9
8.0,28.4,0.0,27.0,1024.2
14.1,31.1,0.0,23.0,1019.6
12.0,30.1,0.0,25.0,1019.1
10.6,27.4,0.0,24.0,1022.3
9.1,28.0,0.0,27.0,1021.9
8.9,28.8,0.0,13.0,1020.2
10.3,28.7,0.0,29.0,1021.6
13.6,30.4,0.0,21.0,1017.4
17.2,25.4,0.0,38.0,1012.0
12.7,23.8,0.0,50.0,1010.0
8.1,20.6,0.0,35.0,1013.1
3.5,19.9,0.0,31.0,1016.3
6.6,20.8,0.0,30.0,1016.3
6.9,22.0,0.0,35.0,1020.5
2.2,18.5,0.0,25.0,1024.0
4.1,20.3,0.0,28.0,1017.7
5.6,17.4,0.0,81.0,1006.5
9.9,19.4,9.8,64.0,1008.4
8.0,17.4,0.4,55.0,1017.3
9.8,19.8,0.0,71.0,1018.9
9.6,20.8,1.2,44.0,1021.2
11.9,22.6,0.0,51.0,1022.4
12.5,27.8,0.0,20.0,1012.3
13.9,18.6,0.0,57.0,1017.1
12.2,19.1,0.0,39.0,1024.0
7.9,19.9,0.0,36.0,1022.7
7.7,20.3,0.0,39.0,1022.9
0.5,18.4,0.0,31.0,1025.4
5.4,22.4,0.0,21.0,1016.1
6.9,17.4,0.0,33.0,1025.1
0.5,16.9,0.0,35.0,1024.3
7.8,12.2,0.0,69.0,1023.0
8.4,23.9,1.2,28.0,1021.4
8.8,26.3,0.0,27.0,1023.8
9.6,27.9,0.0,24.0,1025.5
12.0,26.3,0.0,26.0,1024.8
12.6,26.3,0.0,23.0,1020.0
12.6,16.9,0.0,82.0,1015.3
6.6,13.8,8.4,57.0,1014.9
4.9,14.6,0.8,56.0,1010.9
7.7,15.8,3.8,69.0,1007.8
7.1,17.3,1.8,52.0,1012.6
4.8,14.9,0.0,60.0,1017.7
4.6,14.7,0.0,59.0,1018.2
3.5,19.1,0.2,43.0,1016.1
6.6,15.6,0.4,78.0,1015.4
6.3,14.8,4.8,66.0,1014.2
8.1,12.9,1.4,82.0,1010.1
4.8,16.6,2.0,49.0,1020.6
2.2,17.0,0.0,62.0,1025.2
5.8,18.4,0.0,55.0,1026.7
6.6,14.8,0.4,64.0,1028.9
8.4,16.0,0.0,54.0,1028.5
5.7,16.3,0.0,54.0,1024.7
6.6,18.1,0.0,42.0,1021.0
8.2,17.3,1.0,76.0,1019.5
12.7,14.9,0.8,91.0,1018.6
13.2,15.5,14.4,91.0,1010.4
8.0,15.5,11.2,70.0,1022.4
8.6,14.9,0.0,69.0,1026.5
10.7,13.4,0.0,70.0,1025.0
9.2,13.6,0.0,69.0,1018.5
9.6,17.2,0.2,59.0,1014.5
9.0,14.6,1.8,56.0,1024.8
1.6,13.5,0.0,58.0,1028.4
4.2,15.0,0.0,51.0,1022.2
5.9,19.2,0.0,50.0,1015.9
7.7,17.1,0.6,76.0,1013.4
10.1,11.9,65.6,91.0,1008.2
10.6,14.2,20.0,74.0,1011.4
9.0,13.3,0.2,73.0,1017.1
5.5,14.9,0.0,59.0,1021.4
2.2,14.2,0.2,57.0,1019.5
1.6,12.4,0.2,65.0,1014.9
1.8,14.6,0.2,55.0,1019.4
1.7,13.3,0.0,52.0,1025.1
3.3,12.8,0.0,67.0,1021.2
4.3,13.4,0.2,73.0,1015.7
6.1,13.9,9.0,65.0,1021.8
4.7,13.4,0.6,66.0,1026.6
3.3,14.4,0.0,53.0,1026.1
0.9,14.5,0.0,54.0,1023.6
1.0,15.3,0.2,54.0,1021.6
2.4,17.0,0.0,50.0,1020.3
2.3,16.9,0.0,54.0,1023.4
3.5,15.1,0.4,58.0,1027.9
4.7,16.6,0.0,67.0,1026.7
9.5,16.7,3.0,71.0,1023.7
8.7,16.5,0.2,53.0,1022.9
6.1,16.5,0.0,42.0,1017.6
7.2,16.4,0.2,50.0,1002.7
4.8,12.3,2.6,68.0,1013.1
5.7,13.5,1.4,70.0,1018.7
4.2,13.3,2.2,66.0,1025.5
1.6,14.0,0.0,56.0,1033.3
0.7,11.7,0.2,69.0,1032.7
1.1,12.7,0.2,56.0,1029.8
2.0,13.4,0.0,74.0,1028.6
3.9,14.3,0.2,77.0,1025.9
5.3,13.4,8.0,92.0,1018.7
12.0,17.7,14.0,72.0,1013.6
7.8,15.2,1.0,82.0,1019.9
9.7,15.9,0.2,71.0,1020.3
10.2,14.7,0.0,86.0,1014.2
10.5,17.5,6.2,69.0,1001.0
11.0,14.5,9.0,87.0,1004.8
3.5,9.0,6.6,73.0,1007.0
3.4,12.3,2.2,51.0,1010.6
3.4,10.3,0.8,82.0,1017.1
4.8,13.3,0.2,66.0,1029.0
6.3,14.5,0.0,60.0,1030.8
3.8,13.5,0.0,67.0,1025.3
6.0,16.6,0.0,64.0,1024.4
6.2,13.9,0.0,65.0,1020.2
7.5,16.2,0.2,67.0,1011.5
5.6,15.4,2.0,78.0,1016.9
4.7,14.2,1.2,51.0,1023.3
6.1,12.6,0.0,52.0,1023.2
5.0,14.9,0.0,46.0,1017.9
7.0,13.1,0.2,58.0,1012.8
5.0,13.0,1.4,87.0,1009.7
5.4,13.9,4.6,71.0,1015.1
7.0,16.4,1.0,76.0,1009.2
9.7,15.3,1.6,49.0,1010.4
7.2,12.2,0.0,75.0,1010.3
2.6,12.6,4.4,64.0,1017.3
5.4,14.0,2.2,73.0,1010.2
7.5,15.4,1.0,57.0,1017.4
6.6,18.6,0.2,48.0,1010.2
9.2,14.1,1.0,41.0,1008.4
6.4,16.6,3.6,56.0,1010.3
8.1,14.0,0.0,67.0,1010.1
3.9,15.7,1.2,50.0,1019.3
4.1,18.4,0.0,38.0,1002.1
4.8,12.3,4.4,78.0,1006.5
7.1,14.9,3.0,78.0,1006.2
4.2,11.3,3.0,63.0,1015.2
1.6,12.3,1.0,77.0,1018.5
3.8,13.3,0.2,64.0,1012.2
7.0,13.3,4.2,71.0,1010.7
9.1,14.5,1.2,76.0,1015.7
9.3,15.4,0.6,75.0,1023.8
9.2,15.6,0.0,61.0,1023.2
4.9,15.3,0.0,66.0,1023.0
7.5,20.7,0.2,62.0,1015.9
8.8,20.0,0.2,56.0,1013.4
11.1,18.1,0.0,64.0,1000.8
11.1,18.3,1.0,67.0,1012.2
7.2,24.1,0.6,33.0,1016.9
11.9,27.0,0.0,33.0,1020.2
6.9,23.4,0.0,45.0,1028.2
11.4,23.9,0.0,58.0,1027.1
12.3,27.6,0.0,43.0,1020.4
14.4,14.7,0.0,87.0,1025.4
10.7,12.4,0.4,82.0,1025.8
5.6,18.1,2.6,47.0,1024.9
5.1,17.5,0.0,64.0,1022.8
10.0,27.8,0.0,41.0,1003.3
6.4,15.8,0.0,58.0,1010.1
5.4,16.2,0.0,58.0,1013.6
3.2,16.1,0.2,54.0,1015.6
6.0,10.9,5.0,86.0,1012.5
7.1,17.2,0.6,70.0,1013.1
8.0,18.4,0.0,73.0,1009.1
10.7,20.2,3.0,71.0,999.0
11.0,18.7,7.6,62.0,1003.1
8.0,15.3,1.4,67.0,1001.9
4.2,16.8,2.4,51.0,1006.2
7.8,17.2,5.8,48.0,1013.6
4.1,19.9,0.2,53.0,1013.3
6.2,21.6,0.8,51.0,1009.5
10.2,24.6,0.0,45.0,996.7
8.7,23.2,0.0,42.0,1003.0
10.8,19.8,0.0,51.0,1006.7
8.2,15.8,11.4,49.0,1015.5
4.4,22.5,0.0,25.0,1009.5
6.4,17.2,0.6,47.0,1015.0
5.6,24.7,0.0,29.0,1009.8
12.6,23.8,0.0,55.0,1002.5
8.2,14.6,7.6,54.0,1010.9
7.0,17.0,1.2,53.0,1005.7
4.5,16.1,4.0,54.0,1022.7
1.8,21.7,0.0,36.0,1017.7
10.8,26.4,0.0,23.0,1008.0
6.0,17.7,0.0,49.0,1010.5
3.5,20.0,0.2,54.0,1014.5
5.9,23.0,0.0,49.0,1017.2
10.0,31.8,0.0,14.0,1007.2
12.9,14.9,0.0,67.0,1010.5
4.9,19.6,0.4,44.0,1016.5
6.2,26.3,0.0,20.0,1006.8
8.3,17.5,0.0,59.0,1008.7
4.0,17.2,0.0,35.0,1022.1
3.1,21.4,0.0,31.0,1018.6
6.9,29.0,0.0,12.0,1002.3
7.4,15.9,1.4,58.0,1016.4
3.1,24.5,2.2,20.0,1021.5
8.7,29.1,0.0,10.0,1016.3
14.1,33.7,0.0,13.0,1009.5
14.7,23.6,0.0,60.0,1012.1
13.5,19.5,1.4,88.0,1004.7
10.0,17.5,10.4,63.0,1015.7
3.6,15.4,0.2,46.0,1023.8
3.3,16.1,0.0,54.0,1025.0
6.6,18.9,0.0,46.0,1025.1
6.6,17.1,0.0,60.0,1021.4
9.2,23.4,0.4,47.0,1010.1
9.7,19.8,0.0,45.0,1019.6
5.9,19.1,0.0,43.0,1022.5
9.6,21.3,0.0,38.0,1023.0
6.5,28.2,0.0,23.0,1018.4
8.7,30.0,0.0,20.0,1014.9
10.7,19.9,0.0,29.0,1023.0
4.1,22.0,0.0,29.0,1028.2
5.3,27.3,0.0,19.0,1021.9
