MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
20.4,25.8,0.0,71.0,1013.6
20.9,26.7,0.2,77.0,1015.5
22.3,26.3,0.0,90.0,1014.3
21.6,22.2,1.2,95.0,1015.3
20.4,23.5,2.6,86.0,1013.7
20.4,24.4,0.0,79.0,1012.7
20.2,24.2,0.0,79.0,1013.0
20.5,24.0,0.0,82.0,1009.4
20.9,22.0,0.0,95.0,1000.4
18.5,23.1,45.2,64.0,1001.2
19.7,22.8,0.4,82.0,1006.9
19.8,23.8,0.0,78.0,1010.5
19.2,23.2,0.0,77.0,1010.4
17.3,22.5,1.6,55.0,1012.4
18.5,23.6,0.0,69.0,1015.0
17.3,22.8,0.0,61.0,1016.2
16.2,23.4,0.0,62.0,1013.4
17.9,22.6,12.8,66.0,1014.8
16.5,22.5,0.0,60.0,1018.0
17.0,23.0,0.0,62.0,1021.4
16.9,23.6,0.0,68.0,1021.8
19.3,24.0,0.0,71.0,1020.5
20.2,24.5,0.0,72.0,1018.5
20.1,25.1,0.0,72.0,1016.7
20.5,25.1,0.0,75.0,1018.3
19.6,24.7,0.0,67.0,1016.9
18.6,23.9,0.0,65.0,1015.0
17.8,24.2,0.0,71.0,1016.1
19.5,24.1,0.8,66.0,1018.4
18.2,24.2,0.0,63.0,1018.3
20.1,23.7,0.0,70.0,1017.6
19.3,23.6,2.0,72.0,1014.3
19.9,24.2,0.2,75.0,1013.1
19.6,24.8,0.0,73.0,1011.6
20.0,25.0,0.0,84.0,1009.9
21.5,22.1,1.8,95.0,1006.1
20.6,23.1,17.6,96.0,998.8
21.5,25.5,3.8,90.0,1005.4
22.2,26.8,6.0,80.0,1012.6
23.7,25.4,0.6,94.0,1012.5
22.2,26.3,20.6,80.0,1012.3
20.9,27.1,0.2,86.0,1010.9
23.6,27.0,0.0,87.0,1008.3
21.7,25.5,5.8,74.0,1015.2
20.2,23.4,0.0,61.0,1016.3
20.0,24.7,0.0,74.0,1012.4
21.2,28.1,10.0,79.0,1010.8
23.2,27.4,0.2,83.0,1014.3
23.5,27.6,0.4,85.0,1015.9
23.9,28.1,0.0,79.0,1013.9
24.3,26.4,0.0,88.0,1011.8
22.5,26.0,16.6,74.0,1010.2
20.1,25.7,6.0,72.0,1012.9
21.6,25.6,0.2,70.0,1014.7
20.5,25.6,0.0,58.0,1017.2
19.5,25.7,0.0,55.0,1016.7
21.0,25.2,0.0,84.0,1010.4
19.5,22.5,107.4,87.0,1005.3
20.0,24.7,0.8,66.0,1009.0
18.3,25.9,0.0,61.0,1012.6
19.1,24.3,0.0,69.0,1015.7
20.0,25.4,0.0,71.0,1017.7
20.6,24.7,0.0,73.0,1012.2
20.7,25.3,4.4,66.0,1009.3
20.2,26.5,0.0,70.0,1011.6
20.5,25.1,0.8,74.0,1011.7
20.1,24.5,0.0,58.0,1014.4
19.6,24.1,0.0,60.0,1016.2
18.7,24.0,0.2,60.0,1017.2
19.5,23.6,0.0,58.0,1016.8
18.7,23.8,0.2,61.0,1018.3
18.1,23.8,0.0,63.0,1017.7
19.1,23.7,0.6,70.0,1016.2
19.3,24.5,0.0,59.0,1015.0
