MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.3,22.7,0.0,37.0,1011.4
7.0,22.4,0.0,25.0,1017.8
10.5,28.9,0.0,13.0,1014.5
9.8,33.1,0.0,7.0,1011.8
12.5,32.6,0.0,12.0,1012.4
12.1,33.8,0.0,14.0,1008.9
11.7,26.0,0.0,44.0,1012.4
9.0,23.3,0.0,29.0,1018.4
9.8,24.9,0.0,22.0,1014.7
12.0,29.4,0.0,15.0,1008.9
11.2,28.3,0.0,20.0,1010.3
13.0,32.4,0.0,19.0,1014.1
17.9,40.3,0.0,4.0,1008.2
17.2,34.8,0.0,19.0,1009.8
10.8,27.3,0.0,25.0,1017.2
7.9,27.5,0.0,22.0,1020.1
10.2,26.6,0.0,16.0,1019.8
14.2,31.6,0.0,10.0,1015.7
12.3,38.0,0.0,5.0,1008.7
13.5,36.3,0.0,10.0,1008.5
14.1,30.7,0.0,30.0,1007.3
11.9,29.5,0.0,44.0,1003.3
9.4,29.0,0.0,22.0,1004.2
14.6,27.0,1.0,30.0,1012.7
10.7,32.9,0.0,13.0,1016.0
13.7,33.9,0.0,16.0,1016.9
16.1,41.7,0.0,5.0,1010.7
21.1,44.1,0.0,8.0,1006.6
26.9,42.5,0.0,9.0,1008.5
22.0,41.9,0.0,9.0,1008.6
23.1,41.0,0.0,11.0,1010.3
23.2,39.8,0.0,17.0,1010.6
24.9,37.4,0.6,22.0,1009.7
18.2,37.7,0.0,24.0,1007.5
12.8,35.6,0.0,23.0,1005.5
12.6,36.1,0.0,26.0,1007.5
17.7,41.7,0.0,13.0,1004.2
19.8,43.9,0.0,29.0,1004.1
16.9,24.6,0.0,36.0,1014.3
10.2,22.9,0.0,26.0,1016.7
9.4,20.4,0.0,38.0,1019.2
7.2,20.6,0.0,32.0,1020.0
9.2,21.70413333333333,0.0,21.0,1019.1
9.36324216144096,26.2,0.0,26.0,1019.0
13.9,29.8,0.0,21.0,1017.7
14.5,30.0,0.0,18.0,1014.2
15.9,30.3,0.0,24.0,1013.1
15.0,31.9,0.0,23.0,1010.9
15.1,32.8,0.0,16.0,1008.0
14.1,34.2,0.0,43.0,1008.5
14.4,25.1,1.6,44.0,1015.8
14.4,25.7,0.0,31.0,1016.9
12.8,30.7,0.0,19.0,1012.8
10.6,28.9,0.0,21.0,1012.9
10.5,25.1,0.0,19.0,1016.8
12.9,30.0,0.0,12.0,1015.9
16.7,35.0,0.0,7.0,1012.4
21.9,34.2,0.0,33.0,1011.7
12.7,29.1,0.0,22.0,1013.2
13.1,23.1,0.0,35.0,1014.2
13.8,26.2,0.2,47.0,1009.3
16.4,28.0,1.0,96.0,1008.5
12.1,19.5,12.6,46.0,1020.3
11.7,21.3,0.2,52.0,1021.2
13.0,21.7,0.0,53.0,1016.4
9.6,23.7,0.0,41.0,1015.6
11.3,25.3,0.0,32.0,1017.0
13.2,27.2,0.0,23.0,1016.8
15.6,28.3,0.0,20.0,1015.4
14.7,28.2,0.0,33.0,1014.1
13.8,29.3,0.0,32.0,1013.9
13.6,31.5,1.2,19.0,1013.5
16.6,21.1,0.2,42.0,1014.0
8.1,20.0,0.0,43.0,1016.7
12.8,19.7,1.6,51.0,1017.5
11.1,23.3,0.0,36.0,1017.5
10.2,28.3,0.0,20.0,1012.4
11.7,27.8,0.0,46.0,1013.4
11.9,32.2,0.0,26.0,1011.7
12.4,32.5,0.0,16.0,1009.5
10.8,23.4,0.0,30.0,1014.7
9.4,24.0,0.0,36.0,1014.4
12.7,21.70413333333333,0.4,46.0,1014.7
9.36324216144096,26.7,0.0,44.0,1015.5
11.6,25.9,0.0,32.0,1022.7
9.6,24.9,0.0,19.0,1025.0
7.6,30.1,0.0,7.0,1020.0
6.1,30.5,0.0,8.0,1019.5
15.1,28.8,0.0,17.0,1020.3
16.0,30.5,0.0,15.0,1017.9
12.6,31.0,0.0,18.0,1017.3
14.7,33.9,0.0,14.0,1016.1
15.1,21.0,0.0,36.0,1020.7
10.1,20.2,0.0,38.0,1024.8
7.1,20.4,0.4,50.0,1022.2
8.1,17.2,0.4,39.0,1027.3
7.9,19.5,0.0,40.0,1028.0
9.9,21.8,0.0,36.0,1024.6
9.6,23.4,0.0,27.0,1018.6
3.6,23.3,0.0,25.0,1019.6
7.1,25.8,0.0,15.0,1020.5
7.9,28.2,0.0,12.0,1019.3
6.0,29.1,0.0,10.0,1015.9
5.9,25.4,0.0,31.0,1012.4
8.6,18.3,0.0,38.0,1014.5
4.0,20.0,0.0,55.0,1014.1
13.0,20.9,0.6,49.0,1019.1
5.1,22.6,0.0,39.0,1022.8
10.4,20.9,0.0,44.0,1020.9
11.1,23.5,0.0,29.0,1018.0
7.9,23.9,0.0,26.0,1018.6
9.5,25.3,0.0,19.0,1016.9
14.9,21.9,0.0,81.0,1007.1
11.2,15.8,19.6,96.0,1004.0
12.0,17.3,11.4,91.0,1000.2
8.2,13.7,11.0,74.0,1011.1
9.0,16.7,11.2,63.0,1013.1
7.9,14.8,5.6,64.0,1021.2
8.8,18.6,0.2,48.0,1020.2
5.4,18.5,0.0,65.0,1020.3
5.7,18.9,0.0,68.0,1022.6
9.6,16.1,0.0,53.0,1026.8
3.8,17.8,0.4,48.0,1028.4
6.7,16.8,0.0,53.0,1030.6
4.5,17.7,0.0,52.0,1029.1
9.2,16.8,0.0,47.0,1027.8
9.4,15.7,0.0,64.0,1029.5
9.9,15.9,0.0,62.0,1029.9
9.3,15.1,0.0,70.0,1026.2
10.5,15.2,0.0,64.0,1023.6
6.2,17.4,0.0,52.0,1023.3
5.9,17.3,0.0,50.0,1022.0
4.1,16.7,0.8,81.0,1019.1
6.5,15.5,0.6,79.0,1017.2
11.2,15.9,1.4,93.0,1016.3
12.4,17.1,9.2,72.0,1019.7
9.9,15.9,0.0,76.0,1021.5
10.6,15.9,0.2,60.0,1019.1
5.7,17.0,0.0,50.0,1016.3
4.6,17.1,0.0,69.0,1019.2
9.7,19.6,0.0,44.0,1020.5
10.7,19.2,0.0,40.0,1016.2
11.4,17.9,0.0,56.0,1011.8
12.9,17.6,4.0,71.0,1014.4
12.3,16.4,9.0,76.0,1017.2
9.6,15.3,0.8,65.0,1022.6
3.3,15.1,0.2,66.0,1023.6
4.4,13.2,0.0,59.0,1026.9
1.7,12.2,0.0,59.0,1026.8
2.0,13.8,0.0,53.0,1027.5
7.8,11.9,0.0,70.0,1025.9
8.6,13.8,0.0,71.0,1024.3
9.3,13.3,2.4,82.0,1022.2
7.9,15.9,3.4,55.0,1018.0
4.3,14.7,0.2,73.0,1017.0
2.7,16.1,0.0,60.0,1013.1
7.5,14.9,2.6,64.0,1006.2
7.7,14.4,0.2,82.0,1009.5
7.9,12.8,8.0,62.0,1013.5
6.9,13.4,20.0,65.0,1016.5
3.6,12.5,1.2,54.0,1024.7
0.5,13.5,0.0,59.0,1022.2
4.1,11.6,0.0,63.0,1013.9
6.6,14.5,3.4,68.0,1004.9
7.1,11.2,1.0,95.0,1003.5
6.0,14.5,3.0,54.0,1016.5
5.7,15.7,0.4,66.0,1024.2
4.6,15.8,0.2,54.0,1026.5
0.7,14.9,0.0,57.0,1026.0
4.1,15.5,0.0,57.0,1020.8
9.4,13.6,0.0,56.0,1012.8
1.0,16.4,0.6,43.0,1013.8
3.9,16.4,0.0,39.0,1012.2
4.3,13.9,0.0,58.0,1009.9
8.6,13.4,3.0,92.0,1014.1
7.0,13.8,4.4,70.0,1010.1
9.1,11.6,4.8,96.0,1002.6
9.4,13.5,4.0,84.0,1007.1
6.2,15.7,0.2,73.0,1004.5
8.6,19.2,0.0,55.0,1004.2
11.4,21.70413333333333,0.0,45.42556742323097,1016.7900033322226
9.36324216144096,13.5,11.2,82.0,1008.6
7.5,21.70413333333333,7.0,45.42556742323097,1016.7900033322226
9.36324216144096,13.7,8.0,84.0,1021.0
9.9,13.4,1.6,81.0,1023.6
4.8,11.8,0.0,80.0,1023.0
2.2,10.5,0.0,57.0,1023.9
0.6,10.5,0.0,58.0,1022.4
2.8,12.4,0.0,55.0,1023.5
1.5,14.5,0.0,56.0,1020.9
9.6,14.1,1.6,76.0,1013.0
