MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
15.2,32.6,0.0,23.0,
15.0,31.7,0.0,38.0,
15.9,33.4,0.0,16.0,
17.2,24.8,0.0,55.0,
17.8,32.2,0.0,48.0,
18.1,36.2,0.2,26.0,
19.3,27.8,0.0,89.0,
17.2,26.9,12.0,99.0,
15.9,33.0,4.8,21.0,
19.5,24.764366290643665,0.0,49.0989898989899,
12.577449352374625,18.7,2.175303643724696,84.0,
15.5,21.1,6.8,49.0989898989899,
15.8,32.7,42.2,35.0,
19.1,25.5,0.0,37.0,
15.1,27.3,0.0,34.0,
12.9,30.5,0.0,32.0,
14.8,31.6,0.0,30.0,
18.6,33.5,0.0,26.0,
15.8,28.5,0.0,27.0,
14.2,24.1,0.0,55.0,
10.7,25.8,0.0,40.0,
13.3,30.1,0.0,33.0,
16.3,29.4,0.0,47.0,
18.3,19.9,0.0,99.0,
17.6,27.8,0.6,56.0,
19.0,34.7,0.0,35.0,
18.9,33.0,0.0,48.0,
17.2,34.9,1.8,34.0,
18.9,29.3,0.0,68.0,
17.5,32.9,1.4,21.0,
17.8,33.2,0.2,13.0,
14.8,35.4,0.0,17.0,
16.9,28.5,0.0,50.0,
14.1,23.2,0.0,51.0,
18.1,31.7,0.0,43.0,
17.5,39.3,0.0,20.0,
16.5,41.6,0.0,9.0,
18.7,40.2,0.0,22.0,
20.4,22.6,2.175303643724696,99.0,
15.3,21.8,1.4,45.0,
14.3,26.8,0.0,39.0,
14.3,30.9,0.0,37.0,
17.4,29.9,8.4,55.0,
19.9,32.9,0.0,39.0,
18.1,40.0,0.0,19.0,
20.3,43.3,0.0,17.0,
17.1,37.2,1.0,30.0,
16.6,23.2,0.2,42.0,
12.9,29.3,0.0,30.0,
13.8,33.6,0.0,23.0,
17.1,39.5,0.0,18.0,
22.8,39.8,0.0,25.0,
21.7,33.5,2.2,41.0,
22.2,36.8,0.2,35.0,
23.1,42.1,0.0,14.0,
19.7,29.4,0.0,38.0,
20.7,31.4,0.0,53.0,
19.7,29.5,5.6,66.0,
18.6,35.8,0.2,38.0,
18.6,36.0,0.0,21.0,
19.8,35.4,0.0,29.0,
18.9,38.6,0.0,28.0,
20.5,33.0,0.0,46.0,
21.2,35.4,0.0,36.0,
21.8,34.8,0.2,34.0,
22.3,33.4,0.0,41.0,
21.0,39.5,0.0,27.0,
22.8,41.4,0.0,21.0,
22.3,42.3,0.0,17.0,
19.8,42.5,0.0,19.0,
22.2,23.6,0.0,70.0,
17.4,20.2,3.2,96.0,
16.2,22.0,6.6,68.0,
15.9,21.3,1.6,60.0,
15.6,19.8,0.8,72.0,
15.1,18.2,28.0,97.0,
