MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
2.7,18.8,0.0,53.0,1024.5
6.4,20.7,0.0,39.0,1019.0
6.5,19.9,0.4,71.0,1015.6
9.5,19.2,1.8,73.0,1018.4
9.5,16.4,1.8,57.0,1022.1
0.7,15.9,6.8,41.0,1029.6
0.7,18.3,0.0,36.0,1024.2
3.2,20.4,0.0,42.0,1021.1
9.8,19.5,8.0,64.0,1024.9
11.2,20.4,4.6,50.0,1014.0
13.4,17.1,2.6,77.0,1015.2
7.9,17.3,4.4,59.0,1018.7
5.3,18.8,0.2,63.0,1024.1
7.9,19.7,0.0,41.0,1021.9
9.0,17.1,0.0,90.0,1008.1
10.2,17.1,24.0,54.0,1014.8
6.7,16.9,2.6,75.0,1010.1
10.4,17.9,20.6,50.0,1002.2
3.3,14.3,15.2,49.0,1023.1
1.2,17.0,0.0,52.0,1028.5
3.1,17.1,0.0,49.0,1027.4
3.3,18.9,0.0,40.0,1020.2
8.9,17.4,0.0,97.0,1013.2
9.3,18.3,19.2,57.0,1017.6
7.4,17.0,0.0,88.0,1014.1
7.8,19.3,12.6,50.0,1015.2
9.0,20.8,4.0,87.0,1007.9
11.8,15.9,5.4,81.0,1007.5
9.7,18.0,11.6,86.0,1008.4
12.4,16.2,30.6,45.0,1005.5
6.7,14.1,3.0,76.0,1017.0
7.8,18.1,7.8,86.0,1018.3
11.2,17.5,18.2,51.0,1018.0
4.7,17.1,0.2,50.0,1026.5
2.1,19.4,0.0,39.0,1030.5
2.2,20.3,0.0,40.0,1030.5
2.3,20.7,0.0,46.906122448979595,1026.4
4.3,17.3,0.0,58.0,1027.6
7.0,17.6,0.0,41.0,1028.3
8.1,18.0,0.0,42.0,1026.4
9.1,18.7,0.0,41.0,1024.7
7.6,20.4,0.0,33.0,1023.5
4.9,17.5,0.0,34.0,1027.9
5.8,19.7,0.0,27.0,1028.7
3.3,21.3,0.0,25.0,1026.4
3.3,23.1,0.0,21.0,1025.1
3.1,23.9,0.0,17.0,1027.6
2.5,24.2,0.0,21.0,1029.9
1.8,22.5,0.0,11.0,1025.8
5.5,18.2,0.0,75.0,1024.4
6.9,17.4,0.2,38.0,1031.9
8.5,17.6,0.0,35.0,1034.3
5.5,19.1,0.0,33.0,1029.3
