MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
18.8,37.2,0.0,22.0,1007.9
21.9,36.1,0.0,31.0,1007.9
20.3,34.4,0.0,34.0,1010.7
18.5,36.5,0.0,20.0,1013.1
21.8,37.2,0.0,21.0,1010.8
19.7,36.4,0.0,35.0,1009.7
18.9,36.3,0.0,23.0,1011.1
20.3,37.2,0.0,24.0,1011.4
19.1,37.1,0.0,32.0,1011.4
20.5,35.7,0.0,26.0,1010.5
21.2,39.1,0.0,15.0,1005.4
13.5,28.4,0.0,52.0,1009.0
10.3,26.9,0.0,37.0,1014.9
14.6,31.7,0.0,35.0,1014.6
19.0,39.8,0.0,16.0,1012.0
22.5,43.0,0.0,18.0,1010.1
17.9,32.6,0.0,31.0,1013.9
21.9,33.5,0.0,31.0,1012.0
15.7,30.0,12.6,39.0,1013.9
15.5,30.1,0.0,35.0,1015.0
15.4,27.3,0.0,42.0,1013.5
18.7,28.7,0.0,48.0,1011.6
20.0,28.9,0.0,50.0,1011.7
13.1,31.0,0.0,46.0,1011.4
17.0,38.6,0.0,18.0,1008.0
17.5,30.8,0.0,54.0,1008.3
17.1,34.5,0.0,34.0,1004.2
21.7,31.2,0.0,51.0,1001.2
19.7,25.6,0.0,58.0,1007.9
18.9,32.1,0.0,51.0,1007.0
21.6,35.1,0.0,44.0,1006.3
23.3,37.4,0.4,40.0,1008.8
21.0,39.1,0.0,36.0,1008.4
18.6,32.7,0.0,47.0,1008.4
20.4,33.3,0.0,29.0,1010.1
17.3,33.2,0.0,36.0,1007.0
15.2,27.0,0.0,36.0,1006.5
9.4,27.3,0.0,29.0,1012.6
15.4,32.9,0.0,22.0,1015.0
17.6,34.6,0.0,16.0,1014.8
19.7,36.8,0.0,14.0,1012.9
23.0,39.2,0.0,11.0,1009.3
22.3,39.5,0.0,17.0,1007.5
21.7,28.1,0.0,46.0,1012.1
18.8,29.1,0.2,39.0,1007.0
15.9,32.4,0.0,38.0,1006.2
18.2,27.5,0.0,40.0,1010.2
16.0,31.9,0.0,30.0,1009.9
17.4,32.0,0.0,27.0,1010.2
16.7,33.8,0.0,23.0,1011.4
18.4,36.4,0.0,20.0,1013.0
21.0,39.9,0.0,15.0,1008.1
20.0,31.7,0.0,40.0,1010.4
17.2,34.3,0.0,28.0,1009.3
18.4,25.4,0.0,59.0,1007.3
12.9,23.5,0.0,90.0,1006.8
8.3,23.9,4.8,43.0,1016.1
13.7,30.2,0.0,33.0,1012.3
15.4,36.1,0.0,22.0,1006.0
22.4,32.9,1.6,48.0,1002.5
18.4,24.7,0.0,40.0,1010.7
6.1,26.2,0.0,21.0,1023.2
13.6,30.4,0.0,19.0,1022.8
17.0,34.3,0.0,14.0,1020.0
15.2,34.5,0.0,22.0,1016.6
17.1,31.6,0.0,26.0,1017.2
17.2,35.0,0.0,15.0,1013.8
15.0,35.3,0.0,12.0,1014.0
14.9,38.3,0.0,12.0,1011.3
12.7,30.8,0.0,27.0,1011.7
18.6,27.1,0.0,46.0,1013.0
14.2,28.3,0.0,27.0,1017.9
13.9,31.1,0.0,24.0,1016.8
16.5,39.7,0.0,14.0,1010.7
15.9,32.2,0.0,39.0,1011.3
16.2,25.6,0.0,63.0,1013.1
12.6,24.2,0.6,40.0,1016.2
8.5,25.9,0.0,37.0,1012.2
11.8,24.8,0.0,44.0,1010.7
10.9,24.0,2.0,35.0,1015.7
6.4,24.1,0.0,37.0,1013.9
11.9,24.2,0.0,64.0,1013.5
12.0,25.0,1.8,41.0,1016.0
12.4,26.0,0.0,44.0,1018.3
14.6,32.5,0.0,26.0,1018.7
14.2,37.5,0.0,21.0,1014.6
16.0,29.4,0.0,36.0,1016.6
17.2,26.0,0.0,35.0,1017.6
17.4,26.1,0.0,47.0,1012.1
13.0,25.8,0.0,43.0,1015.1
11.4,24.4,0.0,26.0,1019.8
9.4,26.2,0.0,25.0,1022.4
13.8,28.1,0.0,25.0,1024.7
14.6,29.2,0.0,20.0,1024.5
13.9,27.9,0.0,22.0,1023.7
14.7,29.2,0.0,18.0,1020.0
17.2,31.6,0.0,17.0,1018.1
17.4,33.6,0.0,12.0,1016.1
14.6,34.0,0.0,41.92320478723404,1015.3667885638299
17.2,35.5,0.0,15.0,1011.3
14.1,31.1,0.0,54.0,1011.8
15.6,34.2,0.0,4.0,1012.4
20.8,24.6,0.0,59.0,1012.4
15.3,28.2,6.2,38.0,1013.9
14.3,26.9,0.0,37.0,1014.8
13.8,28.6,0.0,34.0,1012.2
13.6,29.9,0.0,38.0,1011.5
16.2,25.6,0.0,64.0,1013.1
17.0,30.0,0.6,45.0,1012.0
13.3,27.9,0.0,48.0,1010.8
13.9,30.6,0.0,32.0,1005.8
12.1,22.1,0.0,39.0,1014.2
3.7,21.5,0.0,37.0,1022.4
9.2,23.2,0.0,56.0,1022.2
11.8,23.1,0.0,49.0,1021.9
7.5,26.3,0.0,46.0,1019.9
11.9,28.9,0.0,31.0,1018.2
11.4,28.5,0.0,31.0,1020.7
16.4,26.5,0.0,39.0,1019.2
9.3,24.5,0.0,35.0,1022.2
10.8,25.2,0.0,29.0,1025.0
13.1,28.5,0.0,23.0,1023.6
10.0,27.4,0.0,20.0,1023.5
11.4,28.0,0.0,17.0,1023.6
9.9,27.9,0.0,18.0,1026.0
11.9,27.3,0.0,20.0,1026.5
12.7,26.0,0.0,24.0,1025.8
10.0,25.5,0.0,24.0,1024.7
12.3,25.8,0.0,21.0,1020.9
9.3,23.6,0.0,32.0,1018.7
11.9,26.4,0.0,36.0,1019.5
14.2,24.6,0.0,29.0,1023.6
12.2,24.9,0.0,31.0,1023.4
9.4,24.6,0.0,27.0,1021.7
8.4,25.6,0.0,21.0,1020.0
7.0,25.5,0.0,21.0,1018.4
