MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
12.5,16.6,0.0,99.0,1010.5
8.6,15.2,1.6,61.0,1021.3
1.6,18.0,0.2,52.0,1018.3
4.8,20.1,0.0,63.0,1015.2
4.4,18.8,0.0,68.0,1013.4
9.586866666666667,20.0,0.0,81.0,1010.8
12.8,18.6,1.4,57.0,1012.8
10.8,16.2,0.0,50.0,1021.5
10.9,18.0,0.0,51.0,1019.7
11.8,18.5,0.0,56.0,1013.0
7.4,18.6,0.0,51.0,1013.1
13.4,21.6,0.2,64.0,1017.5
11.0,36.8,0.0,14.0,1006.7
15.2,18.5,0.0,71.0,1012.7
10.5,20.0,0.0,58.0,1017.5
13.0,17.6,0.0,47.0,1022.7
7.4,18.5,0.0,52.0,1023.9
2.7,22.6,0.0,50.0,1019.7
8.4,29.4,0.0,28.0,1010.3
13.2,27.8,0.0,27.0,1007.6
8.4,22.4,0.0,53.0,1008.2
13.5,23.2,0.0,63.0,998.9
8.1,23.3,0.2,50.0,1003.1
12.6,18.3,7.4,48.0,1013.6
6.5,20.4,0.0,54.0,1018.9
6.9,21.5,0.0,63.0,1021.4
12.3,33.1,0.0,35.0,1013.3
15.1,39.1,0.0,19.0,1008.6
18.3,39.3,0.0,21.0,1007.8
18.2,30.9,0.0,65.0,1011.8
9.586866666666667,25.2,0.0,77.0,1017.2
16.1,26.1,0.0,64.0,1014.7
17.6,21.4,0.0,89.0,1013.7
15.9,24.0,0.0,64.0,1012.2
14.9,26.2,0.0,57.0,1007.5
13.4,20.4,0.0,68.0,1010.6
6.1,26.8,0.0,77.0,1008.6
14.3,33.8,0.0,74.0,1003.2
14.2,20.4,0.0,58.0,1016.1
12.1,17.9,0.0,44.0,1019.7
9.9,17.2,1.6,58.0,1021.3
11.9,16.7,0.0,62.0,1023.3
11.5,17.7,0.8,56.0,1024.3
13.5,22.9,0.0,48.0,1024.3
8.8,21.9,0.0,61.0,1020.8
15.3,21.0,0.0,72.0,1020.5
15.2,23.7,0.0,61.0,1017.1
14.5,25.8,0.0,52.0,1013.6
13.1,31.3,0.0,23.0,1009.5
12.0,27.6,0.0,65.0,1007.5
14.9,20.4,0.0,66.0,1016.2
15.1,18.9,0.0,65.0,1020.4
14.8,21.7,0.0,47.0,1015.2
9.4,21.8,0.0,86.0,1012.5
12.2,17.9,0.2,49.0,1021.7
12.1,19.3,0.0,64.0,1020.7
11.8,24.4,0.0,56.0,1016.3
12.4,30.1,0.0,57.0,1010.3
12.7,19.5,0.0,52.0,1015.6
13.6,18.7,0.0,45.0,1016.4
7.9,22.5,0.0,43.0,1011.4
14.3,29.0,1.6,97.0,1000.8
10.4,17.1,13.0,60.0,1013.6
11.3,16.0,1.4,93.0,1019.5
12.2,16.6,3.0,70.0,1016.7
11.2,17.5,2.6,62.0,1018.2
12.0,17.1,0.8,68.0,1021.9
12.6,18.8,0.0,60.0,1020.5
14.7,21.3,0.0,71.0,1019.3
15.2,23.8,0.0,65.0,1017.4
15.1,27.3,0.0,68.0,1014.5
15.4,25.2,0.0,62.0,1014.0
14.3,19.1,10.8,88.0,1008.8
10.7,17.4,12.4,58.0,1011.7
11.7,16.7,2.8,73.0,1015.3
12.0,15.1,0.6,69.0,1019.9
7.6,21.0,0.0,51.0,1013.2
10.5,20.5,0.2,66.0,1013.3
5.9,21.5,0.0,58.0,1013.8
10.8,33.6,0.0,19.0,1007.0
13.7,17.2,2.0,64.0,1016.4
6.8,17.9,0.0,51.0,1017.7
5.1,17.8,0.0,70.0,1015.0
9.3,21.0,4.4,72.0,1015.6
14.9,19.2,0.0,60.0,1023.5
5.8,17.9,0.0,56.0,1026.9
3.2,23.2,0.0,47.0,1020.8
3.3,20.1,0.0,70.0,1023.0
11.4,18.5,0.0,63.0,1025.8
14.7,24.8,0.0,52.0,1020.0
12.0,30.5,0.0,25.0,1019.1
9.586866666666667,31.1,0.0,32.0,1016.2
