MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
12.0,33.1,0.0,49.0,1001.0
15.9,25.8,0.0,49.0,1012.1
13.6,20.8,0.0,49.0,1019.1
16.3,30.1,0.0,49.0,1013.5
14.6,36.5,0.0,49.0,1007.7
14.0,38.2,0.0,49.0,1006.1
15.6,38.2,0.0,49.0,1004.2
19.4,21.4,0.0,49.0,1013.4
14.2,21.2,1.4,49.0,1018.5
11.3,25.1,0.0,49.0,1012.7
11.8,28.5,0.0,49.0,1009.8
15.4,28.3,3.4,49.0,1014.8
17.8,31.1,0.2,49.0,1015.0
15.1,38.4,0.0,49.0,1009.5
17.6,40.7,0.0,49.0,1005.1
15.9,34.9,0.4,49.0,1007.4
14.7,21.4,0.2,49.0,1020.1
10.7,28.0,0.0,49.0,1018.5
11.6,33.5,0.0,23.0,1013.5
15.4,39.0,0.0,19.0,1008.8
21.6,38.9,0.0,26.0,1006.6
21.2,32.6,1.6,48.0,1005.7
23.0,36.4,0.2,40.0,1006.0
23.0,41.0,0.0,23.0,1002.6
19.8,27.6,0.0,40.0,1017.4
21.1,30.7,0.0,51.0,1018.1
19.8,29.2,10.6,63.0,1019.1
18.1,35.1,0.2,38.0,1014.6
16.9,34.7,0.0,37.0,1014.9
17.6,34.8,0.0,32.0,1014.2
17.5,37.5,0.0,31.0,1012.1
19.7,33.3,0.0,43.0,1014.4
19.5,35.5,0.0,36.0,1010.4
20.5,34.0,0.0,37.0,1008.7
21.6,33.2,0.0,43.0,1007.9
19.7,40.1,0.0,26.0,1004.1
22.1,41.3,0.0,23.0,1006.2
21.7,41.9,0.0,18.0,1008.7
17.6,41.4,0.0,24.0,1005.7
21.6,23.5,0.0,71.0,1011.6
17.3,19.8,2.8,97.0,1010.2
16.2,21.8,4.6,64.0,1011.8
15.6,20.6,0.0,69.0,1018.6
15.0,18.9,7.6,91.0,1024.9
15.0,18.4,18.2,96.0,1019.2
15.6,21.7,27.6,90.0,1014.1
16.5,24.4,39.8,60.0,1017.4
16.5,21.8,3.4,67.0,1015.7
17.4,27.4,13.6,55.0,1008.4
18.9,29.7,0.0,76.0,1005.3
18.8,32.4,5.0,43.0,1008.6
20.8,26.8,0.2,87.0,1012.6
18.5,26.1,24.6,60.0,1017.0
19.5,31.6,0.2,56.0,1011.6
18.0,32.5,8.2,51.0,1011.5
19.2,30.0,0.2,55.0,1013.1
18.8,25.5,0.0,49.0,1017.8
15.2,26.2,0.0,45.0,1015.1
14.6,32.8,0.0,44.0,1005.6
17.4,28.8,0.0,43.0,1009.7
18.3,27.8,0.0,52.0,1014.4
17.7,28.8,0.0,55.0,1014.6
19.7,25.0,0.0,53.0,1008.5
10.3,26.0,0.0,29.0,1008.0
9.8,26.1,0.0,39.0,1010.5
13.9,28.4,0.0,44.0,1011.2
17.7,25.6,0.0,65.0,1017.9
16.8,25.6,17.4,68.0,1019.8
17.7,25.9,0.2,57.0,1020.6
15.1,24.2,0.0,72.0,1022.4
15.9,26.5,2.6,57.0,1019.8
16.6,27.1,0.0,67.0,1016.0
16.5,28.3,3.4,55.0,1009.8
16.8,30.8,13.6,43.0,1006.9
12.2,27.2,0.2,38.0,1007.9
10.2,25.4,0.0,37.0,1012.0
15.1,26.7,0.0,48.0,1015.5
12.8,31.0,0.0,45.0,1012.8
15.2,29.9,0.0,45.0,1015.3
15.4,27.3,0.0,53.0,1016.2
13.6,28.4,0.0,49.0,1014.6
14.2,29.8,0.2,36.0,1014.4
16.9,32.7,0.0,38.0,1014.7
15.7,34.2,0.0,42.0,1016.0
18.5,29.7,28.6,59.0,1016.2
19.4,23.5,0.2,61.0,1023.4
13.5,25.5,0.0,46.0,1022.5
11.9,26.9,0.0,46.0,1020.6
14.4,25.9,0.0,48.0,1021.4
18.0,20.7,3.8,95.0,1020.4
17.1,23.2,58.4,83.0,1020.6
18.9,24.5,16.4,81.0,1021.5
17.6,26.5,6.8,66.0,1016.3
18.1,20.2,0.8,66.0,1019.2
16.4,24.1,0.0,59.0,1014.0
11.9,21.5,0.0,58.0,1019.0
15.6,21.8,0.0,57.0,1023.6
9.8,23.3,0.0,47.0,1024.2
11.7,24.1,0.0,50.0,1021.4
10.5,24.8,0.2,49.0,1020.4
14.2,23.9,0.0,67.0,1022.8
17.2,24.3,1.2,72.0,1020.6
17.9,22.3,0.2,79.0,1019.1
16.1,25.9,3.4,61.0,1010.7
12.6,28.8,0.2,29.0,1007.3
