MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
10.7,22.1,0.0,62.0,1003.4
8.0,18.9,0.0,36.0,1017.3
4.2,20.0,0.0,43.0,1018.0
6.7,24.3,0.0,47.0,1013.4
8.9,27.9,0.0,52.0,1008.9
10.8,32.2,0.0,45.0,1006.9
15.3,20.2,0.0,74.0,1008.3
11.4,20.4,0.0,49.0,1017.2
4.7,21.1,0.0,33.0,1018.6
10.6,26.3,0.0,54.0,1009.8
11.0,22.5,0.0,61.0,1009.7
7.7,23.3,0.0,52.0,1017.9
11.9,34.7,0.0,27.0,1010.1
13.4,39.3,0.0,41.0,1005.7
15.1,25.7,0.0,36.0,1012.7
12.7,21.2,0.4,25.0,1015.7
9.3,22.4,0.4,40.0,1021.8
6.7,24.3,0.0,46.0,1018.9
8.4,28.3,0.0,46.0,1011.1
12.5,39.7,0.0,11.0,1002.5
12.0,27.2,0.0,47.0,1007.8
13.8,33.3,0.0,59.0,995.0
15.2,24.0,1.2,49.0,1004.5
13.2,23.7,1.2,35.0,1009.9
6.6,25.0,0.0,48.0,1017.4
10.4,24.9,0.0,49.0,1021.9
16.3,29.0,0.0,43.0,1014.5
12.6,41.2,0.0,19.0,1009.6
17.3,43.4,0.0,15.0,1009.3
18.9,43.4,0.0,10.0,1008.5
19.5,34.8,0.0,38.0,1012.7
18.7,22.3,0.8,85.0,1019.3
18.5,24.6,0.2,90.0,1010.0
17.9,20.1,1.2,71.0,1014.4
17.8,25.1,0.0,69.0,1009.0
18.8,37.2,0.0,41.0,1003.5
14.4,24.7,0.0,58.0,1008.8
15.7,44.4,0.0,7.0,999.0
18.6,24.5,0.8,64.0,1012.2
14.0,22.2,0.6,34.0,1015.5
10.7,20.5,0.0,32.0,1015.5
7.9,17.6,0.0,92.0,1017.8
12.4,19.1,21.0,71.0,1023.7
8.5,22.6,1.8,44.0,1027.4
9.4,23.7,0.0,50.0,1021.0
12.0,24.2,0.0,54.0,1019.4
16.1,25.0,0.0,34.0,1020.0
12.2,24.9,0.0,48.0,1016.6
13.5,23.9,0.0,62.0,1011.2
11.6,25.4,0.0,46.0,1007.6
11.3,24.4,0.0,56.0,1011.4
10.6,25.1,0.2,50.0,1015.4
11.6,24.3,0.0,53.0,1015.8
12.0,33.4,0.2,16.0,1007.3
13.3,22.3,0.0,23.0,1016.2
11.4,24.0,0.0,49.0,1017.9
12.6,23.7,0.0,53.0,1020.0
11.3,25.8,0.0,49.0,1012.3
14.6,26.1,0.0,48.0,1009.4
12.3,24.3,0.0,37.0,1012.8
14.6,24.2,0.0,58.0,1013.2
13.3,28.6,0.0,51.0,1004.1
13.5,21.6,3.6,32.0,1008.3
10.1,18.8,2.0,38.0,1013.2
8.6,21.4,0.0,44.0,1013.0
7.5,22.5,0.0,47.0,1014.2
8.1,20.4,0.0,46.0,1020.9
6.4,22.9,0.0,57.0,1019.7
12.2,24.0,0.0,67.0,1020.7
17.5,25.9,0.0,50.0,1020.5
12.5,20.9,0.0,87.0,1018.1
14.8,29.3,2.4,51.0,1013.7
14.6,29.8,0.0,91.0,1008.1
7.3,19.2,10.0,46.0,1008.7
7.5,20.4,0.0,49.0,1009.5
13.1,20.5,0.0,50.0,1015.4
5.2,22.8,0.0,47.0,1013.9
8.5,31.6,0.0,19.0,1011.8
11.9,27.1,0.0,51.0,1013.5
9.8,35.4,0.2,10.0,1011.0
13.8,34.1,0.0,21.0,1008.2
14.6,24.6,0.0,47.0,1014.3
14.7,23.1,0.0,57.0,1015.4
15.5,23.3,0.4,87.0,1015.8
12.4,25.5,0.4,46.0,1017.7
7.5,22.4,0.0,36.0,1024.2
5.0,24.2,0.0,44.0,1021.1
7.9,29.1,0.0,20.0,1020.7
8.2,22.7,0.0,63.0,1024.3
10.0,24.5,0.0,59.0,1023.2
10.9,25.0,0.0,55.0,1021.6
11.2,30.0,0.0,32.0,1018.5
12.0,29.0,0.0,86.0,1011.8
9.2,18.9,9.8,51.0,1020.9
5.2,21.2,0.0,46.0,1014.7
6.1,17.5,0.0,49.0,1023.3
9.4,17.9,0.0,60.0,1026.8
10.0,20.4,0.4,51.0,1025.0
8.0,20.5,0.0,58.0,1020.0
6.9,24.5,0.2,57.0,1018.0
11.6,20.8,7.0,71.0,1021.4
11.6,23.6,0.2,40.0,1019.6
6.7,22.7,0.0,57.0,1019.8
11.4,26.6,0.0,29.0,1009.3
6.6,16.9,0.0,53.0,1008.5
1.1,19.5,0.2,30.0,1009.8
7.9,21.6,0.0,41.0,1016.7
7.3,21.1,0.0,50.0,1021.7
7.3,18.9,0.0,84.0,1024.7
8.9,19.2,0.2,48.0,1023.1
3.9,21.2,0.0,50.0,1023.1
3.8,20.7,0.0,39.0,1022.3
6.4,21.4,0.2,48.0,1015.1
7.5,20.8,0.8,66.0,998.3
11.4,20.5,0.2,42.0,994.6
7.5,15.5,10.2,44.0,993.3
7.8,15.0,5.8,51.0,1010.1
7.9,13.7,2.6,58.0,1019.3
1.1,12.9,0.6,51.0,1022.6
0.8,15.5,0.6,45.0,1021.1
0.1,17.2,0.0,53.0,1021.1
4.5,17.8,0.0,53.0,1025.4
2.5,18.5,0.0,44.0,1025.7
4.3,17.2,0.0,74.0,1028.5
0.6,16.1,0.0,55.0,1028.8
3.8,16.2,0.2,55.0,1025.4
6.9,17.8,0.0,49.0,1024.7
7.3,17.9,0.0,54.0,1027.4
12.4,18.4,0.0,59.0,1023.8
4.4,17.6,0.0,63.0,1024.8
2.2,18.3,0.0,54.0,1022.2
4.4,16.5,0.0,64.0,1019.0
3.2,16.9,0.0,43.0,1011.9
9.5,17.5,0.0,56.0,1007.5
11.4,19.3,0.0,44.0,1002.5
11.4,13.7,0.2,82.0,1011.9
8.8,17.0,2.6,61.0,1018.7
1.6,16.4,0.2,58.0,1023.0
2.4,16.9,0.0,52.0,1020.5
1.9,17.1,0.4,51.0,1021.7
2.2,18.2,0.2,60.0,1024.8
1.8,18.0,0.0,63.0,1023.7
6.0,19.3,0.0,68.0,1020.0
4.1,20.4,0.2,44.0,1021.3
2.2,19.8,0.0,50.0,1017.1
7.5,17.9,0.0,52.0,1018.9
2.9,16.0,0.0,69.0,1020.0
7.4,15.1,0.0,62.0,1023.5
5.0,14.7,1.0,60.0,1027.8
6.7,13.4,7.4,88.0,1032.4
6.7,15.2,11.4,59.0,1033.1
5.3,14.1,0.0,64.0,1029.5
4.1,16.4,0.0,75.0,1028.0
7.4,16.4,0.6,81.0,1019.8
7.5,19.4,0.6,57.0,1015.9
6.2,13.6,0.0,71.0,1015.1
7.2,16.0,0.0,54.0,1007.4
2.0,12.6,0.0,71.0,1003.2
5.3,15.0,0.2,53.0,1003.4
3.9,13.8,0.4,61.0,1003.4
4.5,11.7,5.6,51.0,1018.8
3.9,12.2,0.0,69.0,1021.8
1.0,12.3,0.0,61.0,1018.0
1.1,11.6,0.0,65.0,1010.0
1.1,15.7,0.0,46.0,1009.5
3.2,14.7,0.0,94.0,1014.5
