MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
14.8,31.8,0.4,28.0,
14.7,37.6,0.0,22.0,
15.8,32.0,0.0,37.0,
17.0,30.8,0.0,29.0,
11.0,35.9,0.0,21.0,
15.6,31.8,0.0,32.0,
16.2,30.9,0.0,33.0,
15.9,34.3,0.0,30.0,
15.1,34.5,0.0,25.0,
14.3,35.3,0.0,23.0,
10.2,38.0,0.0,19.0,
23.0,42.5,0.0,34.0,
14.1,26.9,0.8,31.0,
8.7,28.3,0.0,32.0,
10.2,31.9,0.0,22.0,
14.6,37.0,0.0,13.0,
21.2,39.0,0.0,28.0,
18.1,25.8,0.0,55.0,
15.0,18.2,16.8,94.0,
13.0,26.5,11.2,44.0,
10.9,33.7,0.0,23.0,
16.8,29.3,0.0,34.0,
13.0,30.2,0.0,37.0,
10.6,33.8,0.0,24.0,
12.5,37.0,0.0,19.0,
20.8,43.4,0.0,14.0,
18.0,21.9,7.4,92.0,
18.1,20.8,47.8,94.0,
17.6,24.8,28.8,72.0,
17.2,25.4,0.0,66.0,
17.2,24.3,0.0,74.0,
18.3,32.6,0.0,50.0,
17.6,34.0,0.0,41.0,
17.2,38.6,0.0,46.0,
18.2,25.7,0.0,55.0,
13.9,24.250827423167852,0.0,52.0,
9.313006756756756,22.7,1.0343824027072759,83.0,
12.6,22.2,0.0,58.0,
6.2,25.1,0.0,38.0,
9.1,25.3,0.0,41.0,
13.7,27.0,0.0,31.0,
14.9,28.9,0.0,31.0,
14.1,33.2,0.0,22.0,
18.3,28.4,0.0,52.0,
19.5,35.6,0.0,14.0,
18.0,33.6,0.0,24.0,
18.7,35.9,0.0,36.0,
16.6,26.6,1.0,47.0,
15.4,22.8,0.0,52.0,
5.7,27.4,0.0,34.0,
9.4,28.9,0.0,26.0,
13.0,32.2,0.0,26.0,
17.7,27.6,0.0,50.0,
11.9,30.1,0.0,34.0,
16.6,29.2,0.0,52.0,
15.1,25.2,0.6,63.0,
11.5,25.3,0.2,25.0,
6.6,26.8,0.0,33.0,
12.7,29.6,0.0,33.0,
16.8,26.1,0.0,61.0,
17.8,22.6,0.0,77.0,
7.8,20.0,0.0,39.0,
6.1,24.2,0.0,37.0,
6.3,26.6,0.0,35.0,
7.5,27.7,0.0,39.0,
10.7,23.3,0.0,43.0,
5.9,26.8,0.0,35.0,
9.4,29.2,0.0,27.0,
11.7,31.3,0.0,21.0,
16.0,35.8,0.0,17.0,
15.7,23.6,0.0,53.0,
12.3,24.9,0.0,58.0,
5.9,26.0,0.0,28.0,
10.8,26.7,0.0,30.0,
13.4,35.1,0.0,21.0,
19.3,37.6,0.0,14.0,
13.9,25.4,0.0,36.0,
6.9,28.9,0.0,28.0,
13.6,28.8,0.0,25.0,
14.5,24.7,0.0,35.0,
6.3,31.1,0.0,27.0,
15.0,27.4,0.0,33.0,
12.4,25.4,0.0,45.0,
9.4,28.2,0.0,33.0,
9.9,30.5,0.0,35.0,
17.1,34.3,0.0,21.0,
15.0,26.3,0.0,51.0,
14.5,17.4,0.4,87.0,
14.8,22.5,0.0,90.0,
13.4,21.2,0.0,85.0,
13.6,18.3,0.0,66.0,
5.1,21.4,0.0,41.0,
3.8,21.0,0.0,43.0,
3.3,22.9,0.0,38.0,
8.4,22.1,0.0,40.0,
5.9,23.1,0.0,49.0,
8.5,24.4,0.0,32.0,
8.7,27.6,0.0,20.0,
9.6,27.2,0.0,48.0,
7.8,26.0,0.0,35.0,
10.0,32.1,0.0,22.0,
14.4,28.7,0.0,30.0,
14.2,28.4,0.0,26.0,
11.5,24.7,0.0,58.0,
7.4,22.4,0.0,42.0,
2.5,24.4,0.0,33.0,
