MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
19.5,22.4,15.6,84.0,1017.4
19.5,25.6,6.0,73.0,1016.4
21.6,24.5,6.6,86.0,1015.6
20.2,22.8,18.8,90.0,1011.8
19.7,25.7,77.4,74.0,1004.8
20.2,27.2,1.6,62.0,998.6
18.6,26.3,6.2,80.0,1000.3
17.2,22.3,27.6,61.0,1007.4
16.4,20.8,12.6,91.0,1007.6
14.6,24.2,8.8,53.0,1013.4
16.4,23.9,0.0,53.0,1015.3
18.9,27.3,0.0,67.0,1007.5
18.4,22.8,14.4,70.0,1011.7
16.9,24.3,3.0,51.0,1016.5
18.3,24.4,0.0,56.0,1018.9
16.7,24.1,0.0,52.0,1022.6
19.5,24.8,0.0,62.0,1023.1
18.6,25.3,0.0,59.0,1019.4
19.0,24.8,0.0,65.0,1015.4
18.3,26.4,0.0,60.0,1010.8
20.6,26.8,0.0,62.0,1009.7
19.1,25.4,0.4,66.0,1003.1
20.5,26.0,0.0,45.0,1007.0
16.5,28.3,0.0,40.0,1008.0
20.5,24.2,0.0,54.0,1016.9
19.3,26.2,0.0,65.0,1015.6
19.0,29.0,22.2,52.0,1010.6
17.9,21.4,4.2,88.0,1010.1
14.7,20.6,33.0,51.0,1015.6
12.8,22.0,0.2,46.0,1020.6
14.2,23.4,5.4,54.0,1025.2
15.0,23.1,0.2,57.0,1022.5
15.5,25.4,0.0,57.0,1018.6
18.7,25.8,0.0,64.0,1024.2
19.6,26.0,0.0,65.0,1019.8
19.9,24.9,0.0,75.0,1020.7
16.5,24.8,17.4,71.0,1022.3
16.4,24.3,0.0,64.0,1025.2
19.3,26.3,0.0,50.0,1022.5
18.6,26.1,0.0,58.0,1021.4
19.3,26.4,0.0,60.0,1018.8
19.2,26.1,0.0,69.0,1019.0
18.8,26.0,0.0,62.0,1020.0
19.3,26.1,0.0,64.0,1020.9
19.7,25.8,0.0,69.0,1022.6
19.5,25.7,0.0,60.0,1022.8
19.0,26.7,0.0,58.0,1020.0
19.9,26.9,0.0,60.0,1019.4
19.7,28.1,0.0,58.0,1009.6
17.7,19.6,1.0,80.0,1018.9
16.9,23.2,2.2,60.0,1022.2
16.3,24.8,0.4,57.0,1020.6
18.5,24.3,17.0,72.0,1015.3
19.8,27.5,0.4,58.0,1006.9
17.0,27.2,19.0,38.0,1007.9
15.0,23.6,0.0,42.0,1013.4
15.2,21.7,0.0,51.0,1016.2
14.4,22.9,0.2,65.0,1011.2
13.1,26.8,0.0,22.0,1009.0
13.5,25.6,0.0,31.0,1012.5
13.7,23.9,0.0,54.0,1021.5
14.1,28.7,0.0,34.0,1012.4
16.4,22.2,0.0,21.0,1010.8
11.2,22.2,0.0,37.0,1019.2
11.6,22.7,0.0,50.0,1023.4
13.1,22.7,0.0,55.0,1024.6
15.3,22.0,12.0,70.0,1024.2
14.6,22.1,9.6,75.0,1024.1
15.6,22.2,22.8,62.0,1021.4
13.8,22.7,2.2,60.0,1019.7
14.1,23.5,0.0,61.0,1017.5
14.0,23.8,0.0,59.0,1016.0
15.1,22.7,0.0,75.0,1013.4
13.2,18.9,11.0,64.0,1019.2
13.8,19.7,2.8,71.0,1023.9
13.8,20.9,1.4,85.0,1024.6
14.9,19.7,4.6,72.0,1023.4
15.3,20.0,6.4,75.0,1023.7
15.9,21.4,5.0,61.0,1026.1
15.2,19.1,2.8,75.0,1023.7
14.7,19.3,21.8,70.0,1021.4
14.4,20.3,10.2,55.0,1022.3
14.7,17.9,12.6,89.0,1022.1
14.7,20.0,15.6,80.0,1018.6
16.8,21.2,5.4,69.0,1013.9
12.7,24.8,0.4,38.0,1007.0
15.6,26.1,0.0,28.0,999.1
11.9,16.8,0.0,33.0,1008.6
8.6,18.4,0.0,41.0,1019.8
8.4,19.6,0.0,50.0,1021.3
11.6,18.2,0.0,56.0,1016.7
10.8,22.2,0.0,44.0,1015.3
10.9,19.6,0.0,52.0,1016.9
9.4,20.3,0.0,47.0,1018.3
9.4,22.3,0.0,34.0,1015.2
11.8,23.6,0.0,48.0,1013.3
13.0,23.0,0.0,44.0,1011.8
11.0,21.8,0.0,45.0,1017.5
11.0,21.9,0.0,60.0,1020.2
12.6,21.3,0.0,67.0,1019.6
14.0,19.4,0.0,67.0,1021.2
12.4,19.5,0.0,63.0,1020.5
13.2,19.7,0.0,67.0,1021.7
11.2,20.6,0.0,64.0,1020.5
12.0,21.4,0.2,60.0,1017.8
13.8,23.2,1.2,66.0,1013.0
15.2,21.8,0.0,41.0,1003.6
8.8,17.8,0.0,36.0,1006.3
10.7,20.5,0.0,36.0,1013.3
10.3,21.7,0.0,38.0,1017.5
11.1,18.9,0.0,64.0,1022.8
11.9,18.7,0.0,52.0,1026.2
11.0,18.4,0.0,53.0,1024.6
11.4,20.1,0.0,39.0,1022.7
8.8,18.3,0.0,58.0,1022.2
10.9,21.1,0.4,58.0,1022.6
11.5,22.4,0.0,71.0,1021.8
11.0,19.2,0.0,74.0,1023.9
11.0,18.6,1.0,76.0,1029.1
10.9,21.0,0.2,58.0,1028.7
10.8,20.1,0.0,61.0,1026.66
11.6,20.5,0.2,74.0,1027.0
14.3,17.6,22.0,90.0,1024.8
15.2,19.1,4.0,90.0,1024.1
15.5,18.3,9.2,88.0,1020.5
15.2,16.9,46.4,84.0,1018.6
14.7,17.4,12.4,70.0,1020.3
11.7,18.2,0.0,49.0,1025.7
12.7,17.7,6.0,71.0,1029.8
13.0,16.9,3.6,89.0,1028.0
12.4,19.9,1.6,68.0,1023.9
13.2,19.9,0.0,70.0,1020.6
13.7,22.1,5.4,64.0,1018.1
14.0,18.8,0.0,42.0,1011.5
9.6,14.6,0.0,52.0,1022.5
10.6,15.3,0.0,87.0,1022.8
13.3,16.8,7.2,83.0,1023.0
13.1,17.5,3.4,73.0,1024.8
13.6,19.4,0.0,69.0,1022.1
12.8,20.3,0.0,69.0,1017.4
13.8,17.9,3.6,60.0,1016.2
11.6,18.5,2.2,40.0,1018.9
9.7,17.3,0.0,54.0,1024.0
8.2,17.1,0.0,43.0,1020.4
9.2,19.2,0.0,45.0,1023.1
9.9,19.6,0.0,43.0,1020.6
10.2,20.2,0.0,38.0,1016.8
9.5,19.4,0.0,32.0,1023.6
7.9,18.7,0.0,43.0,1024.7
7.9,21.0,0.0,42.0,1018.8
9.2,22.1,0.0,35.0,1010.3
10.3,19.6,0.2,34.0,1008.5
10.8,19.2,0.0,35.0,1011.2
9.2,17.9,0.0,42.0,1020.8
8.2,15.0,1.2,88.0,1028.2
9.1,17.4,14.2,48.0,1028.9
8.3,18.4,0.0,59.0,1025.7
9.7,19.8,0.0,55.0,1019.7
10.5,17.2,0.2,49.0,1017.4
6.9,13.3,0.0,43.0,1015.7
7.2,15.8,1.8,38.0,1010.0
10.0,16.5,0.0,27.0,1017.0
5.7,15.9,0.0,45.0,1023.5
7.8,17.3,0.0,58.0,1021.2
10.1,23.1,0.0,54.0,1017.3
9.7,19.8,0.0,70.0,1018.4
8.9,18.0,0.0,50.0,1019.1
8.2,18.5,0.0,38.0,1013.3
8.2,18.7,0.0,21.0,1007.3
8.1,18.2,0.0,32.0,1014.1
10.8,17.6,0.0,55.0,1008.6
