MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
17.7,35.1,0.0,13.0,1000.2
18.5,23.0,0.0,58.0,1014.1
16.9,23.2,0.0,50.0,1019.4
18.7,27.1,0.0,51.0,1014.9
20.2,31.6,0.0,52.0,1008.0
19.9,29.7,0.0,54.0,1007.8
20.6,34.9,0.0,52.0,1004.7
20.2,21.7,0.2,78.0,1013.6
17.4,22.9,0.0,44.0,1018.8
16.3,24.0,0.0,44.0,1013.8
18.0,26.6,0.0,48.0,1011.3
18.5,24.0,0.8,72.0,1016.5
19.3,27.9,0.6,48.0,1016.1
20.9,32.0,0.0,39.0,1010.5
22.6,38.8,0.0,43.0,1006.6
18.4,26.3,5.4,54.0,1008.9
17.1,20.7,0.0,57.0,1020.8
14.4,25.0,0.0,43.0,1019.8
17.0,27.3,0.0,49.0,1014.7
19.5,31.7,0.0,38.0,1009.9
20.9,33.7,3.0,45.0,1007.6
22.6,34.6,0.6,40.0,1004.8
24.7,32.1,0.0,56.0,1007.3
24.1,41.8,0.0,37.0,1002.9
19.6,25.0,0.0,52.0,1018.5
20.1,24.9,0.0,81.0,1019.3
19.8,24.6,8.2,96.0,1020.1
19.5,29.4,0.2,50.0,1015.5
20.7,30.0,0.0,59.0,1016.2
20.4,30.2,0.0,48.0,1015.4
21.6,31.2,0.0,51.0,1013.9
20.9,28.2,0.0,69.0,1016.2
22.7,30.4,0.0,48.0,1011.8
21.9,28.3,0.0,63.0,1010.2
21.3,28.0,0.0,64.0,1009.2
22.6,31.5,0.0,52.0,1005.4
21.4,31.7,0.0,53.0,1008.1
21.5,34.9,0.0,32.0,1009.9
22.0,31.1,0.0,43.0,1007.1
20.0,21.5,0.0,88.0,1011.7
17.8,19.5,1.2,88.0,1010.2
17.4,22.1,2.8,70.0,1011.3
17.0,21.5,4.8,64.0,1019.0
17.0,20.2,1.8,95.0,1025.1
16.5,21.3,41.8,82.0,1019.5
17.0,23.2,14.0,85.0,1014.1
17.8,24.6,16.6,58.0,1017.8
18.3,22.8,3.6,69.0,1015.6
18.9,25.0,15.0,68.0,1008.2
19.5,31.2,0.6,51.0,1004.7
19.9,27.4,0.0,63.0,1010.1
21.7,24.2,0.0,91.0,1013.6
20.4,25.1,2.6,61.0,1017.5
19.8,28.8,0.0,58.0,1012.7
20.2,27.8,0.0,77.0,1013.5
20.6,25.8,0.0,66.0,1014.8
19.3,23.0,0.0,59.0,1018.8
18.7,23.9,0.0,50.0,1015.7
17.8,27.7,0.0,53.0,1006.6
21.3,26.1,0.0,56.0,1010.8
21.3,26.6,0.0,56.0,1015.1
21.3,28.3,0.0,51.0,1014.9
22.9,25.9,0.0,46.0,1008.7
15.6,23.2,0.0,39.0,1009.0
14.1,23.7,17.6,45.0,1011.4
18.2,25.5,0.0,63.0,1011.8
